@relation data

@attribute id string
@attribute 1000 numeric
@attribute 1001 numeric
@attribute 1002 numeric
@attribute 1003 numeric
@attribute 1013 numeric
@attribute 10666 numeric
@attribute 10686 numeric
@attribute 1272 numeric
@attribute 1364 numeric
@attribute 1365 numeric
@attribute 1366 numeric
@attribute 137075 numeric
@attribute 1462 numeric
@attribute 1493 numeric
@attribute 149461 numeric
@attribute 214 numeric
@attribute 22871 numeric
@attribute 23114 numeric
@attribute 23308 numeric
@attribute 23562 numeric
@attribute 23705 numeric
@attribute 24146 numeric
@attribute 257194 numeric
@attribute 25945 numeric
@attribute 26047 numeric
@attribute 26285 numeric
@attribute 2734 numeric
@attribute 29126 numeric
@attribute 29851 numeric
@attribute 3105 numeric
@attribute 3106 numeric
@attribute 3107 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3112 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3117 numeric
@attribute 3119 numeric
@attribute 3122 numeric
@attribute 3123 numeric
@attribute 3133 numeric
@attribute 3134 numeric
@attribute 3135 numeric
@attribute 3383 numeric
@attribute 3384 numeric
@attribute 3385 numeric
@attribute 3655 numeric
@attribute 3676 numeric
@attribute 3680 numeric
@attribute 3683 numeric
@attribute 3684 numeric
@attribute 3685 numeric
@attribute 3688 numeric
@attribute 3689 numeric
@attribute 3695 numeric
@attribute 3696 numeric
@attribute 3897 numeric
@attribute 4099 numeric
@attribute 4359 numeric
@attribute 4684 numeric
@attribute 4685 numeric
@attribute 4756 numeric
@attribute 4897 numeric
@attribute 49861 numeric
@attribute 5010 numeric
@attribute 50848 numeric
@attribute 51208 numeric
@attribute 5133 numeric
@attribute 5175 numeric
@attribute 54413 numeric
@attribute 57502 numeric
@attribute 57555 numeric
@attribute 57863 numeric
@attribute 5788 numeric
@attribute 5792 numeric
@attribute 5797 numeric
@attribute 5817 numeric
@attribute 5818 numeric
@attribute 5819 numeric
@attribute 58494 numeric
@attribute 6382 numeric
@attribute 6383 numeric
@attribute 6385 numeric
@attribute 6401 numeric
@attribute 6402 numeric
@attribute 6403 numeric
@attribute 6404 numeric
@attribute 6614 numeric
@attribute 6693 numeric
@attribute 6900 numeric
@attribute 7122 numeric
@attribute 7412 numeric
@attribute 80380 numeric
@attribute 80381 numeric
@attribute 8174 numeric
@attribute 83700 numeric
@attribute 8506 numeric
@attribute 8516 numeric
@attribute 9019 numeric
@attribute 9071 numeric
@attribute 9073 numeric
@attribute 9074 numeric
@attribute 9075 numeric
@attribute 9076 numeric
@attribute 9080 numeric
@attribute 90952 numeric
@attribute 914 numeric
@attribute 920 numeric
@attribute 923 numeric
@attribute 925 numeric
@attribute 926 numeric
@attribute 933 numeric
@attribute 9369 numeric
@attribute 9378 numeric
@attribute 9379 numeric
@attribute 940 numeric
@attribute 941 numeric
@attribute 942 numeric
@attribute 947 numeric
@attribute 958 numeric
@attribute 959 numeric
@attribute 965 numeric
@attribute 9672 numeric
@attribute 999 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0079978060,2.4948960244,-0.0701225634,-0.0707705626,-0.0779454701,-0.0171257749,-0.0151344607,0.0539590657,0.5269904546,0.0574920065,1.7706486186,0.4128884136,0.0537775791,-0.0971397614,-0.0796619306,1.2355442416,-0.0471968078,-0.0636264001,-0.0822909774,-0.1124613259,0.0601573012,-0.0170168009,-0.0538608156,-0.0533231168,-0.0211549926,-0.0588314680,0.7212044850,-0.0319962022,-0.1226061891,1.6537600474,1.3405720888,2.1069503623,0.0626108013,-0.0021598573,-0.0444646151,0.1910638078,0.0322430879,0.0734804541,-0.0575062146,-0.1060773984,-0.1346518659,-0.0876011369,1.1231825212,0.2924461898,0.3239665159,-0.1035979016,0.0374044644,0.6199815604,1.5895233715,-0.0461405370,-0.0525909742,-0.1629247241,-0.0646153320,0.3266050723,0.1778868698,0.0159100612,0.2677830725,0.6622457820,0.4208476337,-0.0750849106,0.3587082782,-0.1160757452,-0.1237530703,0.0993267697,-0.0195648619,0.0024670343,0.9713189493,1.7773411274,-0.0240158797,-0.2302244115,-0.0977560243,-0.0965703504,-0.0187418785,0.0065658610,-0.0894548443,-0.1653921105,1.3168229507,0.3440240243,0.3120588039,-0.0112638130,0.0574635073,0.0200346272,3.0741053328,0.3099377871,1.5485496501,-0.1551491330,0.0217876301,-0.1138486331,-0.1131605474,-0.2150281820,-0.0098227267,-0.1276572647,-0.1032576506,-0.0580768910,-0.0709645244,0.2611789566,0.0080617629,0.0160659226,-0.1120315034,-0.1266479619,1.4852574146,0.6189519864,2.6962009007,-0.1994480709,-0.0683266355,0.9160380667,-0.0483732750,-0.0774667456,-0.1000882763,-0.1204670775,-0.1096000718,-0.0480929209,-0.1294551434,-0.0920268788,-0.1042782579,-0.1013232503,-0.0822073924,-0.1338171530,-0.1011132785,-0.0745038521,-0.1466915503,-0.0538285408,-0.1593005250,0.9724756257,-0.0168667693,1.3886794052,BRCA
GSM480985,0.3107617417,2.8044762015,-0.1764649662,-0.0017558100,-0.0274606835,-0.0836839851,-0.0513184398,-0.1245652501,0.7342764941,0.2624109593,1.6812248330,0.1705754072,0.4902114045,-0.0849444349,-0.1027213873,1.3551757848,-0.0635898680,-0.0485663110,-0.1042642158,-0.0871124358,0.1854424626,-0.0203990307,-0.1339368931,-0.0277138369,-0.1652734134,-0.1546119963,0.9274887486,-0.1050379461,-0.1584184782,2.4575460184,2.4352716603,3.1083826223,0.6915450320,0.1251381343,-0.0231436351,0.2698293427,-0.0650405677,0.0428558186,-0.1290383934,0.1628512691,0.0374173649,-0.1197701725,1.8947312062,0.9323109125,0.4446605109,0.5833301749,0.0934262342,0.4192813296,1.0445313049,0.0015946848,-0.0685593701,-0.1544825037,-0.1047203513,0.7101749634,0.1802411383,0.4165791678,-0.0354555250,0.7598147792,0.1757994879,-0.0613860333,1.0083472830,-0.0452254811,-0.1115495330,0.1761072586,0.0003172887,0.0254270337,1.6740460265,1.6938265978,0.0031078936,-0.1733842004,0.2792669382,-0.1440594700,0.4366639058,0.1546143873,-0.0920547977,-0.1566653691,1.6333781611,0.2585725679,0.2540088786,-0.0125790390,0.1497217030,-0.0592413062,2.7443737702,0.9386319431,1.6302405003,-0.1737338810,0.0602316141,-0.1547061069,-0.0702999876,-0.1982201444,-0.0073285061,-0.1034011719,-0.0090509724,-0.0668805957,-0.0962604081,0.2561767978,0.1844577724,0.0644608700,-0.0745828657,-0.1284395039,1.7254984449,1.5059091382,3.3014034431,-0.2187516283,-0.0704605920,1.2613686594,0.0913711271,-0.1119034973,-0.1162363733,-0.0646950120,-0.1231089131,-0.0884987430,-0.1462289999,-0.0794300147,-0.1118232819,-0.1294706119,-0.1692138949,-0.1120574987,-0.1492929473,-0.1244322729,-0.1548175293,0.0384253590,-0.1639282239,0.7971226885,0.0609114160,1.4782442701,BRCA
GSM480986,0.1054877200,2.8447900115,-0.0164610079,-0.0573108660,-0.0770449613,-0.0992400407,-0.0829284461,0.0980306108,0.4177501201,0.0552441317,1.7351717518,0.2640824781,0.2998368757,-0.0566251233,-0.0876056654,1.1119230170,-0.0455539977,-0.0075437423,-0.0606494162,-0.0660320081,0.0517037134,-0.0219129330,-0.0903861033,-0.0433475760,-0.0496455463,-0.1225341080,0.7837906060,-0.0163506514,-0.1062178236,2.0518530268,1.2703523437,2.4764992397,0.4945947789,0.1963292633,0.0140152021,0.2892794812,-0.0956911196,0.1620062226,-0.1481252838,0.1136571739,-0.0432058185,-0.1058928922,1.4104321598,0.3907815265,0.4288124712,0.0910193258,-0.0188112816,0.8200452162,1.4131523895,0.0710682853,-0.0618882411,-0.0598317276,-0.0637634593,0.5018700799,0.1151252413,0.2119055211,0.0656593170,0.6320545663,0.7813231801,-0.0481446099,0.6730540237,-0.0776241690,-0.1390439152,0.2515912296,-0.0444500556,-0.0484648710,0.7859586161,2.0022597963,-0.0460213097,-0.1962782885,0.0578492413,-0.1202875919,0.1505701002,0.0594046965,-0.0933937245,-0.1054329170,1.4314503604,0.2492053172,0.2919620126,0.0518422806,0.1392051461,-0.0166168110,3.0896990790,0.4058650790,1.6415454167,-0.1231412375,0.0832920320,-0.0896091402,-0.0778731581,-0.1651997106,0.0439293391,-0.1382823655,-0.0810573978,-0.1428943199,-0.0490163481,0.3922235383,0.1407315514,-0.0074029568,-0.0776602932,-0.0930490954,1.7512423502,0.6009663289,2.5117521420,-0.1308928371,-0.0833104959,1.0621557547,0.0171090096,-0.0682564883,-0.0409475534,-0.0579067368,-0.0970953866,-0.0300618196,-0.0785622794,-0.1262051067,-0.0833312035,-0.1022761042,-0.1410099490,-0.0338983699,-0.1117738267,-0.0023996997,-0.0776330233,-0.0640416026,-0.1522055960,0.6818127430,-0.0610784786,1.5077302921,BRCA
GSM480987,0.5377828327,0.6036503430,0.0050844479,-0.0487219249,-0.0807200500,-0.1249408344,-0.0823137330,-0.0729743653,-0.1502266019,-0.0489588074,-0.0900415049,1.0150489352,1.3165883303,-0.0552643589,-0.0951677346,0.6062665496,0.1062311997,-0.0036784654,-0.0611499664,-0.1622992494,-0.0323249137,0.0549581140,0.0156837940,0.4941993632,-0.0774422323,-0.0692456274,0.7067158939,0.0012539486,-0.1659948326,1.5371368601,0.6320671228,1.8324638603,0.0661166904,0.1146925516,-0.0216950949,-0.0708309157,0.1852427243,0.2594022517,-0.1046273241,-0.1178809743,-0.1097697392,-0.1023941331,1.4748642164,0.0766551047,0.2709267356,0.0811703488,0.1063041779,0.8684053154,0.1342354619,0.0973028606,-0.0577306183,-0.0277132272,-0.1693109225,0.3068092785,0.0755187708,-0.1507511987,-0.1750797953,-0.0621140206,-0.0509558884,-0.0149166530,0.6571819986,-0.0888372888,-0.1569465553,0.3735809845,0.1188742796,-0.0745307706,1.2320871734,0.2590887595,-0.0651945644,-0.2715578786,0.0666340686,-0.1233982229,-0.1027223182,0.0525906011,0.2052001063,-0.1104806915,0.7203816462,0.5026297693,0.2272325474,-0.0502896028,0.0809503158,0.6440766586,1.0051738785,1.0496575733,1.1795413494,-0.1486848816,-0.0276685995,-0.0830762666,-0.0348431005,-0.1797642603,0.0466986581,-0.0771541750,-0.0564154077,0.0192796569,0.0988658654,0.3786697605,0.0776746747,0.7099594830,0.3005443131,-0.1019112105,1.5417121812,0.0895075921,0.3912027059,-0.1961606463,-0.0308629964,0.0752644180,-0.0538081663,-0.1148337103,-0.0522814584,-0.1082901696,-0.0926191169,-0.0132302226,-0.0993839056,-0.0958600975,-0.0605640993,-0.0738212348,-0.0623375251,-0.0878388124,-0.0754210073,-0.1124246916,-0.0833706268,0.0094975195,-0.1375176070,0.3091677839,0.0106357998,0.2715312235,BRCA
GSM480988,0.0197224870,3.1870507151,-0.0804347395,-0.1147213753,-0.1199447378,0.0003868609,-0.0434393109,0.0359046924,0.3607583904,-0.0549435111,1.1728110809,0.2920180181,-0.0686729486,-0.0714812562,-0.0668707719,1.2476951764,-0.0550298199,-0.0717021237,-0.0894410510,-0.0363038128,0.1246221043,0.0279797427,-0.1100774803,-0.0743239634,-0.0738526802,-0.1409048050,0.5994980318,-0.0958551050,-0.0643336254,1.8993243343,1.3362236422,2.2586958013,0.4122418322,0.0454927820,0.0066495671,0.2402783686,-0.0805971442,0.0238832242,-0.0136553543,-0.0180359739,-0.1178864969,-0.0838345339,1.0490108484,0.2393908122,0.3191216097,0.0125506422,0.0282862249,0.3909809184,1.0071759766,-0.0622308738,-0.0798689622,-0.0952885697,-0.0186350431,0.3357796439,0.1863922891,0.1527472083,0.0897573340,0.5768431955,0.2831464374,-0.0664052467,0.6868061439,-0.0893485605,-0.1387362664,0.0732742352,-0.0848393846,-0.0409041132,0.6754580580,1.9027011719,0.0060846907,-0.1825785065,0.0560007524,-0.1444561329,0.1697624344,0.1780534337,-0.0860952903,-0.1545460956,1.5933997975,0.2744116403,0.1591009188,-0.0138245839,0.1457537254,0.0137649187,2.9943793590,0.3906642454,1.3530614412,-0.0991857880,0.0491378606,-0.1503732246,-0.0925373696,-0.1367107286,-0.0243771991,-0.1342319313,-0.1191514552,-0.1002006726,-0.0419273745,0.1968960383,0.0258540309,-0.0029799404,-0.0234608249,-0.0711201752,1.7318313042,1.1925035451,2.9809040228,-0.1141403450,-0.0466016669,0.9884170632,0.0085407338,-0.0707757354,0.0564557209,-0.0813145423,-0.0754144564,-0.1150906629,-0.0891134516,-0.0446850933,-0.0968847923,-0.0824389172,-0.0769400428,-0.0262229780,-0.0961179183,-0.0799456790,-0.0214478538,-0.0275243978,-0.0947629332,0.5938382416,-0.0961687959,1.3151372973,BRCA
GSM480989,-0.0148596324,2.9742934257,-0.1509811569,-0.0259790239,-0.0727804374,-0.0111269366,0.0310693728,0.0739120344,1.0058885305,0.2020044652,2.4454563890,0.8166204245,-0.1271116081,-0.0847439916,0.0186659424,0.9011758324,-0.0952697905,0.0009881476,-0.0923831828,-0.0309763127,0.0348425469,-0.1284807392,-0.1380197503,-0.0183151800,-0.0657503770,-0.0867649301,0.5834053839,-0.0566058361,-0.1843729344,2.3293326482,1.6630823217,3.0372506777,0.8770841099,0.1130909237,-0.0627682461,0.5084585080,-0.0473541224,0.0141822898,-0.0902577417,0.2084253303,-0.1505416402,0.0919470743,1.7113409392,0.3886206459,0.4232647989,0.1448837195,0.1144658652,1.2562578982,0.9411138160,-0.0301781461,-0.0407345896,-0.0876169978,-0.0350942307,0.1799703843,0.1971728543,0.2589396170,0.0087692556,0.3919599233,0.4351652247,-0.0206474518,0.9605802166,-0.0666400668,-0.1204304580,0.1339302708,-0.0957034350,-0.0267336389,1.0948092279,2.6137209191,-0.0274175816,-0.2788517064,-0.0272980543,-0.1667104678,0.1048702243,0.0537427080,-0.0780633821,-0.1792231008,1.6847595048,0.1159869889,0.3311461127,-0.0261403982,0.2048680367,0.1639099412,3.6682605744,0.3431360258,1.8110213104,-0.0660730357,0.0852566429,-0.0572108633,-0.1665010977,-0.2282861742,0.0285193332,-0.1579124431,-0.0130096410,-0.0519749711,-0.0774662950,0.4281519926,-0.0140119313,-0.0148933459,0.0065991144,-0.0661659099,1.8123088141,1.2022641268,2.4921964673,-0.1806637100,0.0677883270,0.6196880026,0.0370877476,-0.0173886742,0.0187507356,-0.0625123944,-0.1367758430,-0.1193337496,-0.0522587583,-0.1164445243,-0.0624246738,-0.0881430996,-0.1518896094,-0.1424229563,-0.1004848999,-0.1106895457,-0.0988664956,0.0307232283,-0.1816061430,0.3029593608,0.0015464605,1.6750301521,BRCA
GSM480990,0.0222585909,3.2765496224,-0.0235741048,-0.0225970228,-0.0638306495,-0.1103891028,-0.0660100179,-0.0409306732,0.3522281795,0.0238317825,1.9480334157,0.3318013596,0.9670159041,-0.0548282172,-0.0398207089,0.9228642987,-0.0775181577,0.0475941465,-0.0365461601,-0.1225349001,0.0314074329,-0.1238608885,-0.0813955087,0.0430891197,-0.1187932117,-0.1225173859,0.5049840323,-0.0472318514,-0.1364915050,2.1450957076,0.6589503208,1.9529268740,0.1208910512,0.1960860100,0.0098015560,0.0771852141,0.0482923948,0.1855409761,-0.0054088302,-0.0469217674,0.0769794038,0.0021974898,1.5506209451,0.2228912147,0.5529283491,0.0809441500,0.0807747776,1.1077937717,1.8012763822,-0.0030183041,-0.0750151868,-0.0603801500,-0.0722914216,0.3144868271,0.2156330049,0.0421455834,0.0730921239,0.2736983915,0.6964452403,-0.0299860061,0.3380493100,-0.0843380379,-0.1202209749,0.1994510013,0.1656038231,0.0182006511,0.7012910847,2.0485996766,-0.0720719992,-0.1644385889,-0.0833004629,-0.1606759561,-0.0364928871,0.1253921454,-0.0872219572,-0.1299618400,1.5769016763,0.3077447213,0.2485136800,0.0882562398,0.1954480700,0.0333015918,4.1096160131,0.2302340026,1.6411135348,-0.1942993655,0.0295025672,-0.0600925009,0.0215686023,-0.1618448715,0.0381010403,-0.1286590262,-0.0089044591,-0.0223002396,0.0013328416,0.4821438034,0.0983385976,0.7254334432,0.1289942724,-0.1135226277,1.8539823531,0.9849450721,1.3871032067,-0.1303983054,-0.0045412671,0.7622464742,0.0953551888,-0.0641514143,0.0356717811,-0.0763895354,-0.0539017158,-0.0524672205,-0.0772161086,-0.0761535856,-0.1097458587,-0.1042589320,-0.0923055917,-0.1355011998,-0.1337979434,-0.0556228180,-0.0729616611,-0.0896845966,-0.1055990883,0.2738458408,-0.0146075526,1.5135529946,Control
GSM480991,0.1355888178,3.0281209946,-0.0721082601,0.0088997779,-0.0910427591,-0.0822868111,0.0034333845,0.0419232390,0.9799972104,0.1568808900,2.3234847387,0.9389027224,-0.1037771743,-0.0857643668,-0.0628333489,1.1076490683,-0.0242842313,-0.0174248786,-0.0828621914,-0.1111295003,-0.0031924856,-0.0515776859,-0.1054344225,-0.0465360062,-0.1264773271,-0.0353925389,0.7276249920,-0.0354423329,-0.1129152680,2.4425219173,1.6814781328,2.7070651850,0.8700902536,0.2280225680,-0.0335729512,0.2943344935,0.0232491174,0.0698537100,-0.0889617601,0.7456210894,-0.0470037273,0.0457426893,1.8251722632,0.4402090488,0.4654662125,0.4397473894,0.0569011591,1.0823135640,1.1261571220,-0.0114926056,-0.0582129353,-0.0431565059,0.0377825897,0.4358905889,0.1428165244,0.2775288068,0.1206107850,0.5965266380,0.9167143451,-0.0366843694,1.1608592769,-0.1255675081,-0.1222584137,0.2852104875,-0.0362378335,-0.0987580774,1.2929585343,2.2291539835,-0.0643866166,-0.2311407812,0.0727533391,-0.1741507659,0.0713448257,0.0221250901,-0.0826964258,-0.1069804765,1.6095812493,0.2183984847,0.2259082551,0.0737969124,0.1881264911,0.1180277509,3.6162503886,0.6904866907,1.7358619571,-0.1286949196,0.0887812584,-0.1155560841,-0.0082303320,-0.2230467740,0.0336863111,-0.0831317244,-0.0576659664,-0.0388794719,-0.0710249027,0.4267521342,0.0651544957,0.0510189616,-0.0642577469,-0.0800299452,1.8161261859,1.6695320208,2.8427255419,-0.1782377246,0.0363576253,0.9921294030,0.1179961617,-0.0419589707,-0.0413351972,-0.0782935824,-0.1270068489,-0.0360897136,-0.0783442961,-0.1146239549,-0.0857209242,-0.1015047545,-0.1281131081,-0.1265710275,-0.1235739371,-0.0741128972,-0.0784483226,-0.0468050021,-0.1121194788,0.3962011510,0.0401366718,1.6498906129,Control
GSM480992,-0.0262533089,3.1905305386,-0.0437693235,-0.0186430055,-0.0878573068,-0.0572067397,-0.0635908829,0.0399114807,0.6926356406,0.0885025715,2.6263523236,0.3532487679,0.0059118511,-0.0600448508,-0.0271722245,1.0787666290,-0.0624542295,-0.0192061105,-0.0446922800,-0.1734692978,-0.0125743353,-0.0995841408,-0.0929461377,-0.1057335104,-0.0583754586,-0.0792383742,0.7005119368,0.0055465183,-0.0990664511,2.0768291049,0.8279471597,2.0167463620,0.3343284855,0.1347692112,0.0117455605,0.1602105837,0.0454827089,-0.0322465841,-0.0244123454,-0.0797030918,-0.0839464270,-0.0198893765,1.5038647161,0.3282676265,0.3809352829,-0.0112701706,0.0283512898,0.9982920687,1.0523044984,-0.0469060921,-0.0262774202,-0.0750062975,0.0071480778,0.2562833699,0.0501170250,0.2887557880,0.3144829865,0.5040662929,1.1621286743,-0.0304692354,0.7273937789,-0.1151230532,-0.0785238666,0.2373432535,-0.0650417386,-0.1631293948,0.5121208262,2.1542558598,-0.0188918518,-0.1480478724,-0.0834281884,-0.1441846734,0.0500720727,0.1448502891,-0.0741388229,-0.1197716071,1.9634819655,0.1730403567,0.2857994941,0.1829184337,0.2318742438,0.1418912514,3.6835959239,0.0356883310,1.7462103264,-0.1506419356,0.0538574363,-0.0242750157,-0.0967804776,-0.1616601669,0.0453764023,-0.1157862729,-0.0369503002,-0.0905293676,-0.0569670909,0.5136207079,0.1573493549,-0.0384351843,-0.0981360972,-0.1078511744,1.7227184308,0.1692075819,2.1585274140,-0.1716710903,-0.0259502849,0.7065502705,0.0421305199,-0.0937698897,0.0178796594,-0.0207560157,-0.0780997050,-0.0394278675,-0.0389066301,-0.1512162279,-0.0792174807,-0.0860941124,-0.0893689570,-0.1144072044,-0.1403645249,-0.1292212323,-0.1603798569,-0.0313747032,-0.1507984696,0.2313943063,0.0007479164,1.6639675334,Control
GSM480993,0.0966705108,2.9800154716,0.0342881722,-0.0006494025,-0.0612450747,-0.0130218336,-0.1291178515,0.0013618113,0.5968067498,0.2305033326,2.1207302874,0.5422982129,-0.0048434443,-0.0710167005,-0.0705183992,1.0176422418,-0.0717339248,0.0444042527,-0.0421659381,-0.0412175156,0.0388716106,-0.0634746311,-0.0943816000,0.0002155742,-0.0478979636,-0.0536266352,0.7753920611,-0.0811830006,-0.1608401656,2.2138408538,1.6431057453,2.7194665273,0.5518651867,0.0842804099,-0.0596483520,0.2476261285,0.1215528380,0.1667407294,-0.0892533154,0.9970571118,-0.0267558961,-0.0672223516,1.5650096220,0.4914898902,0.5762706393,0.0740493629,0.0794099440,0.8226225577,1.2222134096,-0.0107081314,-0.0685583942,-0.0977074247,-0.1424441524,0.3461529549,0.0346996909,0.1604505838,0.0919554279,0.5005013681,0.5866540367,-0.0562809837,1.1122475002,-0.0767223006,-0.1175748794,0.2976409371,-0.0437563461,-0.0635382313,1.4853956729,2.0226346815,-0.0856323575,-0.2022650667,0.1558390237,-0.1215505955,0.2009112397,0.2387980311,-0.0893197066,-0.1061867289,1.5985970840,0.1652148219,0.2867408966,0.0702447227,0.2080406723,0.0264117020,3.2545978602,0.6769448463,1.6531071879,-0.1817883469,0.0428199144,-0.0761097056,-0.0977416994,-0.1775590953,0.0539914999,-0.0907564598,-0.0865624208,-0.0898974359,-0.0666746282,0.4619752428,0.0862863856,0.1850108376,-0.0479789512,-0.1018518080,1.6592823060,0.5346886906,2.5802887544,-0.1878573310,0.0283705314,0.8749618310,0.1226217514,-0.0886189898,-0.0634127219,-0.0625347915,-0.0941337722,-0.0681744929,-0.0773493846,-0.1232754507,-0.1030243382,-0.1021686345,-0.1143109965,-0.0634848428,-0.1134077825,-0.0880129331,-0.1101572819,0.0125217407,-0.1587878019,0.4733982993,0.0324880207,1.5387369182,Control
