@relation data

@attribute id string
@attribute 10302 numeric
@attribute 10621 numeric
@attribute 10919 numeric
@attribute 11128 numeric
@attribute 11178 numeric
@attribute 11335 numeric
@attribute 171568 numeric
@attribute 2068 numeric
@attribute 2071 numeric
@attribute 2074 numeric
@attribute 255626 numeric
@attribute 25885 numeric
@attribute 284119 numeric
@attribute 2965 numeric
@attribute 2967 numeric
@attribute 2968 numeric
@attribute 2971 numeric
@attribute 2972 numeric
@attribute 2975 numeric
@attribute 2976 numeric
@attribute 3012 numeric
@attribute 3014 numeric
@attribute 3017 numeric
@attribute 3018 numeric
@attribute 3021 numeric
@attribute 4331 numeric
@attribute 4774 numeric
@attribute 4781 numeric
@attribute 4782 numeric
@attribute 4784 numeric
@attribute 51082 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 5437 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 5451 numeric
@attribute 54700 numeric
@attribute 55290 numeric
@attribute 55703 numeric
@attribute 55718 numeric
@attribute 55814 numeric
@attribute 5595 numeric
@attribute 64216 numeric
@attribute 661 numeric
@attribute 6617 numeric
@attribute 6618 numeric
@attribute 6619 numeric
@attribute 6621 numeric
@attribute 6908 numeric
@attribute 7019 numeric
@attribute 7270 numeric
@attribute 7343 numeric
@attribute 7702 numeric
@attribute 7978 numeric
@attribute 8294 numeric
@attribute 8330 numeric
@attribute 8335 numeric
@attribute 8339 numeric
@attribute 8340 numeric
@attribute 8342 numeric
@attribute 8348 numeric
@attribute 8349 numeric
@attribute 8350 numeric
@attribute 8352 numeric
@attribute 8353 numeric
@attribute 8354 numeric
@attribute 8356 numeric
@attribute 8357 numeric
@attribute 8358 numeric
@attribute 8360 numeric
@attribute 8361 numeric
@attribute 8364 numeric
@attribute 8365 numeric
@attribute 8366 numeric
@attribute 8367 numeric
@attribute 8368 numeric
@attribute 84172 numeric
@attribute 85236 numeric
@attribute 8850 numeric
@attribute 8932 numeric
@attribute 8968 numeric
@attribute 9013 numeric
@attribute 9014 numeric
@attribute 9015 numeric
@attribute 902 numeric
@attribute 9328 numeric
@attribute 9329 numeric
@attribute 9330 numeric
@attribute 9533 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.8727470505,1.7032670247,0.1441646699,0.5896097370,-0.1412564688,1.3031754439,0.7655356586,-0.0296380270,0.7140045016,0.1596065265,-0.2392959260,0.2182085159,0.7357673252,1.2852055382,0.6623463939,0.3433025304,1.6671399563,-0.0827080132,0.2778565808,1.0157556286,0.6419165981,0.4663673578,0.5796287800,-0.1710148110,2.1579934954,0.1694913510,0.5138534189,1.4879502733,0.4930918582,0.5897842087,1.2074693699,0.8600320538,0.9390896344,2.2408497483,1.5956783741,1.6747005731,0.2635002885,2.4089823167,0.5374807089,0.9429248124,1.0272386526,0.8127781419,0.4586358647,0.3462187418,0.9074461555,0.9118458330,0.0381352532,0.7796377986,0.4403947418,1.7934711947,0.8172712709,0.5981161920,0.1890406473,0.8074825910,1.3948990900,-0.0907373567,-0.1426963513,0.4973183159,0.0351372616,-0.0636051464,-0.0104329173,-0.1406314549,1.2193830144,-0.1458585733,1.6164440047,-0.0400704159,0.1694720521,-0.1287715932,0.0373365976,0.0447282344,-0.2411609210,-0.0415090222,2.2542199592,-0.0932262757,-0.1174726214,-0.0902371308,-0.1332889743,1.0903887004,1.2740677339,0.2713000476,0.3757016488,-0.1594003411,0.5791618838,0.3329945604,0.4567742833,1.6350200091,0.5458584141,0.5441392728,0.6603060243,1.4816944038,BRCA
GSM480985,0.7733261192,1.3219076064,0.2126585084,0.4986423923,-0.1499538233,0.9899577512,0.4966072811,-0.0246395640,0.5457641249,0.1679944671,-0.1794575153,0.0641786722,0.5368359969,1.2463617062,0.2177986754,0.2805762249,1.4169296724,-0.0746682708,0.2674226733,0.7468715655,0.0878483590,0.1667381139,0.3041437968,-0.1616829565,2.1411872059,0.1616124383,0.4875530146,1.9746316783,0.5259737359,0.5823833690,1.2850770751,0.6569830517,0.3429515940,1.7362441270,1.3546642363,1.2201701118,0.1845204568,2.1543026898,0.4144739750,0.5387295912,0.9044012409,0.6393962027,0.5649788797,0.2521601138,0.6114921686,0.6876337083,0.0865431198,0.7797868312,0.3460790882,1.5032221264,0.5433221907,0.6173314884,0.1616813812,0.6947636390,0.9943603280,-0.0598962190,-0.0741090260,0.2993768882,-0.0988621673,-0.0984505909,-0.1655684480,-0.1932992957,0.8363667527,-0.1780695102,0.3020734747,-0.0949382781,-0.1083333482,-0.2050709613,-0.0167978437,-0.1362756306,-0.2674207158,-0.0894587290,0.6689824858,-0.2117764721,-0.1691980231,-0.1739324715,-0.1300205311,0.6594191957,1.1959606751,0.6801856128,0.3191693811,-0.2392547634,0.5874804762,0.0871560023,0.1809505854,1.2766061766,0.5662344173,0.3617080925,0.6930375513,1.0869458651,BRCA
GSM480986,0.7116134527,1.5297714471,0.1731310887,0.7349948802,-0.1270073439,0.9301630911,0.9185567765,-0.0405722065,0.4456885583,0.0156855860,-0.1533035864,0.3768351444,0.9422665608,1.0846191228,0.4957253507,0.3247791289,1.7230454606,-0.0898833253,0.3692701377,1.0812320658,1.1043994361,0.4313365992,1.1784153946,-0.1100320933,1.9712035097,0.1028344686,0.3746690628,1.5011309766,0.5685018155,0.6243659871,1.4652212654,0.9663382927,0.7438989184,2.0280745625,1.5147999951,1.7253105589,0.1845095211,2.5068480704,0.5082443795,0.9645122811,1.0190240576,0.6199898407,0.5706250406,0.3048853718,0.8847482707,0.9161699824,0.1897442141,0.7844230140,0.4457074879,1.4256592169,0.7247670092,0.6053355124,0.2117291379,0.7236269299,1.1167716187,-0.0556892770,-0.1807683357,0.5041547073,0.3388207418,-0.0599608208,-0.0366673270,-0.0307473849,2.1491256158,-0.1153243071,1.1052035221,0.0768683551,0.0052143286,-0.1803507560,0.2213751505,-0.0761764600,-0.2003428036,-0.0567198651,1.7092387577,-0.0633980182,-0.1365487879,0.0263579212,-0.1227883108,1.1663219907,2.2588932003,0.2476318860,0.3668400019,-0.1446602456,0.5180801189,0.4718823801,0.1852729904,1.0528557854,0.6190677971,0.6189137644,0.6226270205,1.3805325328,BRCA
GSM480987,0.8807301271,1.1321926530,0.1635672676,0.7084342667,-0.1202228327,0.8189504126,0.7887064341,0.0869013125,0.3906424057,-0.0181378544,-0.1443897371,0.3368867119,1.1391351129,1.1207719374,0.5377548806,0.1268218456,1.5938503883,-0.0756928429,0.2328455082,0.8839839436,0.1778778376,0.3058717020,0.7574752681,-0.1292375768,1.7390610222,0.0561209006,0.4095189390,1.0018323445,0.6125535082,0.4657664345,1.3484285884,0.7729776755,0.7551016080,1.9679285884,1.1692217951,1.7316677769,0.0676998071,2.6162309383,0.6019706456,0.9201272017,0.9488023310,0.2820055889,0.5260457562,0.4071257282,0.8069621914,1.4738238155,0.1081784013,0.6383602744,0.4227110866,1.3821598534,0.8224821389,0.4397403213,0.2359242025,0.7704277414,0.6344135103,-0.0562249477,-0.1793503214,0.4832472367,0.0138641748,-0.0141275727,-0.1387835598,-0.1289310869,0.9919551102,-0.2019331151,0.8405900957,-0.1317059007,0.0806742686,-0.1892591953,0.0634611877,-0.0374176179,-0.1953635868,-0.0970291794,1.7439129253,-0.1213725205,-0.1998982792,-0.0548538233,-0.1849811434,1.1988995137,2.3340788397,0.0770224849,0.3262502320,-0.1872208694,0.3937279361,0.2496324429,0.0641170879,1.3326103814,0.6354936284,0.6883551924,0.5280786298,1.4058529297,BRCA
GSM480988,0.5645477866,1.1208416986,0.2267788883,0.5282034142,-0.1214884091,0.5771601694,0.9651562654,-0.0960179744,0.4572973616,0.0697370860,-0.1825272613,0.3208484090,0.5100543492,1.1935567203,0.3271604209,0.2029555759,1.7296333844,-0.0606547199,0.3005627202,1.3815028083,0.2150179089,0.3475325415,0.6328396549,-0.1845557308,1.8294198923,0.1152204733,0.2513370149,1.5217562543,0.3581147769,0.3567276362,1.1813422528,0.5144257691,0.3602641243,1.6670975165,1.3366246809,1.1884789462,0.1658062528,1.7544452549,0.1433237459,1.2809051945,0.9741657210,0.7394690407,0.4829891018,0.2046031761,0.5456080897,0.7753462940,0.0162448598,0.8481044858,0.5160415954,1.5634070187,0.5339225961,0.5527678289,0.1158436182,0.9391774321,0.6904233890,-0.0788592323,-0.0877908223,0.0794588774,0.1222377939,0.0707095018,-0.0761340127,-0.1935073448,1.2601819633,-0.1690705316,0.1038319834,-0.0963802595,-0.1285621046,-0.1287467877,0.0846302174,-0.0547510622,-0.1497798196,-0.1045087450,0.9749213947,-0.1741188454,-0.0677825478,0.1177794542,-0.1071247313,0.8506054627,1.1231992246,0.2711511826,0.4274005589,-0.1857859420,0.6648525442,0.3276829328,0.0949360983,0.8448971166,0.6134532581,0.5516637431,0.5473533699,1.1422461608,BRCA
GSM480989,0.6241157914,0.9035516373,0.1768400131,0.5531598683,-0.1523588766,0.6156662467,0.9260271513,-0.0803737361,0.1961962798,-0.0449701984,-0.2007829703,0.1328376301,1.0508690208,0.6455758893,0.2276148893,0.3893048411,1.6616230988,-0.1266037166,0.2344180647,1.0529397395,0.7201442404,0.4429179234,0.5605698768,-0.1356046497,1.8776223808,-0.0329211112,0.2571192486,1.3485107826,0.7063657376,0.6971120600,1.4802813377,0.9081393301,0.7286765165,2.3189120144,0.8982298934,1.9962721103,0.1599550665,1.8248777388,0.6147115450,0.4544721697,0.6008602958,0.2728734533,0.8519349658,0.0809080705,0.8751951870,0.2433965559,0.1649473327,0.4955705719,0.3211968432,1.5631407052,0.2598044124,0.2339584518,0.2485242174,0.2682538976,0.4789547520,0.0286313300,-0.1416616022,0.5144148340,0.1641933033,-0.0012505815,-0.0825894711,-0.3411156456,1.9451569120,-0.0930172331,1.6139730853,0.0789337243,0.0301696133,-0.1452294259,0.0573936739,0.0806470176,-0.1944220621,0.0898366083,2.4606473248,-0.1347655566,-0.1308777917,-0.0471576433,-0.1603330197,0.6128673470,1.5966522864,0.3231673351,0.3522756034,-0.1676410017,0.5041686226,0.0614637727,-0.1493243036,0.5867294799,0.8582181633,0.5582482092,0.2351742688,1.4197082107,BRCA
GSM480990,0.4690600992,1.0401086501,0.2181623228,0.5823417493,-0.1202919134,0.6878868860,0.8756542040,0.1646377929,0.1790467939,-0.0422008479,-0.1180848084,0.1885108545,1.5620649529,0.6016601944,0.3621013066,0.1977200439,1.3052523439,-0.0448096402,0.2169057288,0.9842453105,1.3215424484,0.4757574229,0.8883089818,-0.0826441911,1.7673931941,0.0403791171,0.3431487126,1.2863736934,0.8463688004,0.7327733647,1.2386929219,0.9311095635,0.7436226618,2.2209360302,0.9416872767,2.0354376055,0.1041536037,1.7745345102,0.6059728659,0.4213394257,0.6828110645,0.3532784269,0.5468216389,0.1470100502,0.9177535353,0.5978076458,0.1594612682,0.5483070424,0.3730986099,1.5624036790,0.2972117328,0.1830434695,0.2157841701,0.3184243662,0.4481792153,0.0362737201,-0.2242663630,0.5401730370,0.2677904508,0.0020130016,-0.0329819421,-0.1419496452,1.3865623740,-0.1496064044,1.5881846957,-0.0954090077,0.2209727360,-0.1588913231,-0.0022658378,0.0674804549,-0.2183517062,-0.0134643076,2.6680849792,-0.0953085514,-0.2034950250,-0.0945666916,-0.0972427099,0.7684164810,1.9206747497,0.1095306891,0.4135373806,-0.2236515396,0.5037176388,0.1679903960,0.0207691536,0.6179169566,0.7647987068,0.5103728312,0.3043433483,0.9646483875,Control
GSM480991,0.6271140228,1.1311350229,0.1973247226,0.5963492494,-0.1042475726,0.6536834232,0.9638712473,-0.0845744576,0.3116158577,0.1462181555,-0.2285199720,0.2958973776,1.0704921866,0.9432743358,0.1669740229,0.1977765904,1.4041542838,-0.0740762901,0.3955284489,1.0499572185,1.5500511196,0.1838217394,1.3187459749,-0.1786492415,1.7405993602,0.0149837607,0.2851969631,1.3700232458,0.6474340327,0.6216509066,1.3947522940,0.8822802315,0.7639645895,1.9216874392,1.2645089434,1.8021113847,0.0904139955,2.0352129342,0.4291858287,0.6858045105,0.7471242764,0.4519655272,0.6482640730,0.1662795938,0.8056894579,0.4850198674,0.1270760557,0.6790421738,0.3288832054,1.3658582157,0.3831452473,0.3868196251,0.2057345304,0.4309192191,0.7452343207,-0.0016814419,-0.1765443441,0.6763776673,0.9897042628,-0.0327861132,-0.0716019377,-0.1731222237,2.6492796739,-0.1780888134,0.7189382041,0.1221937240,-0.1377763224,-0.2414060503,0.2391659864,-0.1446170796,-0.2716698416,-0.0758941351,1.2128984507,-0.0314198574,-0.1891503663,-0.0154147946,-0.1246335566,0.9554587358,2.5493872507,0.2392695968,0.3973081464,-0.2268631794,0.4469917856,0.1414090607,0.0365944630,0.8301298161,0.7182383407,0.5306041288,0.4412795349,1.2764937491,Control
GSM480992,0.5401155565,0.8774611006,0.2160088249,0.5375299751,-0.1445662657,0.4320830016,0.9405568666,0.0372287346,0.2507348696,0.0572547109,-0.1281941111,0.2670055938,1.1115519166,0.6078198389,0.3349143479,0.3574455567,1.1982105113,-0.0515804498,0.3910683908,1.2429225120,1.1159231662,0.4098797701,0.7317521016,-0.2269219067,1.5408836827,-0.0278273442,0.3513752574,1.3498262945,1.0030366176,0.9296043575,1.5986316417,1.2745025079,0.7806424229,2.1274780929,0.7483742192,1.8525854391,0.1239075567,1.7260486053,0.4373661642,0.2783685128,0.8708294126,0.2707994128,0.9082788116,0.1637869424,0.8160535955,0.3457251900,0.3119438207,0.6497221314,0.5319280064,1.3376590424,0.3807923957,0.2179285149,0.2544289270,0.4084019147,0.3782112277,-0.0389487972,-0.2490183094,0.5259023839,0.0595690179,-0.0556208980,-0.1181479346,-0.1328111279,1.7319889600,-0.1387807574,1.7726602266,-0.0349091105,0.1784410094,-0.0759592741,0.1607641229,0.0527535206,-0.2098709816,0.0244895592,2.3550574978,-0.0854759528,-0.1124679149,-0.0155767529,-0.1128499911,0.6631659772,1.7957136460,0.0153145761,0.4385285350,-0.1660582221,0.4239268015,0.1430514671,0.0213537012,0.6617135230,0.8980920502,0.4932885717,0.3378917855,0.8693721066,Control
GSM480993,0.6932624346,1.3457607883,0.2112797772,0.6970671915,-0.1054402017,0.7360994386,0.9367596336,0.0362933893,0.3407280985,-0.0473594528,-0.1749891497,0.3113870449,1.0165887761,0.9542187208,0.4764979621,0.3211575151,1.5483375912,-0.0743266272,0.3804072108,1.2156198293,0.7142113199,0.4578307090,0.5780023818,-0.1252152555,2.0586168616,0.0798602138,0.4205646285,1.5282107362,0.6624494406,0.7330284416,1.5793660382,1.0128080229,0.7003747450,2.0007002651,0.9727141986,1.7345658838,0.1955184102,2.3172784382,0.3690027749,0.7181576340,0.9390184941,0.3142341293,0.7940912880,0.2141736699,0.9070825479,0.6347920821,0.2206841909,0.6697835850,0.3526025017,1.3345121518,0.6186699416,0.4183130839,0.2571379933,0.6380526778,0.4510897450,-0.0847653076,-0.1284755949,0.5022990164,0.0750947234,-0.0376100963,-0.0317899148,-0.2300014469,1.3436687192,-0.1672220361,1.5516322193,-0.0520072020,0.1036365311,-0.1251830292,0.2158012602,-0.0132987884,-0.0975537842,-0.0764454148,1.5577390493,-0.0981801455,-0.1727625865,-0.0137316154,-0.0868990234,1.1140728500,1.4638397183,0.2508581906,0.3660965216,-0.1581805785,0.4321237365,0.1789533648,0.0443681945,0.9745229781,0.7586922631,0.6226118383,0.5473380332,1.1958642673,Control
