@relation data

@attribute id string
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5434 numeric
@attribute 4331 numeric
@attribute 5435 numeric
@attribute 51497 numeric
@attribute 6829 numeric
@attribute 5438 numeric
@attribute 25920 numeric
@attribute 5439 numeric
@attribute 2071 numeric
@attribute 6827 numeric
@attribute 2068 numeric
@attribute 7469 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 4686 numeric
@attribute 2965 numeric
@attribute 2963 numeric
@attribute 1022 numeric
@attribute 2962 numeric
@attribute 9150 numeric
@attribute 7936 numeric
@attribute 22916 numeric
@attribute 5431 numeric
@attribute 5430 numeric
@attribute 5433 numeric
@attribute 5432 numeric
@attribute 2968 numeric
@attribute 902 numeric
@attribute 2967 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.4112,1.1046,0.9985,0.3161,0.7216,1.5634,0.993,0.1991,0.792,0.8592,0.9639,2.2972,0.3536,0.3791,1.1193,0.8237,1.7929,0.9361,0.4304,0.5741,0.9239,0.5888,1.1082,1.228,2.0596,1.5867,0.7907,1.1733,0.3109,1.626,1.2507,Control
A02,1.1321,0.9106,0.873,0.1346,0.4074,1.3926,0.8023,0.0868,0.6495,0.7115,0.7176,2.2953,0.2581,0.3738,0.925,0.6974,1.5167,0.5947,0.2268,0.3587,0.7645,0.484,0.8514,0.9567,2.0604,1.4247,0.6527,0.913,0.1316,1.2003,0.9149,Control
A03,1.3466,0.9876,1.0436,0.2105,0.7004,1.548,0.9037,0.1291,0.8543,0.8542,0.9385,2.5218,0.3958,0.3817,1.1115,0.691,1.7126,0.7758,0.3748,0.5493,0.9173,0.627,0.985,1.0935,2.0325,1.6028,0.7658,1.1436,0.235,1.5333,1.0688,Control
A04,1.2275,1.0146,0.9307,0.1798,0.5789,1.312,0.892,0.2888,0.8158,0.8809,0.7658,2.3563,0.3302,0.4933,1.1223,0.7874,1.4294,0.5436,0.2631,0.5533,0.8758,0.6968,0.9969,1.0721,2.1122,1.4929,0.672,1.0835,0.2444,1.4337,0.8439,Control
A05,1.4238,1.0117,1.1613,0.1989,0.7281,1.3634,1.0012,0.4039,0.913,0.9178,0.8599,2.6159,0.4459,0.4213,1.0206,0.9355,1.6256,0.6282,0.3658,0.5475,1.0592,0.7648,1.1726,1.0768,2.0898,1.6063,0.7545,1.0597,0.3158,1.4419,1.0253,Control
A06,1.3221,0.9888,1.0126,0.1536,0.634,1.2795,0.889,0.2062,0.7114,0.9302,0.7976,2.3051,0.301,0.2998,0.9865,0.8716,1.6166,0.6772,0.2454,0.4938,0.9599,0.5825,1.0087,0.9676,1.991,1.4852,0.6394,1.063,0.2892,1.421,1.0165,Control
A07,1.2395,1.0136,0.9793,0.3843,0.7275,1.3933,0.8201,0.1469,0.7645,0.7142,0.8856,2.3782,0.3376,0.4169,0.932,0.6767,1.7605,0.8017,0.4286,0.5297,0.9639,0.5953,1.0135,1.1628,2.0837,1.5124,0.805,1.107,0.2985,1.7099,1.0785,Control
A08,1.0783,0.8421,0.6605,0.5743,0.5969,1.2536,0.7722,0.0162,0.6475,0.8682,0.9227,1.9226,0.2761,0.3232,0.9012,0.6333,1.7461,0.7686,0.4778,0.5947,0.7215,0.5401,0.9457,1.045,1.9818,1.6185,0.6453,0.9158,0.1543,1.8094,0.9915,Control
A09,1.3253,0.9198,0.9128,0.3797,0.5718,1.2689,0.8076,0.2098,0.7292,0.8829,0.8179,2.3539,0.2396,0.3306,0.8544,0.5969,1.6503,0.634,0.4178,0.5279,0.9838,0.6013,0.9808,0.9815,2.0086,1.4899,0.6954,0.9853,0.1649,1.6033,1.139,Control
A10,1.2843,0.9751,0.9619,0.3731,0.6541,1.4066,0.7396,0.3109,0.7194,0.9141,0.9627,2.2748,0.331,0.3288,1.0208,0.7347,1.665,0.6367,0.4091,0.6165,0.8506,0.5964,1.1012,1.0572,2.1441,1.5522,0.6526,0.9887,0.1928,1.8899,0.9752,Control
