@relation data

@attribute 27284 numeric
@attribute 6783 numeric
@attribute 6799 numeric
@attribute 6819 numeric
@attribute 445329 numeric
@attribute 6818 numeric
@attribute 6817 numeric
@attribute 6820 numeric
@attribute 25830 numeric
@attribute 6822 numeric
@attribute 27233 numeric
@attribute Class {Control,BRCA}

@data
5.069542407,5.468103682,6.57051373067,6.2491733745,8.55400719933,7.36902425767,7.761315719,7.39423259233,4.645456687,4.498041621,6.482328491,Control
4.893618555,5.335400404,6.346233907,5.242577926,8.255737209,7.27219891,8.01730706425,7.080219934,5.19572876,4.647773112,6.25432535,BRCA
5.10686257,5.823119603,6.31160857567,5.141600171,7.98791965567,6.80139266567,7.76401764125,7.235542349,4.834946498,5.266984428,5.403788568,BRCA
4.962562035,5.402254249,6.15933275767,4.817295469,8.05259039833,6.96062749167,8.0871423745,7.10305779833,5.185653058,5.093191733,5.182703468,Control
5.224591417,5.524354632,6.20647360333,5.7914633605,8.06139164967,7.13136447667,7.7930791,7.49678391567,4.9680202805,5.170937787,6.036399617,BRCA
5.305798424,5.268482349,6.14109141167,5.8938609465,7.86967123767,6.92461777967,7.64131427575,7.102286024,5.155076683,5.167128322,6.68159377,BRCA
4.817637677,5.744303238,6.36554223567,4.4402173155,7.352526977,7.18674540633,7.678685539,7.35432209967,5.476261189,4.993460669,6.452575359,BRCA
4.607083101,5.585722157,6.57682243167,5.5726279985,8.68347414867,7.117289081,7.77221540475,7.32141161633,5.4817885845,5.238893118,6.761953818,Control
4.549200114,5.596496342,6.71209357033,5.143397438,8.64551980267,7.302592862,7.601365321,7.47034702767,5.60990917,5.30196368,5.963249407,BRCA
4.656520763,5.476390801,7.041175849,4.8195338345,8.40881755533,7.253013729,7.9731510195,7.61152564367,5.602928487,4.963487128,6.184285874,BRCA
4.998433881,5.970630084,7.086838185,5.1600765315,8.71537194633,7.53720145267,7.9559975965,7.50228760633,5.0127916305,4.823254203,5.903768142,BRCA
5.325000691,5.2278674,6.95888902467,5.0781787605,8.41862105633,7.02358832333,7.85371247775,7.062655843,5.6258638325,5.401230463,7.191826946,Control
5.40889121,5.766072507,6.480751101,5.264970674,8.566932673,6.976932941,7.70837711775,7.13481121533,5.1957510885,4.575400801,6.073504957,Control
5.237842121,5.250403832,7.01550425067,5.1202581855,9.204187112,7.48594332,7.65146644325,7.792488139,5.6852649325,4.458724733,6.469727786,BRCA
4.765152047,6.263556184,6.44551372833,5.3273617815,8.55305233133,6.96931573333,7.449749694,6.95653344,5.156449848,4.966374225,6.116037843,BRCA
4.746865786,5.719191142,6.834109617,5.697137268,9.03355868167,7.35390966233,7.50932805175,7.865568211,5.0663358715,5.21345543,6.311798825,BRCA
5.10140977,5.666764579,6.88892877167,5.6295357165,9.04650824133,7.429589798,7.62432826375,7.81995743933,5.3949497095,5.272033689,6.044290968,BRCA
4.903774919,5.238415487,6.51962538067,4.9727600325,8.37943734467,7.018227367,7.24740079825,7.62520270833,5.5391614205,4.969831133,6.266557588,BRCA
4.667062321,5.671018204,7.42520616533,5.618557643,9.20984599367,7.45664258033,7.551923558,8.06640516067,5.4927428835,5.460587974,6.484142663,BRCA
5.255700175,5.64689077,6.718773334,5.0197579355,9.61214131467,8.25389984667,7.46087186925,7.67737799,5.741312808,4.671880991,5.781235931,BRCA
