@relation data

@attribute id string
@attribute 79023 numeric
@attribute 23511 numeric
@attribute 55746 numeric
@attribute 7514 numeric
@attribute 23279 numeric
@attribute 79902 numeric
@attribute 9883 numeric
@attribute 4927 numeric
@attribute 4928 numeric
@attribute 348995 numeric
@attribute 11097 numeric
@attribute 53371 numeric
@attribute 9972 numeric
@attribute 8480 numeric
@attribute 9631 numeric
@attribute 8021 numeric
@attribute 23225 numeric
@attribute 5905 numeric
@attribute 9818 numeric
@attribute 8086 numeric
@attribute 57122 numeric
@attribute 5901 numeric
@attribute 23165 numeric
@attribute 5902 numeric
@attribute 5903 numeric
@attribute 7175 numeric
@attribute 9688 numeric
@attribute 129401 numeric
@attribute 81929 numeric
@attribute 10762 numeric
@attribute Class {Control,BRCACancer}

@data
A11,0.7725,1.2483,0.7947,1.3635,1.2161,0.6726,0.4409,1.4934,1.5011,1.1805,0.46,0.7103,1.1312,0.8007,1.2284,1.1228,1.0849,0.7028,1.2314,0.848,0.9571,0.9034,1.2181,0.1298,1.8914,1.3101,0.7357,0.4099,1.1136,0.7393,Control
A12,0.5926,0.7398,0.8197,1.2219,0.6661,0.4995,0.4793,1.1513,0.9983,0.6981,0.3737,0.5162,1.102,0.6545,0.9884,0.5693,0.9243,0.3972,0.6988,0.4795,0.6099,0.6147,1.0808,-0.0978,1.7896,1.2385,0.5014,0.2972,0.715,0.4853,Control
B01,0.8316,1.2035,1.07,1.7034,1.2409,0.7782,0.8166,1.6252,1.5386,1.3692,0.7734,1.0683,1.4499,0.8631,1.5582,1.1208,1.2008,0.56,1.2455,0.9419,0.9631,1.132,1.507,0.14,2.2311,1.7241,0.7335,0.5866,1.1616,0.946,Control
B02,0.8063,1.4147,1.2532,1.8357,1.2743,0.857,0.7485,1.6636,1.58,1.6739,0.9453,1.012,1.455,0.99,1.6175,1.0984,1.4749,0.8331,1.2459,1.0375,1.059,1.0543,1.6402,0.3068,2.3767,1.7654,0.8741,0.4893,1.2628,0.961,Control
B03,0.7832,1.33,1.1913,1.7707,1.2511,0.8573,0.6858,1.5802,1.5835,1.5439,0.8268,0.9968,1.5297,0.8939,1.5738,1.0969,1.3813,0.7115,1.2477,0.9373,0.9747,1.1896,1.5983,0.1221,2.3678,1.7184,0.7972,0.4816,1.1939,1.0293,BRCACancer
B04,0.5953,1.1633,0.9669,1.7366,1.0018,0.7244,1.0838,1.2153,1.4658,1.1715,0.6212,0.883,1.6493,0.6307,1.3919,1.2179,1.5005,0.6553,1.2537,0.6853,0.7512,0.5802,1.384,0.0494,2.2081,1.6867,0.7335,0.6251,0.9446,0.9106,BRCACancer
B05,0.7527,1.1661,0.8706,1.5073,0.9274,0.6349,0.693,1.3746,1.4299,0.9233,0.5321,0.8342,1.2835,0.7088,1.2821,1.0617,1.3036,0.6004,1.0241,0.6794,0.8207,0.8653,1.3072,0.1916,2.1497,1.4197,0.7584,0.3041,1.0483,0.9208,BRCACancer
B06,0.5858,0.8809,0.8442,1.5224,0.9107,0.6564,0.7661,1.1192,1.1077,1.152,0.5147,0.6617,1.2145,0.5912,1.0591,0.8635,0.8866,0.3207,0.9868,0.7022,0.6985,0.7414,1.1955,-0.1615,2.0017,1.4121,0.6321,0.3476,0.6882,0.7725,BRCACancer
B07,0.8949,1.3983,1.2255,1.8412,1.3192,0.8859,0.8806,1.7059,1.6716,1.7645,1.0409,1.0871,1.6244,0.8909,1.6903,1.1718,1.5526,0.8164,1.4205,1.0402,1.0969,1.1994,1.6662,0.2879,2.4848,1.9498,0.8444,0.5807,1.1406,1.1157,BRCACancer
B08,0.7987,1.2876,0.8896,1.5257,1.2957,0.7723,0.5542,1.5087,1.5115,1.3184,0.7543,0.6858,1.3052,0.8963,1.3523,1.0064,1.1448,0.7409,1.3192,0.9529,1.0573,1.1369,1.3571,0.3022,2.1407,1.3796,0.7746,0.4331,1.2643,0.9078,Control
