@relation data

@attribute id string
@attribute 259307 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 5053 numeric
@attribute 6898 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.2454691876,0.5626744674,2.8148930073,-0.1020297610,-0.1039383443,BRCA
GSM481003,0.1988751299,0.4312056128,3.0352369150,-0.0338578507,-0.0294739802,BRCA
GSM481004,0.6251669753,0.4539665281,3.1931924820,-0.0872683025,-0.0780701595,BRCA
GSM481005,-0.1438278636,0.4137655492,2.6438763537,-0.1384508652,-0.0928968261,BRCA
GSM481006,0.0760559282,0.5263185232,2.5650868017,-0.1188404846,-0.0911331807,BRCA
GSM481007,0.3044010517,0.4112270022,2.5857946080,-0.1063208740,-0.0485382267,BRCA
GSM481008,0.4847984499,0.4905906091,3.0588130157,-0.0994437283,-0.0572749781,Control
GSM481009,-0.2309491953,0.4440469943,2.0944252810,-0.1768551683,-0.0798087349,Control
GSM481010,0.0672627829,0.6426227603,3.0485917730,-0.1467608174,-0.0933794826,Control
GSM481011,-0.1174775181,0.5536915518,2.8247204623,-0.1023651143,-0.0392444069,Control
GSM481012,0.1563813737,0.7814992125,3.0625976720,-0.1069854640,-0.0773925514,Control
GSM481013,0.4656281154,0.6171060714,3.0070898533,-0.0878910258,-0.0457458005,Control
GSM481014,0.5003993961,0.5390603007,2.2234520517,-0.1267587453,-0.0712176357,BRCA
GSM481015,0.1443102323,0.5048413552,2.6427870593,-0.0868799845,-0.0195665193,BRCA
GSM481016,0.2810877263,0.4696906302,2.9555517040,-0.1213544403,-0.0417120073,BRCA
GSM481017,-0.0133303522,0.4868896512,2.5096082290,-0.1333860397,-0.0630349408,BRCA
GSM481018,-0.2846008124,0.6328786892,2.4659692050,-0.1414020547,-0.0118368456,BRCA
GSM481019,0.2804491997,0.5355693448,2.6677055357,-0.1416128318,-0.0838043058,BRCA
