@relation data

@attribute 23327 numeric
@attribute 23439 numeric
@attribute 23533 numeric
@attribute 2810 numeric
@attribute 3290 numeric
@attribute 3291 numeric
@attribute 3479 numeric
@attribute 3630 numeric
@attribute 3643 numeric
@attribute 3667 numeric
@attribute 3758 numeric
@attribute 3845 numeric
@attribute 4306 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 5170 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 53828 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 6337 numeric
@attribute 6338 numeric
@attribute 6340 numeric
@attribute 6446 numeric
@attribute 8471 numeric
@attribute 8503 numeric
@attribute 8660 numeric
@attribute 9351 numeric
@attribute Class {Control,BRCA}

@data
10.36406381,4.840477407,6.033979735,8.516429993,9.65777508967,7.247787805,7.6246849295,5.169936271,6.361861002,10.10813927,5.30742946,6.8286116825,8.502516632,11.74617161,7.573838635,6.305838886,5.171511767,11.0075662667,8.881298397,8.1654550638,5.76249236625,7.1007852408,6.685313404,7.339184439,8.467616885,6.299304767,7.0703331436,11.7240492,4.908706346,8.688181342,6.21136540967,5.313256056,8.27215776867,11.634256725,11.69812525,8.41134269,6.5387856235,13.56248158,6.521683367,6.660285205,12.08367055,6.572931815,Control
10.79075191,4.708480413,6.539395847,8.608616259,7.068728997,6.764178682,6.947135646,5.773212576,5.911818141,10.01141636,4.885295141,6.4300637355,8.7298886635,11.7601478967,8.499737407,6.107327595,5.404814027,11.0786587633,8.993477034,7.6774776296,5.667460738,7.4312568682,7.098719371,6.741201091,8.699078855,7.09127967,7.6111323212,12.12504541,4.663367841,9.433471275,6.479820979,5.115003321,7.85669691467,11.27623323,12.29328779,8.827303897,6.8027091535,12.50386679,6.213741562,6.249592888,11.11317258,6.441413448,BRCA
11.50205123,4.991874681,5.844744204,9.055378109,5.702404908,7.438170414,5.9026635435,5.870864797,6.617140962,9.532322378,5.16627500133,6.720661627,8.562290119,12.3780996267,5.72110688,6.059188284,5.6687672635,11.3381346567,8.935534242,7.590935683,5.53236536425,7.2445861642,6.212526175,6.813047234,9.063247518,6.323194968,7.448654099,12.67203307,4.149610612,8.48506563,5.889051372,5.434470814,8.11094053067,11.198356615,12.56435203,9.540516092,8.4930090675,13.70909946,6.053334703,6.638439986,11.22600587,6.821139774,BRCA
11.50205123,5.229406468,5.341462114,9.574508914,5.65916861833,7.253991924,6.5710894325,5.793122872,6.187258653,9.129946971,5.24335325567,6.243898751,8.304334616,12.0413844233,5.460424154,6.037388399,4.908661704,9.415136053,9.524248408,7.1937672274,5.29784002825,6.9971733014,5.584068992,6.506054132,8.649598507,6.299945779,7.6522265588,12.52623397,5.129088497,9.211511834,6.312672729,5.36790503,7.98209816267,11.274247985,12.45159499,9.188663714,7.7665734965,11.47305897,6.175580113,7.411068419,10.31178269,6.701137054,Control
11.42322901,5.636197729,6.042212717,9.045569331,6.98727481867,8.083640375,7.739494752,5.536217098,6.468750795,9.959676393,5.155994888,6.8833304115,8.875513709,12.0522698633,7.181900437,6.192791506,5.407338246,11.0671163433,8.886703411,7.6579137982,5.411301389,7.3395574808,7.405441727,6.944393257,8.565760069,7.300126299,7.950268865,11.96427598,4.528802152,8.977409535,7.50900425433,5.333791561,7.82991936767,11.21839075,11.99572839,9.868360018,8.04125952,12.4670082,5.828587949,6.561483187,11.49594259,7.098298285,BRCA
10.58546987,4.721662605,5.759695977,8.739562185,7.78200752633,6.725540512,7.375850429,5.73607124,6.511519926,10.00182726,5.414851157,7.019536675,8.929492288,12.5635974,6.847624679,6.2181085,5.3785945915,12.1145166367,8.792953849,8.0926699198,5.25698314425,7.3955993004,7.460253403,7.80732453,8.146264608,6.725540512,7.4183463498,12.02694363,4.935944394,8.467749328,6.98490046733,4.940884687,8.18650002,11.07534033,12.07070303,7.759191003,6.124282034,14.08845827,6.216799806,6.446881172,11.69149721,6.286424343,BRCA
10.57043948,4.567828407,5.942169184,10.03996125,5.747225222,8.809664544,10.349737175,5.705709271,6.512547399,8.873183485,5.210608399,6.6232326,7.6803078895,10.9018499343,5.682019293,7.481256805,5.4209960565,8.83242227333,8.710342497,7.77673562,5.3340312765,7.3536038904,6.662423158,5.996847001,8.302457433,7.476910459,8.3350079456,13.11366653,4.805564985,9.024558716,6.81582852467,5.832707292,8.451561107,11.151396135,13.39262134,8.384072613,7.4153393055,12.96419289,6.662423158,6.282259665,9.882139059,6.107065996,BRCA
10.42231215,4.908346081,6.015923042,8.630450181,8.06822202767,7.310024508,7.733044401,5.451879748,5.826809832,10.47490271,4.799409701,7.0670465565,8.614139745,11.77433084,7.766961362,6.47143593,5.8222575895,11.6829085233,8.934251932,8.060705661,5.71394497725,7.0445753338,6.020263967,7.162847292,8.452633655,6.726903149,7.757716558,12.07897478,5.293895772,8.419813926,6.87117032933,5.495064524,8.171538624,11.40345044,12.0767489,8.158535374,7.252876527,13.47944813,6.220915761,6.094030827,11.73537632,6.47585956,Control
11.31960737,5.221694654,5.978888461,8.752398314,5.803413096,7.505535937,7.2965384015,5.541182786,5.887653968,9.964760013,5.05611545867,6.5497902615,8.5620567,12.3698481033,8.920911903,5.838328613,6.229757997,11.8796742633,9.169130251,7.891337482,5.4692828215,7.1591884674,7.205282841,7.428655643,8.407417683,6.426437217,7.6719006758,12.20624983,4.944637398,8.419971893,6.13414385767,5.606746643,7.91861634733,10.99057863,12.45678569,7.824594641,7.1982094725,12.70249961,6.095613938,6.225020007,11.64430934,5.484791683,BRCA
11.9866439,5.139972076,5.906897358,9.030143702,8.22060742933,7.076818602,6.6155769395,5.233822166,6.078850631,10.08180334,4.870451569,6.1985753455,8.362644241,12.0528531,7.510370809,6.137304345,5.5306956595,11.8340178433,8.786074471,7.6172088754,5.003627072,7.3339069032,7.606018576,6.850940421,8.72987657,6.76752611,7.3060563712,12.27296951,5.250782787,8.01888328,6.39658479233,5.139972076,7.74245236133,11.551814785,12.73257984,8.892854791,7.394300988,11.07513166,6.088741207,5.941347708,11.1050886,7.199527884,BRCA
