@relation data

@attribute 5063 numeric
@attribute 3708 numeric
@attribute 29127 numeric
@attribute 3709 numeric
@attribute 5163 numeric
@attribute 5062 numeric
@attribute 9826 numeric
@attribute 1073 numeric
@attribute 1072 numeric
@attribute 10298 numeric
@attribute 3984 numeric
@attribute 4638 numeric
@attribute 5308 numeric
@attribute 3636 numeric
@attribute 9475 numeric
@attribute 6093 numeric
@attribute 57144 numeric
@attribute 695 numeric
@attribute 5728 numeric
@attribute 393 numeric
@attribute 8976 numeric
@attribute 392 numeric
@attribute 3710 numeric
@attribute 6295 numeric
@attribute 85366 numeric
@attribute 8936 numeric
@attribute 5058 numeric
@attribute 207 numeric
@attribute 23368 numeric
@attribute 208 numeric
@attribute 5290 numeric
@attribute 10000 numeric
@attribute 5293 numeric
@attribute 23452 numeric
@attribute 10097 numeric
@attribute 10096 numeric
@attribute 2664 numeric
@attribute 2665 numeric
@attribute 6191 numeric
@attribute 5294 numeric
@attribute 56924 numeric
@attribute 5295 numeric
@attribute 998 numeric
@attribute 6010 numeric
@attribute Class {Control,BRCA}

@data
6.572931815,10.99802289,6.619877222,9.844635599,7.374389909,8.225782395,7.02290830967,5.9311606085,12.5506675,6.78184004567,5.7690473375,9.50331156833,5.746189633,11.24851188,12.232557025,8.331209336,6.06101575,7.342077169,10.48283344,9.102619505,11.4461297,11.68503795,11.35799469,4.977292804,6.059945345,5.1241386875,9.037678125,9.746089281,10.66888523,7.466690585,6.685313404,6.02664600925,8.467616885,12.78312415,12.46600514,7.791685689,9.304334849,10.99277571,14.333989405,6.299304767,7.228436626,7.0703331436,7.16387589625,5.316518,Control
5.989031828,10.75503384,6.606064525,9.525335383,6.82117167,8.658878356,7.21726232233,5.685224682,12.5801856,6.96341635667,5.7228877405,9.09094023867,5.28956229125,11.64681981,12.3160764435,8.399610251,5.9152182985,7.365668755,10.32512022,9.126240571,11.4951169,11.60457421,12.08864757,5.402083668,5.301232095,5.26166635,9.447476465,9.68028616833,10.98935922,6.43012268,7.098719371,5.94776533325,8.699078855,11.90810746,12.72627038,7.92222926,9.45882753,10.83540327,14.292347115,7.09127967,7.918686056,7.6111323212,7.17118701125,4.435394156,BRCA
6.451215749,11.137683,7.309408895,10.74066222,6.742616386,7.83784169,7.14763954633,5.748541194,12.67483341,7.053848853,5.848293342,9.01551201767,5.53171569775,11.729846,11.8573344895,7.854652002,6.471963415,7.320667722,10.4297627,8.727325837,11.70577504,11.62476132,12.01135666,4.285723506,5.641120592,5.6771915915,9.822754492,9.69256516467,11.22308177,6.416760061,6.212526175,5.52044016575,9.063247518,10.69913019,12.35101106,7.849031477,9.154103624,11.26252082,14.688771895,6.323194968,8.388922588,7.448654099,7.03238297825,5.186670157,BRCA
6.212477538,10.00164081,6.8757597405,9.439182162,7.875812501,7.70770520067,8.05055294367,5.6549351675,12.73346456,7.29161173667,6.1942824925,8.53219426233,5.2600632335,11.81694975,11.581178851,7.179165475,5.970444851,7.813125618,10.18190731,9.464776035,11.19831015,11.46972335,11.97218475,5.510021369,5.377480603,5.6326827355,10.03852848,9.98949733167,11.51613105,5.863140121,5.584068992,5.58777326775,8.649598507,11.2413041,12.03029651,7.622401694,10.0652179,10.73881029,14.066865485,6.299945779,7.666368043,7.6522265588,6.55593589375,5.254944744,Control
6.54048116,10.864964,6.5625170065,9.689574849,7.242581369,8.07563913267,7.28998991667,5.749486107,12.90048482,7.17942935133,6.176314587,9.705586173,5.3791823495,11.05745385,12.51727103,7.894031227,6.436155389,7.547899223,10.27256013,8.798116248,11.62848212,11.4744083,11.58766984,5.111669081,5.572595075,5.473898856,9.507874464,9.506100771,11.09139921,6.860966288,7.405441727,5.87271996825,8.565760069,10.69259831,12.40979539,8.570881384,9.494236145,11.66916423,14.8781703,7.300126299,7.235083497,7.950268865,6.99171327025,4.915773338,BRCA
6.491536971,11.45443311,6.2290965195,9.814991395,6.583726382,8.35808952433,7.03831259267,5.509245221,12.64577331,7.13014571033,5.789661595,9.68830932967,5.613667902,11.4706641,12.441328291,9.001704532,6.593782925,8.067624097,10.16250498,9.250168786,12.05670215,11.23283777,12.06588572,5.123098393,5.930448326,5.2548835515,9.3312535,9.688092646,10.66999253,7.477052175,7.460253403,6.0241266485,8.146264608,11.91235432,12.84338824,9.208161871,9.063422806,11.7240492,14.52995559,6.725540512,7.486435083,7.4183463498,7.00999639125,4.596397442,BRCA
6.952074702,9.557684409,6.3540189785,7.511675823,8.139859715,8.02893851733,8.002113911,5.3365802605,13.07861622,7.12335323067,5.703437493,9.12043218767,5.22611515975,11.5568558,12.1160117875,8.073955593,6.309891817,6.816347305,10.31455241,9.604535218,10.73380366,11.51729675,12.23463043,5.579701547,6.172733142,5.462605335,9.354305108,10.0480993307,11.69149721,6.742953157,6.662423158,5.88751933675,8.302457433,10.9232534,12.88542666,8.635746344,10.39985497,10.2712474,13.354369595,7.476910459,6.609404545,8.3350079456,7.10702874775,5.119575355,BRCA
5.447753778,10.66388964,6.4527321755,9.583290187,7.255408968,7.68379282967,6.58638857667,6.086799569,12.73346456,6.600449015,5.9416429115,9.486682492,5.444090161,10.87563823,11.963258885,7.856831861,6.192045554,7.356058229,10.71573921,8.619973359,11.5141002,11.77387079,11.37383049,5.064162066,6.040898593,5.438280489,8.901176988,9.436876068,10.33398861,6.689303092,6.020263967,5.55851851825,8.452633655,12.25801543,12.3064449,7.924992273,9.24901928,11.23136237,14.92983043,6.726903149,6.453069445,7.757716558,7.09973287325,4.947679304,Control
6.517673816,10.78521972,6.9746083205,10.67301333,7.076765168,7.77701585767,6.90880436167,5.5190403625,12.83574159,7.157131823,5.8969290325,9.58901573033,5.386029074,11.06986277,12.3255748965,7.307431087,6.4383506835,7.635901506,10.36365325,8.793563584,11.6557522,11.44285036,11.74966846,4.764488715,6.299945779,5.5683801275,9.625618044,9.58057105933,11.15889068,6.500527718,7.205282841,5.650041658,8.407417683,10.93958309,12.39411974,8.559186941,8.900271441,12.16828986,14.98307943,6.426437217,7.520699455,7.6719006758,7.18183415025,5.117810604,BRCA
6.373044025,11.44285036,6.599162602,9.67905828,6.954839344,7.95022355167,7.28371304933,5.541488103,12.64987931,7.26601424567,5.715837508,9.227921381,5.6711398605,11.41782366,12.275687156,7.897680799,6.3266587065,7.135404364,9.653830832,8.89713537,11.21515091,11.54241539,11.77144213,5.246228736,5.868644328,5.001086456,9.599773923,9.75364579767,11.04825205,6.827314517,7.606018576,5.56331123875,8.72987657,11.61491238,12.22715872,7.749066799,9.794773703,11.55865044,14.414777965,6.76752611,8.381198053,7.3060563712,7.09000222,5.087262599,BRCA
