@relation data

@attribute id string
@attribute 10207 numeric
@attribute 1003 numeric
@attribute 1004 numeric
@attribute 4301 numeric
@attribute 1001 numeric
@attribute 50855 numeric
@attribute 1002 numeric
@attribute 1007 numeric
@attribute 1008 numeric
@attribute 9459 numeric
@attribute 1005 numeric
@attribute 1006 numeric
@attribute 55742 numeric
@attribute 9071 numeric
@attribute 1009 numeric
@attribute 9073 numeric
@attribute 9075 numeric
@attribute 3728 numeric
@attribute 7122 numeric
@attribute 64398 numeric
@attribute 9076 numeric
@attribute 57863 numeric
@attribute 5584 numeric
@attribute 87 numeric
@attribute 1010 numeric
@attribute 50848 numeric
@attribute 977 numeric
@attribute 149461 numeric
@attribute 9069 numeric
@attribute 23705 numeric
@attribute 92359 numeric
@attribute 29780 numeric
@attribute 49861 numeric
@attribute 7408 numeric
@attribute 3611 numeric
@attribute 3691 numeric
@attribute 24146 numeric
@attribute 6251 numeric
@attribute 3918 numeric
@attribute 3688 numeric
@attribute 3914 numeric
@attribute 64403 numeric
@attribute 53842 numeric
@attribute 54751 numeric
@attribute 1495 numeric
@attribute 1000 numeric
@attribute 51208 numeric
@attribute 25945 numeric
@attribute 2318 numeric
@attribute 2316 numeric
@attribute 10979 numeric
@attribute 26285 numeric
@attribute 84552 numeric
@attribute 3909 numeric
@attribute 84612 numeric
@attribute 1499 numeric
@attribute 667 numeric
@attribute 5010 numeric
@attribute 253559 numeric
@attribute 1500 numeric
@attribute 3987 numeric
@attribute 1366 numeric
@attribute 1364 numeric
@attribute 1365 numeric
@attribute 81607 numeric
@attribute 3655 numeric
@attribute 5829 numeric
@attribute 7016 numeric
@attribute 1308 numeric
@attribute 1016 numeric
@attribute 1013 numeric
@attribute 10686 numeric
@attribute 1012 numeric
@attribute 137075 numeric
@attribute 23562 numeric
@attribute 5339 numeric
@attribute 9080 numeric
@attribute 55679 numeric
@attribute 56288 numeric
@attribute 5817 numeric
@attribute 5819 numeric
@attribute 5818 numeric
@attribute 999 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.51,-0.078,-0.0173,0.2176,-0.0691,-0.0145,-0.0509,-0.1118,-0.158,1.5416,-0.1046,-0.1153,-0.0715,-0.1446,-0.0951,-0.0312,-0.164,0.4876,0.4905,0.5872,-0.1613,-0.1005,0.2635,0.9778,-0.0787,1.2746,0.441,0.1264,0.2531,-0.0505,0.0351,0.2565,-0.1014,0.5994,1.5602,-0.0333,0.162,0.4255,-0.1424,2.4273,0.044,-0.0233,-0.0367,-0.1101,0.3646,-0.0804,-0.1126,0.2133,-0.0399,2.4384,-0.0638,-0.0063,-0.1236,-0.0732,0.8238,2.1378,0.2653,-0.0018,-0.1499,0.779,0.6195,0.0285,-0.1968,0.099,-0.0165,1.5793,1.0183,0.7384,-0.0948,-0.1174,0.0659,0.0658,-0.1045,-0.3325,0.0147,0.9252,-0.0969,0.1138,0.0408,0.2804,0.1219,-0.0046,0.0981,Control
A02,0.2475,-0.1008,0.0412,0.1083,-0.0957,0.0755,-0.0284,-0.0759,-0.0785,1.3465,-0.118,-0.1048,-0.1064,-0.129,-0.1146,0.0022,-0.1946,0.3184,0.5017,0.303,-0.1638,0.0555,0.1977,0.7549,-0.0272,1.1375,0.5319,0.2881,0.1934,-0.0822,0.0876,0.144,-0.0303,0.5869,1.5947,-0.0109,0.1676,0.199,-0.1078,2.1759,0.1583,-0.0405,-0.0941,0.0141,0.3017,-0.0664,-0.0614,0.1676,0.0991,2.5757,-0.1543,-0.0915,-0.1483,-0.0963,0.5893,1.9406,0.1786,0.0875,-0.0712,0.6218,0.4646,-0.0836,-0.2548,0.1792,0.0855,0.9261,0.8499,0.7521,-0.1011,-0.0528,0.0596,0.0463,-0.1146,-0.1489,0.0187,0.6841,-0.1696,0.1726,0.0054,0.2248,0.1043,0.0028,-0.0641,Control
A03,0.193,-0.1231,-0.0039,0.2177,-0.084,0.0763,-0.0255,-0.1031,-0.1058,1.5563,-0.1253,-0.0834,-0.1118,-0.1242,-0.1068,0.035,-0.1244,0.5857,0.4196,0.3591,-0.1504,0.0386,0.3058,0.7257,-0.0724,1.1179,0.7252,0.1993,0.2489,-0.1267,-0.0745,0.2892,0.0256,0.8624,1.7237,0.0023,0.1826,0.3832,-0.0507,2.3183,0.1517,-0.0334,-0.1395,-0.0057,0.4994,-0.0797,-0.0059,0.0999,0.0793,2.7583,-0.148,-0.102,-0.0962,-0.0904,0.4801,2.228,0.2228,0.0199,-0.1092,0.9084,0.5201,0.003,-0.0682,0.0499,0.1341,0.6756,1.0969,0.8087,-0.0936,-0.1351,0.0783,-0.0052,-0.1249,-0.1105,0.0012,0.9045,-0.1153,0.2063,-0.0099,0.3597,0.2245,0.043,0.05,Control
A04,0.3426,-0.0269,-0.0248,0.256,-0.0522,0.1911,-0.0314,-0.0547,-0.0901,1.4426,-0.1031,-0.0753,-0.1125,-0.1336,-0.0939,0.0639,-0.1109,0.365,0.5811,0.274,-0.1656,-0.0294,0.2462,0.8075,-0.0439,1.191,0.6141,0.2571,0.1096,-0.0762,0.158,0.2355,0.0151,0.615,1.475,0.0308,0.2397,0.2649,-0.132,2.3751,0.1226,-0.0217,0.0083,0.0182,0.3274,-0.0657,-0.0586,0.2327,0.0604,2.8139,-0.0653,-0.1191,-0.0896,-0.0812,0.6339,2.1149,0.204,-0.0352,-0.0655,0.5588,0.4134,-0.1211,-0.1836,0.3188,0.0626,1.0935,0.9327,0.7292,-0.0642,-0.0493,0.1205,-0.0438,-0.119,-0.0916,0.0963,0.9486,-0.1628,0.1804,-0.0101,0.2403,0.1547,0.024,0.0031,Control
A05,0.2801,-0.0815,-0.0432,0.211,-0.0577,0.1,-0.0296,-0.0791,-0.061,1.5753,-0.0959,-0.0552,-0.1017,-0.0963,-0.0915,0.0499,-0.1335,0.4712,0.7746,0.3925,-0.1372,-0.018,0.2773,0.9804,-0.0529,1.5565,0.8852,0.0758,0.1816,-0.0437,0.1703,0.3365,-0.0119,0.9001,1.9049,0.014,0.2171,0.351,-0.1012,2.221,0.1419,0.0519,-0.0832,0.0382,0.525,-0.0487,-0.0573,0.1461,0.0415,2.8814,-0.0847,-0.0409,-0.0873,-0.0735,0.6391,2.1217,0.2418,0.0022,-0.0055,0.879,0.4399,-0.0058,-0.1966,0.244,0.027,0.9261,1.1784,0.8158,-0.0703,-0.0705,0.133,-0.1137,-0.1047,-0.0443,0.0248,1.1205,-0.0328,0.1057,0.0441,0.4999,0.3313,0.094,0.0296,Control
A06,0.2834,-0.1188,0.0397,0.2082,-0.1013,0.0514,-0.0379,-0.0505,-0.0945,1.4881,-0.1476,-0.1357,-0.1013,-0.1449,-0.1186,0.0523,-0.1771,0.4018,0.3833,0.3566,-0.1276,0.0189,0.2608,0.8408,-0.0758,1.1879,0.7104,0.0658,0.1014,-0.063,-0.0622,0.2117,0.0371,0.6251,1.5765,-0.0488,0.1346,0.2935,-0.0795,2.0446,0.0606,-0.0692,-0.0942,-0.0365,0.3738,-0.0538,0.0012,0.096,0.0274,2.661,-0.1419,-0.1075,-0.1294,-0.0931,0.6089,2.0671,0.2575,-0.0164,-0.0253,0.7499,0.4408,-0.0058,-0.1395,0.097,0.0538,1.1128,0.9658,0.6727,-0.1136,-0.0667,0.0169,0.0586,-0.1132,-0.1881,-0.0814,0.9186,-0.2423,0.1745,-0.0132,0.3769,0.1044,0.0569,-0.0117,Control
A07,0.3865,-0.0764,-0.0237,0.1542,-0.1215,0.0798,-0.0742,-0.0852,-0.0562,1.6218,-0.1272,-0.1128,-0.1128,-0.1794,-0.1492,0.0356,-0.2352,0.8094,0.4933,0.4475,-0.1028,-0.0109,0.3061,0.8292,-0.0633,1.2402,0.6365,0.2835,0.2162,-0.0935,-0.0082,0.2255,0.0161,0.7812,1.6132,-0.0686,0.1909,0.531,-0.0869,2.4763,0.1754,-0.032,-0.1557,0.0361,0.494,-0.0997,-0.0264,0.1439,0.0525,2.6318,-0.1143,-0.1605,-0.1857,-0.1082,0.7313,2.242,0.3501,-0.0057,-0.0623,1.0154,0.8039,-0.1083,-0.1165,0.0474,0.0307,1.1635,1.0181,0.7402,-0.1306,-0.0972,0.0159,-0.0424,-0.1263,-0.1033,-0.0155,0.8271,-0.1334,0.1698,-0.0258,0.3359,0.2436,0.062,-0.0456,Control
A08,0.5601,-0.0483,-0.0325,0.2659,-0.1366,-0.0139,-0.0239,-0.1163,-0.1117,1.6025,-0.1085,-0.1072,-0.0569,-0.1736,-0.1154,0.0346,-0.0553,0.3788,0.1882,0.4534,-0.1854,-0.0732,0.3135,0.8176,-0.1099,0.9772,0.2658,0.0897,0.0857,-0.0938,-0.0687,0.2257,-0.1556,0.558,1.2902,-0.0082,0.0751,0.7075,-0.1767,2.328,0.0944,-0.0372,-0.1256,-0.057,0.5131,-0.0842,-0.0903,0.1386,-0.0241,2.3761,-0.0917,-0.2695,-0.134,-0.0847,0.519,2.2731,0.3644,0.0164,-0.1222,0.9465,0.8648,-0.0026,-0.3059,-0.0722,0.0014,1.5957,1.0077,0.6229,-0.0815,-0.1471,5e-04,-0.0332,-0.121,-0.3506,0.0828,0.6461,-0.2442,0.0863,-0.0058,0.2635,0.0733,0.0087,-0.058,Control
A09,0.3703,-0.1382,0.0142,0.1509,-0.0826,0.0882,-0.0526,-0.0605,-0.0769,1.6562,-0.1427,-0.1011,-0.0891,-0.1406,-0.0993,0.0378,-0.128,0.8596,0.556,0.4627,-0.1174,0.0424,0.2221,0.8598,-0.0515,1.2376,0.4846,0.2457,0.1315,-0.0406,0.089,0.2412,0.0188,0.5905,1.5787,-0.0276,0.1439,0.4886,-0.1073,2.5756,0.2091,-0.0442,-0.0042,0.0501,0.4136,-0.0857,-0.0283,0.1475,0.0803,2.7147,-0.1115,-0.0977,-0.1412,-0.0911,0.5454,2.1764,0.2335,0.0652,-0.0787,0.8835,0.6533,-0.0973,-0.2002,0.2449,0.0862,1.3058,0.9398,0.6854,-0.0811,-0.112,0.011,0.0255,-0.1068,-0.1338,-0.0123,0.8044,-0.0731,0.2285,0.0042,0.2724,0.1676,0.008,-0.0029,Control
A10,0.358,-0.0404,0.1609,0.1339,-0.1125,0.1672,-0.0411,-0.0452,-0.0684,1.6396,-0.0962,-0.0693,-0.0721,-0.1496,-0.1114,-0.0116,-0.1817,0.3331,0.6458,0.4755,-0.1679,-0.0151,0.3856,0.9482,-0.0894,1.3315,0.5367,0.0709,0.1707,-0.0594,0.0647,0.2225,0.0059,0.7254,1.7299,-0.0196,0.1854,0.5228,-0.145,2.7093,0.1397,0.0017,-0.0873,-0.0389,0.5452,-0.0818,-0.0226,0.1919,-0.005,2.7854,-0.0756,-0.1813,-0.1063,-0.0848,0.6443,2.3614,0.2874,0.0091,-0.0331,0.7976,0.8275,-0.0679,-0.1871,0.0834,-0.0023,0.9855,1.0533,0.7313,-0.1074,-0.0722,0.0981,0.0617,-0.0994,-0.1547,0.0503,0.8448,-0.0756,0.1151,0.012,0.2888,0.1688,0.0382,0.0168,Control
