@relation data

@attribute id string
@attribute 1147 numeric
@attribute 1387 numeric
@attribute 1432 numeric
@attribute 1843 numeric
@attribute 2033 numeric
@attribute 2908 numeric
@attribute 3551 numeric
@attribute 3553 numeric
@attribute 3576 numeric
@attribute 4088 numeric
@attribute 4089 numeric
@attribute 4615 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5600 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5970 numeric
@attribute 6885 numeric
@attribute 7046 numeric
@attribute 7048 numeric
@attribute 7097 numeric
@attribute 7124 numeric
@attribute 9020 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.5553736859,0.6728254087,0.6466643338,0.4277474650,1.8174475579,1.5759753492,0.5241222142,-0.0177594677,0.8618448906,0.5446012229,0.5766988737,2.0220233733,0.4754300158,0.8049394469,-0.0717742680,2.0539485763,-0.0495949284,0.8525465690,0.9587464938,0.1275436449,0.9388387937,0.1084792829,-0.0286056817,0.0120870491,BRCA
GSM480985,1.1625347307,0.6472114695,0.5214375071,0.3838845407,1.6404941344,1.2545887607,0.8006201253,0.2870424135,1.2310367167,0.7802793039,0.5756055410,1.8178075153,0.4509238059,0.9412159958,-0.0165247075,1.6670765338,0.0406736651,0.8536376064,0.8959703881,0.1747616115,0.9513775854,0.9595268907,0.0503361004,0.1944893691,BRCA
GSM480986,1.3508609449,0.7199448316,0.5058162958,0.5315875954,1.9671993852,1.4323007440,0.5310721682,-0.0239051148,1.1678017355,0.6759647951,0.5589410135,2.2257816393,0.3572855135,0.9283377825,0.0824834229,2.3174076223,-0.0793845745,0.9353946786,0.6764137213,0.1427664678,0.9698652430,0.3079955788,-0.0117659394,0.0711415219,BRCA
GSM480987,0.9561490119,0.6522740087,0.6135009341,1.1743053519,1.9626392814,1.4973473767,0.3550794774,0.1687085862,1.1729830871,0.4236518566,0.5155373554,1.6798553201,0.2389650019,1.1037804131,0.1031593607,1.9121642141,-0.0082405777,0.8780260834,0.5847795974,0.2637792878,0.9319546315,-0.0101977218,-0.0407701192,0.0186210414,BRCA
GSM480988,1.0976330084,0.6896800634,0.4483090917,0.3465793314,1.8828163351,1.2025529662,0.6144637026,-0.0187831094,0.4444268425,0.5082072364,0.3915546862,2.2301817603,0.2502003758,0.7093335530,-0.0181701116,1.3670162843,-0.0020592896,0.6707278885,0.5952524423,0.0900074829,1.1429302327,0.4413706618,0.0001304974,0.0445076557,BRCA
GSM480989,0.6682628254,0.5010443183,0.4561344552,0.2851961183,1.8141472619,1.0586582985,0.4192595793,-0.0912345345,0.7921105779,0.7708667126,0.3272314875,2.0839382543,0.1723780840,1.0994870811,0.0375987290,2.3223415930,0.1581356411,1.1224099571,0.3143859178,0.0743520494,0.9059117025,-0.0287181588,-0.0217998318,-0.0409931634,BRCA
GSM480990,0.8183849113,0.6429370626,0.3805084057,0.8064354324,2.2293557487,1.3661475036,0.4130142646,1.2702010869,0.7562215037,0.6777075047,0.2867155222,1.9516628450,0.3219937040,1.2569765001,0.1545863018,2.2060846408,-0.0766200014,1.1399565821,0.4204747106,0.2597094051,1.0702363388,0.2468266006,-0.0152148257,-0.0165585492,Control
GSM480991,1.0469395604,0.7013037075,0.4695376563,0.6116145824,1.8172405640,1.0809017852,0.4572952855,0.1146655146,1.1222321147,0.8510372681,0.3461920900,2.3958708842,0.3367405246,1.2472408378,0.1750445278,2.3923240316,-0.0620754509,1.0769064036,0.5598204840,0.1632871340,0.9895387815,0.4888265900,0.1726690396,0.0821979287,Control
GSM480992,0.6665939561,0.7777832307,0.3800862124,0.5429262386,2.5581991299,0.9709518800,0.3674736292,0.2461778623,0.0302081386,0.6149415073,0.2245497412,2.3023018834,0.1333302662,0.8925691490,0.1619838233,2.7852531727,-0.0874094128,1.2896809784,0.4415234548,0.1224954221,0.9142842770,0.0087293616,-0.0538811761,0.0293533208,Control
GSM480993,1.1139041867,0.7884631976,0.5930127984,0.5676008761,2.1836648658,1.2281988024,0.5721119152,0.0334400552,0.6293743797,0.6775370245,0.4767308229,2.1670868793,0.2735164897,0.9085881339,0.0750380798,2.5135206126,-0.0401579579,0.9961075650,0.4999517977,0.1472219157,0.9366969699,0.3206592424,-0.0270253466,0.0159192843,Control
