@relation data

@attribute 259307 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 5053 numeric
@attribute 6898 numeric
@attribute Class {Control,BRCA}

@data
5.3139324875,9.713172168,10.97008092,4.7150442715,9.590026107,Control
5.3868104,9.446732392,11.37383049,5.3262521715,9.054591515,BRCA
5.5205412945,9.940893908,11.74755745,5.2800131335,9.576891081,BRCA
6.1854901165,10.41429442,11.92672973,5.060652638,8.895061065,Control
5.8195336145,9.570406539,11.56729791,5.4159650265,7.445824194,BRCA
6.2042813735,10.20351353,11.58210918,5.340113991,10.6672848,BRCA
5.2726163765,10.3362558,11.50616141,4.9609336325,10.9783031,BRCA
5.680256454,9.869532589,11.31514972,5.4448314705,10.33226629,Control
6.08065771,10.29228169,11.70655442,5.2773139425,10.7819664,BRCA
5.6441686615,9.589230319,12.01315176,5.0966711815,10.72311933,BRCA
6.1814092435,9.98368522,11.50362218,5.313212157,8.361287094,BRCA
5.430295187,10.36525103,11.18215551,5.063841559,11.60242527,Control
5.4945647125,9.822925735,10.95100801,5.094726675,9.900855914,Control
5.927412341,10.42590328,12.46042141,4.458417158,10.43324145,BRCA
5.94260971,10.1079628,11.86567539,5.34753873,11.36922669,BRCA
5.638618965,10.35624868,12.10567621,5.390277857,9.534133176,BRCA
5.2232653195,10.16869754,12.41104094,5.226883424,12.46365343,BRCA
6.339948893,10.71990666,12.3239471,5.2169649115,12.49559531,BRCA
5.379516066,10.27801993,12.12695617,5.2637335585,12.08367055,BRCA
5.186425375,10.15345105,12.11775357,5.1564890945,5.842294551,BRCA
