@relation data

@attribute id string
@attribute 941 numeric
@attribute 942 numeric
@attribute 940 numeric
@attribute 5170 numeric
@attribute 1326 numeric
@attribute 79109 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2475 numeric
@attribute 5290 numeric
@attribute 64223 numeric
@attribute 10000 numeric
@attribute 117145 numeric
@attribute 2534 numeric
@attribute 253260 numeric
@attribute 9020 numeric
@attribute 5295 numeric
@attribute 3932 numeric
@attribute 57761 numeric
@attribute Class {Control,BRCACancer}

@data
C06,0.1214,0.1255,0.2518,0.2414,0.2215,0.0427,0.264,0.2491,0.167,0.2515,0.1523,0.0968,0.1344,0.5527,0.4312,0.1749,0.4412,0.6474,-0.0081,Control
C07,0.1895,0.5634,1.0504,0.5747,0.5815,0.2735,0.5626,0.6757,0.7528,1.1545,0.3857,0.4051,0.5445,1.1562,1.3509,0.4372,1.0885,1.8538,0.0545,Control
C08,0.1764,0.7596,1.5423,0.6543,0.6547,0.3293,0.6256,0.7298,0.8825,1.2713,0.4041,0.3989,0.825,1.1159,1.5506,0.5739,1.1859,1.7599,0.1323,Control
C09,0.2582,0.5013,1.4666,0.6561,0.5694,0.2896,0.5925,0.6605,0.7452,1.1501,0.3946,0.3365,0.5155,1.144,1.3689,0.4887,1.1108,1.785,0.1994,Control
C10,0.1222,0.578,1.5194,0.5675,0.5467,0.2243,0.5969,0.6368,0.7992,1.2514,0.3818,0.342,0.6875,1.0423,1.3796,0.4347,1.0914,1.8911,0.1494,BRCACancer
C11,0.0988,0.5952,1.5877,0.7633,0.7588,0.3965,0.7094,0.8274,0.8286,1.1799,0.4638,0.3517,0.9042,1.3013,1.4912,0.6199,1.1242,1.8211,0.2446,Control
C12,0.1065,0.2512,0.9885,0.5307,0.465,0.155,0.5239,0.5646,0.4248,0.7623,0.3032,0.2659,0.3732,0.7822,0.9455,0.3423,0.6991,1.4716,0.0806,BRCACancer
D01,0.1606,0.8257,1.7538,0.8044,0.6002,0.5948,0.6018,0.702,0.8547,1.2857,0.3309,1.0558,1.1132,2.0938,1.6759,0.7199,1.3944,1.2833,-0.0803,BRCACancer
D02,0.0733,0.5563,1.3511,0.6557,0.6172,0.332,0.6343,0.7363,0.7567,1.1494,0.4822,0.3337,0.568,1.0718,1.3443,0.6241,1.0319,1.54,0.22,BRCACancer
D03,0.2152,0.5532,1.1809,0.5857,0.6216,0.2435,0.6075,0.6722,0.6883,1.0202,0.4213,0.292,0.3892,1.0987,1.1667,0.4838,0.8686,1.5561,0.0588,BRCACancer
D04,0.1222,0.7531,1.3393,0.7031,0.6226,0.3214,0.638,0.7289,0.7273,1.2215,0.4574,0.3463,0.6148,1.1092,1.3016,0.5369,1.1519,1.4476,0.0928,BRCACancer
D05,0.2253,0.8661,0.9352,0.6079,0.6461,0.2744,0.7055,0.6837,0.7891,1.1295,0.3879,0.3754,0.4487,1.24,1.2782,0.5172,1.0518,1.5393,0.148,BRCACancer
D06,0.1948,0.7926,1.5343,0.7781,0.7316,0.3977,0.692,0.7939,0.9425,1.2429,0.5135,0.4245,0.7757,1.351,1.5302,0.6774,1.2257,1.7367,0.119,BRCACancer
D07,0.0645,0.7253,1.2786,0.7349,0.7421,0.304,0.6999,0.773,0.801,1.2075,0.4476,0.3478,0.4491,1.3277,1.4717,0.5672,1.2167,1.7927,0.1783,Control
D08,0.1205,0.5414,1.0741,0.6407,0.4284,0.2593,0.5626,0.595,0.5553,0.9695,0.3262,0.3066,0.3076,1.0187,1.2196,0.4401,1.0438,1.4768,-0.0383,Control
D09,0.117,0.7433,1.607,0.6937,0.5377,0.3436,0.6435,0.7035,0.839,1.1314,0.4025,0.3962,0.679,1.1271,1.3529,0.597,1.1358,1.6835,-0.0168,Control
D10,0.0914,0.5834,1.1521,0.6946,0.5148,0.3072,0.4594,0.6459,0.6229,1.0396,0.3543,0.3118,0.5293,0.9222,1.1733,0.4402,0.9033,1.4648,0.1843,Control
D11,0.074,0.413,0.7161,0.4467,0.1936,0.1542,0.378,0.4,0.3337,0.5635,0.1791,0.1708,0.3721,0.6743,0.6935,0.2323,0.6526,1.022,-0.2076,Control
D12,0.0868,0.5103,1.1938,0.6671,0.4642,0.2473,0.5797,0.5423,0.4532,0.8506,0.272,0.2792,0.499,0.8836,0.9215,0.373,0.8124,1.4352,0.0343,Control
E01,0.1737,0.6548,1.2031,0.4987,0.6424,0.234,0.4622,0.6014,0.6053,0.9334,0.3596,0.3479,0.565,1.0817,1.0868,0.4467,1.0877,1.7668,0.0017,BRCACancer
