@relation data

@attribute id string
@attribute 10092 numeric
@attribute 10093 numeric
@attribute 10094 numeric
@attribute 10095 numeric
@attribute 10109 numeric
@attribute 10163 numeric
@attribute 10392 numeric
@attribute 10459 numeric
@attribute 10552 numeric
@attribute 1147 numeric
@attribute 1398 numeric
@attribute 1399 numeric
@attribute 1432 numeric
@attribute 1445 numeric
@attribute 1729 numeric
@attribute 1793 numeric
@attribute 2017 numeric
@attribute 23291 numeric
@attribute 25 numeric
@attribute 3059 numeric
@attribute 3551 numeric
@attribute 3576 numeric
@attribute 3678 numeric
@attribute 3688 numeric
@attribute 375189 numeric
@attribute 391 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 5217 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5879 numeric
@attribute 5970 numeric
@attribute 60 numeric
@attribute 6093 numeric
@attribute 6300 numeric
@attribute 64127 numeric
@attribute 71 numeric
@attribute 7307 numeric
@attribute 7322 numeric
@attribute 7414 numeric
@attribute 7454 numeric
@attribute 81873 numeric
@attribute 8767 numeric
@attribute 8936 numeric
@attribute 8945 numeric
@attribute 8976 numeric
@attribute 9474 numeric
@attribute 9475 numeric
@attribute 960 numeric
@attribute 9844 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.9751214635,1.2907157965,0.5244563123,1.5867199621,2.8436637177,0.6736735404,0.0088914966,0.7932892770,0.3531793888,1.5553736859,1.7323923409,1.2744317606,0.6466643338,2.3609020933,0.7037939374,0.2016859578,1.0969083535,1.4073050071,0.9042891934,-0.0710025411,0.5241222142,0.8618448906,0.9300875217,0.1778868698,0.0810961755,0.8636585772,0.4754300158,0.8049394469,0.6222571999,3.5678405168,0.5276523813,0.4586358647,0.7139937217,-0.0717742680,0.6164951165,-0.1298536299,1.5197282433,2.7923812542,0.8525465690,1.9831620881,0.0312767470,-0.0068966250,0.0192318359,3.6226621756,0.3322721977,1.0816749091,1.4682459658,-0.0741785883,1.8347381164,1.5521365895,1.4890702023,0.0014613103,0.4649006747,0.7646544867,-0.0796944764,1.3430124485,-0.0869406655,0.2693405723,BRCA
GSM480985,1.0272401371,1.1067713158,0.5732741457,1.6069333000,2.9516806101,0.6049104594,0.0579176409,0.7315369438,0.1008026750,1.1625347307,1.8688574894,1.0173018566,0.5214375071,2.1606899301,0.5441041401,0.2490958688,1.3267131607,1.4699914407,0.9337296339,-0.1895119527,0.8006201253,1.2310367167,0.9723499517,0.1802411383,0.0657479323,0.6624230724,0.4509238059,0.9412159958,0.5609422953,3.5739476085,0.4521202200,0.5649788797,0.7487222366,-0.0165247075,0.6136501327,-0.1761504112,0.8917866104,2.9129755730,0.8536376064,1.6668235234,0.0755929606,-0.0052304801,0.0245596794,3.7874552336,0.4385370255,0.8752448660,1.6274614056,-0.0303147019,1.3824969200,1.5592530335,1.2682979496,0.0644135960,0.4061208683,0.7113421234,-0.0687286226,1.5109134116,-0.0779454309,0.2437138550,BRCA
GSM480986,1.0369777065,1.3242895658,0.4500165483,1.7298441104,2.9771253685,0.7301793056,-0.0270187023,0.7353933247,0.1403650887,1.3508609449,1.9836026755,1.3584635346,0.5058162958,2.4777050218,0.7493845811,0.0976221615,1.2222025654,1.4744531103,1.1216843350,-0.0912023070,0.5310721682,1.1678017355,1.2477214833,0.1151252413,0.0205292450,1.0836358103,0.3572855135,0.9283377825,0.7128700620,3.5026703476,0.5276161861,0.5706250406,0.7966307569,0.0824834229,0.5081571897,-0.1388460667,1.3150411108,3.0052631994,0.9353946786,1.5463190164,0.0069230790,0.0253748071,-0.0112299898,3.6462782948,0.2958828718,1.0551407962,1.6394084916,0.0055816652,1.7279398748,1.6858405541,1.6463169577,0.1160914501,0.5008925419,0.5230999732,-0.0732849970,1.4679343679,-0.0655863837,0.2337614380,BRCA
GSM480987,1.1333517751,1.2309567956,0.1156233700,1.5764409899,2.9744973120,0.5890560355,-0.0190509758,0.7467774327,0.1663671416,0.9561490119,2.0277992866,1.4724773936,0.6135009341,2.5194125474,0.4197907550,0.0780553671,1.0027113283,1.6044796897,1.5226221382,0.1628338341,0.3550794774,1.1729830871,2.4249016445,0.0755187708,0.0214148511,0.9918239647,0.2389650019,1.1037804131,0.7524098709,3.7206839919,0.4570317386,0.5260457562,0.7170214796,0.1031593607,0.3891538004,-0.0662291722,0.5668156716,3.1002503070,0.8780260834,1.5882334240,0.0234027272,0.1567118048,-0.0685428832,3.9579671080,0.2736385248,1.0011097885,1.4971761177,-0.0223641238,1.3605044112,1.2659771626,2.1800480800,0.0502347329,0.3895272783,0.4905198044,-0.0519221399,1.1606135917,-0.0845299377,0.2226472523,BRCA
GSM480988,0.8304234285,0.9036093253,0.5647135377,1.3372307239,3.1602388557,0.3658291007,0.0458355059,0.1624195477,0.4930069433,1.0976330084,1.5429041887,1.2323150354,0.4483090917,2.2995154489,0.4184546616,0.1084980830,0.8052762550,1.3966947863,0.6879575644,-0.1584126674,0.6144637026,0.4444268425,0.9573691587,0.1863922891,0.0140923004,1.3473093178,0.2502003758,0.7093335530,0.5546799707,3.6815842687,0.4923907940,0.4829891018,0.6912962379,-0.0181701116,0.5512484685,-0.0789457363,1.2879227399,3.0203843170,0.6707278885,0.7069784941,0.0022991031,-0.0337513612,0.1977608937,4.0240748362,0.3196864208,0.8264960605,1.5831342597,-0.0711560368,1.3172917818,1.5642477538,1.4418734162,0.0174755329,0.3321739982,0.5150745518,-0.0317350667,1.1898630854,-0.0179285063,0.1930281139,BRCA
GSM480989,1.1175295861,1.6229146714,0.1993986853,1.9431703219,2.9368284626,1.0070855880,0.0006311724,0.8557678048,0.4762577245,0.6682628254,1.7117121220,1.5450224582,0.4561344552,2.5530525644,0.8197797026,0.0041278873,1.2786269750,1.4009669611,1.0702178031,-0.2386126234,0.4192595793,0.7921105779,1.2722444337,0.1971728543,0.0148845636,1.3220341570,0.1723780840,1.0994870811,0.6648718736,3.8348629771,0.4168803811,0.8519349658,0.5911021925,0.0375987290,0.2192373374,-0.0408563306,2.1237873399,3.3091132243,1.1224099571,2.0641681383,0.0616616788,0.0401129422,0.0944893369,4.1692070311,0.1995365523,0.9241799649,1.4356221762,-0.0050318572,1.4754262422,1.0432216749,1.3438190445,0.0230541362,0.3012315244,0.2079867127,-0.1349797046,1.6089513051,-0.0128534615,0.2852107126,BRCA
GSM480990,1.0308022884,1.6489289941,0.1897008320,1.7799851470,2.9954248854,0.9728779084,-0.0681144893,0.9672808566,0.3831894712,0.8183849113,1.7694421830,1.5518309150,0.3805084057,2.9678596127,0.7343355472,0.0316733850,1.1622392084,1.4480954722,1.5833527296,-0.1336939865,0.4130142646,0.7562215037,2.4141955973,0.2156330049,0.0273940236,1.5110026861,0.3219937040,1.2569765001,0.7222510494,3.9262426793,0.4040678319,0.5468216389,0.5124700949,0.1545863018,0.1815268757,-0.1292774052,1.1991209335,3.4219261243,1.1399565821,2.1704076527,0.0384436129,0.1445519146,0.0618078872,4.4571284381,0.1684532420,1.0237821375,1.4810826326,0.0013626597,1.4980557931,0.9586043766,1.7045574429,0.0038495344,0.3934687308,0.2853235367,-0.1541326487,1.6161317418,-0.0893417975,0.1617002876,Control
GSM480991,1.0441722769,1.3941545520,0.4321628213,1.7795293521,3.0513134127,0.9057021662,-0.0415107127,0.6776759127,0.2882334251,1.0469395604,1.7440137619,1.3442317928,0.4695376563,2.6857965554,0.7343472865,0.0810099094,1.3825492637,1.4586376352,1.0545568875,-0.1473514253,0.4572952855,1.1222321147,1.4173520208,0.1428165244,0.0683065863,1.2558291883,0.3367405246,1.2472408378,0.8390529259,3.6561501324,0.5071865046,0.6482640730,0.7236467786,0.1750445278,0.3723191662,-0.1158871563,1.5476096728,3.2534763878,1.0769064036,1.9666513886,0.0374511476,0.1220167010,0.2321143435,4.1061814696,0.1686107338,1.0118649729,1.7032585504,0.0026141801,1.6374589102,1.4371226762,1.5119326300,0.0277498589,0.4812086169,0.3582306911,-0.0669590193,1.6351439069,-0.0558806657,0.2150321878,Control
GSM480992,0.7745148400,1.6096110390,0.3520388107,2.0880438601,2.7628054808,1.3173194454,-0.0501063815,0.8706505829,0.4360318240,0.6665939561,1.4854351587,1.3367420178,0.3800862124,3.0799378289,0.8016935410,0.0671283312,1.2528244930,1.4558703804,1.5234704019,-0.1284844060,0.3674736292,0.0302081386,1.7417362332,0.0501170250,0.1065513799,1.7381100919,0.1333302662,0.8925691490,0.7926203149,3.5862911045,0.4130200728,0.9082788116,0.4097217267,0.1619838233,0.3079451628,-0.0921796232,1.8157576812,3.4460021522,1.2896809784,2.2779652900,-0.0010797481,0.0927470139,0.1035504051,4.3697378854,0.0864966725,1.0629730740,1.4694966279,0.0179363688,1.4129559661,0.9022674223,1.9600874623,0.0437098363,0.4017187652,0.1842532739,-0.1714860920,1.6522996750,0.0135426032,0.2135051408,Control
GSM480993,0.9704561908,1.4572474950,0.2957484473,1.8581107130,2.8621364141,0.8879576809,0.0216581280,0.7836148512,0.1319749791,1.1139041867,1.8096325479,1.3998474208,0.5930127984,2.7421589758,0.6799265884,0.0537510319,1.1893692988,1.6422861704,1.2434106319,-0.1825984492,0.5721119152,0.6293743797,1.4460728070,0.0346996909,0.1384223285,1.3296855590,0.2735164897,0.9085881339,0.8274797584,3.5495478213,0.4741801064,0.7940912880,0.7140314231,0.0750380798,0.5537918077,-0.0937452182,1.6241304980,3.0886874926,0.9961075650,1.8648449523,0.0340418489,0.0791702164,0.0918707455,3.9780380943,0.2343771492,1.1453981154,1.5233000448,0.0145993035,1.6365554030,1.4509991654,1.7876102989,0.0424645376,0.3928130415,0.3854591267,-0.1117413986,1.5659625231,-0.0223981792,0.2080415856,Control
