@relation data

@attribute id string
@attribute 1610 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,5.204582147,Control
GSM427159,5.166927545,BRCA
GSM427160,5.672716149,BRCA
GSM427162,5.62000808,Control
GSM427163,5.111669081,BRCA
GSM427164,5.346435058,BRCA
GSM427165,5.068037933,BRCA
GSM427166,4.55165352,Control
GSM427167,5.203995173,BRCA
GSM427169,4.863456876,BRCA
GSM427170,5.305068782,BRCA
GSM427171,5.110416751,Control
GSM427172,4.951647528,Control
GSM427178,5.371568663,BRCA
GSM427181,4.795469964,BRCA
GSM427182,5.719191142,BRCA
GSM427183,5.193979903,BRCA
GSM427187,5.0188247,BRCA
GSM427189,5.255511354,BRCA
GSM427193,5.345725686,BRCA
