@relation data

@attribute 27165 numeric
@attribute 2744 numeric
@attribute 2746 numeric
@attribute 2747 numeric
@attribute Class {Control,BRCA}

@data
5.69462499,9.170414035,12.60350703,7.436838787,Control
5.939855093,9.182904002,12.26503342,7.060293663,BRCA
6.6881603085,8.632641862,12.46516723,7.610602489,BRCA
6.1309256235,9.160338576,12.32574401,7.461604526,Control
6.0827064,8.660014728,12.52393564,7.260334165,BRCA
6.4528711575,9.003350039,13.08801473,7.518655368,BRCA
5.73579942,9.145690907,11.7646924,6.776041872,BRCA
5.882841981,8.939837117,12.46187723,7.352023833,Control
6.375538511,8.727649179,12.55220564,7.189481445,BRCA
6.4923185605,8.884385094,13.07861622,7.344298405,BRCA
5.887125938,9.272280513,12.61090263,7.856660706,BRCA
5.72459314,9.119292054,12.66507944,7.043905282,Control
5.9968463795,9.004881345,12.5506675,7.453725649,Control
6.6031039135,8.965922146,12.7584086,7.240984771,BRCA
6.370547311,9.424665541,12.9500565,7.064745795,BRCA
6.472312803,8.899841107,12.48900128,7.573630384,BRCA
6.6769127285,8.48420977,12.72471214,7.137660093,BRCA
6.0807440325,8.986710369,12.15911615,7.359532426,BRCA
6.5919798505,8.832511198,12.23300553,7.09571645,BRCA
5.814431777,9.196332326,9.531148039,7.423874623,BRCA
