@relation data

@attribute id string
@attribute 1737 numeric
@attribute 1738 numeric
@attribute 5160 numeric
@attribute 5162 numeric
@attribute 5163 numeric
@attribute 5164 numeric
@attribute 5165 numeric
@attribute 5166 numeric
@attribute 54704 numeric
@attribute 55066 numeric
@attribute 57546 numeric
@attribute 8050 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6998638082,0.7331141828,0.9567462580,1.6108989900,0.7135185198,0.0421525906,0.1004507211,0.0220735518,0.4654434577,0.2062728335,0.1558290901,0.4448719654,BRCA
GSM481003,0.6200601730,0.5751571217,1.1262232996,1.4461939967,0.5864300536,0.1595799751,0.0979210976,0.0297975885,0.5452382586,0.2465434051,0.2176170629,0.6260934174,BRCA
GSM481004,0.6781913359,0.3812206186,1.2454136498,1.8161106370,0.9088047795,0.1704270378,0.5790590864,0.0227017897,0.8419705812,0.2787197068,0.2157097126,0.7244989464,BRCA
GSM481005,0.7056536085,1.0392266140,1.0610700138,1.6302711927,0.9888136863,0.1450338334,0.3376794685,0.1163033744,0.7743047599,0.2696246277,0.0760485634,0.8181364107,BRCA
GSM481006,0.6589042794,1.0503523116,1.0555887074,1.3985594119,0.8314093148,0.0031652977,0.1662512844,0.0167869286,0.8288523646,0.4244357573,-0.0809838031,0.5764280935,BRCA
GSM481007,0.6044700366,0.6724452480,1.2282426320,1.0612825621,0.3538705459,0.0585143746,0.0931079794,0.1583019305,0.6448632504,0.3843305616,0.1927368351,0.6169566875,BRCA
GSM481008,0.9146130559,0.8293015040,1.1723773816,1.2819634979,0.7586754806,0.2244569018,0.2752774021,0.0115568258,0.9542475451,0.3970985488,0.1163888903,0.8872666321,Control
GSM481009,0.5282057247,0.6332577009,0.8887395077,1.2289362055,0.5242540283,0.0131190667,-0.1136749406,-0.0099851440,0.6310531946,0.1982777945,-0.0807781508,0.4403356126,Control
GSM481010,0.8267290073,1.3218326784,1.2748678253,1.6990557462,1.0945546926,0.0456347462,0.6922763248,0.1175356708,0.7777014518,0.3611566024,-0.0828953256,0.9780296200,Control
GSM481011,0.5460614107,0.5283419308,1.2448404767,1.3465176597,0.5093558666,0.1364717933,0.3587563267,0.0102814346,0.5152143306,0.1584957465,0.2596269315,0.4759460390,Control
GSM481012,0.6949560840,0.8130586693,1.2551071793,1.8574975357,0.5893567428,0.1066632684,0.0991296971,-0.0374514465,0.8335067957,0.1419878152,0.1830528094,0.8795884029,Control
GSM481013,0.8706437116,0.7142877401,1.1764250324,0.9166824353,0.5508035884,0.0808674234,0.2564121965,-0.0202599090,0.7242209057,0.2346219638,-0.0106635257,0.6116092736,Control
GSM481014,0.6386976255,1.5771218538,1.3775150329,1.2091072452,0.4711904074,0.1356632203,0.1293281934,-0.0014241310,1.4339021017,0.3497418379,0.1768395886,1.2281479015,BRCA
GSM481015,0.7432526349,0.6144389384,0.9238382039,1.3160227604,0.2208547311,0.1649676059,-0.0237284804,-0.0662622576,0.6376851922,0.2455643998,0.1936988325,0.5386194801,BRCA
GSM481016,1.1569393582,1.0609823813,1.1933069414,1.6533772182,1.1044488949,0.0238967643,0.5605497319,0.2161839271,1.2248411165,0.2354401061,0.1942128008,0.8415479419,BRCA
GSM481017,1.1688621419,1.6999390388,1.2763965727,1.6871860586,1.1822006647,-0.0372488428,0.2604384113,0.1514590620,0.9814184728,0.3284525764,-0.1034191431,1.4165910930,BRCA
GSM481018,0.3908310963,0.2915369374,1.1713966094,1.2398153942,0.4366720109,0.2130003529,-0.0104443377,0.0608839048,0.8166440636,0.2483701366,0.1792156351,0.2819796689,BRCA
GSM481019,0.8447485770,1.5783528123,1.4170072005,1.6842543743,0.9258248259,-0.0330005958,0.2631610609,0.0949157755,0.9413689565,0.2626850661,-0.0795296316,1.0495447106,BRCA
