@relation data

@attribute 2811 numeric
@attribute 2812 numeric
@attribute 3827 numeric
@attribute 7450 numeric
@attribute 2266 numeric
@attribute 2815 numeric
@attribute 2814 numeric
@attribute 2244 numeric
@attribute 2152 numeric
@attribute 2153 numeric
@attribute 708 numeric
@attribute 2155 numeric
@attribute 2159 numeric
@attribute 7035 numeric
@attribute 2158 numeric
@attribute 2157 numeric
@attribute 5196 numeric
@attribute 5627 numeric
@attribute 5197 numeric
@attribute 5624 numeric
@attribute 3818 numeric
@attribute 2243 numeric
@attribute 5547 numeric
@attribute 462 numeric
@attribute 2 numeric
@attribute 2161 numeric
@attribute 2162 numeric
@attribute 2160 numeric
@attribute 710 numeric
@attribute 2165 numeric
@attribute 7056 numeric
@attribute Class {Control,BRCA}

@data
7.021260744,10.13904003,5.6227922,14.70026172,5.61663289,5.319953181,5.415835761,5.66197871,7.9433370895,6.186565552,11.17659722,5.74607311533,8.701749275,9.76322470733,5.443947436,6.7050653335,4.92268697,12.29448586,6.251629749,4.850263431,5.983342088,6.212296819,11.96094624,5.28356184,10.82735881,7.190568257,9.381565189,5.7619906325,9.6511123165,4.963024656,7.537453572,Control
7.493057094,10.26859496,5.313618859,14.48484431,5.08042485533,5.44742319,5.726293954,5.223664671,7.3219924465,6.175530214,11.2302278,5.580062646,7.877531272,9.841339379,5.956411734,5.870139424,4.332418168,12.39041358,6.183690582,4.06456111,5.887288406,5.7937330178,11.920197625,5.214524337,10.62424969,8.301794677,8.110067113,5.346055261,9.1528763845,5.157863534,6.800385888,BRCA
7.306383297,11.01586123,4.98710623,13.62992806,5.12813079533,5.093191733,5.816734888,5.7185873855,7.6827279675,5.989656332,11.77681146,5.85758803233,6.401780305,8.406974905,5.503993644,6.17879070775,4.963487128,11.62074231,6.203891817,5.857490426,6.059188284,5.862260741,11.721645875,4.96764272,10.57075254,8.66705043,6.329935892,5.6687672635,8.8817688625,5.492342928,6.364927481,BRCA
8.094910493,11.07439256,5.494744603,13.98232431,5.394216664,4.419761481,6.139659422,6.1111201375,7.028430768,5.899786645,11.16040108,5.71276030433,5.763551833,8.229500393,5.243946308,5.7388006725,5.229406468,11.6659178,7.343965437,4.845002284,6.311526388,6.142895466,11.72252904,4.628224624,10.69680263,9.287147382,6.303466265,5.7971553895,8.821092343,5.273526379,5.838328613,Control
7.828646059,9.779383313,4.968564562,13.44200721,5.16471474267,4.902810721,4.948613986,5.524787686,7.043173699,6.128979632,11.57959421,5.407285048,6.53056679,8.953209788,5.391468086,6.43636971125,4.238982945,11.67950002,6.056372858,4.906423146,6.219416008,6.0545063174,11.8319426,5.394386591,11.11355354,8.465740992,7.745457735,5.189254443,9.1025596075,4.957695542,5.544432256,BRCA
7.181502947,10.62776211,4.846131289,14.1393823,4.86237598533,5.040904755,6.222896914,5.8811445325,8.328711222,6.249071368,11.25620001,5.31970799833,7.484220974,9.436257661,5.226326687,6.644667242,4.590130156,12.26341894,6.239556166,5.499695432,6.244178877,6.1325254104,12.02811081,5.070616072,11.29285667,7.543536723,8.459432771,5.4087702635,8.9754783835,4.83277771,8.065956118,BRCA
8.021647846,11.04774441,4.846005888,13.74350963,5.183358411,5.349799819,5.751283781,5.5239862235,6.5323662705,6.067010094,10.66888523,5.95868764667,8.609253665,9.594526537,5.418536788,6.11671554125,5.536217098,12.53522562,6.883746426,5.019714421,6.64810992,5.8629718688,12.06711405,5.219373048,11.54241539,9.362470505,6.78215011,6.005685044,8.925445463,5.354038858,5.646674804,BRCA
7.069640749,10.44517037,5.110625549,13.93643461,5.73127573267,5.047681518,5.777032522,6.0018505655,8.562401122,5.559423936,11.60575973,5.49413051767,9.342497592,10.051001112,5.212093857,6.62473679025,5.256643908,12.41967063,5.953446408,5.555364666,6.24289363,6.2905934128,11.877403125,5.2209212,11.04352823,8.197119763,10.05209289,5.607798524,9.438031278,5.154424477,6.92202275,Control
7.272865647,10.84822018,5.057570761,13.56248158,4.90385191767,4.745656394,5.338434442,5.5854962715,7.675963805,6.081356272,12.01512763,5.34907679233,6.982426435,8.53904212,5.522472662,6.382479944,4.827579315,11.60505131,5.929560972,5.015037253,6.172933113,5.777716958,11.73436444,5.007656643,11.15565329,9.013574704,6.669774874,5.601511002,8.7430805635,4.188401153,6.515310041,BRCA
7.006413395,10.81808704,4.753833848,13.90066922,5.373245961,4.948380372,5.159075364,5.882017596,7.298223806,6.274406692,10.91092396,5.582732178,6.842950948,8.409160684,5.34483848,6.1460391455,4.977407298,11.24631027,6.350148575,5.28356184,6.268944869,5.834084272,11.63178413,4.827579315,10.83188538,7.871814585,7.817609069,5.272661299,9.031066788,5.198898037,5.644152813,BRCA
7.394872347,11.22756798,6.157150477,13.93264756,5.10876104267,5.083225336,5.773740066,5.589234893,7.050683306,6.209263877,11.05830992,5.47682531867,9.362086899,11.0967795047,5.418705435,6.31647721525,4.723301869,11.99760301,6.685173215,4.832651143,6.298205225,5.8878688452,12.10985452,5.167429435,10.43600385,8.566416689,10.23471001,5.588446105,9.721075938,4.473193011,7.388450298,BRCA
7.061914211,10.50561834,5.298668624,14.84397331,5.33171452,4.586084011,5.795397636,5.3609119885,7.738052984,6.199285243,11.58069917,5.93528576467,7.774854787,9.05386789867,5.37574431,6.85286268525,4.815077462,12.07828769,6.467284066,5.091923254,6.274732813,5.890793344,11.925266225,5.622060057,11.40257259,7.718363553,9.50460109,5.6995932365,9.2349913925,5.045717348,6.625311134,Control
6.839522295,10.20430554,4.699347423,14.65913186,5.43919162867,4.210342597,5.485435883,5.578027233,8.3148067115,6.469890553,11.30184213,5.29903190733,8.226967397,9.05364495533,5.346257748,7.106402131,4.955372383,12.10010062,6.55167414,4.944168843,5.897247233,5.9960739032,11.709007145,4.944168843,10.96622084,7.978740664,8.530075742,5.61522276,9.5884618825,4.674283766,7.068243885,Control
7.12275327,11.66763062,5.387510099,14.26763347,5.244861722,4.828595108,5.532169853,5.7407899085,7.221900266,6.499252446,11.6923846,5.70425736133,7.566817294,8.26642682067,5.592016873,6.641701621,5.109999067,11.32848436,6.285777293,4.700318863,6.836117042,5.8533394194,10.565898519,4.872103847,8.501599494,7.97625067,7.502913581,5.343361147,9.58490841,4.764223297,7.207456398,BRCA
6.556357083,11.19478472,5.149758548,14.45371146,5.892500193,5.156043878,5.934641074,7.706848707,6.7938952755,6.993564335,11.15245616,5.98287074067,7.69122204,9.04715206167,4.939004665,6.77862712175,4.765152047,12.22502371,6.163202459,5.31307462,6.785194558,6.6576685756,11.2033955655,5.23994335,8.361407734,7.60485179,10.17969799,5.342631537,9.13890811,5.476876799,6.817754747,BRCA
7.179887014,11.54446475,5.383541223,13.37610779,5.01693401867,5.015706349,5.748737112,5.679065704,6.603863399,6.345809388,11.73774813,5.89771809,8.14949453,8.67502822533,5.933933296,6.47275380575,4.944168843,11.78049682,6.462138741,4.795210185,6.993281271,5.871486022,10.678696671,4.649642211,8.5296659,8.254711101,6.151580437,5.5567976915,9.3611948655,5.029465308,6.258288656,BRCA
6.818521864,11.55455062,5.476876799,13.42739342,5.221348673,4.957695542,5.631985502,5.594069333,7.2184482,6.474359481,11.58766984,5.86989377867,7.591767528,7.70340419267,5.644152813,6.6991321735,5.447257868,11.10215306,6.398919476,5.139767484,6.552750258,5.9806233382,10.5605025815,5.173738339,8.104482291,7.812114918,6.010394529,5.601395624,9.236799559,4.557165562,7.300812696,BRCA
