@relation data

@attribute id string
@attribute 10053 numeric
@attribute 1174 numeric
@attribute 130340 numeric
@attribute 162 numeric
@attribute 164 numeric
@attribute 55690 numeric
@attribute 567 numeric
@attribute 8905 numeric
@attribute 8907 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0629,0.3044,0.301,1.0302,1.8975,1.0726,3.5588,1.0939,0.8052,Control
Utah__A02,0.1118,0.2694,0.1812,0.9189,1.7449,0.6452,3.9483,0.8597,0.7634,Control
Utah__A03,0.1419,0.4615,0.2279,1.1521,1.8978,0.8348,3.6232,1.0033,0.8524,Control
Utah__A04,0.0312,0.3811,0.1942,1.0075,1.6646,0.8324,3.7988,0.5614,0.8534,Control
Utah__A05,0.2212,0.5077,0.2109,1.2853,1.8496,0.8847,3.4664,0.9783,0.8913,Control
Utah__A06,0.1003,0.3215,0.162,1.1374,1.7484,0.7654,3.4735,0.8701,0.7419,Control
Utah__A07,0.0739,0.3572,0.2967,1.0639,1.821,0.9676,3.3963,1.3774,0.8272,Control
Utah__A08,0.0482,0.1477,0.2465,0.9279,1.778,1.2564,3.5373,0.9986,0.7752,Control
Utah__A09,0.2338,0.311,0.179,1.0099,1.8437,0.9206,3.7495,1.0201,0.7992,Control
Utah__A10,0.1738,0.3996,0.2984,1.0288,1.8845,0.9264,3.4959,1.0498,0.8349,Control
Utah__A11,0.0284,0.2109,0.1834,0.9235,1.6928,0.7598,3.3969,0.8051,0.6878,Control
Utah__A12,-0.0307,0.214,0.1248,0.6338,1.1862,0.3868,2.9838,0.1183,0.5109,Control
Utah__B01,-0.023,0.0605,0.2851,0.7133,1.661,0.8493,3.6088,0.8207,0.5947,Control
Utah__B02,0.0972,0.3644,0.2239,1.0686,1.8338,0.8093,3.9836,0.8729,0.8528,Control
Utah__B03,-0.042,0.229,0.3326,0.9075,1.7945,0.7885,3.8181,0.8525,0.6774,BRCACancer
Utah__B04,0.0447,0.1508,0.3819,0.7754,1.6814,1.0692,3.4814,1.0961,0.6736,BRCACancer
Utah__B05,-0.0468,0.1728,0.2724,0.8775,1.5501,0.6869,3.9018,0.5546,0.7547,BRCACancer
Utah__B06,-0.0945,-0.0486,0.2211,0.5585,1.3801,0.4118,3.6877,1.053,0.2887,BRCACancer
Utah__B07,0.0504,0.38,0.295,1.0026,1.8946,0.874,3.9911,1.3443,0.7922,BRCACancer
Utah__B08,0.3079,0.3497,0.1961,1.0276,1.8197,0.7226,3.6445,0.9505,0.8066,Control
Utah__B09,0.1504,0.0582,0.2219,0.6087,1.6261,1.1884,3.7565,0.7784,0.5996,Control
Utah__B10,-0.0046,0.1946,0.2247,0.5989,1.4548,0.7622,3.5675,0.8975,0.5489,Control
Utah__B11,0.1201,0.2637,0.1451,0.9004,1.6498,0.7457,3.202,0.8311,0.8149,Control
Utah__B12,0.0065,0.0979,0.1844,0.5154,1.1987,0.8968,3.8318,0.7981,0.455,Control
Utah__C01,0.0999,0.2781,0.257,1.2035,1.8806,0.954,3.4251,1.2787,0.8905,BRCACancer
Utah__C02,0.2035,0.384,0.2671,1.0839,1.6865,0.7984,3.633,0.6083,0.9321,BRCACancer
Utah__C03,0.074,0.4076,0.24,1.188,1.8631,0.9347,3.778,1.0782,1.0251,BRCACancer
Utah__C04,0.2051,0.202,0.1246,0.9457,1.2675,0.5977,3.636,0.4586,0.7758,Control
Utah__C05,0.0683,0.2221,0.1483,0.9001,1.3188,0.5379,3.5553,0.4305,0.6879,BRCACancer
Utah__C06,0.0668,0.0481,0.1686,0.2305,0.498,0.2477,1.8236,0.0027,0.1549,Control
Utah__C07,0.0505,0.2424,0.1683,0.8731,1.4571,0.6157,3.3855,0.405,0.7746,Control
Utah__C08,0.2302,0.3266,0.2152,1.0471,1.6685,0.8017,3.3352,0.4598,0.8386,Control
Utah__C09,0.0745,0.2039,0.2189,0.9082,1.4541,0.6652,3.2409,0.3447,0.7524,Control
Utah__C10,-0.0168,0.3363,0.1524,0.9147,1.3923,0.6015,3.3129,0.4187,0.7683,BRCACancer
Utah__C11,0.1287,0.3523,0.165,1.0373,1.7056,0.9445,3.7007,0.7038,0.8879,Control
Utah__C12,-0.0319,0.1979,0.1815,0.7789,1.1248,0.6092,3.4539,0.2831,0.6958,BRCACancer
Utah__D01,-0.0451,0.1543,0.1592,0.8522,1.5488,1.2125,3.823,1.1551,0.6258,BRCACancer
Utah__D02,0.2128,0.3139,0.1665,1.095,1.5384,0.8049,3.5117,0.4586,0.8336,BRCACancer
Utah__D03,0.1776,0.2705,0.0981,0.9741,1.4353,0.6822,3.7495,0.5391,0.7497,BRCACancer
Utah__D04,0.0904,0.1769,0.0362,1.115,1.678,0.807,3.5533,0.7281,0.856,BRCACancer
Utah__D05,0.0919,0.3453,0.1155,1.1078,1.548,0.6268,3.7884,0.6059,0.7509,BRCACancer
Utah__D06,0.1885,0.2857,0.2306,1.1806,1.7063,0.8574,3.4327,0.7144,0.8778,BRCACancer
Utah__D07,0.2442,0.3571,0.1471,1.1857,1.7169,0.7626,3.8829,0.5807,0.8642,Control
Utah__D08,0.003,0.2775,0.1055,0.7723,1.3937,0.573,3.7827,0.4964,0.6476,Control
Utah__D09,0.1332,0.239,0.0773,1.0669,1.4929,0.784,3.3633,0.4889,0.8295,Control
