@relation data

@attribute id string
@attribute 1000 numeric
@attribute 1001 numeric
@attribute 1002 numeric
@attribute 1003 numeric
@attribute 1004 numeric
@attribute 1005 numeric
@attribute 1006 numeric
@attribute 1007 numeric
@attribute 1008 numeric
@attribute 1009 numeric
@attribute 1010 numeric
@attribute 1012 numeric
@attribute 1013 numeric
@attribute 1016 numeric
@attribute 10207 numeric
@attribute 10686 numeric
@attribute 10979 numeric
@attribute 1308 numeric
@attribute 1364 numeric
@attribute 1365 numeric
@attribute 1366 numeric
@attribute 137075 numeric
@attribute 149461 numeric
@attribute 1495 numeric
@attribute 1499 numeric
@attribute 1500 numeric
@attribute 2316 numeric
@attribute 2318 numeric
@attribute 23562 numeric
@attribute 23705 numeric
@attribute 24146 numeric
@attribute 253559 numeric
@attribute 25945 numeric
@attribute 26285 numeric
@attribute 29780 numeric
@attribute 3611 numeric
@attribute 3655 numeric
@attribute 3688 numeric
@attribute 3691 numeric
@attribute 3728 numeric
@attribute 3909 numeric
@attribute 3914 numeric
@attribute 3918 numeric
@attribute 3987 numeric
@attribute 4301 numeric
@attribute 49861 numeric
@attribute 5010 numeric
@attribute 50848 numeric
@attribute 50855 numeric
@attribute 51208 numeric
@attribute 5339 numeric
@attribute 54751 numeric
@attribute 55679 numeric
@attribute 55742 numeric
@attribute 5584 numeric
@attribute 56288 numeric
@attribute 57863 numeric
@attribute 5817 numeric
@attribute 5818 numeric
@attribute 5819 numeric
@attribute 5829 numeric
@attribute 6251 numeric
@attribute 64398 numeric
@attribute 64403 numeric
@attribute 667 numeric
@attribute 7016 numeric
@attribute 7122 numeric
@attribute 7408 numeric
@attribute 81607 numeric
@attribute 84552 numeric
@attribute 84612 numeric
@attribute 87 numeric
@attribute 9069 numeric
@attribute 9071 numeric
@attribute 9073 numeric
@attribute 9074 numeric
@attribute 9075 numeric
@attribute 9076 numeric
@attribute 9080 numeric
@attribute 92359 numeric
@attribute 9459 numeric
@attribute 977 numeric
@attribute 999 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.0079978060,2.4948960244,-0.0701225634,-0.0707705626,-0.1178994638,-0.1710728327,-0.1399585566,-0.2225581903,-0.1834228891,0.0233093679,-0.0887298824,-0.1275247833,-0.0779454701,-0.1022439729,0.2768709811,-0.0151344607,0.7247807497,-0.0876502462,0.5269904546,0.0574920065,1.7706486186,0.4128884136,-0.0796619306,1.3338098931,0.9433099893,1.1013892478,1.4137831880,0.0149031103,-0.1124613259,0.0601573012,-0.0170168009,-0.1113261386,-0.0533231168,-0.0588314680,0.3420406629,1.0533246946,1.5895233715,0.1778868698,0.5317557791,1.7464562788,0.1379500334,2.8730801045,1.2228085171,0.2254320694,0.3362823766,0.0024670343,0.9713189493,1.7773411274,0.1989185824,-0.0240158797,0.2581106624,0.3052692949,-0.0810486044,0.4899523735,2.3320702909,0.3152182770,-0.0894548443,0.3120588039,-0.0112638130,0.0574635073,0.6176301669,0.3941750591,0.8692562140,0.0780767905,0.8836839102,0.6717550336,-0.1032576506,0.4870980292,0.4693126697,0.0649754829,0.1846362205,1.9086507757,2.8071182304,0.6189519864,2.6962009007,-0.1994480709,-0.0683266355,0.9160380667,-0.0483732750,0.3812468040,0.0305017218,1.4084042961,1.3886794052,BRCA
GSM480985,0.3107617417,2.8044762015,-0.1764649662,-0.0017558100,-0.1182889944,-0.1698280648,-0.1205293508,-0.1903643074,-0.1392392131,0.0191310438,-0.1409466568,-0.0832106286,-0.0274606835,-0.1395862657,0.5228176718,-0.0513184398,1.1025075968,-0.0302374331,0.7342764941,0.2624109593,1.6812248330,0.1705754072,-0.1027213873,1.3528159242,1.1109306672,1.2430446778,1.5385420131,0.3142425959,-0.0871124358,0.1854424626,-0.0203990307,-0.1224388411,-0.0277138369,-0.1546119963,0.1329531121,1.3253519914,1.0445313049,0.1802411383,0.5638625549,1.3415887190,0.0312214195,2.4061888755,0.8882103669,0.3956163802,0.3662796632,0.0254270337,1.6740460265,1.6938265978,0.0274051996,0.0031078936,0.0270712518,0.6394262349,0.0466299484,0.6221619517,2.3838671049,0.3989806053,-0.0920547977,0.2540088786,-0.0125790390,0.1497217030,0.4716516466,0.3365733504,0.9100086936,0.0308986652,0.9175688199,0.7997178444,-0.0090509724,0.1326151800,0.5670532434,0.0301042461,0.2701469569,2.2563728540,2.9012334214,1.5059091382,3.3014034431,-0.2187516283,-0.0704605920,1.2613686594,0.0913711271,0.3800858586,0.8273559293,1.9780240430,1.4782442701,BRCA
GSM480986,0.1054877200,2.8447900115,-0.0164610079,-0.0573108660,-0.0926698614,-0.1590969212,-0.0340914905,-0.0554408671,-0.1204676842,-0.0217976615,-0.2030533013,-0.0644119652,-0.0770449613,-0.0530825313,0.2350897809,-0.0829284461,0.8283117675,0.0640206701,0.4177501201,0.0552441317,1.7351717518,0.2640824781,-0.0876056654,1.2520638189,0.9477347201,1.0870863236,1.5913229489,0.0526115424,-0.0660320081,0.0517037134,-0.0219129330,-0.1003974662,-0.0433475760,-0.1225341080,0.4528876995,1.1013028091,1.4131523895,0.1151252413,0.5565157449,1.8956718247,0.1543111797,2.7993401586,1.4813584436,0.1876648398,0.3136572798,-0.0484648710,0.7859586161,2.0022597963,0.1593352445,-0.0460213097,0.1111137820,0.3612510202,-0.0047073041,0.6586867693,2.2082570790,0.2756254022,-0.0933937245,0.2919620126,0.0518422806,0.1392051461,0.6545756165,0.3402555897,0.8406049761,-0.0236284914,0.8603429330,0.9487433003,-0.0810573978,0.3788658783,0.4503057794,0.2146770790,0.1595798945,2.0866372263,2.7634867031,0.6009663289,2.5117521420,-0.1308928371,-0.0833104959,1.0621557547,0.0171090096,0.4162387468,0.0169443934,1.7639057563,1.5077302921,BRCA
GSM480987,0.5377828327,0.6036503430,0.0050844479,-0.0487219249,-0.1020590688,-0.1368065617,-0.1011292980,-0.0722903324,-0.0928849668,0.1656103466,-0.0900732206,0.0157466066,-0.0807200500,-0.0727827413,-0.0631076577,-0.0823137330,1.6983301548,-0.0525122266,-0.1502266019,-0.0489588074,-0.0900415049,1.0150489352,-0.0951677346,0.8798748336,0.7213038760,0.6097315177,1.6446021437,2.0253902710,-0.1622992494,-0.0323249137,0.0549581140,-0.1048238753,0.4941993632,-0.0692456274,0.5643936087,1.1396798161,0.1342354619,0.0755187708,0.1239360439,0.0025442684,-0.0761966856,0.2897317523,0.2405148361,0.2927217461,0.2183740184,-0.0745307706,1.2320871734,0.2590887595,-0.0532572559,-0.0651945644,-0.0048551378,0.3882345206,0.0131749098,0.8490934424,1.6939826542,0.1251903196,0.2052001063,0.2272325474,-0.0502896028,0.0809503158,0.3087009139,0.3478448721,0.3135821897,0.0145911131,0.4572596916,0.8296087923,-0.0564154077,0.0768386433,0.0064895833,0.1926902709,-0.0835599721,1.9076936618,2.3054722019,0.0895075921,0.3912027059,-0.1961606463,-0.0308629964,0.0752644180,-0.0538081663,-0.0723090966,1.0348463968,1.2059214598,0.2715312235,BRCA
GSM480988,0.0197224870,3.1870507151,-0.0804347395,-0.1147213753,-0.0802421397,-0.1535454372,-0.0905594850,-0.0989837216,-0.1108822126,0.0043803039,0.0089943800,-0.0668579084,-0.1199447378,-0.1165536303,0.2351368267,-0.0434393109,0.7390254257,-0.0582232664,0.3607583904,-0.0549435111,1.1728110809,0.2920180181,-0.0668707719,1.1278576067,0.8318137222,1.0525626070,0.8170455885,-0.0526661786,-0.0363038128,0.1246221043,0.0279797427,-0.0598242706,-0.0743239634,-0.1409048050,0.2201563917,1.0330240380,1.0071759766,0.1863922891,0.3697716742,1.3134222209,0.1022720824,2.2089852541,0.8094071345,0.1151891549,0.2851979729,-0.0409041132,0.6754580580,1.9027011719,0.1754091490,0.0060846907,0.0786478915,0.3852849320,-0.0515507830,0.4724213741,2.1392073233,0.3105019539,-0.0860952903,0.1591009188,-0.0138245839,0.1457537254,0.5326055884,0.3682710562,0.7566840751,-0.0347994036,0.6411637226,0.9939697271,-0.1191514552,-0.0151271418,0.2790030004,0.0255864477,0.0645947851,1.9844101221,2.7270136010,1.1925035451,2.9809040228,-0.1141403450,-0.0466016669,0.9884170632,0.0085407338,0.3374296574,0.3858037989,1.0367200239,1.3151372973,BRCA
GSM480989,-0.0148596324,2.9742934257,-0.1509811569,-0.0259790239,-0.1192631012,-0.2009266740,-0.0458442224,-0.1494814153,-0.1062153941,0.0448929024,0.0962317938,-0.1412886973,-0.0727804374,-0.1174807759,0.0725434316,0.0310693728,0.4290146036,-0.0891313868,1.0058885305,0.2020044652,2.4454563890,0.8166204245,0.0186659424,1.0870941328,0.9154817797,1.0993140891,1.4999871135,0.0572505829,-0.0309763127,0.0348425469,-0.1284807392,-0.1349090947,-0.0183151800,-0.0867649301,0.3941425167,1.5353041391,0.9411138160,0.1971728543,0.7903764260,2.2143873838,0.0753549911,2.7516675143,0.9261939702,0.0803846543,0.2684092492,-0.0267336389,1.0948092279,2.6137209191,0.3784832741,-0.0274175816,0.1065985739,0.4880273184,-0.0728301803,0.4928570789,1.8509808282,0.1698386624,-0.0780633821,0.3311461127,-0.0261403982,0.2048680367,0.6901691206,0.1956807113,0.4496363700,0.0944046570,0.5350379922,1.1351583483,-0.0130096410,0.5194235196,0.6739893489,0.0993371152,0.0797704828,2.0251179983,2.3853855000,1.2022641268,2.4921964673,-0.1806637100,0.0677883270,0.6196880026,0.0370877476,0.7628437615,0.0056937418,1.9455204308,1.6750301521,BRCA
GSM480990,0.0222585909,3.2765496224,-0.0235741048,-0.0225970228,-0.1061095343,-0.1788068148,-0.0633784720,-0.0935702836,-0.0481617891,0.1273162138,-0.0371916000,0.0389578783,-0.0638306495,-0.1299449191,0.0351214106,-0.0660100179,0.5289119279,0.2528435833,0.3522281795,0.0238317825,1.9480334157,0.3318013596,-0.0398207089,0.8238437675,0.8344820888,1.0458366102,2.0414946509,0.5474388824,-0.1225349001,0.0314074329,-0.1238608885,-0.1308186076,0.0430891197,-0.1225173859,0.5579209376,1.2197129198,1.8012763822,0.2156330049,0.7551646513,2.3775305616,0.2174830034,3.0937303010,1.6579041505,0.1266694236,0.2868320285,0.0182006511,0.7012910847,2.0485996766,0.1663968669,-0.0720719992,0.2519848243,0.9581291109,-0.1258479846,0.5800779909,2.0562682218,0.1310873326,-0.0872219572,0.2485136800,0.0882562398,0.1954480700,0.8938638121,0.1844460672,0.4257278582,0.0784270174,0.7140309992,1.0302300750,-0.0089044591,0.5918795068,0.4875680120,0.5986122771,0.0025807855,2.5694656123,2.4570371178,0.9849450721,1.3871032067,-0.1303983054,-0.0045412671,0.7622464742,0.0953551888,0.3344569934,0.2112568687,1.7575585025,1.5135529946,Control
GSM480991,0.1355888178,3.0281209946,-0.0721082601,0.0088997779,-0.0837402007,-0.1452018497,-0.0695856408,-0.0680734182,-0.1216975624,0.0096155933,-0.0919582240,-0.1122523171,-0.0910427591,-0.1437837096,0.1994362793,0.0034333845,0.6267217062,0.0956753508,0.9799972104,0.1568808900,2.3234847387,0.9389027224,-0.0628333489,1.2444188044,0.9456861730,1.0857336445,1.7985366823,0.1266657435,-0.1111295003,-0.0031924856,-0.0515776859,-0.0772023696,-0.0465360062,-0.0353925389,0.4783531724,1.3581732910,1.1261571220,0.1428165244,0.6704476510,2.3339636856,0.1427268101,3.1154187915,1.1283380045,0.1570188081,0.3089245566,-0.0987580774,1.2929585343,2.2291539835,0.2517039030,-0.0643866166,0.2394487015,0.7095391393,-0.0245957046,0.6226573870,2.2735598817,0.2417833404,-0.0826964258,0.2259082551,0.0737969124,0.1881264911,0.6825946626,0.2701969095,0.6934893817,0.0425707036,0.7195743836,1.1145608409,-0.0576659664,0.5054169691,0.7627263739,0.2195122784,0.2047381752,2.2730862697,2.6925187376,1.6695320208,2.8427255419,-0.1782377246,0.0363576253,0.9921294030,0.1179961617,0.6068483961,0.0334029134,1.7942774781,1.6498906129,Control
GSM480992,-0.0262533089,3.1905305386,-0.0437693235,-0.0186430055,-0.0989179860,-0.1645412416,-0.1046075434,-0.0603121818,-0.0787671275,0.0091701834,-0.0417808582,-0.0914689656,-0.0878573068,-0.1584247687,0.1159416372,-0.0635908829,0.5018066451,0.0860982101,0.6926356406,0.0885025715,2.6263523236,0.3532487679,-0.0271722245,1.0113575603,0.7282237562,1.0853888872,2.0218489599,0.0198848049,-0.1734692978,-0.0125743353,-0.0995841408,-0.0678455693,-0.1057335104,-0.0792383742,0.7448333589,1.2276923956,1.0523044984,0.0501170250,0.8562546423,2.8402087953,0.1239541815,3.1786065399,1.1166219797,0.0726868567,0.3569695423,-0.1631293948,0.5121208262,2.1542558598,0.3662272805,-0.0188918518,0.2047702074,0.8321140948,-0.0203561636,0.5657962291,1.9387837317,0.1502051424,-0.0741388229,0.2857994941,0.1829184337,0.2318742438,0.9083260275,0.1752657105,0.4361682003,0.1047478939,0.5600188994,1.2682259380,-0.0369503002,0.7011816279,0.7518590033,0.3079987412,0.1469262328,2.6207809300,2.3507701158,0.1692075819,2.1585274140,-0.1716710903,-0.0259502849,0.7065502705,0.0421305199,0.5010001584,-0.0657502839,1.7993058227,1.6639675334,Control
GSM480993,0.0966705108,2.9800154716,0.0342881722,-0.0006494025,-0.0764626540,-0.1558077187,-0.1069473589,-0.0292225893,-0.1231829406,-0.0100918902,-0.1298814251,-0.0460477298,-0.0612450747,-0.1182726163,0.2312124060,-0.1291178515,0.6790242102,0.0122062546,0.5968067498,0.2305033326,2.1207302874,0.5422982129,-0.0705183992,1.0947239722,0.8789024687,1.0474673129,1.8627272177,0.1154765669,-0.0412175156,0.0388716106,-0.0634746311,-0.1011384574,0.0002155742,-0.0536266352,0.5549119527,1.2156664166,1.2222134096,0.0346996909,0.7041652148,2.0651898517,0.1309177122,2.9286579789,1.2038986695,0.2647140825,0.2916397543,-0.0635382313,1.4853956729,2.0226346815,0.2880333906,-0.0856323575,0.1820481202,0.5303890108,0.0124662510,0.5714685268,2.1609640054,0.2836307050,-0.0893197066,0.2867408966,0.0702447227,0.2080406723,0.6837831851,0.3028432983,0.6825239716,0.0776018341,0.5938611319,1.1421183547,-0.0865624208,0.5136565912,0.6351050908,0.2574249916,0.1719679692,2.3483436903,2.6977405019,0.5346886906,2.5802887544,-0.1878573310,0.0283705314,0.8749618310,0.1226217514,0.4384914874,0.1967417030,1.8722730575,1.5387369182,Control
