@relation data

@attribute id string
@attribute 427 numeric
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 2776 numeric
@attribute 1605 numeric
@attribute 820 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.8005,-0.2782,1.1032,0.6485,0.4135,0.4906,Control
A02,1.9291,-0.2215,0.7032,0.2358,0.3531,0.4925,Control
A03,2.1411,-0.2816,0.7757,0.4627,0.4099,0.5706,Control
A04,1.8407,-0.0606,0.8349,0.3177,0.3598,0.521,Control
A05,2.1618,-0.1057,0.8734,0.4844,0.544,0.6275,Control
A06,2.1823,-0.2793,0.8107,0.3651,0.3382,0.5337,Control
A07,2.1791,-0.132,1.2021,0.8957,0.3858,0.6069,Control
A08,1.9275,-0.3014,1.3175,1.0393,0.2771,0.4398,Control
A09,2.1259,-0.1714,1.1023,0.8753,0.3301,0.4809,Control
A10,2.0097,-0.1212,1.0857,0.8224,0.3513,0.4289,Control
A11,1.8166,-0.2337,0.7329,0.5344,0.1933,0.5029,Control
A12,1.6432,-0.3275,0.6014,0.1356,0.1738,0.7336,Control
B01,1.8541,-0.5915,1.0138,0.5769,0.2635,0.6479,Control
B02,2.1536,-0.1448,1.0269,0.34,0.3912,0.4907,Control
B03,2.0865,-0.2483,0.9744,0.4581,0.2971,0.5407,BRCACancer
B04,1.6803,-0.3293,1.3219,1.0542,0.384,0.547,BRCACancer
B05,2.1716,-0.3074,0.7524,0.2673,0.2098,0.6012,BRCACancer
B06,1.6952,-0.5845,0.6518,0.3375,0.1641,0.7986,BRCACancer
B07,1.9088,-0.176,0.9302,0.3625,0.3361,0.8099,BRCACancer
B08,2.0019,-0.1205,0.7195,0.2896,0.2729,0.4893,Control
B09,1.8221,-0.3037,1.0977,0.9284,0.2208,0.5014,Control
B10,1.7272,-0.2015,0.9652,0.6993,0.2582,0.4998,Control
B11,1.8531,-0.1785,0.796,0.5084,0.3064,0.5367,Control
B12,1.2939,-0.1956,1.0662,0.8178,0.1606,0.4941,Control
C01,1.9959,-0.2608,1.0023,0.7247,0.3782,0.5299,BRCACancer
C02,1.7706,-0.1091,0.8629,0.2526,0.4971,0.4942,BRCACancer
C03,1.8668,-0.1187,1.0067,0.3465,0.4667,0.6903,BRCACancer
C04,1.6451,-0.1297,0.5337,0.183,0.2272,0.5975,Control
C05,1.569,-0.0924,0.571,0.1895,0.264,0.554,BRCACancer
C06,0.7221,-0.1911,0.2826,0.1551,0.0142,0.5545,Control
C07,1.6048,-0.092,0.6823,0.1674,0.2649,0.5312,Control
C08,1.7202,-0.1618,0.7762,0.2068,0.362,0.4903,Control
C09,1.5486,-0.056,0.6937,0.1723,0.2867,0.7177,Control
C10,1.6467,-0.0355,0.7183,0.1454,0.3751,0.5001,BRCACancer
C11,1.7753,-0.0425,0.8951,0.277,0.395,0.4619,Control
C12,1.3359,0.006,0.5087,0.1644,0.2076,0.61,BRCACancer
D01,1.7279,-0.2946,1.3063,1.2018,0.2271,0.5341,BRCACancer
D02,1.7167,-0.0395,0.7462,0.2167,0.3811,0.3492,BRCACancer
D03,1.6075,-0.076,0.6477,0.2558,0.2822,0.5998,BRCACancer
D04,1.8633,-0.0775,0.7153,0.3917,0.333,0.4436,BRCACancer
D05,1.9267,-0.0835,0.7336,0.2773,0.3497,0.6216,BRCACancer
D06,1.8728,-0.1354,0.8515,0.3269,0.3559,0.5172,BRCACancer
D07,1.9752,-0.0542,0.7584,0.197,0.3862,0.5526,Control
D08,1.6327,-0.0948,0.5849,0.1797,0.2042,0.5362,Control
D09,1.7619,-0.2266,0.7815,0.1938,0.3495,0.509,Control
D10,1.9298,-0.0673,0.575,0.2474,0.2879,0.9531,Control
D11,1.017,-0.3022,0.4835,0.1572,-1e-04,0.4791,Control
D12,1.7582,-0.1239,0.4723,0.1748,0.1458,0.2913,Control
E01,1.7714,-0.0658,0.6028,0.1703,0.2058,0.4697,BRCACancer
E02,1.6184,-0.0383,0.9994,0.1833,0.4199,0.5044,Control
E03,1.9963,0.0306,0.647,0.1966,0.4189,0.5079,Control
E04,1.7542,-0.0823,0.8577,0.2431,0.4254,0.4956,Control
E05,1.4295,-0.2626,0.9231,0.199,0.354,0.5962,Control
E06,1.5717,-0.3548,0.6352,0.2853,0.2162,0.9353,BRCACancer
E07,1.8801,-0.0434,0.7293,0.2416,0.3619,0.4309,BRCACancer
E08,1.8896,-0.0478,0.8119,0.269,0.3516,0.4726,Control
E09,1.7631,0.0032,0.783,0.2315,0.3967,0.6173,BRCACancer
E10,1.9163,-0.1949,0.9812,0.3253,0.5105,0.7779,BRCACancer
E11,1.6861,-0.1487,0.5746,0.1579,0.2383,0.586,Control
E12,1.7511,-0.1579,0.469,0.1771,0.1893,0.29,BRCACancer
F01,1.6429,-0.2637,1.0158,0.4733,0.4062,0.511,Control
F02,1.7137,-0.0806,0.959,0.3117,0.4133,0.6703,Control
F03,1.6761,-0.2238,0.6867,0.1519,0.3717,0.6239,Control
F04,1.8731,-0.3469,0.9358,0.6481,0.1909,0.4907,Control
F05,1.767,-0.1214,0.8259,0.2124,0.4345,0.5273,Control
F06,1.6149,-0.2278,0.5006,0.2044,0.2676,0.7048,Control
F07,1.4542,-0.1184,1.2746,0.5854,0.3339,0.4579,Control
F09,2.0467,-0.0597,0.9001,0.3056,0.4453,0.546,Control
F10,1.8927,-0.0613,1.1092,0.4064,0.5057,0.4699,Control
F11,1.9529,-0.0973,0.6376,0.2222,0.3418,0.92,Control
F12,1.8159,-0.338,0.9625,0.87,0.256,0.4281,Control
G01,1.928,-0.1851,0.8441,0.3688,0.2868,0.4598,Control
G02,1.8768,0.0144,0.5945,0.2126,0.2285,0.3585,Control
G03,1.77,-0.211,0.9842,0.3261,0.3272,0.7921,Control
G04,1.6884,0.0755,0.8759,0.235,0.3969,0.4625,BRCACancer
G05,1.4864,-0.3634,0.588,0.3362,0.0733,0.4476,BRCACancer
G06,1.6889,-0.0939,0.8597,0.3088,0.3865,0.4466,BRCACancer
G07,1.6284,-0.0967,0.7944,0.2211,0.22,0.3766,Control
