@relation data

@attribute id string
@attribute 1457 numeric
@attribute 2002 numeric
@attribute 2353 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3716 numeric
@attribute 3725 numeric
@attribute 4214 numeric
@attribute 5154 numeric
@attribute 5156 numeric
@attribute 5290 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5335 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5604 numeric
@attribute 5894 numeric
@attribute 5921 numeric
@attribute 6416 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6722 numeric
@attribute 6772 numeric
@attribute 6773 numeric
@attribute 6774 numeric
@attribute 6775 numeric
@attribute 6776 numeric
@attribute 6777 numeric
@attribute 6778 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6665,0.4506,2.8919,1.6355,0.4236,1.8794,1.2901,2.265,0.5166,0.0087,1.5746,1.8406,1.4982,1.7307,0.5534,1.0586,1.0952,1.4087,0.7341,1.7841,1.2823,0.7496,0.7565,1.1256,0.7962,2.3654,2.2851,1.4524,1.9054,1.2133,1.495,2.362,Control
Utah__A02,0.3926,0.2934,1.0722,1.481,0.3716,1.6629,0.8169,1.9132,0.6073,0.0454,1.3014,2.0413,1.1993,1.247,0.2001,0.7032,1.0379,0.986,0.48,1.5394,0.8797,0.4989,0.8046,0.9005,0.7836,2.5389,2.1881,1.317,1.5178,1.1168,1.0726,2.3107,Control
Utah__A03,0.4933,0.364,2.3576,1.7658,0.3757,1.8002,1.1876,2.1264,0.4638,0.0451,1.3967,2.162,1.3339,1.3323,0.1966,0.9762,1.0752,1.223,0.7059,1.7337,1.0695,0.6475,0.7989,1.1275,0.8148,2.8972,2.5726,1.4815,1.5488,1.269,1.2059,2.3941,Control
Utah__A04,0.4267,0.3909,1.55,1.4795,0.3609,1.964,1.2809,2.2551,0.4994,0.0058,1.353,2.0983,1.4882,1.3202,0.3061,0.82,1.0602,0.9854,0.5113,1.6705,0.9939,0.518,0.8019,1.028,0.7938,2.379,1.9536,1.3965,1.7396,1.1765,1.2032,2.3202,Control
Utah__A05,0.4824,0.4547,1.9884,1.8562,0.4772,1.8971,1.2201,2.4117,0.7112,0.0339,1.4836,2.0939,1.3381,1.2108,0.3059,0.9512,1.2157,1.1338,0.726,1.8077,1.1017,0.6041,0.8988,1.0464,0.9131,2.648,2.3031,1.4478,1.5442,1.3211,1.2305,2.5513,Control
Utah__A06,0.4724,0.4061,3.0931,1.5705,0.2467,1.8036,0.8267,2.0422,0.3478,0.0181,1.3845,1.9853,1.3761,1.2063,0.296,0.9045,1.0037,1.1657,0.6824,1.7479,0.9595,0.5939,0.7671,0.8852,0.7337,2.2254,2.1935,1.3706,1.6425,1.129,1.1159,2.4537,Control
Utah__A07,0.6791,0.3002,2.7085,1.8609,0.364,2.0093,1.2177,2.3762,0.5108,0.0444,1.5934,1.9624,1.6231,1.2924,0.5102,1.3099,0.9863,1.3766,0.8669,1.7697,1.3399,0.8022,0.7989,1.1765,0.7957,2.2112,2.1592,1.4224,1.8251,1.0809,1.3173,2.4066,Control
Utah__A08,0.7134,0.3245,1.7156,1.7198,0.2967,2.2698,0.8932,2.6059,0.3805,-0.0364,1.7501,2.0579,1.714,1.4821,0.8364,1.4137,1.0102,1.5009,0.8829,1.7375,1.5435,0.9913,0.784,1.467,0.7172,2.5672,2.0732,1.3603,2.1393,1.023,1.3652,2.0624,Control
Utah__A09,0.5707,0.3747,2.2374,1.8278,0.349,1.9491,0.9938,2.4502,0.5645,0.0158,1.4582,1.976,1.5464,1.3752,0.5718,1.2508,1.0062,1.3752,0.7767,1.637,1.182,0.7463,0.7778,0.9988,0.7288,2.4187,2.1477,1.3413,1.7935,1.0927,1.2773,2.4285,Control
Utah__A10,0.6037,0.3376,3.1715,1.802,0.398,2.0508,1.3414,2.3575,0.6005,-0.0171,1.6941,2.115,1.6535,1.2657,0.3781,1.3167,0.9394,1.2385,0.8171,1.7832,1.3374,0.8644,0.79,1.3316,0.8269,2.7033,2.1464,1.4577,2.17,1.0601,1.2687,2.2558,Control
Utah__A11,0.3943,0.3242,2.8363,1.5523,0.2904,1.6694,1.0631,1.776,0.2353,-0.0382,1.2025,1.5981,1.2442,1.1776,0.3263,0.9853,0.9926,1.1692,0.6056,1.2804,0.8024,0.6276,0.5794,0.7415,0.5483,1.4881,1.8685,1.2392,1.5877,0.8919,1.1274,2.2062,Control
Utah__A12,0.1867,0.1578,0.9324,1.1373,0.2032,1.4495,0.7342,1.3066,0.4062,0.1046,0.9215,1.6271,1.0289,0.8519,0.1184,0.5269,0.6672,0.7211,0.3165,1.1644,0.6589,0.2806,0.5636,0.5292,0.6808,1.4931,0.919,0.947,1.3763,0.6648,0.6719,1.6087,Control
Utah__B01,0.5673,0.1905,1.9549,1.5002,0.1584,1.7935,0.9628,2.2101,0.1887,0.0218,1.4577,1.9184,1.5918,1.4072,0.5839,0.9472,0.7793,1.4726,0.6567,1.6434,1.2574,0.611,0.5764,0.9141,0.5736,2.2112,1.9036,1.228,1.7764,0.9454,1.1633,1.9583,Control
Utah__B02,0.4751,0.411,3.0428,1.6034,0.3404,1.861,1.324,2.0489,0.4217,0.012,1.4219,2.0553,1.7587,1.4738,0.3378,0.785,1.0963,1.2781,0.6188,1.8632,1.0685,0.5836,0.9083,0.8807,0.843,2.5759,2.2355,1.4313,1.8778,1.1624,1.2628,2.5226,Control
Utah__B03,0.5037,0.334,2.6432,1.5674,0.2646,1.8576,1.1414,2.2094,0.1054,-0.0159,1.5109,1.9803,1.9459,1.4534,0.3907,0.9095,0.9479,1.2859,0.6536,1.7244,1.1619,0.6389,0.7155,0.9276,0.6948,2.399,1.9517,1.3534,1.9073,1.0886,1.2554,2.2404,BRCACancer
Utah__B04,0.5824,0.2374,0.9219,1.6385,0.1782,2.1389,0.8347,2.5339,0.4232,0.0352,1.5671,1.9926,1.5967,1.4041,0.6402,1.5857,0.7243,1.159,0.8115,1.7237,1.515,0.7718,0.7092,1.4335,0.6602,2.4126,1.8529,1.332,1.9765,1.0415,1.3129,1.9882,BRCACancer
Utah__B05,0.3932,0.2082,1.0836,1.4949,0.2381,1.7979,0.7116,1.8667,0.2711,0.0372,1.1566,2.133,1.6704,1.0304,0.1887,0.8601,0.8239,1.0395,0.4972,1.4156,0.9054,0.5382,0.7441,0.7814,0.769,2.1061,1.87,1.2394,1.5944,0.9612,0.9651,2.1262,BRCACancer
Utah__B06,0.4005,-0.0844,0.7374,1.1292,-0.0061,1.4884,0.3639,1.7181,0.1626,0.0928,1.1199,1.4956,1.4068,1.0121,0.1906,0.7212,0.5177,0.9915,0.5394,1.4461,1.028,0.4167,0.4797,0.7812,0.4243,2.2475,1.7384,1.0958,1.5896,0.6954,0.8266,1.8997,BRCACancer
Utah__B07,0.6169,0.2864,1.1829,1.6266,0.38,1.8836,1.0629,2.0706,0.3941,0.0426,1.5493,2.0668,1.5879,1.6203,0.2531,0.9385,1.0487,1.4248,0.6951,1.9525,1.2913,0.6869,0.8876,1.1751,0.7893,2.7103,2.3682,1.4368,2.1552,1.152,1.3701,2.4327,BRCACancer
Utah__B08,0.4781,0.3701,1.4275,1.6339,0.3687,1.5898,1.1051,1.8635,0.6687,-0.0054,1.3231,1.8123,1.1769,1.2284,0.242,0.7048,1.0739,1.0959,0.682,1.5696,0.9235,0.4964,0.8025,0.7597,0.7268,1.6236,1.9673,1.2927,1.4501,1.0455,1.2143,2.3995,Control
