@relation data

@attribute id string
@attribute 5427 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 5981 numeric
@attribute 5983 numeric
@attribute 5982 numeric
@attribute 57804 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 6117 numeric
@attribute 6119 numeric
@attribute 10714 numeric
@attribute 5111 numeric
@attribute 6118 numeric
@attribute Class {Control,BRCACancer}

@data
D01,-0.0311,0.0718,0.3508,0.5515,1.0765,0.3847,0.7016,0.588,0.4133,0.3377,0.8477,0.1762,0.6659,0.4235,0.4516,BRCACancer
D02,0.2306,0.2389,0.1962,0.3723,1.1023,0.1879,0.8778,0.7412,0.4249,0.3724,1.1054,0.1649,0.3142,0.6471,0.5336,BRCACancer
D03,0.1359,0.1564,0.2753,0.2611,0.854,0.1361,0.7891,0.6685,0.3759,0.3267,0.9175,0.2096,0.3105,0.4774,0.4703,BRCACancer
D04,0.1543,0.2062,0.2673,0.4074,0.9884,0.2926,0.8669,0.6991,0.4292,0.2991,1.105,0.1286,0.5103,0.5683,0.5909,BRCACancer
D05,0.1156,0.1519,0.3327,0.2986,1.0816,0.1856,0.9505,0.627,0.4747,0.389,1.1116,0.2587,0.4667,0.5865,0.4865,BRCACancer
D06,0.1834,0.2935,0.3413,0.5114,1.1748,0.2319,0.9494,0.8085,0.5065,0.5199,1.287,0.2167,0.6198,0.7255,0.6946,BRCACancer
D07,0.1752,0.226,0.2394,0.435,1.1481,0.2045,1.0938,0.6758,0.422,0.4169,1.2878,0.1449,0.5103,0.7334,0.7271,Control
D08,0.1586,0.143,0.2827,0.2671,0.9703,0.2193,0.7275,0.4586,0.1149,0.3021,0.9756,0.1402,0.3006,0.5431,0.3944,Control
D09,0.1628,0.1974,0.3343,0.364,1.1732,0.2282,0.919,0.7876,0.5209,0.3909,1.2032,0.1596,0.541,0.6373,0.6612,Control
D10,0.2921,0.1751,0.3397,0.2487,1.0349,0.2179,0.8963,0.8158,0.4232,0.4495,1.0771,0.2482,0.4728,0.6706,1.0174,Control
D11,-0.0211,-0.1195,0.1717,0.148,0.5305,0.0909,0.46,0.1708,0.1431,0.1039,0.5829,-0.005,0.1889,0.1276,0.1328,Control
D12,0.1996,0.1942,0.249,0.2709,0.8265,0.1996,0.6144,0.5574,0.3443,0.3229,1.0428,0.0983,0.3491,0.663,0.3794,Control
E01,0.0047,0.1241,0.2463,0.2068,0.918,0.2127,0.669,0.5117,0.3984,0.3004,0.8663,0.1933,0.3919,0.5616,0.4967,BRCACancer
E02,0.2771,0.289,0.3674,0.3604,1.4019,0.2753,1.0935,0.737,0.6844,0.4296,1.3025,0.3097,0.4101,0.7425,1.024,Control
E03,0.1916,0.3212,0.3179,0.378,1.1174,0.2617,0.9696,0.8702,0.3318,0.4044,1.2759,0.1045,0.564,0.8928,0.5826,Control
E04,0.2913,0.4033,0.4128,0.5101,1.2607,0.2422,1.0204,0.9605,0.7232,0.4999,1.3313,0.2339,0.5096,0.6626,0.7884,Control
E05,0.171,0.0982,0.4294,0.3162,1.289,0.2631,0.9498,0.5519,0.6809,0.3756,1.1204,0.3261,0.3845,0.5328,0.7246,Control
E06,0.0567,-0.0961,0.353,0.2527,0.9701,0.0894,0.7941,0.3539,0.5071,0.2982,0.6897,0.1927,0.3584,0.4503,0.3442,BRCACancer
E07,0.2101,0.2706,0.3095,0.4205,1.1499,0.2091,0.9595,0.715,0.539,0.3831,1.1433,0.202,0.496,0.6419,0.575,BRCACancer
E08,0.1866,0.2669,0.3198,0.4131,1.2445,0.33,0.9405,0.7604,0.5114,0.4782,1.3296,0.1883,0.5826,0.8292,0.6792,Control
E09,0.2353,0.2568,0.2883,0.4043,1.1038,0.224,0.9318,0.9092,0.6116,0.3443,1.1159,0.2593,0.5046,0.7164,1.068,BRCACancer
E10,0.3472,0.1738,0.4054,0.4357,1.3948,0.3261,1.1207,0.7319,0.6478,0.4306,1.2714,0.2557,0.7857,0.7163,0.6984,BRCACancer
E11,0.2129,0.1562,0.2688,0.2867,1.0333,0.1193,0.8498,0.49,0.3711,0.3481,1.1489,0.1582,0.3535,0.6726,0.5104,Control
E12,0.0386,0.0891,0.1413,0.1224,0.8337,0.1798,0.782,0.4558,0.2949,0.2306,0.9057,0.1274,0.2579,0.4916,0.3553,BRCACancer
F01,0.2356,0.2959,0.4121,0.5681,1.3173,0.2634,0.9078,0.8426,0.6876,0.625,1.3254,0.2325,0.7462,0.6877,0.7782,Control
F02,0.2279,0.3066,0.4282,0.5558,1.4065,0.3166,1.1388,0.9782,0.7674,0.5649,1.2912,0.2666,0.6806,0.7891,0.8636,Control
F03,0.1936,0.254,0.3279,0.4164,1.1321,0.2167,1.0009,0.664,0.474,0.4424,1.2468,0.2219,0.5622,0.7639,0.8364,Control
F04,0.1424,0.0994,0.2457,0.482,1.0773,0.3593,0.8039,0.681,0.4871,0.4462,1.1341,0.156,0.7787,0.6408,0.5302,Control
F05,0.3113,0.2559,0.4013,0.4102,1.2742,0.2604,1.0228,0.7638,0.624,0.5004,1.243,0.2154,0.6042,0.8419,0.7367,Control
F06,0.2659,0.1365,0.2566,0.1981,0.9375,0.2099,0.99,0.7265,0.5258,0.3193,1.1069,0.1321,0.4197,0.6829,0.604,Control
F07,0.0987,0.238,0.319,0.4695,1.3726,0.2482,0.8492,0.7444,0.662,0.4704,1.17,0.1898,0.5491,0.6215,0.726,Control
F09,0.2895,0.3976,0.4247,0.5245,1.4922,0.3211,1.2255,1.0118,0.7474,0.6634,1.3612,0.3007,0.9143,0.8965,1.0904,Control
F10,0.2174,0.2962,0.3427,0.5073,1.4832,0.2995,1.1437,0.9491,0.6786,0.5483,1.2979,0.2577,0.7165,0.8511,0.8387,Control
F11,0.2156,0.2859,0.2905,0.4033,1.0729,0.1887,0.99,0.8813,0.4369,0.4016,1.3248,0.2175,0.6186,0.8906,0.7355,Control
F12,0.0589,0.1323,0.2721,0.3856,1.2618,0.2262,0.8761,0.5642,0.6458,0.4307,1.1331,0.1113,0.8379,0.65,0.641,Control
G01,0.351,0.145,0.3029,0.4012,1.1516,0.1991,1.0954,0.6705,0.5217,0.381,1.0622,0.1927,0.5068,0.7431,0.6698,Control
G02,0.1869,0.1696,0.3159,0.3396,1.0815,0.2162,0.7699,0.6097,0.4662,0.3527,1.0905,0.1947,0.4458,0.5931,0.41,Control
G03,0.2673,0.2382,0.4419,0.5056,1.4562,0.2928,1.0665,0.719,0.8272,0.5665,1.3216,0.3477,0.7314,0.7558,0.9987,Control
G04,0.253,0.3807,0.4602,0.4067,1.4435,0.2448,1.1616,0.8298,0.5658,0.4487,1.4554,0.2569,0.5162,0.6925,0.7734,BRCACancer
G05,0.0916,-0.0262,0.1888,0.3308,0.8139,0.2297,0.6468,0.4561,0.2039,0.2299,0.7973,-0.0184,0.4036,0.3041,0.0655,BRCACancer
G06,0.1942,0.1256,0.3239,0.3467,1.314,0.2107,1.0314,0.5958,0.5198,0.4467,1.0333,0.2059,0.6029,0.6993,0.5308,BRCACancer
G07,0.1637,0.1626,0.3445,0.3252,1.1521,0.2535,0.713,0.5843,0.4013,0.4597,1.2456,0.1477,0.3448,0.7688,0.4574,Control
G08,0.2544,0.1902,0.2362,0.4502,1.3091,0.2652,1.0274,0.8053,0.6358,0.5621,1.3238,0.2835,0.7407,0.7671,0.6903,Control
G09,0.1872,0.1984,0.1697,0.2494,0.9143,0.1426,0.727,0.5791,0.3576,0.283,1.0024,0.0986,0.5155,0.376,0.3519,Control
G10,0.06,0.057,0.2944,0.2547,1.1439,0.207,0.5685,0.3285,0.4995,0.2793,0.8767,0.1691,0.3392,0.5949,0.4818,BRCACancer
G11,0.1046,0.0631,0.0936,0.1118,0.6634,0.2753,0.4585,0.3832,0.22,0.2167,0.8336,0.135,0.3501,0.3091,0.1502,BRCACancer
G12,0.1508,0.1189,0.288,0.3376,1.1333,0.1975,0.7593,0.4668,0.4499,0.2509,0.9381,0.1408,0.4325,0.3672,0.3836,BRCACancer
H01,0.1767,0.0881,0.2964,0.2053,0.9503,0.1756,0.6821,0.5324,0.3051,0.2647,0.9499,0.1676,0.4252,0.4114,0.5115,Control
H02,0.2565,0.3041,0.2076,0.3332,0.9551,0.1294,0.8176,0.7139,0.3888,0.346,1.1605,0.1207,0.4449,0.6873,0.4471,Control
H03,0.0111,0.113,0.3582,0.3167,1.0771,0.2889,0.816,0.4958,0.4892,0.4189,1.0548,0.1024,0.5746,0.5586,0.4391,Control
H04,0.2714,0.2074,0.3069,0.5245,1.0919,0.328,0.88,0.7838,0.4711,0.6809,1.2871,0.2555,0.7476,0.7799,0.5509,Control
H06,0.1487,0.2514,0.2252,0.3866,1.098,0.1694,0.8463,0.5669,0.2994,0.4114,1.0556,0.1204,0.5408,0.6088,0.557,Control
H07,0.0625,-0.0023,0.3111,0.367,1.0612,0.339,0.5771,0.4348,0.4916,0.4924,1.0067,0.1433,0.6065,0.5311,0.2811,BRCACancer
H08,0.0603,0.057,0.1505,0.2723,0.9962,0.1829,0.6795,0.4845,0.3183,0.2133,0.8259,0.1316,0.585,0.442,0.2699,BRCACancer
H09,-0.045,0.0077,0.225,0.204,0.8555,0.0155,0.2838,0.2292,0.1933,0.1237,0.4786,0.0786,0.217,0.068,0.1108,BRCACancer
H10,-0.047,-0.0016,0.2344,0.24,0.8608,0.1417,0.5112,0.4064,0.381,0.3396,0.6926,0.1354,0.4782,0.3091,0.2481,BRCACancer
H11,0.0624,0.0832,0.2804,0.2292,1.234,0.1039,0.9155,0.4044,0.6037,0.3305,0.7711,0.1768,0.4668,0.374,0.5899,BRCACancer
H12,0.1985,0.1946,0.4267,0.4995,1.4624,0.3545,1.0583,0.6116,0.7164,0.5677,1.2702,0.3309,0.7033,0.7861,0.7579,BRCACancer
I01,0.2367,0.199,0.2691,0.5216,1.3293,0.3142,0.9794,0.5065,0.6997,0.4543,1.2142,0.1968,0.5941,0.715,0.8081,Control
I02,0.0337,-0.0063,0.307,0.3221,1.0341,0.1135,0.737,0.4146,0.2941,0.2493,0.9642,0.1115,0.3718,0.3591,0.4904,Control
I03,0.1213,0.0096,0.2467,0.2104,0.8851,0.0844,0.592,0.3684,0.4457,0.1931,0.8205,0.1305,0.2316,0.4707,0.2957,Control
I04,0.2307,0.3363,0.4502,0.4702,1.2864,0.18,1.0686,0.9357,0.5809,0.5327,1.344,0.1867,0.4968,0.6989,0.8285,Control
I05,0.2131,0.3459,0.2263,0.4587,0.9665,0.1348,0.9369,0.849,0.3759,0.4091,1.2892,0.1687,0.4073,0.6405,0.679,Control
I06,0.2065,0.3024,0.3398,0.4075,1.1687,0.2105,0.8389,0.6803,0.4676,0.3772,1.1842,0.2311,0.511,0.6202,0.5566,Control
I07,0.1527,0.3494,0.4169,0.6493,1.2633,0.2436,1.1012,1.0624,0.7331,0.5538,1.2903,0.3607,0.7622,0.7485,0.7847,Control
I08,0.1957,0.171,0.3321,0.4337,1.4619,0.2723,1.1343,0.6159,0.8826,0.5268,1.1176,0.2773,0.6394,0.708,0.9364,Control
I09,0.2682,0.0806,0.2121,0.3237,0.9052,0.2128,0.68,0.5477,0.4775,0.4188,0.8846,0.2134,0.6322,0.5247,0.4022,Control
I10,0.2631,0.1748,0.3909,0.4548,1.4234,0.3074,1.081,0.7979,0.6611,0.5886,1.2048,0.3246,0.7653,0.8231,0.6421,Control
I11,0.037,-0.0276,0.219,0.1403,0.9432,0.0706,0.7467,0.368,0.3606,0.1698,0.8059,0.2082,0.2162,0.4302,0.5126,Control
I12,0.1955,0.1643,0.2897,0.3625,1.1691,0.1647,0.9475,0.4091,0.5915,0.3822,1.191,0.2102,0.5023,0.6252,0.6002,Control
I13,0.2351,0.143,0.2846,0.4517,1.1648,0.2384,0.827,0.6293,0.4461,0.4348,1.2051,0.2194,0.5029,0.6247,0.8017,Control
J01,0.2097,0.2638,0.1956,0.2492,0.8898,0.1291,0.6767,0.5718,0.2265,0.2842,0.989,0.0379,0.3416,0.5935,0.4151,Control
J02,0.1659,0.2201,0.2912,0.2935,1.006,0.2068,0.7407,0.6302,0.3735,0.3772,1.1913,0.2236,0.3632,0.5803,0.7692,Control
J03,0.3347,0.3073,0.4253,0.4746,1.5298,0.2136,1.1871,0.8778,0.7074,0.6461,1.3694,0.2923,0.6141,0.8989,1.1915,Control
J04,0.1873,0.2668,0.376,0.422,1.2544,0.2822,1.0369,0.8167,0.6003,0.5707,1.3089,0.272,0.591,0.768,0.7419,Control
J05,0.0804,0.1179,0.2848,0.392,0.9388,0.2366,0.5759,0.5132,0.4412,0.3313,0.9384,0.1805,0.551,0.257,0.3834,Control
J06,-0.0189,-0.0213,0.3635,0.4336,1.0855,0.2954,0.7402,0.4443,0.4941,0.3426,0.8135,0.0984,0.5844,0.4253,0.3917,Control
J07,0.3799,0.3332,0.3774,0.5081,1.4,0.3896,1.172,0.8872,0.7279,0.586,1.3191,0.2331,0.8067,0.9326,0.7718,Control
J08,0.2019,0.1911,0.2838,0.3939,1.0471,0.2879,0.8428,0.7536,0.6303,0.4534,1.1797,0.1542,0.618,0.6657,0.5818,Control
J09,-0.0422,0.0798,0.1596,0.4306,1.1005,0.2179,0.7773,0.3974,0.4325,0.3343,0.8632,0.1455,0.3814,0.2933,0.5161,Control
J10,0.3796,0.1813,0.356,0.5353,1.3393,0.4139,0.8796,0.6073,0.6668,0.5186,1.3084,0.2951,0.688,0.7806,0.7539,Control
J11,0.178,0.1835,0.2282,0.5017,1.0816,0.3536,0.6637,0.5849,0.5319,0.4095,1.139,0.1449,0.6443,0.6795,0.4754,Control
J12,0.1726,0.0838,0.2288,0.4036,1.2141,0.317,0.6705,0.4748,0.5577,0.2971,1.0723,0.1508,0.5021,0.6292,0.4109,Control
K01,0.3431,0.2611,0.3691,0.5124,1.4855,0.4017,1.1591,0.8668,0.674,0.5733,1.3086,0.2858,0.8786,0.8183,0.7587,BRCACancer
K02,0.2267,0.234,0.3727,0.475,1.4315,0.2817,1.0995,0.7203,0.6754,0.4921,1.3246,0.2951,0.5688,0.837,0.8833,BRCACancer
K03,0.1259,0.0462,0.2995,0.3805,1.2426,0.328,0.8496,0.3431,0.5957,0.468,1.0332,0.1597,0.4968,0.7346,0.51,BRCACancer
K04,0.2929,0.2447,0.2838,0.5084,1.2833,0.2778,0.9857,0.7563,0.5928,0.5484,1.3388,0.3035,0.6517,0.8309,0.8192,BRCACancer
K05,0.2877,0.241,0.2419,0.3584,1.0048,0.2916,0.9054,0.8411,0.4823,0.4916,1.0118,0.282,0.5438,0.792,0.6931,Control
AA3226,0.1351,0.209,0.2025,0.2052,1.24,0.1931,0.9321,0.5599,0.5727,0.3159,0.9374,0.2276,0.4329,0.4937,0.535,Control
AB3227,0.2376,0.216,0.3771,0.443,1.3899,0.3302,0.9632,0.7823,0.6095,0.4212,1.1521,0.2496,0.6343,0.749,0.8785,Control
AC3228,0.1614,0.003,0.2862,0.3181,1.1943,0.1976,0.9114,0.5068,0.5315,0.3832,1.3485,0.3335,0.4731,0.6996,0.6658,Control
AD3231,0.1116,0.1904,0.4737,0.4847,1.2633,0.2612,1.0306,0.8265,0.6673,0.3923,1.1207,0.2839,0.5917,0.5772,0.7279,Control
AE1543,0.0602,0.1245,0.3228,0.4305,1.1302,0.2248,0.6902,0.6201,0.4124,0.345,0.958,0.2396,0.4788,0.6297,0.3629,Control
AF3229,0.1832,0.1292,0.3095,0.1796,1.4408,0.1376,1.1209,0.4334,0.4838,0.253,1.1151,0.2154,0.705,0.6135,0.5955,Control
AG3230,0.3122,0.0951,0.2113,0.4118,1.1195,0.1814,0.794,0.5082,0.6317,0.5402,1.2441,0.2346,0.7114,0.5811,0.5044,Control
AH3232,0.0598,0.12,0.2497,0.3041,1.0185,0.12,0.6887,0.4392,0.1943,0.1565,0.7744,0.219,0.2209,0.4076,0.3688,Control
AI3233,0.2292,0.2482,0.4431,0.549,1.4268,0.3488,1.1385,0.6871,0.6978,0.465,1.3109,0.2883,0.7879,0.918,0.9214,Control
AJ3234,0.1546,0.1726,0.3886,0.4917,1.245,0.2638,0.9103,0.8605,0.6482,0.5279,1.2144,0.1702,0.8597,0.8337,0.9036,Control
AK3235,0.1408,0.1195,0.4444,0.4186,1.3783,0.3327,1.0786,0.7838,0.606,0.4556,1.1382,0.2898,0.6267,0.6021,0.5922,Control
AL3236,-0.0278,0.1478,0.3336,0.4715,1.0655,0.2713,0.6504,0.5721,0.4704,0.4166,0.9924,0.0447,0.656,0.5488,0.3474,Control
AM3237,0.2683,0.2666,0.3727,0.5203,1.4555,0.4021,1.0132,0.7557,0.6159,0.5915,1.2981,0.321,0.5964,0.7867,0.6622,Control
AN757,0.2217,0.1535,0.3154,0.3896,1.3126,0.4236,0.9236,0.5307,0.6888,0.6338,1.2657,0.2673,0.6618,0.5673,0.7634,Control
C474,0.13,0.1643,0.2174,0.3048,1.125,0.1652,0.7992,0.6169,0.2594,0.2826,0.7494,0.1827,0.3837,0.6029,0.3284,Control
D480,0.2894,0.1615,0.2137,0.4148,1.2226,0.2479,0.7031,0.4236,0.4542,0.3081,1.06,0.1105,0.4085,0.4982,0.3199,Control
E519,0.1926,0.1452,0.2349,0.384,0.942,0.1749,1.0142,0.9341,0.4859,0.5401,1.3944,0.1911,0.8964,0.5814,0.7491,Control
F548,0.3775,-0.0157,0.2122,0.2625,1.2572,0.2231,0.7136,0.3841,0.4641,0.3232,0.9167,0.2088,0.3096,0.4281,0.505,Control
G660,0.0974,0.209,0.3447,0.3142,0.7645,0.2412,0.9148,0.9035,0.4994,0.3626,0.8885,0.0252,0.3725,0.4447,0.4758,Control
H663,0.3594,0.0918,0.3221,0.3998,0.9932,0.4126,0.8039,0.6746,0.618,0.4845,1.1911,0.2294,0.5863,0.7124,0.4427,Control
I782,0.2726,0.0949,0.3399,0.3965,0.9593,0.3675,0.7419,0.7143,0.5536,0.4808,0.9209,0.3152,0.3878,0.7232,0.4322,Control
J787,0.2651,0.3995,0.4103,0.4712,1.3415,0.5032,1.0331,0.8302,0.7199,0.6246,1.4342,0.1171,0.5638,0.7475,0.6716,Control
K1162,0.0845,0.2759,0.2843,0.4329,1.1303,0.3483,1.0245,0.8517,0.6219,0.529,1.204,0.232,0.7654,0.8961,1.093,BRCACancer
L1176,0.0452,0.0669,0.353,0.3561,1.4658,0.2464,0.924,0.4207,0.6306,0.4395,1.0517,0.2141,0.3924,0.4884,0.5602,BRCACancer
M1263,0.3985,0.3192,0.4135,0.5278,1.3448,0.4121,0.8857,0.8806,0.6311,0.5527,1.2807,0.2661,0.6204,1.0024,0.7512,BRCACancer
P1075,0.1023,0.1987,0.3235,0.3279,1.2518,0.0607,0.4763,0.6349,0.1028,0.1242,0.8034,0.132,0.2159,0.6388,0.4405,BRCACancer
Q1080,-0.0027,0.1152,0.2145,0.2135,1.0193,0.0329,0.8109,0.6844,0.6664,0.2385,1.1901,0.0506,0.1801,0.2459,0.4171,BRCACancer
R1104,0.1664,0.3099,0.462,0.4841,1.1612,0.4836,0.8755,0.5857,0.7805,0.6306,1.1095,0.2221,0.4952,0.6125,0.7762,BRCACancer
S1133,0.1042,0.1078,0.3315,0.1805,1.1081,0.1348,0.8602,0.5476,0.3832,0.1967,0.7974,0.2089,0.3066,0.3446,0.7504,BRCACancer
T1463,0.1145,0.3011,0.2123,0.6342,1.2982,0.2959,1.1312,0.7507,0.6173,0.6091,1.38,0.174,0.8573,0.9429,0.7108,BRCACancer
U2017,0.058,0.0093,0.1814,0.2722,0.856,0.2098,0.6976,0.4701,0.4121,0.3723,0.9169,0.2462,0.475,0.4606,0.4762,BRCACancer
V432,0.1717,0.0108,0.1837,0.1974,0.8701,0.0789,0.6077,0.3957,0.414,0.3187,0.711,0.0617,0.371,0.3795,0.3793,BRCACancer
W433,0.3428,0.2558,0.3193,0.4583,1.1027,0.3227,1.0991,0.9245,0.4661,0.4804,1.2938,0.2235,0.6625,0.9559,0.8358,BRCACancer
X524,0.2654,0.1155,0.1591,0.2329,0.9984,0.2068,1.0696,0.8651,0.421,0.418,1.3408,0.2405,0.9148,0.4251,0.9882,BRCACancer
Y546,0.1724,0.1,0.2267,0.2776,0.6047,0.1722,0.4734,0.4562,0.2786,0.2881,0.978,0.12,0.3298,0.2072,0.4044,BRCACancer
Z3225,0.1528,0.3852,0.2642,0.6617,1.2087,0.3735,1.0878,0.8728,0.5645,0.6541,1.5154,0.3023,1.0215,1.0067,0.9266,Control
