@relation data

@attribute id string
@attribute 64805 numeric
@attribute 5733 numeric
@attribute 5539 numeric
@attribute 59345 numeric
@attribute 51083 numeric
@attribute 10692 numeric
@attribute 152 numeric
@attribute 59340 numeric
@attribute 6352 numeric
@attribute 150 numeric
@attribute 5368 numeric
@attribute 151 numeric
@attribute 5540 numeric
@attribute 5443 numeric
@attribute 2852 numeric
@attribute 5179 numeric
@attribute 5173 numeric
@attribute 5030 numeric
@attribute 4889 numeric
@attribute 1901 numeric
@attribute 1902 numeric
@attribute 1903 numeric
@attribute 4886 numeric
@attribute 339403 numeric
@attribute 4887 numeric
@attribute 3352 numeric
@attribute 3351 numeric
@attribute 3354 numeric
@attribute 6364 numeric
@attribute 6363 numeric
@attribute 6366 numeric
@attribute 3350 numeric
@attribute 6368 numeric
@attribute 51764 numeric
@attribute 283869 numeric
@attribute 1813 numeric
@attribute 1814 numeric
@attribute 1815 numeric
@attribute 2841 numeric
@attribute 2840 numeric
@attribute 6360 numeric
@attribute 6010 numeric
@attribute 6752 numeric
@attribute 8862 numeric
@attribute 6753 numeric
@attribute 6750 numeric
@attribute 6751 numeric
@attribute 2787 numeric
@attribute 2784 numeric
@attribute 1129 numeric
@attribute 2783 numeric
@attribute 2786 numeric
@attribute 2785 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2791 numeric
@attribute 728 numeric
@attribute 221391 numeric
@attribute 2792 numeric
@attribute 727 numeric
@attribute 2793 numeric
@attribute 623 numeric
@attribute 1132 numeric
@attribute 6374 numeric
@attribute 109 numeric
@attribute 6373 numeric
@attribute 54331 numeric
@attribute 108 numeric
@attribute 6372 numeric
@attribute 107 numeric
@attribute 10803 numeric
@attribute 729230 numeric
@attribute 6370 numeric
@attribute 624 numeric
@attribute 1269 numeric
@attribute 1268 numeric
@attribute 2832 numeric
@attribute 2833 numeric
@attribute 187 numeric
@attribute 10681 numeric
@attribute 2779 numeric
@attribute 2773 numeric
@attribute 9568 numeric
@attribute 6387 numeric
@attribute 2780 numeric
@attribute 2826 numeric
@attribute 719 numeric
@attribute 2781 numeric
@attribute 9170 numeric
@attribute 718 numeric
@attribute 2782 numeric
@attribute 183 numeric
@attribute 2587 numeric
@attribute 10022 numeric
@attribute 186 numeric
@attribute 611 numeric
@attribute 6755 numeric
@attribute 6754 numeric
@attribute 23596 numeric
@attribute 51289 numeric
@attribute 3627 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 112 numeric
@attribute 2919 numeric
@attribute 113 numeric
@attribute 4852 numeric
@attribute 11255 numeric
@attribute 111 numeric
@attribute 3827 numeric
@attribute 10850 numeric
@attribute 643 numeric
@attribute 846 numeric
@attribute 8843 numeric
@attribute 55811 numeric
@attribute 7852 numeric
@attribute 3579 numeric
@attribute 11251 numeric
@attribute 3577 numeric
@attribute 94235 numeric
@attribute 165140 numeric
@attribute 56477 numeric
@attribute 3576 numeric
@attribute 53637 numeric
@attribute 50865 numeric
@attribute 301 numeric
@attribute 9290 numeric
@attribute 117579 numeric
@attribute 196883 numeric
@attribute 5697 numeric
@attribute 9294 numeric
@attribute 1232 numeric
@attribute 4543 numeric
@attribute 1233 numeric
@attribute 4544 numeric
@attribute 1234 numeric
@attribute 10663 numeric
@attribute 1236 numeric
@attribute 1237 numeric
@attribute 58191 numeric
@attribute 256933 numeric
@attribute 134 numeric
@attribute 2359 numeric
@attribute 2358 numeric
@attribute 2357 numeric
@attribute 8698 numeric
@attribute 53829 numeric
@attribute 1230 numeric
@attribute 3361 numeric
@attribute 3355 numeric
@attribute 10563 numeric
@attribute 8484 numeric
@attribute 4987 numeric
@attribute 4988 numeric
@attribute 4985 numeric
@attribute 8811 numeric
@attribute 4986 numeric
@attribute 55970 numeric
@attribute 2550 numeric
@attribute 9934 numeric
@attribute 5196 numeric
@attribute 2920 numeric
@attribute 2921 numeric
@attribute 23566 numeric
@attribute 5995 numeric
@attribute 4283 numeric
@attribute 5473 numeric
@attribute 140 numeric
@attribute 57007 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.3101,-0.0976,-0.0541,0.917,-0.0016,0.0559,-0.1197,0.8979,2.2411,0.1936,0.3727,0.2389,-0.1686,0.2432,0.0882,-0.4095,-0.19,-0.233,-0.0798,2.1394,0.2117,0.7704,-0.1352,0.1408,0.015,-0.0658,0.3057,-0.0283,-0.0041,0.0409,0.0662,-0.2418,-0.121,0.0313,0.1035,-0.0775,-0.1468,-0.3152,1.5724,-0.1011,-0.102,-0.0968,-0.1461,-0.0949,0.3526,-0.3038,0.0862,1.0574,-0.0233,-0.1121,0.5434,-0.0578,0.1401,0.0531,0.7412,1.5828,1.4885,-0.0941,-0.119,0.4187,0.3293,-0.3143,0.0987,1.2152,0.3687,-0.2333,1.1149,-0.0756,-0.2222,-0.0295,0.2144,2.5473,-0.0805,-0.0233,0.2741,-0.1345,-0.1269,0.5718,-0.0038,0.5839,-0.0623,1.6225,-0.1075,-0.0791,-0.0577,0.1323,2.4754,0.5758,1.0274,-0.0109,1.4299,0.0617,-0.1215,-0.1531,-0.183,-0.131,0.0655,-0.4022,0.7255,-0.1127,0.3951,-0.1515,0.2911,0.0494,0.376,1.7333,-5e-04,-0.0351,-0.0442,-0.1418,0.1349,0.941,-0.0883,0.964,-0.1296,2.7268,1.0721,0.5694,1.4973,0.5015,0.4921,0.4187,2.1055,0.3895,0.6536,2.2845,0.6653,0.374,0.1272,0.1467,0.2641,0.399,-0.1474,2.2685,-0.056,1.3353,0.4635,1.8224,1.1044,1.0358,0.0433,-0.0671,0.3743,1.7455,2.1818,1.3839,2.1779,1.2188,-0.0183,-0.1413,-0.1203,-0.212,0.2471,-0.0608,-0.0647,-0.0604,-0.1031,-0.0728,0.8506,0.2382,2.5124,0.3063,-0.0883,0.1774,-0.1492,-0.1461,3.8621,0.0033,0.0186,Control
A02,0.9087,-0.0595,-0.1164,1.0017,-0.0665,0.1147,0.019,0.5612,2.5847,0.1457,0.2479,0.2448,-0.1685,0.4134,0.1259,-0.3379,-0.2053,-0.1267,-0.0095,1.6677,0.15,0.8466,-0.108,0.1526,-0.0325,0.0823,0.351,0.093,0.029,-0.0481,0.0114,-0.1776,-0.1043,0.1333,0.0013,-0.0483,-0.0914,-0.1381,1.4028,0.0069,-0.1548,-0.0189,-0.1498,-0.0803,0.137,-0.2205,0.2238,0.7396,-0.0075,-0.0055,0.5823,0.0681,0.1733,0.0345,0.8012,1.3293,1.2038,-0.0423,-0.0204,0.2327,0.2552,-0.1643,0.0095,1.1292,0.2795,-0.1533,1.0578,-0.0214,-0.0113,0.0718,0.0452,2.8322,-0.0303,-0.0502,0.2095,-0.0888,0.0133,0.2516,0.0896,0.2715,-0.0444,1.6462,-0.0975,-0.0476,-0.0824,-0.023,2.7763,0.5389,0.874,0.0668,1.392,0.1781,-0.1412,-0.0809,-0.2434,-0.1022,0.1155,-0.2865,0.546,-0.0073,0.7077,-0.1772,0.2222,-0.0038,0.2521,1.5533,-0.0725,0.0238,0.0331,-0.1328,-0.0137,0.2916,-0.0582,1.0431,-0.1032,2.4224,0.6673,0.4581,0.8726,0.2071,0.5138,0.2842,0.5462,0.8826,0.5057,2.1159,0.3517,0.4452,0.0269,-0.0397,0.268,0.4138,-0.0457,1.5952,-0.0968,1.3176,0.4572,1.1468,0.6192,1.025,0.1266,0.0473,0.1271,1.8469,2.3427,0.9467,2.5435,0.785,-0.0133,0.0929,-0.0806,-0.2148,0.217,-0.0817,-0.032,-0.07,-0.1695,-0.0023,0.785,0.0966,2.1517,0.363,-0.0888,0.0175,-0.1785,-0.0034,4.3193,0.0834,0.0481,Control
A03,0.7303,-0.1019,-0.0485,1.1338,-0.0353,0.0347,-0.0702,0.5208,2.665,0.1407,0.1584,0.2563,-0.2537,0.3101,0.2147,-0.4083,-0.2199,-0.2659,0.0674,1.7322,0.1782,0.6023,-0.0546,0.1294,0.1814,0.0654,0.4227,0.0086,0.0882,0.0432,0.1051,-0.1115,-0.097,0.1014,-0.074,-0.1414,-0.0899,-0.197,1.4417,0.1021,-0.0744,-0.0065,-0.1071,-0.0882,0.1609,-0.2793,0.049,1.1743,0.0291,-0.0858,0.7367,0.0188,0.281,0.0376,0.92,1.4961,1.6774,-0.084,-0.1335,0.4738,0.7692,-0.1484,0.2286,0.9926,0.3236,0.2434,1.2897,-0.0304,-0.1116,0.0628,0.1331,2.6179,0.0316,-0.0727,0.1541,-0.1254,0.063,0.9072,0.108,0.3099,0.0056,1.7211,-0.1154,0.0356,-0.0325,-0.0069,2.6705,0.4988,1.0927,0.1904,1.4897,0.1968,-0.1067,0.0877,-0.2254,-0.152,-0.0457,-0.3085,0.6337,-0.0348,1.5075,-0.1901,0.4127,0.0352,0.2467,1.9885,0.0432,-0.0178,0.0413,-0.1479,0.1662,0.2981,-0.0053,1.314,-0.0809,2.2371,0.5885,0.4603,1.2297,0.2784,0.4647,0.1989,0.8951,0.9932,0.69,2.5599,0.6725,0.4622,0.1701,0.0962,0.3356,0.2935,-0.1463,1.8039,-0.1679,1.7305,0.4572,0.8578,1.133,1.223,0.0679,0.0294,0.252,1.8551,2.5658,1.042,2.4857,1.2312,0.0062,0.001,-0.0564,-0.1466,0.3136,-0.104,-0.05,-0.1412,-0.1272,-0.0344,0.8902,0.1776,1.6376,0.2865,-0.0822,-0.0046,-0.1246,0.4142,3.6819,0.0824,0.0406,Control
A04,0.8976,-0.0736,-0.0282,0.9425,0.0573,0.0332,0.1493,0.1643,2.3528,0.3297,0.3049,0.1854,-0.1781,0.43,0.0861,-0.1745,-0.294,-0.2044,0.0408,2.2741,0.1098,0.5678,0.0154,0.095,0.0553,0.0951,0.3206,0.0023,0.0302,-0.0442,0.0299,-0.1536,-0.1658,0.1214,0.08,-0.0439,-0.0512,0.0224,1.1865,-0.0047,-0.0649,-0.0271,-0.0513,-0.0503,0.1532,-0.2154,0.1261,0.8395,-0.0317,0.0211,0.6755,0.0093,0.1461,0.0186,0.8901,1.4725,1.329,-0.0754,-0.0544,0.2223,0.2128,-0.1009,0.1009,1.5992,0.3505,-0.0531,1.0142,-0.0503,0.035,0.0443,0.1454,2.5181,0.0938,-0.0798,0.2663,-0.0168,-0.023,0.6009,0.1418,0.4148,-0.0164,1.769,-0.0974,-0.0252,-0.0326,0.1032,1.9177,0.6344,0.8598,-0.018,1.4717,0.1228,-0.0366,-0.0585,-0.1919,-0.0134,0.0893,-0.2497,0.5402,0.0627,0.1877,-0.1469,0.2531,0.0731,0.4601,1.5892,0.0027,0.0854,-0.0013,-0.1399,0.011,0.9257,0.0021,0.4023,-0.0584,3.1235,0.6783,0.4507,0.8489,0.353,0.4543,0.3902,0.7625,0.9953,0.4346,2.2612,0.2431,0.4092,0.0576,-0.0399,0.3258,0.1737,-0.0056,2.1201,-0.0453,0.7708,0.2494,1.3711,0.7686,1.0304,0.3935,0.0103,0.0441,1.4567,1.7963,1.2946,2.2369,0.7341,-0.0696,0.0423,-0.0357,0.0111,0.2872,-0.0824,-0.0438,-0.081,-0.0213,-0.0544,0.7102,0.2672,2.1356,0.4494,0.0564,0.1141,-0.1353,-0.0022,5.0215,0.0488,0.0396,Control
A05,1.4232,-0.0642,-0.1067,1.2816,0.0356,0.0031,0.1231,0.4164,2.4746,0.4565,0.4188,0.2693,-0.2222,0.2726,0.1379,-0.2764,-0.1556,-0.1148,0.0346,1.7201,0.221,0.959,-0.073,0.1144,0.0726,0.0165,0.241,-0.0213,0.0376,-0.0339,0.091,-0.0915,-0.132,0.1381,0.1572,-0.0572,-0.0957,-0.0031,1.1682,-0.0183,-0.1066,-0.0854,-0.0134,-0.0804,0.1568,-0.2164,0.076,1.1311,-0.0315,-0.0344,0.7617,0.0142,0.1174,0.0445,1.0476,2.2365,1.8605,-0.1,-0.0887,0.444,0.5169,-0.1309,0.1569,1.5286,0.3581,-0.2146,1.1054,-0.0387,-0.1041,0.0207,0.1558,3.2272,0.0855,-0.0954,0.2134,0.072,-0.1531,0.4977,0.072,0.4684,-0.071,1.7746,-0.0942,0.0069,0.0044,0.2796,2.5656,0.8382,0.9184,0.1158,1.5737,0.0653,-0.0652,-0.0707,-0.138,-0.0187,0.1252,-0.18,0.7899,0.0972,0.5143,-0.1504,0.3876,0.1343,0.3891,1.91,0.0104,0.0688,-0.0265,-0.1464,-0.0187,0.6995,-0.062,0.6745,-0.0717,2.5718,0.9324,0.6038,1.1143,0.502,0.5629,0.2968,0.845,0.971,0.7741,2.583,0.3146,0.4214,0.15,0.0132,0.347,0.312,-0.0869,2.161,-0.0775,1.1332,0.3488,1.1211,1.0472,1.5162,0.219,-0.0185,0.5516,2.0763,2.6425,1.1711,2.7991,1.476,-0.0343,-0.0223,-0.0751,0.0116,0.3652,-0.1035,-0.0095,-0.1171,-0.0209,-0.0464,0.8694,0.1909,2.7849,0.3165,-0.0898,0.034,-0.1511,0.0691,4.5057,0.1659,0.0596,Control
A06,0.686,-0.065,0.0073,1.033,-0.1102,0.0554,-0.0237,0.4762,2.1663,0.0816,0.2643,0.27,-0.1154,0.224,0.0678,-0.4498,-0.1987,-0.1372,0.0469,1.6557,0.3042,0.8189,-0.0425,0.1099,0.1194,-0.0038,0.2167,0.0508,-0.0492,0.066,0.0066,-0.1763,-0.1795,0.0547,0.0047,-0.0619,-0.0454,-0.3321,1.0685,-0.0675,-0.1172,-0.0137,-0.1339,-0.1216,0.1772,-0.1313,0.0908,0.961,-0.0333,-0.1075,0.561,-0.0135,0.1159,0.0635,0.8391,1.2565,1.8451,-0.0443,-0.116,0.4629,0.4062,-0.0801,0.1016,1.1068,0.241,0.0336,1.3159,-0.0293,-0.2041,0.0266,-0.135,2.7551,0.0018,-0.0474,0.1168,0.0012,-0.1574,0.3224,0.1076,0.3232,-0.1045,1.6716,-0.1279,5e-04,-0.0078,-0.0187,2.8283,0.5939,0.9446,0.0631,1.4137,0.124,-0.1708,-0.1567,-0.2287,-0.0092,-0.199,-0.3181,0.6327,-0.0195,0.5268,-0.2147,0.2854,0.0107,0.3102,1.7796,0.0269,-0.0862,-0.0294,-0.1354,-0.021,0.3104,-0.0504,0.593,-0.0503,3.0026,0.8494,0.4691,0.9779,0.2656,0.4851,0.3168,1.1656,0.944,0.654,2.4961,0.3782,0.3736,0.0781,0.0128,0.1478,0.1736,-0.1054,1.4959,-0.1494,1.1543,0.4657,1.4136,0.4742,1.589,-0.0121,-0.0388,0.2854,2.0708,2.6214,1.0863,2.5436,1.3993,-0.0142,-0.0068,-0.0835,-0.2443,0.3018,-0.0463,-0.0647,-0.0731,-0.1689,0.0072,0.7606,0.2039,1.9083,0.4565,-0.2452,-0.1513,-0.106,0.0807,4.0154,0.1205,-0.0585,Control
A07,0.8159,-0.0438,-0.0747,1.1256,-0.0476,0.081,0.1048,0.3593,2.2905,0.1448,0.2192,0.2618,-0.1268,0.2571,0.1096,-0.3565,-0.2197,-0.156,0.0421,1.8376,0.5296,0.7823,-0.0738,0.1764,0.0508,-0.0698,0.4049,0.0334,0.126,-0.0417,0.0319,-0.1912,-0.1322,0.0316,0.1223,-0.1391,-0.0833,-0.1788,1.3603,0.0355,-0.0978,0.0103,-0.0694,-0.0381,0.2152,-0.2185,0.0382,0.9683,-0.021,-0.0204,0.6322,0.0051,0.0828,0.0356,0.9528,1.5907,1.5761,-0.0113,-0.1604,0.3717,0.5092,-0.2047,0.1283,1.2708,0.3313,-0.1262,1.4391,-0.0242,-0.0711,0.0569,0.0749,2.8629,-0.087,-0.0926,0.2365,0.0159,-0.1419,0.3901,-0.082,0.3603,-0.0807,1.7793,-0.1218,-0.1415,0.0099,0.1664,2.3548,0.5566,0.8886,-0.0116,1.5236,0.1567,-0.1722,0.0407,-0.2365,-0.0304,-0.027,-0.4533,0.7665,0.0302,0.3871,-0.1782,0.3257,0.0219,0.4057,1.8816,-0.0104,-0.0103,0.0295,-0.1374,-6e-04,0.3219,-0.0405,0.5024,-0.0411,2.2907,0.8325,0.5684,1.1916,0.2371,0.4921,0.2942,0.9473,1.0662,0.6099,2.8921,0.4861,0.3524,0.0587,0.0497,0.2025,0.191,-0.049,1.8292,-0.1025,1.3691,0.4893,1.3822,0.8695,1.2758,0.0758,0.0534,0.3999,1.888,2.4638,1.0771,2.353,1.1361,-0.0092,0.097,-0.0567,-0.1546,0.2711,-0.0667,-0.0273,-0.0702,-0.1136,0.0032,0.8811,0.2831,2.276,0.4064,0.0248,-0.0803,-0.1748,0.003,4.2107,0.1194,0.0981,Control
A08,0.7537,-0.1207,-0.1184,0.8725,-0.105,0.0553,-0.105,0.2543,1.8803,-0.0179,0.1948,0.1679,-0.0846,0.2277,0.0744,-0.4662,-0.2084,-0.0662,0.0078,1.6665,0.449,0.4211,-0.1162,0.1558,0.0561,-0.1149,0.3,-0.0278,-0.1544,0.0316,0.0525,-0.2488,-0.1518,0.1547,-0.0806,-0.0893,-0.1211,-0.3556,1.2488,-0.0668,-0.015,-0.0645,-0.1654,-0.0228,0.3043,-0.2088,0.0853,0.9523,-0.0323,-0.0965,0.4954,-0.0479,0.1265,-0.0088,0.8292,1.3649,1.2659,-0.0719,-0.0941,0.3132,0.443,-0.1336,0.2127,0.6768,0.2182,-0.0072,1.57,-0.0634,-0.2371,-0.0018,-0.0891,1.8287,-0.1181,0.0116,0.1935,-0.0931,-0.243,0.2605,0.002,0.4944,-0.0517,1.4607,-0.1373,-0.0901,-0.0803,0.1017,1.7259,0.3838,0.8586,0.1935,1.4965,0.0857,-0.1094,-0.0257,-0.2982,-0.0952,0.0518,-0.3139,0.6214,-0.0603,0.4039,-0.1807,0.3097,0.0594,0.2114,1.7361,-0.0937,-0.1289,-0.0316,-0.1683,0.0436,0.3369,-0.0045,0.76,-0.0854,2.3261,0.5093,0.5295,0.9792,0.5308,0.4248,0.3124,0.8182,0.5933,0.7035,2.2831,0.335,0.3476,0.1812,0.1973,0.23,0.1171,-0.086,1.3298,-0.1442,0.6384,0.3638,1.3936,0.4136,1.0041,-0.0505,-0.0578,0.1994,0.9146,1.577,1.1393,1.8892,0.7178,-0.056,-0.0114,-0.0456,-0.2258,0.2343,-0.1006,-0.099,-0.1415,-0.1691,-0.0697,0.7069,0.1743,1.7071,0.2941,-0.2751,0.0011,-0.148,0.0461,3.4065,0.0609,0.0717,Control
A09,1.0542,-0.1017,-0.0447,0.9532,-0.006,0.0498,0.035,0.1678,2.5375,0.1727,0.1858,0.1676,-0.1464,0.1814,0.0936,-0.3691,-0.1594,-0.1574,0.0336,1.8087,0.4742,0.5584,-0.0838,0.1777,0.1088,0.1041,0.3727,-0.0754,0.0623,0.088,-0.0019,-0.1223,-0.1048,-0.0234,-0.1102,-0.0744,-0.1268,-0.132,1.2934,0.0175,-0.1196,-0.0129,-0.0946,-0.1353,0.1408,-0.1089,-0.0079,0.7273,-0.0661,-0.0559,0.5287,0.0307,0.2054,-0.0266,0.8156,1.8345,1.5316,-0.1087,-0.1405,0.1841,0.4885,-0.1958,0.1104,1.6897,0.3049,-0.0167,1.436,-0.0134,8e-04,0.0294,0.2499,2.3075,0.0063,-0.0411,0.1558,-0.0259,-0.2647,0.6542,0.001,0.5019,-9e-04,1.6021,-0.0929,-0.0697,3e-04,0.0764,2.2942,0.7539,1.0046,0.0589,1.4111,0.1352,-0.1621,-0.1213,-0.218,-0.0623,0.105,-0.4022,0.4936,0.0558,0.3423,-0.1889,0.2174,0.0714,0.4062,1.7364,0.0311,-0.0219,0.0355,-0.1411,0.0411,0.4756,0,0.657,-0.076,2.5767,0.4091,0.4387,0.6388,0.1876,0.4688,0.2921,0.7737,0.8193,0.5731,2.5361,0.3411,0.4084,0.1188,0.0746,0.181,0.0276,-0.119,1.9414,-0.08,1.1887,0.3049,1.4156,0.8132,1.3951,0.0857,-0.029,0.1134,1.178,1.5572,1.0983,2.0837,0.8534,0.0192,-0.0163,-0.0784,-0.1849,0.201,-0.0669,-0.0625,-0.1998,-0.0785,-0.0302,0.6751,0.0998,2.59,0.2949,-0.0931,0.0116,-0.1061,-0.0362,4.4702,0.0828,0.1037,Control
A10,1.144,-0.1076,0.0039,1.0893,-0.0224,0.0081,-0.0043,0.1113,2.8361,0.2597,0.2986,0.1702,-0.0844,0.3385,0.0942,-0.3137,-0.2517,-0.0067,0.0046,1.9662,0.6328,0.9728,-0.0455,0.1186,-0.0316,-0.0046,0.2353,-0.01,-0.1186,0.0994,0.0496,-0.1813,-0.1101,0.0774,0.092,-0.015,-0.1149,-0.0517,1.4906,-0.0078,-0.0394,-0.1017,-0.0189,-0.0401,0.1225,-0.1887,0.0577,1.0513,-0.0687,-0.0791,0.5533,0.0022,0.1336,0.1115,0.853,2.065,1.3738,-0.0851,-0.1499,0.3501,0.5021,-0.2752,0.0787,1.6466,0.272,-0.1385,1.5133,-0.0575,0.0386,-0.0156,0.203,3.0725,0.0707,-0.0441,0.2338,-0.0572,0.0725,0.5779,0.0108,0.4699,-0.1016,1.722,-0.0964,-0.0068,-0.0105,0.065,2.2176,0.7402,0.9463,0.071,1.5165,0.1044,-0.0846,-0.0659,-0.2518,-0.0041,-0.0459,-0.3889,0.5896,-0.0067,0.3255,-0.1492,0.3596,0.1067,0.3792,1.7079,0.0198,0.0535,-0.062,-0.1281,0.0601,0.3005,-0.0911,0.6178,-0.0811,2.3087,0.9281,0.5235,1.1907,0.1512,0.4622,0.2798,1.0619,1.1454,0.6017,3.1295,0.3711,0.3186,0.1176,0.1341,0.3113,0.0388,-0.1067,1.8151,-0.1024,1.2956,0.5216,0.7392,1.0578,1.0555,0.16,-0.0503,0.2496,1.8055,2.47,1.0741,2.708,1.257,-0.0859,0.0207,-0.0391,-0.0853,0.2553,-0.0825,-0.1134,-0.1926,-0.0869,-0.0338,0.6258,0.0657,3.2592,0.1778,-0.1414,-0.0136,-0.0885,0.0065,4.6957,0.052,0.065,Control
