@relation data

@attribute id string
@attribute 7535 numeric
@attribute 3111 numeric
@attribute 1147 numeric
@attribute 50852 numeric
@attribute 10892 numeric
@attribute 8767 numeric
@attribute 84433 numeric
@attribute 7454 numeric
@attribute 5062 numeric
@attribute 55740 numeric
@attribute 51466 numeric
@attribute 3109 numeric
@attribute 3108 numeric
@attribute 3635 numeric
@attribute 5588 numeric
@attribute 5170 numeric
@attribute 3551 numeric
@attribute 6885 numeric
@attribute 7408 numeric
@attribute 9402 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5788 numeric
@attribute 4690 numeric
@attribute 920 numeric
@attribute 3127 numeric
@attribute 8517 numeric
@attribute 5970 numeric
@attribute 3702 numeric
@attribute 27040 numeric
@attribute 7189 numeric
@attribute 7334 numeric
@attribute 919 numeric
@attribute 23118 numeric
@attribute 3113 numeric
@attribute 1445 numeric
@attribute 3115 numeric
@attribute 5728 numeric
@attribute 3118 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 5058 numeric
@attribute 917 numeric
@attribute 55824 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 3937 numeric
@attribute 6957 numeric
@attribute 5335 numeric
@attribute 6955 numeric
@attribute 8915 numeric
@attribute 5295 numeric
@attribute 3932 numeric
@attribute 5296 numeric
@attribute 2533 numeric
@attribute 3122 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.0187,0.6063,1.5171,2.3707,1.4722,1.693,0.6848,1.1904,1.0093,-0.0987,1.4733,2.2176,1.7846,1.2791,0.9426,0.7923,1.1591,1.4658,0.5994,1.6651,1.6981,2.2123,3.057,0.8713,1.7101,1.0727,0.3604,1.4383,2.6126,1.6604,0.8372,1.1739,0.8229,1.7946,2.9699,1.2814,1.5611,1.2392,0.0501,2.2237,2.1629,1.1544,2.3193,1.4648,1.5746,1.5626,2.2185,0.2182,1.7307,0.2158,1.1564,1.4982,1.9358,0.2071,1.5197,3.0674,Control
A02,0.9277,0.5192,1.302,1.847,1.0277,1.6787,0.5228,1.1067,0.8765,-0.0634,1.0902,2.3118,1.9155,1.2825,0.5773,0.6688,0.9319,1.1532,0.5869,1.3515,1.2732,2.0603,3.0587,0.7212,1.4691,1.0652,0.3492,1.258,1.9605,1.2534,0.7679,0.8195,0.553,1.4192,3.1911,1.2458,1.4482,0.6452,0.257,1.9545,1.8928,1.1633,2.2847,0.8879,1.3014,1.4139,2.1072,0.1727,1.247,0.0504,0.881,1.1993,1.6874,0.1689,1.3269,3.5593,Control
A03,0.9848,0.5935,1.5398,1.6448,1.1902,1.7928,0.61,1.3437,0.9832,-0.0804,1.1925,2.2874,2.1584,1.4534,0.8411,0.8003,1.0697,1.3103,0.8624,1.4328,1.4485,2.7503,3.1701,0.8561,1.6093,0.2925,0.3742,1.4813,2.1163,1.4936,0.9336,1.0658,0.729,1.3753,3.1864,1.4648,1.7361,0.9168,0.0848,1.9088,1.7685,1.4142,2.3295,1.278,1.3967,1.4596,2.3283,0.1455,1.3323,0.0932,1.0986,1.3339,1.7151,0.2691,1.5128,3.2594,Control
A04,1.0408,0.6918,1.079,2.0627,1.1458,1.722,0.66,1.0836,0.9574,-0.0495,1.1547,2.0805,1.8677,1.3869,0.7067,0.7491,0.9555,1.2639,0.615,1.5026,1.4304,2.2761,3.2973,0.7593,1.5742,0.0729,0.3772,1.484,2.3902,1.4892,0.7944,0.9436,0.7673,1.5602,3.1836,1.2871,1.2116,0.7608,0.1842,1.9522,1.8416,1.0138,2.3071,1.2094,1.353,1.4002,2.0788,0.159,1.3202,0.1022,0.9132,1.4882,1.9667,0.2883,1.3169,3.5094,Control
A05,0.9256,0.7365,1.4435,1.6914,1.1388,1.9234,0.6385,1.4672,1.0515,-0.0784,1.0811,2.4942,2.2411,1.4233,0.7243,0.8948,1.0728,1.3977,0.9001,1.6692,1.5181,2.4615,3.1618,0.8332,1.8284,1.1329,0.6097,1.5368,2.0685,1.4734,0.8518,0.9834,0.7984,1.5773,3.2592,1.4266,1.4467,0.9371,0.2387,1.5601,1.5813,1.356,1.9438,1.1222,1.4836,1.8548,2.1474,0.1504,1.2108,0.0507,1.169,1.3381,1.6797,0.3996,1.4291,3.4609,Control
A06,0.9177,0.6086,1.3907,1.6759,1.0371,1.7204,0.5541,1.2382,0.8871,-0.0813,1.0714,2.3743,1.8854,1.367,0.6414,0.7874,0.9844,1.2785,0.6251,1.2811,1.3497,2.472,2.8986,0.6693,1.6971,0.2508,0.3246,1.338,1.9776,1.2048,0.7749,0.9076,0.7589,1.4058,3.1144,1.2077,1.5448,0.835,0.1679,1.5133,1.5251,1.2821,1.7701,1.0249,1.3845,1.4475,2.0222,0.1557,1.2063,0.0867,0.957,1.3761,1.611,0.1914,1.3127,3.29,Control
A07,0.9472,0.7369,1.4674,1.8533,1.2587,1.7435,0.6388,1.1709,1.0399,-0.0723,1.2714,2.2665,1.8354,1.4397,0.8831,0.8207,1.1473,1.5067,0.7812,1.6121,1.6897,1.9798,3.3824,0.926,1.6769,0.2222,0.3276,1.2584,2.2251,1.3664,0.9329,1.2041,1.1167,1.723,2.7825,1.323,1.3973,1.3069,0.0617,1.7971,1.761,1.3527,2.0687,1.484,1.5934,1.5467,2.2689,0.2024,1.2924,0.0921,1.0819,1.6231,1.7129,0.2011,1.7815,3.2491,Control
A08,0.9309,0.3863,1.3187,2,1.4349,1.5664,0.7015,1.0456,1.2064,-0.1261,1.4308,1.922,1.4555,1.5388,1.0589,0.8395,1.198,1.6258,0.558,1.6622,1.8669,1.9095,3.4982,0.9677,1.4848,0.1972,0.1674,1.2448,2.5128,1.3395,0.8298,1.2926,1.4459,1.9342,2.52,1.2379,1.2944,1.4954,0.1327,1.6824,1.826,1.1951,1.9766,1.7617,1.7501,1.5683,2.3938,0.1601,1.4821,0.1369,0.9264,1.714,1.5609,0.168,1.9558,2.8193,Control
A09,0.847,0.2964,1.4072,1.9126,1.279,1.4279,0.558,1.1899,0.9376,-0.0929,1.2593,1.9279,1.426,1.372,0.8762,0.8331,1.047,1.3494,0.5905,1.7659,1.606,2.1911,3.4433,0.8191,1.6385,0.2043,0.2539,1.3302,2.3832,1.5342,0.7673,1.1474,0.958,1.7432,2.7429,1.3017,1.1389,1.3533,0.1825,2.0098,1.8301,1.2691,2.2759,1.5767,1.4582,1.4714,2.205,0.1713,1.3752,0.1261,0.8187,1.5464,1.828,0.1702,1.6807,2.9804,Control
A10,0.9689,0.3569,1.4266,1.8101,1.2128,1.7944,0.6278,1.1146,1.0688,-0.1125,1.2676,2.3559,1.7895,1.5525,0.9539,0.8665,1.1476,1.611,0.7254,1.8946,1.641,2.1251,3.618,0.932,1.5195,1.1022,0.3962,1.3233,2.368,1.3913,0.9506,1.116,0.9953,1.7496,2.8951,1.2891,1.2414,1.3318,0.0908,2.0305,1.9018,1.3532,2.2764,1.3005,1.6941,1.7523,2.489,0.1456,1.2657,0.127,1.0811,1.6535,1.8784,0.2665,1.9732,3.2177,Control
