@relation data

@attribute id string
@attribute 8540 numeric
@attribute 215 numeric
@attribute 3295 numeric
@attribute 6342 numeric
@attribute 26061 numeric
@attribute 1384 numeric
@attribute 8309 numeric
@attribute 8310 numeric
@attribute 23600 numeric
@attribute 10005 numeric
@attribute 30 numeric
@attribute 11001 numeric
@attribute 10478 numeric
@attribute 55711 numeric
@attribute 51 numeric
@attribute 3417 numeric
@attribute 5264 numeric
@attribute 8443 numeric
@attribute 54677 numeric
@attribute 84188 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.4548,0.3379,1.1886,1.0529,1.2694,0.4944,-0.0678,0.4076,0.4933,0.6627,0.8276,0.1734,0.5553,0.5203,1.1311,0.5949,0.5305,1.0821,0.9777,1.6273,Control
A02,1.2903,0.2666,0.9592,1.1818,1.0813,0.4331,-0.028,0.3229,0.4223,0.4737,0.8058,-0.0302,0.3605,0.2853,0.8866,0.4896,0.3642,0.8213,0.7103,1.376,Control
A03,1.5516,0.3238,1.0125,1.2645,1.1653,0.625,-0.0398,0.4091,0.5042,0.7061,0.9301,0.2889,0.4387,0.5908,1.0101,0.6229,0.4582,0.9703,0.7529,1.6926,Control
A04,1.3155,0.2619,1.0185,0.9542,1.2119,0.5555,0.0027,0.351,0.4245,0.5311,0.8529,-0.0346,0.2852,0.3103,0.7678,0.4124,0.3047,0.8804,0.7233,1.1858,Control
A05,1.5979,0.3394,1.2546,0.9216,1.1765,0.9131,-0.032,0.398,0.6038,0.6882,1.0181,0.0335,0.3474,0.6081,1.219,0.7589,0.5114,1.0687,0.6575,1.5844,Control
A06,1.413,0.2841,1.1178,1.0022,1.0246,0.5639,-0.0344,0.3789,0.6005,0.5413,0.8911,-0.0271,0.3126,0.4533,1.1067,0.5444,0.3969,0.9083,0.645,1.4613,Control
A07,1.5728,0.233,1.2869,0.7758,1.1824,0.5589,-0.0162,0.4339,0.607,0.6027,0.9778,-0.0345,0.3901,0.5288,1.1348,0.6188,0.4128,1.0729,0.7924,1.9116,Control
A08,1.6057,0.2174,1.1131,1.1978,1.2004,0.4286,-0.0873,0.4412,0.5203,0.6063,0.7452,-0.051,0.4634,0.5111,0.9998,0.5186,0.3671,1.0884,0.8698,1.8168,Control
A09,1.5037,0.2756,1.0317,0.8556,1.0491,0.5453,0.0128,0.4065,0.5629,0.5174,0.7409,0.0269,0.333,0.5014,0.975,0.441,0.371,0.8502,0.6294,1.6911,Control
A10,1.6303,0.2709,1.2933,1.247,1.262,0.6711,-0.0487,0.3562,0.4923,0.6168,0.8436,-0.0125,0.4217,0.6147,1.0746,0.5542,0.3826,1.0797,0.8868,1.841,Control
A11,1.1805,0.2625,0.7778,1.1185,0.9071,0.4466,-0.0866,0.2223,0.5074,0.5614,0.5843,0.1097,0.3277,0.3306,0.9671,0.293,0.3201,0.7031,0.565,1.5145,Control
A12,0.9415,0.0918,0.7539,0.9273,0.9718,0.2867,0.0753,0.3622,0.5044,0.4044,0.6403,-0.0239,0.1874,0.1853,0.497,0.2697,0.3062,0.6393,0.4974,0.783,Control
B01,1.3575,0.0278,0.9236,1.0795,1.1085,0.2001,0.0939,0.2823,0.4256,0.5119,0.7104,0.0224,0.2803,0.3172,0.7862,0.3434,0.4569,0.9717,0.6725,1.518,Control
B02,1.5073,0.2875,1.127,1.1341,1.3162,0.4773,-0.0015,0.3791,0.5299,0.733,1.0371,0.0472,0.2927,0.343,1.0047,0.5189,0.442,1.0356,0.8,1.3702,Control
B03,1.4667,0.1851,1.1305,1.1182,1.1481,0.2885,0.0233,0.3281,0.5243,0.5699,0.8543,0.0534,0.331,0.3575,0.9521,0.4764,0.4276,1.001,0.7961,1.5179,BRCACancer
