@relation data

@attribute 1022 numeric
@attribute 10629 numeric
@attribute 11036 numeric
@attribute 129685 numeric
@attribute 138474 numeric
@attribute 2068 numeric
@attribute 2071 numeric
@attribute 27097 numeric
@attribute 2957 numeric
@attribute 2958 numeric
@attribute 2959 numeric
@attribute 2960 numeric
@attribute 2961 numeric
@attribute 2962 numeric
@attribute 2963 numeric
@attribute 2965 numeric
@attribute 2966 numeric
@attribute 2967 numeric
@attribute 2968 numeric
@attribute 2969 numeric
@attribute 387332 numeric
@attribute 391766 numeric
@attribute 391767 numeric
@attribute 404672 numeric
@attribute 4331 numeric
@attribute 51616 numeric
@attribute 54457 numeric
@attribute 6872 numeric
@attribute 6873 numeric
@attribute 6874 numeric
@attribute 6875 numeric
@attribute 6877 numeric
@attribute 6878 numeric
@attribute 6879 numeric
@attribute 6880 numeric
@attribute 6881 numeric
@attribute 6882 numeric
@attribute 6883 numeric
@attribute 6884 numeric
@attribute 6908 numeric
@attribute 8148 numeric
@attribute 83860 numeric
@attribute 902 numeric
@attribute 9519 numeric
@attribute 9569 numeric
@attribute Class {Control,BRCA}

@data
9.361681261,9.469917065,5.58989341567,6.335160685,8.70009385,8.220113618,10.0776573,6.655755735,6.19672199167,10.74598122,10.27876338,8.647639314,11.58443655,10.15511583,10.64948099,6.107234293,5.474931823,8.439499644,10.43957668,6.433226421,6.499212576,4.32218064,5.135464327,11.76843466,6.69676284,6.6127565385,4.82618143,8.164904587,9.401989375,9.687087433,5.911039136,7.971286497,7.834513538,9.723687019,6.350618223,10.89144978,6.021097265,9.785191339,7.3903396625,9.808393548,11.067621249,5.78133339,8.45525079,9.636294324,7.2978568355,Control
9.155780297,9.968674397,5.32516439533,6.247410596,8.70070944,8.497094498,10.50841903,6.407219399,6.546755609,10.36236061,10.07359638,8.485226676,11.41027128,10.98225228,10.72254311,6.586162299,5.210049084,8.965352223,9.94572954,6.62829341333,6.149854428,5.171138007,5.049534115,11.42258795,7.086882265,6.133521147,5.376786337,9.135722787,8.674016666,9.75485875,5.99820185,8.225979952,7.4807953015,9.3715867,5.5164426775,11.18055585,5.428620839,8.631014334,7.7342694025,10.0579109,10.927848791,5.698956585,7.832012647,9.793587511,7.2614054765,BRCA
9.394656215,10.15068061,5.31746838167,6.02776959,8.870434945,8.892012333,10.71269919,6.2661368015,6.85562510067,10.38640712,10.18842847,8.561241279,11.23391938,11.02694718,11.17512864,6.582656103,5.664561948,8.580466923,10.27514127,6.36448228633,6.18913825,5.935819934,5.321216715,11.10966436,6.839081327,6.1871825865,5.375570566,8.307388572,9.194856021,10.16084871,5.458620899,7.588473151,7.773135859,9.54781568,6.070670496,11.29154789,6.095402957,9.210172782,7.1818242975,10.09283678,11.6406879065,5.922108668,7.667131787,9.605924446,7.6308077415,BRCA
9.99050151,9.953964008,5.36508820467,6.0275058555,7.508450689,8.85164062,10.43052602,6.5191292045,7.05714631167,9.683346055,9.386358915,8.088365735,11.44938612,11.21644291,10.8849167,6.970019164,6.002540089,7.704562712,10.44466839,6.040781317,6.421312202,5.291135005,4.778486368,10.92851118,7.265055029,5.2927129485,5.30196368,7.892431063,7.179165475,9.991097026,5.540408023,7.816841466,7.639337982,9.089398258,5.5449805545,11.70539708,5.504788206,8.173203811,6.6136457995,9.728779829,11.2332337385,5.8168539945,7.517316273,9.757740483,7.640595871,Control
9.627078354,9.562443321,5.28913285833,6.2864786115,8.150561104,8.312657375,9.889641277,6.4733543425,6.393300929,10.39839664,9.659657526,8.460968914,11.1371034,11.01557728,11.02198648,7.045217151,5.206341637,8.732388881,9.47543003,6.45588652833,6.513771507,5.361953639,5.218210843,11.16600002,6.867961695,6.2450122525,5.256266489,9.091903594,8.557943363,9.595509779,5.931866956,7.773437814,8.0452593375,10.0593009,6.3218157935,11.62333067,5.757564188,8.913428843,6.9668096915,9.633676921,10.781920283,5.455665247,8.195898639,9.347389459,7.3683650125,BRCA
9.01498366,9.384881469,5.38053266133,5.914756806,8.677967226,8.645353223,10.75975321,6.8117697295,6.12875716333,9.709023968,9.681765982,7.788752789,11.27072181,10.5362572,10.94132297,6.922969386,5.527329405,8.769772669,9.72642302,6.49626316133,6.242417322,5.098043929,4.562658614,10.07218659,6.499332184,6.7568002865,4.380593055,8.460644928,9.982822895,9.783674007,6.364489812,7.327600078,7.6045245685,10.6623838,6.2796543925,10.35756331,5.868397398,8.850359642,7.645528089,9.121838552,10.9703156195,5.630118186,8.0884774495,8.92645992,7.317720561,BRCA
9.547121611,10.55829421,5.93568483167,5.674208699,7.762898766,8.838495753,10.0173308,5.257653132,6.77246409467,9.240762195,8.997272028,8.020564879,11.2607492,10.47933595,10.21664921,6.719438847,6.082580853,8.357575234,9.822443813,6.931555936,6.518854253,4.276931831,5.375918034,10.65628209,5.895672973,5.7575884925,4.998433881,8.2889014185,6.73488275,9.802294663,6.512547399,6.78836312,7.182653392,8.651653698,5.775584767,11.63838852,6.035630095,8.121094588,8.751271778,9.568545732,10.243072639,5.968728958,7.0980443305,9.93000957,7.704376689,BRCA
9.825825817,9.636443876,5.64948124567,6.035238114,8.95170808,7.900747773,10.17798975,6.4026015675,5.942053216,10.89094843,10.31245505,8.703844,11.43055462,10.18342483,11.07640162,6.479895483,5.520745364,8.78938784,9.751904322,6.87997315833,6.292694913,5.193979903,5.334149236,11.81753744,6.573196985,6.766150223,5.190033289,7.303212255,9.65317699,10.18512356,5.265109838,7.705565218,7.53936133,9.735361871,6.626526383,11.14770754,5.884604788,10.02000108,7.054603226,10.09936791,10.791864304,5.5478878755,8.2150115435,9.558607795,7.12232642,Control
10.15470456,9.992039425,5.34465693133,6.107042165,8.105412415,8.755431019,10.24019539,6.711536986,6.17643489533,10.61564829,10.03037096,8.446185008,11.12137181,10.89238744,11.32848436,7.1126508515,5.082799703,8.620110863,9.751444107,6.547632341,6.501722262,4.517251297,4.827579315,11.67867508,7.327824597,6.6654624235,5.604153814,8.2507507325,9.185390311,9.845200356,6.522546714,7.581748786,7.940330264,10.0442852,6.85104186,10.8507848,6.153507065,9.368168734,6.561836431,10.068557,11.35890583,5.611897413,8.2231503775,9.564340594,7.413776869,BRCA
9.154553037,10.20658741,5.43198988667,5.957835099,8.000381932,8.379801934,10.10676612,6.2732903685,6.51099236,10.38034502,10.04541878,8.132128405,11.20148395,10.67333141,10.59878323,7.07342704,5.287630431,8.305344864,10.12301596,6.171535916,5.810257517,5.007544524,5.003390009,11.69692854,6.996504912,6.4151878985,4.676965151,8.961559041,8.517473661,9.518988037,6.22371757,7.564418422,7.952250149,9.50672467,6.237159834,11.22892405,5.416004724,8.918297617,7.3391111975,9.813452991,11.076928075,5.915196255,8.1149854775,9.210172782,7.651118958,BRCA
