@relation data

@attribute id string
@attribute 6812 numeric
@attribute 8224 numeric
@attribute 22999 numeric
@attribute 6804 numeric
@attribute 6844 numeric
@attribute 6853 numeric
@attribute 6854 numeric
@attribute 6857 numeric
@attribute 1644 numeric
@attribute 6571 numeric
@attribute 6616 numeric
@attribute 7054 numeric
@attribute 5864 numeric
@attribute 10815 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.2393,-0.0537,-0.1062,0.1288,1.6468,0.1006,-0.1192,-0.1168,-0.0866,0.4182,-0.1866,-0.0256,0.1773,0.0117,Control
A02,0.0363,-0.0784,-0.0441,0.1328,1.5163,0.0022,-0.0683,-0.1283,-0.0178,0.2238,-0.2104,0.0213,0.2331,0.0541,Control
A03,-0.0088,-0.0937,-0.0343,0.1501,1.6783,0.0987,-0.0897,-0.1119,0.0076,0.2502,-0.1978,0.0256,0.1474,-0.0232,Control
A04,0.1393,-0.0574,-0.0558,0.1791,1.6138,0.0309,-0.0896,-0.0984,-0.0763,0.2,-0.1371,-0.005,0.2474,0.0993,Control
A05,0.2256,-0.0754,-0.0653,0.248,1.6052,0.0651,-0.0968,-0.0814,-0.069,0.5329,-0.1701,0.0032,0.2623,0.0886,Control
A06,0.0381,-0.1062,-0.0691,0.106,1.4958,-0.0158,-0.0842,-0.1419,-0.0312,0.2619,-0.1542,-0.0563,0.2256,-7e-04,Control
A07,0.0648,-0.1055,-0.0301,0.1642,1.3859,-0.0035,-0.0351,-0.1426,-0.0302,0.3073,-0.1742,-0.065,0.1921,0.0125,Control
A08,0.1886,-0.0422,-0.0689,0.07,1.4104,0.0089,-0.0838,-0.1207,-0.0704,0.1278,-0.1325,-0.0383,0.161,-0.0508,Control
A09,0.111,-0.0872,-0.0679,0.1886,1.4981,0.0011,-0.1132,-0.1236,-0.0223,0.3461,-0.1538,-0.1079,0.1651,0.0125,Control
A10,0.1025,-0.07,-0.0607,0.1582,1.5479,0.0345,-0.0974,-0.1094,-0.0935,0.4596,-0.1619,0.0138,0.1939,-0.0253,Control
A11,0.043,-0.0512,-0.0973,0.0249,1.4873,0.0638,-0.0981,-0.0666,-0.0558,0.2304,-0.1086,0.062,0.1381,-0.0493,Control
