@relation data

@attribute id string
@attribute 2271 numeric
@attribute 6389 numeric
@attribute 4967 numeric
@attribute 8803 numeric
@attribute 1431 numeric
@attribute 3418 numeric
@attribute 4190 numeric
@attribute 50 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6414,1.3367,1.1595,0.6308,0.9256,0.7744,0.9397,0.7504,Control
A02,0.5698,1.3509,1.0947,0.3791,0.7394,0.642,0.7659,0.5849,Control
A03,0.5299,1.4679,1.3246,0.4983,0.9819,0.8787,0.8623,0.7883,Control
A04,0.5498,1.4865,1.2492,0.3285,0.7899,0.6078,0.8784,0.6155,Control
A05,0.6396,1.5151,1.3739,0.5108,0.8236,0.888,0.8272,0.7337,Control
A06,0.5632,1.4678,1.2141,0.5225,0.865,0.7151,0.7469,0.6452,Control
A07,0.7037,1.5225,1.3027,0.5787,0.8348,0.7484,0.811,0.6091,Control
A08,0.6206,1.3972,1.1813,0.65,0.9778,0.599,0.8688,0.6197,Control
A09,0.4519,1.4185,1.2102,0.5439,0.8071,0.7086,0.7176,0.6004,Control
A10,0.5618,1.4434,1.2737,0.5207,0.7993,0.737,0.8057,0.6126,Control
A11,0.39,1.1923,0.9729,0.5879,0.7133,0.658,0.6428,0.5423,Control
A12,0.3603,1.0693,0.7872,0.1401,0.4854,0.4531,0.7144,0.2702,Control
B01,0.6396,1.242,0.9512,0.5048,0.8753,0.4654,1.0111,0.5796,Control
B02,0.7454,1.5419,1.2493,0.497,0.9189,0.8206,1.0457,0.7802,Control
B03,0.6038,1.3929,1.229,0.451,0.8509,0.7159,1.0109,0.7185,BRCACancer
B04,0.57,1.3397,1.2879,0.3966,0.9008,0.5943,0.7378,0.494,BRCACancer
B05,0.593,1.2123,1.1392,0.3313,0.8821,0.6524,0.8681,0.573,BRCACancer
B06,0.3946,0.9854,0.7624,0.2709,0.6367,0.233,0.6393,0.3357,BRCACancer
B07,0.7085,1.5225,1.264,0.5658,0.9429,0.8594,0.8753,0.7458,BRCACancer
B08,0.5054,1.2983,1.121,0.5296,0.775,0.7213,0.6803,0.5805,Control
B09,0.3106,1.2252,0.9477,0.5671,0.9092,0.5445,0.6325,0.4887,Control
B10,0.3327,1.2257,1.0822,0.4041,0.6668,0.4893,0.67,0.3117,Control
B11,0.4603,1.053,1.0526,0.3781,0.6204,0.7667,0.7746,0.4909,Control
B12,0.251,1.0845,0.7078,0.2223,0.732,0.2705,0.3659,0.379,Control
C01,0.6217,1.3266,1.3278,0.5262,0.9933,0.7832,0.6722,0.6781,BRCACancer
C02,0.684,1.3564,1.1513,0.339,0.8256,0.7591,0.7135,0.5983,BRCACancer
C03,0.7313,1.6283,1.3156,0.5013,0.9534,0.8706,0.7823,0.7325,BRCACancer
C04,0.4104,1.1661,0.7909,0.3424,0.7973,0.4817,0.4558,0.4342,Control
C05,0.3574,1.1811,0.9898,0.2971,0.4825,0.5635,0.4676,0.4628,BRCACancer
C06,0.03,0.5456,0.1486,0.1968,0.1801,0.2099,0.1708,0.1667,Control
C07,0.4722,1.3036,1.042,0.3489,0.5461,0.6351,0.4727,0.4522,Control
C08,0.5106,1.3774,1.0364,0.3899,0.6465,0.759,0.5445,0.5633,Control
C09,0.4844,1.3229,1.0912,0.4401,0.6719,0.6231,0.5431,0.4941,Control
C10,0.4961,1.3605,1.073,0.2826,0.552,0.5405,0.5988,0.5159,BRCACancer
C11,0.5215,1.3338,1.0525,0.4503,0.8147,0.8326,0.6094,0.6726,Control
C12,0.3178,1.0622,0.7476,0.3198,0.5735,0.477,0.4046,0.3599,BRCACancer
D01,0.3449,1.2408,0.9993,0.3789,0.7923,0.5256,0.5309,0.5101,BRCACancer
D02,0.4512,1.1265,1.0409,0.3445,0.6642,0.5958,0.453,0.5711,BRCACancer
D03,0.4361,1.269,1.124,0.3179,0.627,0.5445,0.456,0.4766,BRCACancer
D04,0.5076,1.2286,1.1261,0.332,0.7375,0.6415,0.5263,0.5338,BRCACancer
D05,0.5295,1.2925,1.0972,0.3904,0.5911,0.6529,0.5787,0.5114,BRCACancer
D06,0.5914,1.2446,1.1653,0.3968,0.7813,0.7474,0.7019,0.6728,BRCACancer
D07,0.4767,1.3382,1.1662,0.3515,0.6559,0.7463,0.5633,0.5869,Control
D08,0.3154,1.0976,0.8677,0.2806,0.5267,0.482,0.4145,0.437,Control
D09,0.5705,1.2601,1.0817,0.37,0.6444,0.6787,0.6437,0.5301,Control
D10,0.4075,1.0649,0.8737,0.3816,0.5135,0.7896,0.6631,0.4605,Control
D11,0.0807,0.8522,0.4103,0.3079,0.4712,0.2902,0.3805,0.2556,Control
D12,0.3384,1.0132,0.828,0.4844,0.5524,0.5782,0.4329,0.5277,Control
E01,0.4723,1.1948,1.0082,0.3465,0.668,0.6243,0.4864,0.4513,BRCACancer
E02,0.5383,1.4357,1.1577,0.3608,0.6162,0.6973,0.7244,0.5929,Control
E03,0.4202,1.2866,1.0748,0.4143,0.6741,0.7601,0.5983,0.6372,Control
E04,0.6032,1.411,1.1188,0.5043,0.785,0.7885,0.6822,0.6613,Control
E05,0.6099,1.2342,1.0044,0.3492,0.6057,0.5655,0.6754,0.4303,Control
E06,0.4145,0.9958,0.9334,0.2001,0.6634,0.4302,0.584,0.2916,BRCACancer
E07,0.544,1.3565,1.1277,0.3132,0.748,0.6743,0.5909,0.6106,BRCACancer
E08,0.4954,1.3628,1.1832,0.4109,0.7321,0.7576,0.696,0.5875,Control
E09,0.451,1.1658,1.0583,0.2771,0.6889,0.8235,0.6874,0.5724,BRCACancer
E10,0.6383,1.3458,1.2734,0.4622,0.7197,0.79,0.8031,0.6591,BRCACancer
E11,0.3344,1.1806,0.9745,0.3388,0.5253,0.5785,0.523,0.4657,Control
E12,0.3332,1.0407,0.7875,0.318,0.5145,0.4541,0.428,0.3857,BRCACancer
F01,0.5616,1.4136,1.1344,0.4444,0.8661,0.7237,0.7351,0.6437,Control
F02,0.6745,1.4492,1.212,0.5302,0.7577,0.744,0.7715,0.6677,Control
F03,0.4738,1.3007,1.1443,0.3344,0.7054,0.6523,0.6344,0.5331,Control
F04,0.4316,1.2079,0.9701,0.4621,0.8603,0.6991,0.6447,0.5425,Control
F05,0.5534,1.3985,1.1644,0.4716,0.7146,0.7805,0.698,0.5977,Control
F06,0.5319,1.1381,1.0022,0.3542,0.5242,0.6248,0.5291,0.4048,Control
F07,0.4809,1.4297,1.103,0.3501,0.7973,0.603,0.7002,0.5646,Control
F09,0.7536,1.4937,1.2738,0.4488,0.8726,0.8134,0.8407,0.7302,Control
F10,0.7437,1.466,1.3063,0.483,0.7985,0.7832,0.8078,0.6689,Control
F11,0.5413,1.2216,1.1281,0.5252,0.7319,0.7801,0.5687,0.548,Control
F12,0.6126,1.3162,1.2001,0.3671,0.8029,0.6027,0.6184,0.5493,Control
G01,0.5546,1.0659,1.2068,0.2991,0.7615,0.7471,0.5653,0.5754,Control
G02,0.4085,1.1091,1.0523,0.2004,0.6526,0.6019,0.5194,0.4468,Control
G03,0.7358,1.3407,1.2372,0.4434,0.8206,0.7322,0.8105,0.6342,Control
G04,0.5877,1.3967,1.3617,0.3332,0.6845,0.7454,0.6507,0.623,BRCACancer
G05,0.2799,0.8804,0.6105,0.3324,0.6057,0.4345,0.3684,0.3362,BRCACancer
G06,0.6443,1.2797,1.3155,0.3025,0.6698,0.6049,0.5834,0.5206,BRCACancer
G07,0.5133,1.2313,0.9625,0.3996,0.5913,0.5722,0.5374,0.5427,Control
G08,0.5512,1.2861,1.1612,0.3885,0.8043,0.7131,0.718,0.5806,Control
G09,0.5135,1.1127,0.8601,0.4228,0.717,0.5285,0.502,0.4098,Control
G10,0.3873,1.1522,1.0974,0.2354,0.5802,0.5784,0.5354,0.3834,BRCACancer
G11,0.3018,0.6532,0.5114,0.24,0.4844,0.3689,0.3868,0.1717,BRCACancer
G12,0.4994,1.2529,1.2441,0.269,0.6312,0.4942,0.5531,0.4834,BRCACancer
H01,0.4089,1.0629,0.933,0.2622,0.5981,0.447,0.4894,0.3481,Control
H02,0.3657,1.1659,0.9638,0.4118,0.6025,0.6686,0.4397,0.6218,Control
H03,0.3747,1.1165,0.9104,0.4718,0.6073,0.5791,0.5455,0.472,Control
H04,0.5055,1.3248,1.0508,0.4231,0.8849,0.7612,0.6059,0.7061,Control
H06,0.4568,1.1694,0.9872,0.3263,0.6894,0.7193,0.4644,0.5278,Control
H07,0.4548,1.1764,0.9344,0.4606,0.746,0.5527,0.6354,0.605,BRCACancer
H08,0.3812,1.007,0.9861,0.3479,0.6116,0.4518,0.4917,0.491,BRCACancer
H09,0.3825,0.9563,0.555,0.2293,0.7269,0.2952,0.4554,0.299,BRCACancer
H10,0.3807,1.0123,0.8892,0.2207,0.8011,0.4446,0.6039,0.3879,BRCACancer
H11,0.6662,1.1985,1.1222,0.2581,0.5196,0.4721,0.6937,0.3845,BRCACancer
H12,0.6524,1.3872,1.2781,0.572,0.7773,0.7697,0.7512,0.5863,BRCACancer
I01,0.5578,1.3225,1.0894,0.4324,0.7847,0.7729,0.7374,0.6726,Control
I02,0.4473,1.0897,0.8649,0.2541,0.6076,0.4689,0.4651,0.4074,Control
I03,0.2614,0.9956,0.8583,0.2596,0.4305,0.4186,0.445,0.3803,Control
I04,0.5142,1.524,1.2604,0.4234,0.7301,0.796,0.6671,0.5759,Control
I05,0.4578,1.2996,1.0717,0.3281,0.6802,0.6964,0.5693,0.5684,Control
I06,0.4438,1.4088,1.1601,0.1398,0.648,0.5901,0.5388,0.5119,Control
I07,0.6807,1.4587,1.2688,0.4107,0.9882,0.8943,0.7557,0.6925,Control
I08,0.7059,1.5381,1.2289,0.374,0.7603,0.6016,0.8482,0.5156,Control
I09,0.4345,1.2241,0.9596,0.351,0.5995,0.4625,0.5429,0.4046,Control
I10,0.5963,1.3089,1.1253,0.4827,0.8576,0.8459,0.7948,0.6183,Control
I11,0.3389,1.0887,0.8706,0.2112,0.5044,0.4188,0.606,0.297,Control
I12,0.5327,1.166,0.9278,0.3839,0.6282,0.5299,0.6511,0.5179,Control
