@relation data

@attribute id string
@attribute 11019 numeric
@attribute 51601 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0070802396,0.0435471806,BRCA
GSM481003,-0.0334541701,-0.0339794620,BRCA
GSM481004,0.0340994629,-0.0453510239,BRCA
GSM481005,-0.0198238207,0.0967925718,BRCA
GSM481006,0.0742828302,-0.0677551779,BRCA
GSM481007,-0.0854377648,0.0159298070,BRCA
GSM481008,0.0134571368,0.2789709303,Control
GSM481009,0.0084482551,-0.1347115247,Control
GSM481010,0.0061535828,0.2937852384,Control
GSM481011,-0.0586985974,0.2184451563,Control
GSM481012,0.0537981039,0.2060784333,Control
GSM481013,-0.0801588316,0.0039470492,Control
GSM481014,-0.0364378821,0.4012142570,BRCA
GSM481015,-0.0605450054,-0.0272803624,BRCA
GSM481016,0.0416101178,0.1319255328,BRCA
GSM481017,0.0940097721,0.5373274337,BRCA
GSM481018,-0.0194785703,-0.1008512286,BRCA
GSM481019,-0.0478729651,0.2687197867,BRCA
