@relation data

@attribute 5409 numeric
@attribute 2571 numeric
@attribute 7166 numeric
@attribute 3067 numeric
@attribute 1621 numeric
@attribute 7054 numeric
@attribute Class {Control,BRCA}

@data
4.972246049,5.38304633667,5.720012484,8.306085763,5.78110476,5.5858837835,Control
5.438135838,5.555093649,6.29655434,8.595435709,5.219566658,5.125650212,BRCA
6.657715471,5.46421904767,5.609778043,6.878146348,5.819930778,5.5904720335,BRCA
8.841046241,5.54813415467,6.052574163,6.678674516,5.291135005,5.8439838165,Control
4.694341356,5.30357325,5.947964885,6.303968491,5.249266367,5.5701302945,BRCA
5.391639926,5.448684967,6.338964187,7.9096848,5.712053188,4.992983245,BRCA
7.655282277,5.79339804,5.721927133,6.662423158,5.447092526,5.8633026145,BRCA
6.336734717,5.31003055167,6.119880723,7.981112176,5.89936372,5.423904716,Control
7.859086107,5.29941082167,6.095613938,6.353328254,5.739855695,5.73397804,BRCA
5.460424154,5.29248360533,5.78136709,7.130779359,5.764746385,5.484697035,BRCA
7.01892656,5.39489482267,6.104971499,8.569856676,5.704879743,5.1678288455,BRCA
8.469561566,5.59080149,5.860721532,8.183860048,5.961629839,5.5989541065,Control
6.732544377,4.981569429,6.271981767,7.915627146,5.572140279,5.5417165275,Control
6.775581064,5.47473271133,6.234966481,10.15541314,5.515077886,7.5803338885,BRCA
7.204060303,5.63404647867,5.979917442,8.138106815,5.722063796,5.66740394,BRCA
6.116245828,5.35568885767,6.422153617,9.252807995,5.520666802,5.3806743205,BRCA
6.324365654,6.65760496733,6.430582702,10.15284924,5.66903474,5.8258654195,BRCA
8.26545228,5.49308264767,6.12918576,8.818599053,5.617365526,5.651027307,BRCA
5.691890921,5.87214272333,6.192002396,9.243632862,5.662640784,6.2426448815,BRCA
5.852005861,5.37312985767,7.069372226,10.56268869,4.686239521,4.9996117075,BRCA
