@relation data

@attribute 7867 numeric
@attribute 3265 numeric
@attribute 5894 numeric
@attribute 1432 numeric
@attribute 6464 numeric
@attribute 6300 numeric
@attribute 9261 numeric
@attribute 3845 numeric
@attribute 53358 numeric
@attribute 4803 numeric
@attribute 6714 numeric
@attribute 7529 numeric
@attribute 5600 numeric
@attribute 5605 numeric
@attribute 5899 numeric
@attribute 5898 numeric
@attribute 5603 numeric
@attribute 5604 numeric
@attribute 5900 numeric
@attribute 4893 numeric
@attribute 2885 numeric
@attribute 25759 numeric
@attribute 5595 numeric
@attribute 4914 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCA}

@data
10.72737618,7.4423513115,10.11570732,7.09994864525,9.15105029633,6.752518218,7.3429582785,6.8286116825,5.814878023,7.388170429,6.75911734333,11.115513174,7.4995792045,11.44994835,11.45733998,12.06834846,9.595220702,10.49127719,9.6517073415,8.74899041,9.4954151895,6.35664089167,11.634256725,5.19152344233,8.001564595,8.27215776867,Control
11.28922369,7.8897640555,10.34726733,6.60639379225,8.42779587067,6.478329262,7.508147197,6.4300637355,5.911818141,7.536346549,6.586005659,10.8888014215,7.383968157,11.52169626,11.67510152,11.8054921,9.166697324,9.559434991,9.5949501985,8.474680533,9.5539178325,6.54570248567,11.27623323,5.505510586,7.481398095,7.85669691467,BRCA
11.524772,7.856102429,10.45388564,6.58493097,8.45925672733,6.215392848,7.067906808,6.720661627,5.503993644,7.765321119,7.22912163867,11.252028628,7.0833900895,11.72288448,11.40523204,12.13502955,10.50005538,9.65317699,9.3783225215,8.690112479,9.480270588,5.873035507,11.198356615,5.26733198233,7.228580927,8.11094053067,BRCA
11.77058762,8.398114105,10.09500831,6.0589973865,7.73867912133,6.355796501,7.5757878185,6.243898751,5.602001935,7.799736743,6.91032494133,9.6891460585,7.0038486335,11.42772678,11.09785784,12.02968073,10.578656,9.580847928,9.3120333535,8.847629866,9.432546201,6.403711392,11.274247985,5.99442656267,6.648325671,7.98209816267,Control
11.29922535,7.697637374,10.22872886,6.730522711,8.10318445333,6.095297454,7.645516256,6.8833304115,5.633294061,7.144329712,6.72839437467,11.277560598,6.931778481,11.8471671,11.71544309,11.68152186,11.00715715,9.966174165,9.6541939785,8.770532686,9.66718229,6.34452495067,11.21839075,5.547936593,7.634958261,7.82991936767,BRCA
11.31140223,7.3388634815,10.624983,6.87151716925,8.70127661067,5.996451597,7.5964459115,7.019536675,5.353244986,7.044998189,6.38912935567,10.678516145,7.4215310095,11.5852209,12.22616388,12.29172622,10.15284924,10.23164154,10.930540346,9.445243095,9.9164802245,6.44851453633,11.07534033,5.422961591,8.19601328,8.18650002,BRCA
11.77105209,7.9742866725,9.961088297,6.362735412,8.36198243367,6.107065996,7.3846532985,6.6232326,5.876892151,8.198753346,7.54701473933,10.2755669945,6.239058915,11.16076662,10.56738599,12.09842044,9.662659976,8.977681421,9.7207434685,9.358008891,9.167523377,6.328291098,11.151396135,6.52639166833,7.292025067,8.451561107,BRCA
11.03612228,7.7095138065,10.12277013,7.0975611175,8.53051419067,6.332712967,7.097562405,7.0670465565,5.783660451,8.277683912,7.00963552967,11.313560577,6.487104221,11.28922369,11.55940591,11.95847307,10.21059864,10.00443156,9.2094695665,8.993477034,9.1611827995,6.443340444,11.40345044,5.618990182,7.787382059,8.171538624,Control
11.27393851,7.94496816,9.9831294,6.41978303225,8.16926655967,6.387246745,7.4254276565,6.5497902615,5.675118156,7.431458167,6.85674479767,10.898757498,6.9655385505,11.82274022,11.56454026,11.88601099,10.55937736,9.452231522,9.550898016,8.769533015,9.3657406255,6.39158794533,10.99057863,5.580399701,6.878728789,7.91861634733,BRCA
11.09393927,8.148239231,10.28660429,6.2012063225,8.39504068233,6.271748387,7.581342169,6.1985753455,6.078850631,7.109833592,6.973025285,10.8706706855,6.9279187635,11.64681981,11.2564654,11.97982718,10.19143901,9.69476318,9.179039416,8.271931157,9.70078824,6.12471153133,11.551814785,5.61823474067,7.4960371,7.74245236133,BRCA
10.84003064,8.198599078,10.23292486,5.5612686795,8.62624266567,7.123193151,7.82250581,6.7499434665,5.859479655,7.593430574,6.89592443067,10.689313351,7.8209172285,11.94944384,11.65213254,12.14240395,9.821790372,9.736317839,9.1529017865,8.359597076,9.153599552,6.644868335,11.573459625,5.82521094467,6.507481989,8.06297051567,BRCA
11.04264453,7.4409667175,10.11618835,6.791169903,8.601359139,6.222800335,7.457900782,6.5565791765,5.639963781,7.536560251,6.98144085767,11.1506836145,7.3186471095,11.38105635,11.78049682,11.9684077,10.00036666,9.990983614,9.5842430075,8.700336649,9.5256586835,6.02245582833,11.32136754,5.741424473,8.512524314,8.197304519,Control
11.0724812,7.6537280945,10.13087976,6.935865955,8.523978557,6.621469955,7.747843835,7.0758260015,5.962092758,7.908033966,6.75905554167,10.921528441,7.67532014,11.33166731,11.58069917,12.08367055,9.110118593,10.29596436,9.648764126,8.782311189,9.597360232,6.0986811,11.488573795,5.65673537333,8.640083234,8.151507585,Control
10.76712945,8.1909422715,10.76657469,6.23780006725,9.16094315833,7.464997224,8.0739560435,6.6476128175,5.7012796,6.930918032,6.82951290367,10.7254236375,8.0652644275,11.29445435,11.66672787,12.19911107,10.87659774,10.01433476,9.4849334175,8.647099619,9.06038523,6.334076616,11.695521545,6.076211705,7.7584583,8.08129530567,BRCA
11.83915468,7.2806843915,10.37973064,6.155251749,8.789516499,7.090538878,7.467041959,7.0204037355,5.964982644,7.437400717,6.91208436433,10.2594135915,7.6098380195,11.28106518,11.64123906,12.63069834,10.82965558,9.712540381,9.4691263995,8.81729638,9.5800955565,6.36041764567,11.206231375,6.892202365,7.8511886,7.95451796533,BRCA
11.10921707,8.539009948,10.55366796,6.273689165,8.419142242,6.615413078,7.7812287505,7.1398498025,6.354474751,7.62073508,7.22720437133,10.5808051515,7.0284721055,11.36168902,11.30184213,12.24753009,10.6792956,9.812386363,9.406931471,8.541833388,9.0393998015,6.07268852967,11.49634678,6.22343926267,7.192690117,8.00665617633,BRCA
