@relation data

@attribute 1437 numeric
@attribute 3593 numeric
@attribute 958 numeric
@attribute 3596 numeric
@attribute 3562 numeric
@attribute 3592 numeric
@attribute 914 numeric
@attribute 945 numeric
@attribute 54106 numeric
@attribute 290 numeric
@attribute 924 numeric
@attribute 921 numeric
@attribute 3458 numeric
@attribute 3687 numeric
@attribute 3456 numeric
@attribute 3439 numeric
@attribute 7099 numeric
@attribute 3565 numeric
@attribute 51284 numeric
@attribute 3567 numeric
@attribute 7097 numeric
@attribute 3586 numeric
@attribute Class {Control,BRCA}

@data
4.678374372,4.636656248,7.8256296225,5.014814152,5.089382945,6.597386379,8.049591461,6.799868052,5.412113573,10.10111594,6.973097852,6.527246801,5.676529235,6.01615391233,5.011016147,5.354567863,8.456252884,5.0072306655,7.753920581,5.421372531,5.492342928,8.621509826,Control
5.205755379,5.272407006,7.1910294905,5.076613872,5.541105329,6.147057976,9.713391295,6.563429392,5.359671604,11.68900437,7.61467511,6.508829224,5.277995204,5.64215681733,4.332418168,5.219566658,6.966306806,4.7333277815,7.73643766,5.340579688,6.063509009,9.0225626735,BRCA
5.418452458,5.379561399,7.2054038215,5.241660263,5.29242402,6.608332915,10.35655132,6.385953509,5.651633855,12.19466615,8.855352154,6.834379792,5.336114869,6.33241706267,4.538726271,5.263044971,6.90941648,5.313506773,8.136838795,5.7194123975,6.577621898,8.5481499285,BRCA
5.03343539,5.412113573,6.308850296,5.402254249,4.893861206,5.82808014,9.779251973,5.73024,6.225261069,11.92978186,8.618937076,6.476183696,5.464840793,5.635042506,5.123512303,5.139460541,6.225261069,5.4457486575,8.251862414,5.472305765,6.559687298,8.7223001635,Control
5.17473722,4.805822905,7.0635894335,5.759829109,4.885099957,6.568568473,9.841195224,7.68310186,5.776374632,11.90810746,8.37126603,6.692305572,5.115211455,6.05438603367,4.173910121,5.238033268,7.753252064,4.9685946665,7.911723223,5.0515537875,6.542068896,8.63491322,BRCA
4.95444207,4.790265497,7.223262653,5.148742216,5.421064416,6.123713395,8.416735391,7.718706032,5.256643908,11.46114958,6.938671367,6.182201277,5.298302041,7.17660310767,4.785303823,4.795989381,8.209345068,4.916242232,7.074733207,5.1215765945,6.055559693,8.5984358945,BRCA
5.205168882,5.328236218,6.3213830765,4.541660082,5.516024013,5.850631456,9.410706331,5.51191964,5.71384099,11.72497433,8.591897347,6.531268867,5.213941395,6.031614841,5.019714421,5.622938584,5.606746643,5.173542303,6.973327498,5.2625027255,6.371171674,9.1479749325,BRCA
5.002490161,5.256643908,7.3111102725,5.007208117,4.626327643,7.117464214,9.392951213,7.510509276,5.870741528,11.15278253,7.593542621,7.028903723,5.989996857,6.00625084667,4.424648213,5.093191733,7.833192323,5.2313828535,7.707464612,5.5434679,5.443615974,8.2346108605,Control
4.749683847,4.809043025,7.191795379,5.032113243,5.476714818,7.818711782,8.831086408,6.918777165,5.59156816,11.53193469,7.479378365,6.421606753,5.178725843,6.196845866,4.440788181,4.805564985,6.888990144,4.865162184,7.731914868,5.272333773,6.380768944,8.326192676,BRCA
4.920783068,4.314057196,7.028214693,5.679206489,5.072117861,5.69321599,9.377341303,6.942488481,5.605858198,11.12068843,8.242651477,6.356941039,5.114586962,6.04941479267,4.131934652,5.476390801,6.819352447,5.2729194505,7.415068054,5.5195452685,5.831251023,8.946522269,BRCA
6.027248757,5.211023147,7.398515374,4.847259412,5.10371924,6.371476641,9.910778047,8.033975091,5.387510099,11.06323009,8.833112353,6.784900215,5.77657203,5.88281038067,4.87013196,5.548136995,8.121094588,5.4767379555,7.755690654,5.2954882695,5.424427713,8.8805531315,BRCA
5.208391667,5.622060057,7.2307473315,5.622060057,4.884855828,6.861865828,8.611099628,7.195768663,5.179920282,11.01529328,7.527870126,6.195992832,4.921497326,6.214450131,5.336650487,4.79000478,7.757525229,4.9594614325,8.924932074,5.236038782,6.548826242,8.629169544,Control
5.637792259,4.997530935,7.3267732685,4.802724808,4.263099122,6.342079669,8.211110933,7.746415437,5.848755155,11.26696235,7.253873774,6.004732412,5.303243061,5.833124685,5.088959125,4.827579315,8.261532137,5.0479553105,7.600769885,5.753817663,6.379209934,8.100279525,Control
5.363706598,4.693784032,7.630971039,4.854508448,5.605117409,6.424674922,9.773259203,7.598017363,5.325000691,11.53391627,8.447621682,6.667222002,5.196047562,6.75150059067,4.561139219,4.796249019,7.008823908,5.1469376925,6.778212273,5.61349928,6.539744787,8.0593538555,BRCA
5.234397132,4.481826553,6.968230665,5.541492575,5.001814906,7.469094598,8.744658219,7.890402801,5.666480557,11.14027398,7.826232466,6.11894691,4.702259784,6.20343666067,5.275203811,5.014479436,7.52642319,5.1417521165,7.879554342,5.322639635,6.82311602,8.1004276705,BRCA
5.386130858,4.735808811,7.8925894395,5.740665359,5.391983545,7.799671995,9.861374301,7.921887229,5.573807162,11.27871096,8.313258466,6.773011007,5.131765663,6.316335853,4.20894853,4.949431337,7.096928908,4.942154083,8.03235039,5.594179114,6.277060108,8.34204317,BRCA
4.235422182,5.179920282,7.583313165,5.349799819,5.183299167,6.888746673,9.508765915,6.690490866,5.561487483,11.48554018,7.751813702,6.413294187,4.923400286,6.202547924,5.135874705,4.894103816,6.951841648,4.8414910265,7.229566594,5.4511408555,5.976599205,7.8964651425,BRCA
