@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0053634835,0.2838900502,BRCA
GSM481003,-0.0865586463,0.0977197160,BRCA
GSM481004,-0.0251448623,0.2036397983,BRCA
GSM481005,0.0337150830,0.2171802193,BRCA
GSM481006,-0.0526927833,0.1586376933,BRCA
GSM481007,0.0001403188,0.0951911765,BRCA
GSM481008,-0.0458654655,0.0897993274,Control
GSM481009,-0.0879679011,-0.0342054816,Control
GSM481010,-0.0224271506,0.2540642723,Control
GSM481011,-0.0421395231,0.1262383558,Control
GSM481012,-0.0090763914,0.1195489233,Control
GSM481013,-0.0481245267,0.0613865259,Control
GSM481014,-0.0737464761,0.1445697292,BRCA
GSM481015,-0.0185520155,0.4447279289,BRCA
GSM481016,-0.0073968610,0.1874249936,BRCA
GSM481017,-0.0028407281,0.1993450125,BRCA
GSM481018,-0.0423626673,0.2892584268,BRCA
GSM481019,-0.0425185534,0.1279733486,BRCA
