@relation data

@attribute id string
@attribute 10368 numeric
@attribute 10369 numeric
@attribute 10479 numeric
@attribute 10975 numeric
@attribute 125965 numeric
@attribute 1327 numeric
@attribute 1329 numeric
@attribute 1339 numeric
@attribute 1340 numeric
@attribute 1346 numeric
@attribute 1347 numeric
@attribute 1349 numeric
@attribute 1351 numeric
@attribute 1537 numeric
@attribute 170712 numeric
@attribute 23439 numeric
@attribute 27089 numeric
@attribute 27091 numeric
@attribute 27092 numeric
@attribute 29796 numeric
@attribute 4624 numeric
@attribute 4625 numeric
@attribute 4633 numeric
@attribute 4634 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 488 numeric
@attribute 55799 numeric
@attribute 59284 numeric
@attribute 59285 numeric
@attribute 6262 numeric
@attribute 6546 numeric
@attribute 6548 numeric
@attribute 70 numeric
@attribute 7134 numeric
@attribute 7137 numeric
@attribute 7139 numeric
@attribute 7168 numeric
@attribute 7169 numeric
@attribute 7170 numeric
@attribute 7171 numeric
@attribute 7381 numeric
@attribute 7384 numeric
@attribute 7385 numeric
@attribute 775 numeric
@attribute 776 numeric
@attribute 778 numeric
@attribute 779 numeric
@attribute 781 numeric
@attribute 782 numeric
@attribute 783 numeric
@attribute 784 numeric
@attribute 785 numeric
@attribute 786 numeric
@attribute 84701 numeric
@attribute 9167 numeric
@attribute 9254 numeric
@attribute 93589 numeric
@attribute 9377 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.0964671071,-0.1360429427,2.0628143251,1.6065710011,0.0452027960,1.8628853585,3.2848619714,-0.1795716221,2.8402468762,2.2213181482,3.9704894124,3.5314908823,3.8822471500,0.8401468646,-0.2380626956,-0.0676795500,3.0968976021,-0.0600586499,-0.1128101992,0.6030484959,-0.1106427836,-0.0859482834,-0.0346306446,-0.0422018011,1.2048343619,-0.1563157375,-0.0891506131,-0.1090014479,0.5992863820,0.1752267555,0.0748847273,-0.0464189791,1.9343319144,-0.0231872911,-0.0244613724,0.1839101703,0.0053061193,0.1390267046,0.6690897846,1.9481998085,-0.1044565234,-0.2817037447,-0.0373640609,2.0058964459,2.0965081930,0.1876934682,0.8704683575,1.1971655047,0.1019727320,0.6689030316,0.0616552577,-0.1493906910,-0.1655657803,-0.1343908462,0.0177856779,0.0562264857,-0.1120073339,0.9215979593,-0.0516060131,-0.0524913600,0.1123361526,3.7984867777,-0.1498706598,0.0013544701,0.9859425634,BRCA
GSM481003,-0.0132265166,-0.0337879272,1.7534952461,1.5810831739,0.0109310431,2.0211641467,3.1046462550,-0.0146273619,3.1145976185,1.4077368268,4.1521382630,3.0898873807,4.2017644346,1.2373216148,-0.2188028161,-0.0770076443,3.2187410724,-0.0850354372,-0.0665026621,0.7621036256,-0.1152264946,-0.0145969354,-0.2064045833,-0.0052184476,1.2874445120,-0.1045751128,-0.0761271237,-0.1358756409,1.2565654757,0.1291358674,-0.0328896525,0.1091750296,1.7734545548,-0.0420496218,-0.1089237536,0.0400396375,-0.0028599759,-0.0066117160,0.8637242620,0.5522800021,0.0333324248,-0.1398913036,-0.0497935241,1.8216330755,1.8823292218,0.1077738088,0.5364155332,1.1052940043,0.4503844612,0.4693122717,0.0114212718,0.0389886080,-0.0596940244,-0.1179253610,0.0098913400,0.0292362668,-0.0713662264,1.3229428827,-0.1059264553,-0.0961476173,0.0321225069,3.7276783670,-0.1138621008,0.0355930298,1.0323292889,BRCA
GSM481004,0.0577876398,-0.0530692570,1.7445537447,1.4291266021,0.0354191433,1.8149248219,2.7513620434,-0.0996428440,2.6634279788,1.5458005855,3.9310209751,2.8089146617,3.7254126369,0.9444029234,-0.1920239116,-0.0727936911,2.9644316963,-0.0884281022,-0.1055625068,0.4769736669,-0.1195739298,0.0591127910,-0.1264316804,-0.0984766243,1.6465649538,-0.0849351305,-0.0423334801,-0.1083835931,0.4561181011,0.1709414899,0.0339282870,-0.0756853581,1.9968408249,-0.0213019066,-0.0348687453,0.0581310536,0.0197884273,0.0518370410,0.9163998216,0.1467368978,-0.0755490523,-0.2003562524,-0.0117772139,1.7456117184,2.0152580043,0.1809681581,0.3888771398,1.0414347755,0.4909965594,0.5573724887,0.0692754934,-0.1091377224,-0.1834103518,-0.1191275287,0.0739803441,0.0313274590,-0.1110790271,1.2314329323,-0.0582804563,-0.0037787884,0.0466757352,3.6762415340,-0.1701254000,-0.0185005809,1.1291053325,BRCA
GSM481005,0.0005226196,-0.1118186463,2.2260479182,1.5030625733,0.0743817470,2.0470406263,2.9448024105,-0.0409917059,2.9922003747,2.9164639414,3.8681294917,3.4843147593,3.9038367570,0.8663924949,-0.1314745989,-0.1177032135,3.2498423260,-0.0763008901,-0.0935675255,0.7998633141,-0.1177327030,-0.1277427170,-0.0353071872,-0.0018158518,0.8559349278,-0.1209874501,-0.1212607316,-0.0687286405,0.9552678574,0.0784749269,0.3383061767,-0.1066267519,1.8319341490,0.0155516349,-0.1156670421,0.1007173106,-0.0358730607,0.2072769159,0.8318093922,0.3862316684,-0.0323639620,-0.1416978199,-0.0497784793,1.9972313338,2.0659717647,0.0909094089,0.5063382720,1.3138269037,0.1786840178,0.6773148974,-0.0445056149,-0.1045152437,-0.1310550471,-0.0965664503,-0.0084851309,0.0202300634,-0.1121815815,0.9508894881,0.1712105853,-0.1069990036,0.0295793929,3.5753884656,-0.1388695263,-0.0679431805,0.9828669735,BRCA
GSM481006,-0.0228945914,-0.1131504193,2.1265034527,1.6030405131,-0.0223264698,1.9426999326,3.1906353375,-0.0433111364,2.7724787393,2.1919866055,3.7833141685,3.1228917440,4.1287405194,0.7863435612,-0.0972202324,-0.1522625482,2.8971524637,-0.0869753790,-0.0298010242,0.8641829562,-0.1652043663,-0.0539877269,-0.0282834456,-0.0688315976,1.1591157516,-0.1928323078,-0.1071198158,-0.0999615427,0.9066364228,-0.0728818892,0.1292292832,-0.1097232796,1.8720728660,0.0152266840,-0.2687193164,-0.0112771795,-0.0443390303,0.0626692631,0.6072934194,0.1285052330,-0.1716458786,-0.1718132419,0.1736368850,1.9622275889,1.9527245965,0.1048544829,0.8763581075,1.2153712613,0.3945244716,0.5262670671,0.0959829012,-0.1013233678,-0.1325347712,-0.1005041568,-0.0212695111,0.0721623655,-0.0321180584,0.7624131363,-0.0679914388,-0.1197784576,0.0115061026,3.8201055186,-0.1207392842,-0.0471956669,1.0885378044,BRCA
GSM481007,-0.0349743914,-0.1493959513,1.2332762928,2.0476180873,-0.0038959036,2.0811500624,3.4278373156,-0.0469448198,3.0253856183,1.7605797424,4.2471015454,3.6010037263,4.3338177502,1.0927841692,-0.1092255309,-0.1012385326,3.0893913110,-0.0239456066,-0.0406084124,0.7840594022,-0.1233260245,-0.0812674279,0.0125250198,-0.0411338516,1.2515263292,-0.0986034427,-0.0552017571,-0.0639382190,1.4007932205,-0.0474682670,0.4021267280,-0.1062760652,1.5249591765,-0.0364666859,-0.0849344980,0.0332414192,0.0265171231,-0.0659352094,0.6255749410,0.0313094011,0.6705830827,-0.1922242663,0.4725695883,1.1174703227,1.6497917800,0.1016021202,0.3937770439,1.4956284187,0.6803908083,0.3650899887,0.0120281918,0.0822912043,-0.1165982584,-0.0872170766,0.1709623626,0.0597358794,-0.0724073578,1.4141703408,-0.0030257113,-0.0652187939,0.0820710908,3.6439844541,-0.0642993118,0.0041427934,0.9846709110,BRCA
GSM481008,0.0604415922,-0.0492776156,1.3858215510,1.4917126569,0.0642122642,1.8299913453,2.8501150784,-0.1405497756,2.7354585430,0.0876533418,3.7913441360,2.8796510697,4.2373084425,1.7489482332,-0.2445231275,-0.0752571553,3.0685641767,-0.1112670285,-0.0911915538,0.7273884065,-0.1444538933,-0.0346273663,-0.0412420489,-0.0316129251,1.0822508104,-0.1365751932,-0.0949711165,-0.0792500605,0.9785020654,0.2619806110,0.2425652087,-0.1336147326,1.8131806963,-0.0741967525,-0.0215387909,0.0114555178,-0.0147841188,-0.0225599359,0.7507656030,-0.0685555516,-0.1374569233,-0.2019308986,-0.0847922103,1.3469035368,1.3734824926,0.1071969793,0.4322142100,1.1688015965,0.8696000842,0.4626299099,-0.0574690060,-0.0676376425,-0.1599896951,-0.0672450389,-0.0362172965,0.0822007362,-0.1070747652,1.3015633692,0.1469396462,-0.1092612428,0.0720147341,3.2993071420,-0.0541064534,-0.0339529751,1.2960779315,Control
GSM481009,-0.0075253614,-0.1381058706,1.3902106136,1.4853398304,0.0684719377,1.7367875094,2.6311376569,-0.3586401987,2.5402667387,1.6264791708,4.3633204104,3.4713052907,4.5574183465,0.3506586602,-0.1107506554,-0.1508895850,2.9750197729,-0.0521817828,-0.0729735639,0.4288435452,0.0773773430,-0.0992830692,-0.0986701912,-0.2112748292,0.7746091188,-0.1674389526,-0.3735897056,-0.0711978792,0.5135420329,-0.1965277056,0.0579115311,-0.3514352102,1.6117041996,-0.0399446756,-0.2024161316,0.0126214029,-0.0932350359,0.0475240742,0.6407201064,0.3748562077,-0.1054184790,-0.3177116471,-0.1096050268,1.7189399035,1.4725465585,-0.0665365103,0.4369941966,1.0954677589,-0.0334941153,0.5205489170,-0.0553855791,-0.1449972377,-0.1978353354,-0.0726911084,0.0351161159,0.0160836343,-0.1523115490,0.5742608378,-0.0191524538,-0.1511457065,0.1212613262,4.1423926693,-0.1587376114,-0.0587180792,0.8769327582,Control
GSM481010,0.0088427114,-0.0397878316,2.0745816080,1.4537202894,0.0014198127,1.9242086759,2.9208014362,0.0380571040,2.8953553038,1.7727171405,3.6474858521,3.3400865397,3.7300850450,0.8249833369,-0.0820968560,-0.1542527573,3.2245613336,-0.0635951313,-0.0010121350,0.8640203471,-0.0989655200,-0.0893590621,-0.0379421383,-0.0498111679,1.1128667200,-0.0958312944,-0.0572905339,-0.0784865001,1.1311606698,-0.0669410945,0.1801746006,-0.0272888464,1.8788603088,0.1309536373,-0.0791221686,-0.0118244729,-0.0640405766,0.0934505015,0.6950195148,0.8346061260,0.0299253108,-0.1869938556,0.0800146034,1.6974285753,1.8215680954,0.1001644606,0.6591043846,1.3226195287,0.1388330570,0.7180417817,-0.0453533062,-0.0724101748,-0.0598541774,-0.0734716319,0.0491146670,-0.0524804330,-0.0359144217,1.1688287363,-0.0351954649,-0.0306827370,0.0683142278,3.5693041259,-0.0651612744,-0.0370988661,0.8757476503,Control
GSM481011,0.0473271434,-0.1439468859,1.3869857415,1.6555728007,0.0699772569,1.9761028098,3.3096089502,-0.2291208319,3.2716646788,3.1080761999,4.2350476681,3.9323317207,4.2991562488,1.4112859420,-0.1836228975,-0.0346676108,3.1813957692,-0.0277669312,-0.0797177401,0.8660045439,-0.1606251726,0.0015773605,-0.0960780908,0.0703203686,1.0450381968,-0.2090282230,0.0049888158,-0.1116891076,0.5877753954,0.2094058641,0.0234133798,-0.0823677012,1.5402704870,-0.0338350054,-0.0190993153,0.1167843015,-0.0259851331,0.1236094152,1.0001277401,0.3240358254,-0.0764263843,-0.2196711627,-0.0544221627,1.8455640789,2.1389656277,0.1267975100,0.4322951708,1.7326221133,0.5270740208,0.4434416458,0.0110394834,-0.0610902679,-0.1280837371,-0.0633816822,-0.0270761495,0.0947999682,-0.0572097716,1.0080670535,0.0448527070,0.0480385736,0.0609087328,3.7896052087,0.0014484872,0.0393252685,1.2233210028,Control
