@relation data

@attribute 23594 numeric
@attribute 4998 numeric
@attribute 4999 numeric
@attribute 5000 numeric
@attribute 1869 numeric
@attribute 5001 numeric
@attribute 990 numeric
@attribute 84515 numeric
@attribute 1871 numeric
@attribute 23595 numeric
@attribute 1870 numeric
@attribute Class {Control,BRCA}

@data
9.9652661335,5.790192895,8.8794769,6.798021749,5.763286242,6.47162143767,4.932168974,8.00728757867,9.274157466,8.595435709,7.6916757,Control
10.6067005385,5.868397398,9.341663989,6.6596432,6.058322584,6.35138548033,4.948847562,8.600459581,9.646289192,8.901380658,6.931656836,BRCA
10.261247663,6.760291233,9.113990271,7.16277178,6.031886566,6.817579064,5.447257868,8.39000280033,9.837470696,8.838747853,8.360672771,BRCA
10.6087782065,5.972354482,9.441502737,6.651773306,5.460424154,6.714916353,5.182703468,8.72557625633,10.27390663,8.994142056,8.162745192,Control
10.471142841,5.712603517,9.666615087,6.921011149,6.053008806,6.839917773,5.455665247,8.393809981,9.962375907,9.287309018,7.617800091,BRCA
10.338767298,6.146803484,9.241638294,6.784605811,5.770572224,6.41271170433,5.342529189,8.15974847467,10.05069253,9.318577337,7.123969084,BRCA
11.251370817,5.301415026,9.669098149,5.968327676,6.146803484,6.868407698,4.998433881,8.69044413033,11.29154789,8.337779235,7.972134198,BRCA
10.1636613075,5.120093989,8.795261354,6.659429135,5.920180882,6.90348309733,5.346169084,7.79524891633,9.654399345,8.482577193,6.945271536,Control
10.517727571,6.614640376,8.989182391,6.944217536,5.598879718,6.783116074,5.620154746,8.29143898133,10.12192882,9.139008401,8.258590913,BRCA
10.3375133275,5.431298057,8.984704068,6.773670433,5.672857555,6.49954063167,5.096358059,8.821606451,9.387097072,8.823646775,6.888624921,BRCA
10.1060462435,6.012574958,8.519529251,6.487482832,6.357820835,6.52906469167,5.255700175,8.19852639733,9.342830898,8.823479598,7.227811157,BRCA
10.4203475115,5.59381033,9.069960645,6.786077228,5.853877943,6.825976426,5.455336468,8.12052771933,10.01526211,9.037218243,7.045216672,Control
10.273987442,5.569028668,9.036579657,6.477965145,5.687208569,6.67563750033,5.375918034,7.93139199867,9.817175993,8.776993161,7.30193311,Control
10.227964657,5.611033099,9.243103231,6.78934168,6.099827094,6.72834066067,5.297201735,7.87122307133,9.061938927,8.635528703,7.237642883,BRCA
10.0955035995,5.48527486,9.108740796,6.748599179,5.927310565,6.85516244833,5.234397132,7.80959303467,9.928363336,8.887343342,8.462748793,BRCA
9.8952105075,6.217720863,8.998534812,6.805457319,6.0664182,6.79523996967,5.727111263,7.78460812933,8.857670911,8.719338441,8.146264608,BRCA
9.8329397695,5.726293954,9.406960242,6.87116946,6.240701309,6.76381618433,5.112503363,7.798830339,8.667928594,8.496515403,7.325532861,BRCA
9.9305064935,6.419754289,9.126105027,6.716514688,6.12918576,6.84822423767,5.449323037,7.22130205967,9.626777286,8.864341803,8.1655868,BRCA
10.0772368515,5.94872421,9.084543421,6.790580238,6.065072081,6.566929743,5.48205062,7.406009218,8.975526388,8.673027334,7.252739043,BRCA
9.8710179655,5.852005861,6.164912581,5.716038325,5.901899413,6.91194087533,5.212385731,7.03454756133,7.570673773,8.625965515,9.009885376,BRCA
