@relation data

@attribute id string
@attribute 2914 numeric
@attribute 2915 numeric
@attribute 2912 numeric
@attribute 2550 numeric
@attribute 2913 numeric
@attribute 222545 numeric
@attribute 2918 numeric
@attribute 83756 numeric
@attribute 2916 numeric
@attribute 2917 numeric
@attribute 9568 numeric
@attribute 846 numeric
@attribute 2911 numeric
@attribute 80834 numeric
@attribute 80835 numeric
@attribute Class {Control,BRCACancer}

@data
C10,0.1579,-0.1059,-0.0164,0.6116,-0.0655,0.0058,-0.0672,0.1491,0.036,-0.0421,-0.0831,-0.0031,-0.0925,0,0.007,BRCACancer
C11,0.1114,-0.0835,-0.0244,0.6624,-0.1386,-0.1762,-0.1174,0.0847,-0.0521,-0.1061,-0.0404,-0.0424,-0.1145,-3e-04,-0.0191,Control
C12,0.102,-0.0525,-0.0902,0.31,-0.0614,-0.0682,-0.0473,0.111,-0.0226,-0.0975,-0.0569,-0.01,-0.085,0.033,0.0059,BRCACancer
D01,0.1301,-0.1504,0.0143,1.0425,-0.1348,-0.1859,-0.1215,0.0897,-0.1371,-0.138,-0.0996,-0.0417,-0.177,0.0757,0.038,BRCACancer
D02,0.1088,-0.0386,-0.0283,0.6239,-0.1069,-0.0221,-0.0699,0.1284,-0.0335,-0.1011,-0.0447,-0.0634,-0.1024,0.0567,-0.0072,BRCACancer
D03,0.1005,-0.1237,-0.0543,0.615,-0.0732,-0.1378,-0.0587,0.1556,-0.0444,-0.1099,-0.083,0.0367,-0.1022,0.0505,0.0479,BRCACancer
D04,0.1134,-0.1075,-0.1692,0.6148,-0.1447,-0.1282,-0.1115,0.1495,0.0208,-0.0752,-0.0388,-0.0612,-0.1183,0.0991,-0.0016,BRCACancer
D05,0.1373,-0.111,0.0448,0.6739,-0.0543,-0.0941,-0.054,0.1479,0.0242,-0.0461,-0.0847,0.1025,-0.1022,0.0514,0.0511,BRCACancer
D06,0.1289,-0.1435,0.016,0.62,-0.1302,-0.1317,-0.1053,0.0942,-0.0299,-0.0881,-0.0709,-0.0384,-0.1537,0.0746,0.0165,BRCACancer
D07,0.1317,-0.0662,-0.0755,0.653,-0.0522,-0.057,-0.0654,0.1233,-0.011,-0.0975,-0.0596,-0.0671,-0.0924,0.1042,0.0617,Control
D08,0.123,-0.1543,-0.0536,0.52,-0.048,-0.1043,-0.0578,0.1763,-0.0524,-0.0649,-0.0697,-0.0413,-0.1363,0.1871,0.0235,Control
D09,0.0993,-0.0817,-0.1073,0.6594,-0.1298,-0.116,-0.0822,0.1234,-0.0105,-0.0619,-0.0968,-0.0251,-0.1278,0.0648,0.0281,Control
D10,0.1072,-0.1178,-0.0485,0.3692,-0.0892,-0.0406,-0.079,0.0703,-0.112,-0.0735,-0.0528,0.0116,-0.0953,0.1041,0.0104,Control
D11,0.1083,-0.1812,-0.04,0.3199,-0.1533,-0.2687,-0.1284,0.0089,-0.0676,-0.1541,-0.0398,0.0383,-0.2265,0.18,0.1508,Control
D12,0.1018,-0.0502,0.0059,0.366,-0.1363,-0.0539,-0.112,0.1278,-0.1086,-0.1148,-0.0426,-0.0491,-0.1638,-0.089,0.0183,Control
E01,0.0701,-0.0519,-0.0943,0.4568,-0.0577,-0.0797,-0.0734,0.0811,0.0226,-0.0637,-0.0413,-0.0309,-0.0768,0.0572,-0.0337,BRCACancer
E02,0.072,-0.0888,-0.143,0.5329,-0.0807,-0.0282,-0.0842,0.1092,-0.0302,-0.0845,-0.0473,-0.0061,-0.0902,-0.1632,-0.001,Control
E03,0.1144,-0.0885,-0.1003,0.4964,-0.0722,-0.0638,-0.0774,0.1394,-0.0074,-0.0809,-0.0634,0.0259,-0.0849,-0.0742,-0.0139,Control
E04,0.1118,-0.1154,-0.0223,0.8897,-0.0487,-0.0999,-0.0761,0.1537,-0.0329,-0.0806,-0.0837,-0.018,-0.0694,-0.0284,-0.011,Control
E05,0.1729,-0.1399,0.0505,0.5983,-0.0962,-0.0557,-0.0878,0.138,-0.0297,-0.0501,-0.0989,0.0132,-0.0942,0.1226,0.0535,Control
E06,0.1644,-0.2045,0.051,0.6258,-0.086,-0.1645,-0.0168,0.1411,-0.1924,-0.0539,-0.108,-0.0183,-0.1249,0.1892,0.102,BRCACancer
E07,0.099,-0.0865,-0.0323,0.8809,-0.0898,-0.0872,-0.0786,0.1172,0.0276,-0.0989,-0.0635,-0.0799,-0.085,0.0291,0.0496,BRCACancer
