@relation data

@attribute id string
@attribute 11019 numeric
@attribute 387787 numeric
@attribute 51601 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.5373,0.0943,0.862,Control
Utah__A02,0.4009,-0.0919,0.6864,Control
Utah__A03,0.4403,-0.0208,0.6105,Control
Utah__A04,0.4294,0.0654,0.615,Control
Utah__A05,0.497,0.1505,0.697,Control
Utah__A06,0.4471,0.0451,0.6879,Control
Utah__A07,0.5956,-0.0017,0.8427,Control
Utah__A08,0.5055,-0.1699,0.6305,Control
Utah__A09,0.4011,-0.0394,0.591,Control
Utah__A10,0.4729,1e-04,0.6415,Control
Utah__A11,0.2538,-0.1053,0.5862,Control
Utah__A12,0.3241,-0.2283,0.7259,Control
Utah__B01,0.5125,-0.1319,0.8833,Control
Utah__B02,0.5515,0.1683,0.8579,Control
Utah__B03,0.4422,-0.0183,0.762,BRCACancer
Utah__B04,0.4088,-0.1851,0.4996,BRCACancer
Utah__B05,0.2755,-0.0249,0.6675,BRCACancer
Utah__B06,0.2601,-0.3424,0.5922,BRCACancer
Utah__B07,0.568,0.0256,0.9222,BRCACancer
Utah__B08,0.4086,0.0549,0.5751,Control
Utah__B09,0.1714,-0.1144,0.3979,Control
Utah__B10,0.3375,-0.0564,0.4811,Control
Utah__B11,0.2865,-0.1058,0.8522,Control
Utah__B12,0.1538,-0.1118,0.1803,Control
Utah__C01,0.4786,-0.0388,0.5532,BRCACancer
Utah__C02,0.4938,0.0962,0.7705,BRCACancer
Utah__C03,0.4686,0.1518,0.6687,BRCACancer
Utah__C04,0.2481,-0.0672,0.2737,Control
Utah__C05,0.2433,0.0567,0.4407,BRCACancer
Utah__C06,0.18,-0.2094,0.1342,Control
Utah__C07,0.3425,-0.1137,0.4571,Control
Utah__C08,0.4158,-0.0722,0.6235,Control
Utah__C09,0.325,-0.0584,0.5194,Control
Utah__C10,0.4341,0.0079,0.5208,BRCACancer
Utah__C11,0.3691,0.1133,0.6258,Control
Utah__C12,0.2233,-0.1506,0.1567,BRCACancer
Utah__D01,0.4096,-0.1187,0.4404,BRCACancer
Utah__D02,0.2489,0.0594,0.3568,BRCACancer
Utah__D03,0.2433,-0.0224,0.3181,BRCACancer
Utah__D04,0.2676,0.0079,0.4257,BRCACancer
Utah__D05,0.2617,-0.0801,0.541,BRCACancer
