@relation data

@attribute 27010 numeric
@attribute 79178 numeric
@attribute 84284 numeric
@attribute 9054 numeric
@attribute Class {Control,BRCA}

@data
6.4746317545,6.205212267,10.09896674,6.173138744,Control
6.688755905,6.023649715,9.27436716,6.77608941567,BRCA
6.3697416885,6.223234887,10.09517319,6.92796459633,BRCA
6.8502243795,5.776111392,10.20019398,7.113615558,Control
6.2325881455,5.645882653,10.257176,7.00712668,BRCA
6.926215236,6.483780011,9.435228075,6.912347766,BRCA
6.6993253445,5.63866126,9.672814749,7.081297831,BRCA
6.4724649375,6.112601751,9.978925319,6.59223761867,Control
6.9532024205,6.28540742,10.43894285,6.80598756667,BRCA
6.320289461,6.687659557,10.31437963,6.76159906767,BRCA
6.6250058575,6.840466774,10.33591539,6.87975948633,BRCA
6.8902599525,5.866667704,9.992443121,6.37019407,Control
6.6697618155,6.785652306,10.24862174,6.606435629,Control
6.7440224505,6.629324286,9.541484409,6.45752972467,BRCA
6.974906572,5.497621346,9.735031788,6.40664331,BRCA
6.692457312,6.029679945,10.04873245,6.54738937333,BRCA
6.5059289915,6.528497576,10.068557,6.54123247467,BRCA
6.6616934265,6.529552075,10.16928652,6.80955845433,BRCA
6.7241740545,6.789178633,10.59389087,6.42033734467,BRCA
6.6605981345,5.797798494,8.28912106,5.82007349333,BRCA
