@relation data

@attribute 4153 numeric
@attribute 720 numeric
@attribute 629 numeric
@attribute 5648 numeric
@attribute 717 numeric
@attribute 716 numeric
@attribute 718 numeric
@attribute 713 numeric
@attribute 1675 numeric
@attribute 712 numeric
@attribute 715 numeric
@attribute 714 numeric
@attribute 10747 numeric
@attribute Class {Control,BRCA}

@data
5.217435519,6.548787718,11.12137181,5.702474374,8.673575084,11.452979635,9.984080577,11.58695951,14.5197155,9.493065415,8.4275444275,12.10196099,4.91435600033,Control
4.863209057,5.7109519,10.98871684,5.2974858328,7.328004187,10.281570014,8.261532137,11.52103369,13.57316849,9.107570921,8.1681794175,11.70094695,5.186951856,BRCA
5.014814152,7.321975714,11.52829551,5.2469885464,6.421228033,9.0656610875,9.077998072,11.76843466,11.8267889,9.137228846,7.66975539825,11.93859466,4.95899230267,BRCA
5.144669712,5.59724157,10.90796116,5.1420860782,7.084173582,8.3691132825,7.478529234,11.63953303,13.13820464,9.128942349,6.4755983955,11.41529827,5.222893164,Control
5.115211455,6.559649064,10.82104072,5.2296592122,7.578374814,9.912890601,10.22558136,11.58929079,14.01689273,9.096030618,8.47468736675,11.27819405,5.08995010033,BRCA
4.989151782,6.449648548,11.01901053,5.6137205426,7.709361509,11.0768842915,10.27605783,10.7357001,13.80179072,7.73643766,8.7833907645,10.66068255,4.806993404,BRCA
5.349799819,5.361953639,10.50280226,5.3934476678,7.186711317,9.5784932405,5.442621133,10.93590557,10.37947886,8.355902877,6.93556862625,10.36292765,5.17394369333,BRCA
4.709583584,6.167122676,11.49745034,5.572613708,8.913054791,11.64558419,10.32139858,12.00461736,14.09890062,10.24459905,8.784989627,12.21264541,4.99305370267,Control
4.820703945,6.104919098,10.57043948,5.3250683426,7.160580214,9.6121607825,9.687682355,11.21413864,12.96419289,8.92274875,8.102397265,11.43208526,5.243037915,BRCA
4.889243844,6.112705996,11.47663498,5.4176929334,7.170979399,9.2963027245,7.986440979,11.25995523,13.96600025,9.128046616,7.452973135,11.17484162,5.488490067,BRCA
4.541969328,6.120399247,11.95147243,5.4778574062,9.202485753,10.722396093,10.13161943,12.29067992,14.6085367,10.42491714,8.6908543205,11.93949851,5.108431835,BRCA
4.645902559,6.240701309,10.96190926,5.5325586518,7.790610985,10.9989298065,10.28695653,12.18670552,13.69550076,9.778192608,8.74075082525,12.2764444,5.195554997,Control
4.822489599,6.832703733,10.97151861,5.5947367508,7.996531569,10.931997676,9.936741399,11.8407859,14.21113545,9.674130959,8.549802914,12.2764444,4.79497450133,Control
4.961404834,6.209166382,11.61592857,5.2789079548,7.831973999,10.4345328875,9.100032254,12.1278268,12.05151325,9.521183826,7.8958760305,12.23300553,5.203892012,BRCA
4.850638494,6.472573571,11.92346873,5.7051782334,8.593597591,10.481846613,9.202638794,11.82578773,12.81758135,9.220572483,8.507325823,11.74966846,5.12373846333,BRCA
4.762629799,6.165716644,11.33767223,5.4598011604,7.802356618,10.1697156285,8.429700821,11.51777531,12.11192472,8.932112213,7.6698976835,11.73619062,4.95714582967,BRCA
4.688758955,5.984140004,11.87463956,5.325793402,7.440414751,9.3507208175,8.501002294,11.0083938,12.21001994,8.290607702,7.78074875825,11.31639767,5.390620698,BRCA
5.066101302,5.782219336,10.65984455,5.2999294774,8.219411924,9.9387440065,9.230429477,11.65066148,13.7976418,9.494236145,7.51695507925,11.88705885,5.033824754,BRCA
4.37083793,6.81458607,11.58622772,5.2013286924,7.768880894,10.2054917615,9.226111776,12.09904539,13.49883304,9.431989105,7.9804653435,12.17862448,5.216817016,BRCA
4.779274646,6.924786158,11.50276234,5.670954472,8.423285204,10.7857803675,9.522278016,10.90995328,11.94385185,10.04412807,7.6711712305,12.22983432,5.47215116333,BRCA
