@relation data

@attribute id string
@attribute 8517 numeric
@attribute 1147 numeric
@attribute 2033 numeric
@attribute 5970 numeric
@attribute 7124 numeric
@attribute 3551 numeric
@attribute 8841 numeric
@attribute 7132 numeric
@attribute 7189 numeric
@attribute 8772 numeric
@attribute 1387 numeric
@attribute 8737 numeric
@attribute 4790 numeric
@attribute 8717 numeric
@attribute 4792 numeric
@attribute Class {Control,BRCACancer}

@data
D02,0.3654,0.9709,1.7262,1.4141,0.3824,0.8039,0.5656,1.092,0.7325,0.6495,1.3231,1.1322,1.2184,0.9681,1.8134,BRCACancer
D03,0.3056,0.8277,1.6352,1.2419,0.3039,0.8155,0.6127,1.0502,0.5624,0.575,1.1635,0.9273,1.0942,1.0124,1.6918,BRCACancer
D04,0.1994,1.0682,1.7776,1.3386,0.2301,0.894,0.5937,1.3787,0.7656,0.6147,1.2884,1.0755,1.2616,1.1001,1.9513,BRCACancer
D05,0.3744,1.0563,1.5737,1.3071,0.2115,0.9202,0.689,1.2885,0.6987,0.5451,1.1492,1.1811,1.219,0.9034,2.198,BRCACancer
D06,0.4206,1.2845,1.7506,1.468,0.3946,1.0235,0.7756,1.3899,0.8304,0.7924,1.3435,1.3461,1.3989,1.2723,2.086,BRCACancer
D07,0.5088,1.1579,1.6982,1.4913,0.2332,0.9081,0.7998,1.3723,0.8018,0.7688,1.2675,1.3063,1.1585,1.0398,1.9997,Control
D08,0.2535,0.9017,1.3271,1.1777,0.3078,0.7363,0.5238,0.9912,0.5567,0.5346,0.9839,0.9809,1.0411,0.8086,1.7568,Control
D09,0.2596,1.0917,1.601,1.3852,0.4945,0.882,0.6715,1.1618,0.6841,0.7925,1.1948,1.2095,1.256,1.0352,2.0723,Control
D10,0.2504,1.1025,1.6859,1.2282,0.1329,0.6619,0.4511,1.3123,0.6148,0.7022,1.1877,0.9573,0.9598,0.7755,1.7488,Control
D11,0.0597,0.3623,0.9165,0.8611,-0.1931,0.4698,0.3413,0.5672,0.3625,0.4384,0.7755,0.5137,0.6449,0.3904,1.1938,Control
D12,0.0974,0.9289,1.4805,1.3548,0.174,0.5645,0.4168,1.0852,0.4381,0.6203,1.0953,0.8326,0.9431,0.8318,1.7741,Control
E01,0.1733,0.8615,1.4516,1.2735,0.1725,0.7001,0.5722,0.9358,0.5331,0.5058,1.0924,1.0197,1.0068,0.9012,2.1796,BRCACancer
E02,0.3291,1.1221,1.699,1.3912,0.2374,0.8895,0.7139,1.0845,0.7733,0.9324,1.3505,1.3922,1.3706,0.9885,2.0506,Control
E03,0.3907,1.1822,1.7561,1.5076,0.2045,0.7661,0.6456,1.2811,0.7224,0.7479,1.3706,1.2395,1.1428,1.0737,2.16,Control
E04,0.4656,1.0777,1.7457,1.6955,0.4009,1.0548,0.8187,1.3585,0.811,0.8348,1.2958,1.4161,1.3337,1.2941,2.2546,Control
