@relation data

@attribute 842 numeric
@attribute 841 numeric
@attribute 840 numeric
@attribute 5599 numeric
@attribute 1869 numeric
@attribute 7027 numeric
@attribute 140735 numeric
@attribute 317 numeric
@attribute 331 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 8655 numeric
@attribute 56616 numeric
@attribute 27113 numeric
@attribute 572 numeric
@attribute 10018 numeric
@attribute 578 numeric
@attribute 596 numeric
@attribute 7529 numeric
@attribute 637 numeric
@attribute 598 numeric
@attribute 581 numeric
@attribute 207 numeric
@attribute 836 numeric
@attribute 5366 numeric
@attribute 90427 numeric
@attribute 54205 numeric
@attribute 4836 numeric
@attribute 3002 numeric
@attribute Class {Control,BRCA}

@data
7.924560768,5.6639776582,7.083131785,5.939777752,5.763286242,10.489828235,10.12277013,7.460673902,5.599623716,9.584314798,11.95847307,13.079535225,9.66376865267,5.495864018,7.546352606,5.87108590033,7.353546324,8.4944607845,11.115513174,7.03937931067,9.8313225965,7.63009585267,9.746089281,7.931813168,5.974007269,6.17784196225,8.464342681,8.80484987,7.102871006,Control
7.7506065195,5.8528914586,6.56812056767,5.0886580415,6.058322584,10.46698639,9.569955799,7.8219347,6.29655434,9.028818534,11.93616504,12.884656825,9.67173453233,4.970176368,7.48196166867,5.827033654,7.709154696,7.97569312475,10.8888014215,7.36277768733,9.2628993675,7.28221449733,9.68028616833,8.1988449165,5.6670639275,6.14013397325,8.779925425,9.033520136,6.93387098,BRCA
8.1061247785,5.7897319854,6.742243195,5.6701097255,6.031886566,10.89809876,9.825825817,7.4969355985,6.416760061,8.789730168,11.74088764,12.742809565,10.061280153,5.96272903,7.496409352,5.72023499933,7.285959595,7.84053328475,11.252028628,7.39390802233,9.6706944665,7.63291516533,9.69256516467,8.03923302,5.853894957,6.44566678025,8.42928237,9.281014944,5.829159022,BRCA
7.389583129,5.6257131728,6.02132500833,5.7758281875,5.460424154,10.14224707,9.968526809,7.949551686,5.989826604,8.74769044,11.09993968,12.83089628,8.947098931,6.421312202,7.166098701,6.192824595,7.706567029,7.5957045875,9.6891460585,7.22347936333,8.999297312,7.33493823133,9.98949733167,8.049352819,6.308415087,5.8614563155,8.584211958,9.774869866,6.431711224,Control
7.637528126,5.7767472574,6.82370193433,5.704258658,6.053008806,10.17761519,9.654023346,7.4088003525,6.56544914,9.157246578,11.83833739,12.77985194,9.598480897,6.09909068,7.33013335533,5.97099375467,7.072805548,7.8450723755,11.277560598,7.344893544,9.819947042,6.91556020333,9.506100771,8.040914571,4.891742469,6.172898124,8.435838088,8.555357117,6.758893179,BRCA
8.5459358775,6.1557894346,7.27989135267,6.517858181,5.770572224,10.807258755,9.65912677,7.755466278,6.091917306,9.836169177,12.08138533,12.839423155,9.764654264,5.594855484,6.96976629,5.793631731,7.171104536,7.89616385625,10.678516145,7.41519809933,9.444171974,6.71227636133,9.688092646,8.276164252,5.7097357945,5.9301076615,9.008765532,8.885758232,6.172733142,BRCA
6.9179834015,5.645039366,5.90453458933,5.6011167705,6.146803484,10.526885685,10.04754695,7.5815822955,6.731933742,7.747456426,11.2413041,12.929299285,9.62734478367,6.464509503,6.54175895867,5.92888653467,8.025390316,7.264331835,10.2755669945,6.55666256233,9.718924317,7.38616007233,10.0480993307,8.3070644095,6.111376449,6.1131789395,6.998198677,8.820131982,6.853313064,BRCA
8.3320404855,6.1264922834,6.55264887533,5.401013329,5.920180882,10.77234512,9.335111797,7.645327129,6.140988854,9.508320259,11.67233485,13.397261375,9.90484931533,5.069327579,7.84441516067,6.28299683,7.224100886,8.05261194825,11.313560577,7.116277725,9.632114784,7.43240197667,9.436876068,8.3666695385,5.583777837,5.975384905,8.819732939,8.93298324,6.796724685,Control
7.7930385845,5.8838277246,6.74719066733,5.8779809975,5.598879718,10.885151175,9.821032966,7.8288732835,6.79103628,9.212004536,11.67233485,13.03210758,10.1125553033,5.69321599,7.80894971567,5.86033894467,7.662634777,7.87109163775,10.898757498,7.61039616467,9.7227322955,7.18054352333,9.58057105933,8.288078818,6.344244342,6.21218705125,8.738583034,8.77825879,6.011904408,BRCA
7.6247556515,5.7581840748,6.62840186333,5.5839936855,5.672857555,9.9169571465,9.664892169,7.5688881555,6.177724116,9.015945424,11.71789713,12.984912665,9.67441553833,5.767794645,7.79374473733,5.494062488,7.521759667,8.23267903825,10.8706706855,6.96601306267,9.564546958,7.481413311,9.75364579767,7.806017873,5.919385176,6.5363418545,8.85611511,9.271755462,7.254464427,BRCA
8.198860636,5.3816807882,6.53836224367,5.9065229025,6.357820835,9.794661619,9.071644113,7.7410235595,6.25333282,9.789998625,11.54965727,13.2040306,9.516970034,5.628781795,8.04104994467,5.47006965267,8.001071937,7.66150020625,10.689313351,6.963748587,8.478052396,7.20416888733,9.592833039,8.021098551,5.8598119135,6.61479049875,9.025071112,9.200065551,6.887163104,BRCA
7.692121379,6.0308489854,6.42023459533,5.767601547,5.853877943,10.79646675,9.65934534,7.693481461,6.249355857,9.291228915,11.73142947,13.078208025,9.65477411667,4.95444207,7.56627437633,5.99002355267,7.075187974,7.69919135975,11.1506836145,7.32208299633,9.3012466535,6.94434709133,9.66262953467,8.158617651,5.60110425,5.89743649225,8.530173307,9.090457252,7.184357478,Control
7.8122716905,5.9638642464,7.00966433967,6.1670985755,5.687208569,10.63857576,9.874282541,7.5169319435,6.358963769,9.562295439,11.8233355,13.18400813,9.63480180867,5.532793245,7.59129591867,5.81401973733,6.998762823,8.09596774125,10.921528441,6.91536080067,9.2475715835,7.12759723067,9.935713008,8.264536249,5.429342029,5.70482616825,8.84381204,9.619496062,8.137709878,Control
8.7262881565,6.0564723368,6.98279924833,5.967633391,6.099827094,11.152632775,9.600089973,7.2583026115,6.810768024,10.13925432,10.92879244,13.21436922,9.85358193433,5.892094228,7.66188804867,5.68293947267,7.578601249,8.2876995905,10.7254236375,6.671794109,10.160659071,7.73389730333,10.2127518167,7.961727034,5.263485931,6.2319390305,9.447156147,9.499647167,6.439544705,BRCA
8.6813768815,5.9408978668,7.15190720767,5.329465727,5.927310565,11.52254988,8.157727298,7.491349902,6.819320511,9.726252704,11.9029781,12.47077998,9.60715770333,6.026031625,7.66703628367,5.36818979433,7.602329794,7.76711974975,10.2594135915,7.95391026267,8.9891806855,6.94164396633,10.3303371883,8.3844099225,5.0004128385,6.0353315015,8.66705043,10.14944265,7.655961991,BRCA
8.248373031,5.9484693628,6.96118783033,5.656097949,6.0664182,10.877554945,9.306267438,7.314781926,6.387332919,9.678499404,11.4461297,13.014826665,10.0739834023,5.837698095,8.02569258867,5.72181484,7.869811465,7.94296329425,10.5808051515,7.15183151733,9.423520902,7.79771900533,10.0295226957,8.1522695415,5.423334422,6.64304270275,9.108133102,9.615409457,6.506966537,BRCA
8.6068554675,5.7945629282,6.80342487867,6.071716146,6.240701309,11.10197649,9.984810456,7.439190284,6.924400193,10.00443156,10.69211442,13.00878091,10.336595389,5.730783436,7.95110622133,5.801395345,7.647370504,8.49738614725,10.4220281465,7.28907497567,10.2211742005,7.605231151,10.1231177773,8.071465941,5.1057473415,6.6021505285,9.377341303,9.502643438,6.115985842,BRCA
8.073461174,5.8306412028,6.42300723233,6.259376137,6.12918576,11.244230505,9.480518156,7.49765713,6.65900091,9.577046919,10.78663743,13.20687084,9.968173959,5.980317403,7.89435356167,5.89333860433,7.625345612,8.0343733815,10.774455608,7.62046501267,9.52090632,7.74259440933,10.182290716,8.4046207015,5.170802094,6.38152509725,9.400581223,9.45547165,6.309026649,BRCA
8.5559423875,5.884185454,7.21039357867,6.1648761405,6.065072081,11.353999045,9.430390412,7.365638144,6.207605557,9.812915765,10.70365297,13.250110255,10.276027292,5.803040518,8.071594068,5.96190797033,7.659783886,8.36146716375,10.6742105895,7.44773841,10.1528186875,7.86039151,10.3257906717,8.161427938,5.0131917555,6.6063605855,9.046251708,9.468797688,6.935197837,BRCA
8.6535305615,5.3899325582,6.53695531667,5.593235253,5.901899413,10.4543565965,9.946665485,7.0492517595,7.406483789,10.43684194,9.868745837,13.201468475,9.93646514167,5.657076342,8.530428344,5.422355186,7.136430133,6.96857569025,9.266249858,6.86771027567,7.5182568945,7.466076476,10.2867156497,9.1174736295,5.2467867805,5.846138596,9.54766629,10.50649631,5.886130184,BRCA
