@relation data

@attribute id string
@attribute 10000 numeric
@attribute 11184 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23368 numeric
@attribute 2885 numeric
@attribute 2931 numeric
@attribute 2932 numeric
@attribute 3566 numeric
@attribute 3667 numeric
@attribute 3716 numeric
@attribute 3718 numeric
@attribute 5163 numeric
@attribute 5290 numeric
@attribute 5293 numeric
@attribute 5295 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 572 numeric
@attribute 5894 numeric
@attribute 596 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6778 numeric
@attribute 8651 numeric
@attribute 8660 numeric
@attribute Class {Control,BRCA}

@data
GSM427158,6.02664600925,6.474070412,9.746089281,7.466690585,10.66888523,9.4954151895,6.656643396,10.00381342,7.9598688595,10.10813927,11.04382723,4.963024656,7.374389909,6.685313404,8.467616885,7.0703331436,8.27215776867,11.634256725,7.546352606,10.11570732,8.4944607845,9.15105029633,8.001564595,7.867620258,9.701471572,7.881528695,12.08367055,Control
GSM427159,5.94776533325,7.698416725,9.68028616833,6.43012268,10.98935922,9.5539178325,6.263509238,10.79867858,7.5780798575,10.01141636,9.540845393,5.442455259,6.82117167,7.098719371,8.699078855,7.6111323212,7.85669691467,11.27623323,7.48196166867,10.34726733,7.97569312475,8.42779587067,7.481398095,7.609956448,10.00164081,7.815256994,11.11317258,BRCA
GSM427160,5.52044016575,7.691529493,9.69256516467,6.416760061,11.22308177,9.480270588,7.147411327,10.42204403,7.6972575105,9.532322378,10.145837,5.531000265,6.742616386,6.212526175,9.063247518,7.448654099,8.11094053067,11.198356615,7.496409352,10.45388564,7.84053328475,8.45925672733,7.228580927,7.575257723,10.53976977,8.073848511,11.22600587,BRCA
GSM427162,5.58777326775,7.6894721935,9.98949733167,5.863140121,11.51613105,9.432546201,6.947903173,11.11828268,8.2079323255,9.129946971,7.64196344,5.259471408,7.875812501,5.584068992,8.649598507,7.6522265588,7.98209816267,11.274247985,7.166098701,10.09500831,7.5957045875,7.73867912133,6.648325671,6.838009842,10.64202486,7.239410274,10.31178269,Control
GSM427163,5.87271996825,7.3265682065,9.506100771,6.860966288,11.09139921,9.66718229,6.836369559,10.40311354,7.8440426925,9.959676393,10.16184396,5.426609659,7.242581369,7.405441727,8.565760069,7.950268865,7.82991936767,11.21839075,7.33013335533,10.22872886,7.8450723755,8.10318445333,7.634958261,7.652900753,10.10887108,7.553593058,11.49594259,BRCA
GSM427164,6.0241266485,7.1742404065,9.688092646,7.477052175,10.66999253,9.9164802245,6.770634576,9.953578497,8.179923014,10.00182726,11.74013292,5.36773034,6.583726382,7.460253403,8.146264608,7.4183463498,8.18650002,11.07534033,6.96976629,10.624983,7.89616385625,8.70127661067,8.19601328,8.522033306,10.45090222,7.175178069,11.69149721,BRCA
GSM427165,5.88751933675,7.891445025,10.0480993307,6.742953157,11.69149721,9.167523377,6.72267478,12.02630394,8.4037176925,8.873183485,8.66980731,5.891547537,8.139859715,6.662423158,8.302457433,8.3350079456,8.451561107,11.151396135,6.54175895867,9.961088297,7.264331835,8.36198243367,7.292025067,6.760091594,10.14295619,8.110210699,9.882139059,BRCA
GSM427166,5.55851851825,6.8986588765,9.436876068,6.689303092,10.33398861,9.1611827995,7.289814009,9.584981814,7.667921317,10.47490271,10.70365297,4.806596392,7.255408968,6.020263967,8.452633655,7.757716558,8.171538624,11.40345044,7.84441516067,10.12277013,8.05261194825,8.53051419067,7.787382059,7.907583411,10.54158093,8.096110446,11.73537632,Control
GSM427167,5.650041658,7.1634039155,9.58057105933,6.500527718,11.15889068,9.3657406255,6.70684521,9.460251675,7.6272357545,9.964760013,10.41875948,5.157459364,7.076765168,7.205282841,8.407417683,7.6719006758,7.91861634733,10.99057863,7.80894971567,9.9831294,7.87109163775,8.16926655967,6.878728789,7.65031782,10.145837,7.009607858,11.64430934,BRCA
GSM427169,5.56331123875,7.400487096,9.75364579767,6.827314517,11.04825205,9.70078824,6.408334517,11.10846093,8.3888894545,10.08180334,9.172928193,5.735326697,6.954839344,7.606018576,8.72987657,7.3060563712,7.74245236133,11.551814785,7.79374473733,10.28660429,8.23267903825,8.39504068233,7.4960371,6.965931792,10.21491439,6.70134502,11.1050886,BRCA
GSM427170,5.4786784915,8.233561828,9.592833039,5.479142629,10.65416187,9.153599552,6.991610063,9.583290187,7.573889673,9.072521955,8.551815066,5.372961888,6.732001603,6.657000843,9.15686751,6.9076540764,8.06297051567,11.573459625,8.04104994467,10.23292486,7.66150020625,8.62624266567,6.507481989,7.055014278,9.880571175,7.49671624,10.77336613,BRCA
GSM427171,5.7708818765,7.3092094575,9.66262953467,6.97372929,10.7998525,9.5256586835,6.58789422,9.857779317,7.829537058,10.04292168,10.93235154,5.313437469,7.247265632,6.822223857,8.195422808,7.509195938,8.197304519,11.32136754,7.56627437633,10.11618835,7.69919135975,8.601359139,8.512524314,7.958945778,9.486775264,7.566817294,11.64562254,Control
GSM427172,5.8854976,6.888946511,9.935713008,7.400262798,10.67254493,9.597360232,6.962725777,9.894916689,7.343454662,10.43052602,11.03036559,4.716458988,6.836053906,6.672535396,8.126576876,7.3656981534,8.151507585,11.488573795,7.59129591867,10.13087976,8.09596774125,8.523978557,8.640083234,8.326250965,10.12558819,7.35076491,12.0344036,Control
