@relation data

@attribute 10720 numeric
@attribute 10941 numeric
@attribute 119391 numeric
@attribute 124 numeric
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 128 numeric
@attribute 130 numeric
@attribute 131 numeric
@attribute 1544 numeric
@attribute 1548 numeric
@attribute 1549 numeric
@attribute 1551 numeric
@attribute 1553 numeric
@attribute 1555 numeric
@attribute 1557 numeric
@attribute 1558 numeric
@attribute 1559 numeric
@attribute 1562 numeric
@attribute 1565 numeric
@attribute 1571 numeric
@attribute 1576 numeric
@attribute 1577 numeric
@attribute 218 numeric
@attribute 220 numeric
@attribute 221 numeric
@attribute 221357 numeric
@attribute 222 numeric
@attribute 2326 numeric
@attribute 2327 numeric
@attribute 2328 numeric
@attribute 2329 numeric
@attribute 2330 numeric
@attribute 2938 numeric
@attribute 2939 numeric
@attribute 2940 numeric
@attribute 2941 numeric
@attribute 2944 numeric
@attribute 2946 numeric
@attribute 2947 numeric
@attribute 2948 numeric
@attribute 2949 numeric
@attribute 2950 numeric
@attribute 2952 numeric
@attribute 2953 numeric
@attribute 2954 numeric
@attribute 316 numeric
@attribute 373156 numeric
@attribute 4128 numeric
@attribute 4129 numeric
@attribute 4257 numeric
@attribute 4258 numeric
@attribute 4259 numeric
@attribute 54490 numeric
@attribute 54575 numeric
@attribute 54576 numeric
@attribute 54577 numeric
@attribute 54578 numeric
@attribute 54579 numeric
@attribute 54600 numeric
@attribute 54657 numeric
@attribute 54658 numeric
@attribute 54659 numeric
@attribute 64816 numeric
@attribute 7363 numeric
@attribute 7364 numeric
@attribute 7365 numeric
@attribute 7366 numeric
@attribute 7367 numeric
@attribute 79799 numeric
@attribute 9446 numeric
@attribute Class {Control,BRCA}

@data
6.6481657865,5.564691589,10.49633479,13.65917147,10.96541655,9.6928862,6.262508033,7.868808861,5.609704182,5.169936271,5.147928634,5.667190506,5.6868600275,5.264922245,5.0553050655,4.8997521625,5.011016147,6.137611747,5.45451419,5.831251023,6.1045471795,6.68951277,5.081735071,6.026142315,6.49377991,10.673781165,6.55532521,5.45451419,7.21985370467,9.230429477,11.38201077,6.833625349,7.9798269,7.582482852,6.927822575,6.1592179755,5.3347520975,9.077737775,12.0912253167,11.9187937,11.0768258,7.6295674565,9.735649574,13.08977243,11.99074406,8.462748793,6.58276750967,9.387350221,12.77497238,13.1577646,9.957331028,9.78285419275,12.17707698,13.42453443,5.745513828,4.989378887,5.316518,5.692518737,5.34774693033,5.533260613,5.048771569,4.917445181,4.845504173,5.73309076,5.1516093565,6.04208923,7.321999924,5.057462456,4.938324343,5.67688054775,5.218245385,11.64633578,Control
7.937870279,5.301232095,11.10893295,12.45678569,10.78521972,9.225400943,6.19947933,7.350146089,5.946445035,5.301232095,4.98710623,5.039150733,4.899988218,5.501288856,5.1448679035,5.2804050785,4.771900633,5.899424146,5.214524337,4.888269882,6.036831682,8.113873832,5.119990277,6.015254046,8.012835586,11.969121125,6.70539325,5.558429323,8.221370482,8.49777314,10.93507131,8.0499627145,8.305344864,7.187750739,8.383669981,6.9126077685,5.066356174,8.852077767,10.2974941907,11.4387853515,10.54355899,6.671253388,8.375627172,13.2092074,11.58766984,7.690087264,6.94444563533,8.687945234,12.88816775,11.8442763,9.304694199,8.6339230885,12.37838706,12.52393564,6.918449222,4.255773643,5.34066129,5.789606185,4.89087691633,4.569042829,5.420053896,5.442455259,4.95444207,5.773212576,5.3758344395,4.716563977,9.04325120967,5.346080415,5.1072423805,5.59827444375,5.033900371,12.028683275,BRCA
5.9412922905,5.932280461,11.68503795,10.37227772,8.439977457,6.558195394,5.1797990125,7.012460079,5.970630084,5.057354142,4.747402994,5.033215116,5.100882184,5.245658467,5.6510240955,5.2980693585,4.525994391,5.960124324,5.112503363,5.135874705,6.521229341,7.258945501,4.806596392,5.190428437,7.897121091,11.543692005,5.9520009225,4.642441245,7.99531562067,7.837424719,11.54965727,5.7362196345,8.516892845,7.797533663,8.2249849025,6.900797901,5.530313046,9.579429616,8.631588622,10.424804127,9.108851852,7.0252126395,7.679728371,13.47574423,10.5220521,9.104848435,6.668639606,6.963130532,12.84191128,10.08093113,9.175325691,8.358401749,12.04001406,12.43921023,5.001702332,4.277092785,5.275017526,4.689178439,5.20032288667,5.629656239,5.535750687,5.664561948,5.301049141,5.568952692,4.715631588,4.95623024,7.92662426633,4.428384769,5.8333037745,6.06882033,4.7157349535,12.058587635,BRCA
6.1921094465,5.062004299,11.93257475,11.67143283,9.933831202,7.149216488,5.3573935195,6.513100351,6.528106825,5.801553978,5.677798027,5.229406468,6.203983216,5.402254249,5.6412953675,5.437870183,4.92244912,5.633294061,5.144669712,5.460424154,6.0570922065,7.334946144,5.584068992,5.203995173,8.355550554,10.9735793315,6.112273416,5.21345543,7.63547782267,8.18271852,11.77322176,5.371653937,8.903204859,7.123296633,8.828760558,6.855415235,5.1857278885,9.931240244,8.52781993467,10.928548729,10.02026505,6.894582447,7.752098143,13.34505663,5.21345543,8.740962229,6.59147038,6.532671997,13.0381217,12.02630394,9.215327395,7.8486026845,12.28429355,11.79013272,5.460424154,4.845002284,5.693773551,4.681187829,5.147294809,4.851263383,5.62000808,4.832651143,5.464840793,5.490579154,5.1616151485,4.8851370905,7.682566087,4.978894894,4.908600668,6.086641113,4.9021860855,11.92464838,Control
5.8896958225,5.518229233,11.28752498,13.18229429,10.54993411,8.718559525,6.084648569,6.877379619,5.854002662,5.038053386,4.841735742,5.130324729,5.4139593525,5.588723066,5.841531388,5.543792467,5.200272115,6.060539901,5.494584616,4.714811949,6.1063090835,6.64810992,5.197326058,5.567432314,7.237929634,12.419934235,6.522064276,5.069542407,7.319924328,9.373507452,10.42395132,6.4440675505,8.182941933,8.393026922,8.9384931055,7.473587174,5.480714815,9.799609925,11.32558223,11.0698398375,10.56535468,7.180038406,8.056110832,13.18452521,10.39297237,8.434858712,6.73462793,7.215681326,12.90439101,11.21616247,9.091145182,8.63665399675,12.21857089,12.64987931,5.185877691,5.022158329,4.694341356,4.980952113,4.743827314,6.02414858,4.854508448,5.409060987,4.708756286,5.902080364,5.041888608,5.519435083,6.35246380333,5.671725924,5.2005104115,5.3441354815,4.401800999,11.929301075,BRCA
10.6100650295,5.79064906,10.03681963,13.03513077,10.03551433,8.716211674,5.779174922,7.695265054,5.69000583,5.10518698,5.040904755,5.234397132,5.495975867,5.028139516,5.4400429355,5.113218362,5.861342069,5.679488016,4.519748404,5.377480603,5.9247114275,7.022259953,5.342529189,6.100931012,7.322516605,13.47778484,6.7644955215,5.727111263,8.604694593,7.701135104,10.02243063,8.118509425,7.982467615,8.707239298,8.2619037955,7.0151197195,4.9726665165,9.038233906,10.4094111123,10.918672023,10.59188254,6.6814181635,7.254795087,12.73839215,4.414880594,9.437534208,6.54132657767,9.344806934,12.49990449,12.05151325,9.616108215,8.476851787,11.09393927,11.90369558,10.67589996,4.769786816,5.67695229,4.774802056,5.01757128133,5.688048317,5.291135005,5.186075849,4.63288196,5.591867317,4.9272180185,5.5416179735,10.0165137127,6.729624567,5.3544884755,5.24320125275,4.847091857,11.81827797,BRCA
10.034899063,5.98687237,11.81116605,9.616503414,7.873876433,6.194663913,5.4084174235,5.86196234,6.335440044,4.904497645,4.981180512,4.948613986,5.8328492495,5.072332275,5.3621893625,4.864967766,4.904497645,6.488889022,5.219373048,4.342031665,5.923097401,8.564912682,4.649642211,5.646674804,6.944393257,10.5644352525,6.24958932,5.23363046,8.44327070033,10.85319669,11.47374394,6.303990273,9.472143062,6.324635677,6.9215225655,5.3408463765,5.16820929,9.670745253,8.85789537233,11.0403853,10.19163332,5.839433147,8.211512518,13.41082367,10.18772666,8.452201208,6.712638655,7.146291501,12.57793866,11.45071911,8.706030693,7.04778603,11.64066985,11.08816233,9.510754836,4.189689145,5.51191964,5.129706745,5.09458734533,4.276931831,5.057462456,4.547045185,5.229406468,5.197326058,5.4155921825,5.387177849,9.33237919567,5.391983545,5.1462816115,5.4831119085,4.800901095,12.21670608,BRCA
5.402536842,5.341462114,10.8955187,13.10298289,9.812803484,9.137478628,5.379819241,7.793800193,5.757697518,4.918399651,5.273526379,5.273526379,5.5246541575,4.846005888,5.520568082,5.1632701255,6.007201809,6.190817922,4.607083101,5.506693372,5.410974137,7.459003511,5.364932404,5.517599514,7.126784799,11.82649119,5.893283963,4.840729162,7.26190433267,9.775841161,11.58069917,6.740968142,8.317391273,8.139859715,7.898534063,6.780299108,5.832054464,9.500762785,8.74667273033,10.848858533,10.64533445,7.141308336,8.469785393,13.62077142,11.80179131,7.4513783,6.384435983,9.269086417,12.92133986,11.60131362,9.515168153,8.96544391575,12.29684318,13.27273406,5.167931151,5.384232247,5.167931151,5.536217098,5.15894364167,4.937828406,4.348143714,4.840729162,4.867045482,5.384232247,5.2353643615,5.5091785575,6.291945442,5.265109838,6.692204361,6.5300702935,4.96422506,12.158665655,Control
9.5456637855,5.0188247,11.95350544,10.81594784,8.050530436,7.163325442,5.286166152,7.384915658,5.531234258,4.920187583,5.241850906,5.391468086,5.2493603095,5.686368332,5.724689425,5.0189983305,5.287261033,6.337091664,5.352274105,4.948613986,5.897486223,6.695997726,5.835425946,6.274732813,6.989255759,11.30983503,6.10688938,5.192205263,8.58381873133,9.138438926,11.72223985,7.6464704015,7.674829818,7.400369547,8.5468693335,7.59287534,5.524897771,9.934575887,8.47914895033,10.382563883,10.33550233,6.8431552575,7.3361743,13.26600764,11.29402062,7.299393782,6.76277535667,6.58075273,13.02719506,10.5650833,9.690059592,8.5929189175,12.29328779,12.51214052,8.923536316,4.528802152,4.749683847,4.347200447,5.13439949667,5.582188094,5.221694654,5.298485344,5.011910695,5.766072507,5.3230765195,5.2415956165,9.392384844,5.836814906,5.208036869,5.400347364,4.6728027165,12.11638337,BRCA
7.292380092,5.2209212,11.76197512,12.68048706,10.51195055,7.703490296,5.5590900495,6.839333325,6.129803967,4.963487128,5.542111953,6.009890885,5.8300379875,5.787909903,5.267633249,5.511947247,5.246228736,6.152087694,5.32446073,5.408721412,5.867366683,7.517947124,4.854508448,5.970169897,7.191037308,10.2589970025,5.850080124,4.219774039,9.57564639733,7.693210109,11.39154181,6.946083848,7.614417457,8.85164062,5.846367781,5.6989439535,5.187134224,9.837833335,8.74734237167,11.328436982,11.87896296,7.2051021795,7.254464427,13.57024711,11.05212667,8.435671433,6.90278119133,7.914909976,12.95796723,12.30758799,9.835174498,9.1299908475,12.32501877,12.87483063,6.730983353,4.618426738,4.656520763,4.799361019,4.71463742167,5.557663769,4.790265497,4.73770262,4.958159726,4.981865493,5.4861945155,5.5971585195,8.53381039433,5.888750097,6.387905425,6.45814549825,5.034665276,12.00064267,BRCA
