@relation data

@attribute id string
@attribute 10714 numeric
@attribute 10856 numeric
@attribute 1736 numeric
@attribute 1763 numeric
@attribute 2237 numeric
@attribute 23649 numeric
@attribute 255626 numeric
@attribute 25913 numeric
@attribute 26277 numeric
@attribute 3012 numeric
@attribute 3014 numeric
@attribute 3017 numeric
@attribute 3018 numeric
@attribute 3978 numeric
@attribute 5422 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 5426 numeric
@attribute 5427 numeric
@attribute 54386 numeric
@attribute 55135 numeric
@attribute 5557 numeric
@attribute 5558 numeric
@attribute 57804 numeric
@attribute 5981 numeric
@attribute 5982 numeric
@attribute 5983 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 6118 numeric
@attribute 6119 numeric
@attribute 65057 numeric
@attribute 7014 numeric
@attribute 7015 numeric
@attribute 8290 numeric
@attribute 8294 numeric
@attribute 8330 numeric
@attribute 8335 numeric
@attribute 8339 numeric
@attribute 8340 numeric
@attribute 8342 numeric
@attribute 8348 numeric
@attribute 8349 numeric
@attribute 8360 numeric
@attribute 8361 numeric
@attribute 8364 numeric
@attribute 8365 numeric
@attribute 8366 numeric
@attribute 8367 numeric
@attribute 8368 numeric
@attribute 85236 numeric
@attribute 8607 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.5214225980,1.2719526905,1.7002482915,0.9068090636,1.6378173305,0.2733456229,-0.2392959260,0.8119717617,0.5776638192,0.6419165981,0.4663673578,0.5796287800,-0.1710148110,0.8086666293,0.4590124302,0.1110767740,0.4475187101,0.2151189637,1.6117472946,2.4557778017,0.4698897263,0.3560446512,-0.0273617398,0.2541690469,1.1815715189,0.6852570661,0.6780754711,1.8300574754,1.4864364202,1.5486820142,1.5458070138,1.3331594929,0.3396006495,-0.0912894547,0.0007093880,-0.0907373567,-0.1426963513,0.4973183159,0.0351372616,-0.0636051464,-0.0104329173,-0.1406314549,1.2193830144,-0.2411609210,-0.0415090222,2.2542199592,-0.0932262757,-0.1174726214,-0.0902371308,-0.1332889743,1.2740677339,1.1897678674,BRCA
GSM480985,1.2045470742,0.8810759594,0.7587396121,0.2315525345,0.7014633930,0.0567498128,-0.1794575153,1.1177879204,0.5062241673,0.0878483590,0.1667381139,0.3041437968,-0.1616829565,0.3276340627,0.1985184121,-0.1403941502,0.1195283260,0.0662827998,0.3582449659,2.5761715768,0.2138277391,-0.0596465934,-0.0816908263,0.3959704076,1.1434785538,0.3529059928,0.1245795767,1.0733455949,0.9112912673,1.2987882098,1.3055036168,0.8963509541,0.2665752272,-0.1460471844,-0.0381716864,-0.0598962190,-0.0741090260,0.2993768882,-0.0988621673,-0.0984505909,-0.1655684480,-0.1932992957,0.8363667527,-0.2674207158,-0.0894587290,0.6689824858,-0.2117764721,-0.1691980231,-0.1739324715,-0.1300205311,1.1959606751,0.4892045986,BRCA
GSM480986,1.2029019593,1.4171576678,1.5000595070,0.4660534515,1.4220015855,0.2493205161,-0.1533035864,0.7940958098,0.6288143976,1.1043994361,0.4313365992,1.1784153946,-0.1100320933,0.5813196078,0.2578041365,-0.0006644904,0.3486887678,0.1366165012,1.0558625757,2.4939960588,0.4395825754,0.1485719528,0.0156392441,0.3657379911,0.7124732714,0.5507222097,0.4613985304,1.2346874078,1.4109145713,1.6070985992,1.4262792665,1.1139580674,0.4179163530,-0.0994919745,0.0159607796,-0.0556892770,-0.1807683357,0.5041547073,0.3388207418,-0.0599608208,-0.0366673270,-0.0307473849,2.1491256158,-0.2003428036,-0.0567198651,1.7092387577,-0.0633980182,-0.1365487879,0.0263579212,-0.1227883108,2.2588932003,1.0338935108,BRCA
GSM480987,1.1241706477,1.3802864079,1.7651336670,0.2542883544,1.3385604510,0.1196402289,-0.1443897371,0.5229750554,0.4457618326,0.1778778376,0.3058717020,0.7574752681,-0.1292375768,0.3103429317,0.1674653927,-0.0506179260,0.3186428044,0.0388668412,1.0933425461,2.5956108967,0.3726735975,0.2003628604,0.0205711877,0.3195155901,0.6011577090,0.4069897318,0.3976253966,1.3835763203,1.2687289647,1.4495159685,0.9492826163,0.9039788859,0.3966889848,-0.1022369779,-0.0936968294,-0.0562249477,-0.1793503214,0.4832472367,0.0138641748,-0.0141275727,-0.1387835598,-0.1289310869,0.9919551102,-0.1953635868,-0.0970291794,1.7439129253,-0.1213725205,-0.1998982792,-0.0548538233,-0.1849811434,2.3340788397,1.2685467377,BRCA
GSM480988,1.2647299039,1.4326201047,1.0335164738,0.4030297576,1.4002106098,0.1840522928,-0.1825272613,0.8929610145,0.5209535691,0.2150179089,0.3475325415,0.6328396549,-0.1845557308,0.4741234867,0.2362305118,0.0768084920,0.2306063977,0.1707717376,1.0292699189,2.6551421633,0.2661690507,0.2639022454,-0.0014752104,0.0152650487,0.8293907841,0.2685042607,0.4297329925,1.5154813594,1.3376087498,0.8359299593,1.3290010218,1.0292474841,0.2551761322,-0.0419324202,-0.1062904338,-0.0788592323,-0.0877908223,0.0794588774,0.1222377939,0.0707095018,-0.0761340127,-0.1935073448,1.2601819633,-0.1497798196,-0.1045087450,0.9749213947,-0.1741188454,-0.0677825478,0.1177794542,-0.1071247313,1.1231992246,1.0445481912,BRCA
GSM480989,0.8509117928,1.6289271399,0.8846690278,0.3585132138,1.3471962494,0.2467035367,-0.2007829703,0.4112083986,0.6312498988,0.7201442404,0.4429179234,0.5605698768,-0.1356046497,0.6133678607,0.0917473556,-0.0592587655,0.4204673296,0.1064336327,0.7054733430,2.5468980235,0.4049668027,0.0025834302,-0.0791522762,0.5509243324,0.5685038011,0.7805323229,0.1740388745,0.8512497611,1.5435676491,1.4798822800,1.4402853847,1.5561519466,0.3455542920,-0.0512262682,-0.1113309821,0.0286313300,-0.1416616022,0.5144148340,0.1641933033,-0.0012505815,-0.0825894711,-0.3411156456,1.9451569120,-0.1944220621,0.0898366083,2.4606473248,-0.1347655566,-0.1308777917,-0.0471576433,-0.1603330197,1.5966522864,0.9868094770,BRCA
GSM480990,0.7104607523,1.7306589997,1.1684033108,0.2118020348,1.3830383457,0.1833354501,-0.1180848084,0.4767537376,0.6011890261,1.3215424484,0.4757574229,0.8883089818,-0.0826441911,0.4562935978,0.1388133167,-0.0204453974,0.5086407080,0.0205682762,0.8968517595,2.7388352565,0.5395382682,0.0753009715,-0.0161918164,0.4025088740,0.5843832314,0.4190524527,0.2921790909,0.8826532761,1.2470977168,1.0583621662,1.0483638518,1.6671327599,0.3613271661,-0.0660655281,-0.1150587343,0.0362737201,-0.2242663630,0.5401730370,0.2677904508,0.0020130016,-0.0329819421,-0.1419496452,1.3865623740,-0.2183517062,-0.0134643076,2.6680849792,-0.0953085514,-0.2034950250,-0.0945666916,-0.0972427099,1.9206747497,1.0650161058,Control
GSM480991,0.7929366067,1.4686700339,0.9332959222,0.3072627562,0.8217536564,0.1333783502,-0.2285199720,0.6415753034,0.7473870405,1.5500511196,0.1838217394,1.3187459749,-0.1786492415,0.3514687585,0.0622159665,-0.1572538394,0.3003052217,0.0615627786,0.4059209386,2.5797439018,0.3617502271,0.0124490825,0.0122445337,0.5452377218,0.5254092878,0.3535321280,0.1336203346,0.6985741986,1.1375396092,1.1662135920,1.1110200535,1.1879634889,0.3754797666,-0.0594923988,-0.0897705828,-0.0016814419,-0.1765443441,0.6763776673,0.9897042628,-0.0327861132,-0.0716019377,-0.1731222237,2.6492796739,-0.2716698416,-0.0758941351,1.2128984507,-0.0314198574,-0.1891503663,-0.0154147946,-0.1246335566,2.5493872507,0.9080538116,Control
GSM480992,0.6056446797,1.7416823280,0.8603505575,0.3612757241,1.1840442308,0.1636448349,-0.1281941111,0.2664433030,0.6308282154,1.1159231662,0.4098797701,0.7317521016,-0.2269219067,0.5655389330,0.1263167032,0.0718811130,0.4920756920,0.1794742710,0.5607375373,2.4119367252,0.5190145522,0.0208666632,0.0055315315,0.6792150073,0.5687593767,0.4933435796,0.2758890922,0.6898392174,1.1910011703,0.9753238883,1.3521483293,1.5503578698,0.4735442661,-0.0683295332,-0.0831638930,-0.0389487972,-0.2490183094,0.5259023839,0.0595690179,-0.0556208980,-0.1181479346,-0.1328111279,1.7319889600,-0.2098709816,0.0244895592,2.3550574978,-0.0854759528,-0.1124679149,-0.0155767529,-0.1128499911,1.7957136460,0.8814696147,Control
GSM480993,1.1378558147,1.5989234640,1.3385117102,0.4513451854,1.6020187400,0.2997676629,-0.1749891497,0.5119291158,0.5347390805,0.7142113199,0.4578307090,0.5780023818,-0.1252152555,0.7638304975,0.1773195168,0.1147602345,0.3527961249,0.1962866471,1.0308868515,2.4959066312,0.4316285695,0.2033837022,0.1331565502,0.4229756490,0.7009486956,0.8074109628,0.4802607979,1.3106297120,1.5079846197,1.4295231500,1.5680439868,1.4444613441,0.4204430631,-0.0522124892,-0.0385425968,-0.0847653076,-0.1284755949,0.5022990164,0.0750947234,-0.0376100963,-0.0317899148,-0.2300014469,1.3436687192,-0.0975537842,-0.0764454148,1.5577390493,-0.0981801455,-0.1727625865,-0.0137316154,-0.0868990234,1.4638397183,0.9755676389,Control
