@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1017 numeric
@attribute 1027 numeric
@attribute 1029 numeric
@attribute 10298 numeric
@attribute 10488 numeric
@attribute 10682 numeric
@attribute 10971 numeric
@attribute 1385 numeric
@attribute 1647 numeric
@attribute 2066 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2151 numeric
@attribute 23368 numeric
@attribute 2549 numeric
@attribute 2810 numeric
@attribute 2885 numeric
@attribute 2931 numeric
@attribute 2932 numeric
@attribute 3429 numeric
@attribute 3479 numeric
@attribute 3484 numeric
@attribute 3636 numeric
@attribute 3667 numeric
@attribute 4233 numeric
@attribute 4609 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 50855 numeric
@attribute 5163 numeric
@attribute 5290 numeric
@attribute 5293 numeric
@attribute 56288 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 572 numeric
@attribute 5728 numeric
@attribute 5747 numeric
@attribute 57580 numeric
@attribute 5770 numeric
@attribute 598 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6198 numeric
@attribute 6464 numeric
@attribute 6517 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 7248 numeric
@attribute 7249 numeric
@attribute 7529 numeric
@attribute 7531 numeric
@attribute 7532 numeric
@attribute 7533 numeric
@attribute 8471 numeric
@attribute 8660 numeric
@attribute 9221 numeric
@attribute 9586 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,0.6797332095,0.2967640855,1.0775432256,0.9588716673,0.8276971420,1.0326234206,1.7102813706,0.7865546597,0.0194301160,2.2282689957,-0.0697262431,2.3584245311,0.3070585448,1.0862958479,1.1770933690,-0.0440006720,0.2134041132,1.6104626348,0.6282775754,0.8950817100,0.6266502849,-0.0070168312,0.0196503639,0.6888024384,0.4233776481,-0.0160443468,0.1863047483,0.4033383753,1.3998379606,-0.2075630972,-0.0972748564,0.7135185198,0.3417825494,0.8497827404,0.0547147559,-0.0465546501,-0.0592862589,0.3923970497,0.1344134227,0.3568962877,-0.1493795969,0.0413461934,0.0871318146,0.1011311368,0.5924470919,0.1526270688,0.2291788254,2.2882412161,-0.2337455553,-0.0234144181,0.2904654710,0.6461576278,0.2109833946,2.8529286943,1.6931597393,3.8656186462,0.2917555586,-0.1262477172,2.0734447259,0.5705561566,0.0282722054,0.2411862325,BRCA
GSM481003,0.3007907103,0.3862321187,1.1811751007,1.5168189790,1.1253490030,1.1906844509,1.9545436680,0.7743058192,0.0187250819,2.5227255374,-0.0250966625,2.5114432043,0.3973698837,0.4470580376,1.4703995010,-0.0126969719,0.4149544303,1.7524189089,0.6853814301,0.9718543944,1.9556233364,0.0254755334,0.7191662518,0.8267627932,0.6166785513,0.1392996103,0.2694517161,0.5633794381,1.8544124930,0.1058954411,0.0746779270,0.5864300536,0.1791957579,1.4233998538,0.0419294085,0.3781885714,-0.0721497796,0.8256779464,0.0819050467,0.1244303655,-0.0438680094,0.1650047825,0.2027870905,0.4883067481,0.2958588585,0.0602988192,0.1360396983,2.4272642752,-0.0650963442,-0.0553885548,0.0839562974,0.7252464143,0.3472401411,2.9574292897,1.7584719257,4.0474146009,0.1337018074,-0.0767019281,1.8359449339,0.5388593602,0.1443012707,0.1941480732,BRCA
GSM481004,0.4733082638,0.2243766762,1.0930646748,1.3482990906,1.1147533317,1.0233543507,1.5265807410,0.8520144969,0.0489846332,2.2065015881,-0.1034365259,2.2194539971,0.4676012300,0.2178375794,1.3837178734,-0.0706596330,0.3391565822,1.7306030480,0.7605310136,1.3618418052,1.1803125924,-0.0085871777,0.0193255078,0.8296789052,0.7089324468,0.1799735930,0.3419797647,0.4561246896,1.7169649695,-0.1194602421,0.1305255968,0.9088047795,0.1934292825,1.4479867770,0.1370990334,-0.0053526709,-0.1071991661,0.5918967704,0.1194911064,0.2292358492,-0.1145462067,0.0899912709,0.0731631404,0.2034561099,0.5405640510,0.1951900609,0.0275244191,2.7043259995,-0.1253477801,-0.0500999228,0.1372055122,0.7122327256,0.3063080642,2.9679501614,1.5714392263,3.8717345596,0.1884460379,-0.1155581619,2.0852232943,0.5679963485,0.0284953201,0.2163254187,BRCA
GSM481005,0.7983672971,0.2160567825,1.2595446937,1.3626846816,0.9063413034,1.0787079631,1.7232549003,0.7630644210,0.0936311534,2.4416533410,-0.0582213002,2.3890128664,0.4302809539,0.7086218215,0.9780464991,0.0667266736,0.3711055674,1.6458761891,0.5514022044,0.9572651076,1.5979643055,0.0353970129,0.1719733257,0.6888802523,0.5900625983,0.1209496400,0.1626732602,0.5092585007,1.7067998852,0.1787671845,0.0029082234,0.9888136863,0.2936143763,1.0055721670,0.0934391537,-0.0377524438,-0.0588336760,0.5596565347,0.1420803729,0.2669062797,-0.1436538813,0.0433951915,0.1140465466,0.1795327044,0.6260850528,0.2324255008,0.6309395681,2.3308550971,-0.1296545374,0.0180744121,0.2881692323,0.5899713008,0.2905315393,2.7884811720,1.8658410707,3.7979441584,0.2495623258,-0.1419588638,1.7138396081,0.5120937015,-0.0159742344,0.1866518880,BRCA
GSM481006,0.6102282105,0.2957256202,1.2238033216,1.1842627120,0.6073877504,0.9869866702,1.8852385303,0.7936705512,0.0438960250,2.7716638297,-0.1301217962,2.7993582883,0.4174783649,0.5719618850,1.0880985708,0.0249074433,0.3183944591,1.6704388113,0.5057105281,1.0202108809,2.4519873448,0.2205455596,0.1402481916,0.8564146342,0.8372901850,0.0792207283,0.2744588943,0.5787126888,1.7934826566,0.0293747667,0.0621828244,0.8314093148,0.2433270854,1.3385462081,0.0277093285,0.1408993934,-0.0511582738,0.4886666650,0.1587185629,0.2529420034,-0.0668901430,0.1281003530,0.1918322109,0.4654468534,0.8888126867,0.1809252382,0.4139080834,2.3295555881,-0.1780361854,0.0128678733,0.2175775908,0.4693815617,0.1776633329,2.8086695909,1.9682866730,3.9613553881,0.2052513845,-0.0884953162,2.2371679245,0.6171323243,0.0634249029,0.1984657517,BRCA
GSM481007,0.3836162349,0.2692059731,1.6133605374,1.5764191804,0.8128373353,1.1779389943,1.7620930941,0.7367034326,-0.0388119381,2.7513282745,-0.1065166436,2.4604020782,0.2757121727,0.6666712669,1.0484767142,0.0453880563,0.4823622602,1.7786090209,0.7364221625,0.5586554259,2.0280496142,0.0681594072,0.0335457215,0.8775498338,0.7127858588,0.3142764187,0.2869294803,0.4080061787,1.4387447677,0.0480180450,0.2238111468,0.3538705459,0.1014056848,1.4767880777,0.0052987031,0.3359596031,-0.0591788655,0.9255183645,0.0631843703,0.1849544916,-0.1126914493,0.0697935855,0.1788453258,0.5399327676,0.5904063099,0.1111655720,0.1694968132,2.3985712954,-0.1423230337,-0.0621160632,0.2030390211,0.6344853499,0.1454368461,2.4307935001,1.4423759383,4.0315499009,0.1259042048,-0.0330519866,2.4773025594,0.3472281966,0.1224295842,0.2322261396,BRCA
GSM481008,0.5217626055,0.7145212810,1.3575888276,2.0075535520,1.3750984623,0.9932991063,2.2853318447,1.0428309324,0.1053648011,1.7389485090,-0.0963353262,2.1300801171,0.4476290999,0.3267950748,0.7841845883,0.0036240915,0.8760201352,1.6622805248,0.9535613207,1.0892350491,0.7854365819,-0.0105432316,-0.0440993239,0.6510039526,1.0194556943,0.2588366775,0.2562567367,0.4095634027,1.3603685686,0.0553188919,0.0708427944,0.7586754806,0.1758980179,1.1338950680,0.1101996494,0.0569283839,-0.0117023872,1.0612640086,0.1297484952,0.2445528730,0.3139986474,0.0770608550,0.0997079746,0.4682674665,0.2612752523,0.2616817639,0.5929385196,2.4446920753,-0.1861558908,0.0012555714,0.1490175020,0.9728959521,0.2522952942,2.7709575175,1.6221107643,3.8004447818,0.1918546055,-0.0995936224,0.9513051909,0.8302634096,0.2377787365,0.1960819449,Control
GSM481009,0.5489170128,0.1897917593,1.3927305539,0.5626646933,0.3823645677,0.3826051094,1.4353638974,0.7662482409,0.0205618788,1.9796646386,-0.1134979093,1.7882246540,0.1436777954,1.0387842056,0.7350496649,-0.0314803283,0.5568385652,1.3427748691,0.2072424322,0.4939206066,1.3182570262,0.4388621020,-0.1444650459,0.1998790964,0.4139739338,0.0263716091,0.0096561856,0.0829424338,1.0164196166,-0.0773522686,-0.1237639573,0.5242540283,0.2437746771,0.4174557194,-0.0647555073,-0.0407355876,-0.0921382968,-0.0767497015,0.0174211498,0.1822121439,-0.2484447203,-0.1064877963,0.0380890368,0.1445371820,0.4793521173,0.1553505233,0.1911922992,2.4154436141,-0.3329388967,-0.0048567386,0.0807280921,0.6165513101,0.0955880366,2.7177316307,1.4549757240,4.4239466190,0.0990213254,-0.1899990862,1.9888664977,0.4123824815,0.0173002317,0.2414110834,Control
GSM481010,0.6249280034,0.4230568399,1.3314499458,1.0465271884,0.8913619245,0.7977590973,1.6005264460,0.8871308893,0.1562225824,2.2337571234,-0.1051772359,2.1086231072,0.3798376370,0.3070435274,1.2890395946,0.0407826927,0.2288194523,1.7509254467,0.5189746011,0.9262991083,1.1548725054,0.1285491438,1.8046061174,0.4734243482,0.5420321556,0.2723468990,0.2640629692,0.5802971647,1.7903627032,0.0307533367,0.0721284406,1.0945546926,0.2892597577,1.1752510060,0.1628911358,0.0070077871,-0.0368277670,0.7550900512,0.1197620314,0.2743944092,-0.0319732958,0.1649630812,0.0602844359,0.2815044061,0.3356299657,0.2383755020,0.5689818496,2.2814118394,-0.0799357394,0.0688335455,0.2435579410,0.7258119862,0.2539266995,2.9788210231,2.2083760897,3.6246731579,0.2326778048,-0.1035500386,1.8940424562,0.6730863959,0.1772532665,0.2052486207,Control
GSM481011,0.3773361022,0.3164373107,1.4352504081,1.3616899894,1.3098342415,1.5676906770,1.5029968166,0.8282796306,0.0381124616,2.6004650294,-0.0365902076,2.7272794777,0.4895673924,0.9283442557,0.9543569198,-0.0182466034,0.1622351069,1.9492786230,0.9022890391,0.8232649406,0.8798486422,-0.0327065625,-0.0357174514,0.9612511040,0.5721479334,0.0881457550,0.2834044827,0.2936353860,1.1011350507,-0.1137642160,0.0815531487,0.5093558666,0.2223992294,0.9093435548,-0.0068489825,0.0127240843,-0.0550816169,0.8490704160,0.1251327870,0.1690626889,-0.0797279875,0.0260892796,0.0944211634,0.2143740578,0.4277374177,0.1608414260,0.2854890496,2.8155515152,-0.1282433192,-0.0475626586,0.0857347009,0.5511031762,0.2728890434,2.4501155933,1.2901282707,3.8800995947,0.2838056297,-0.1210616646,1.9250442030,0.3477039521,0.0456852345,0.2254770854,Control
