@relation data

@attribute id string
@attribute 55157 numeric
@attribute 79587 numeric
@attribute 5917 numeric
@attribute 6301 numeric
@attribute 57176 numeric
@attribute 51067 numeric
@attribute 16 numeric
@attribute 7453 numeric
@attribute 7965 numeric
@attribute 2193 numeric
@attribute 3035 numeric
@attribute 54938 numeric
@attribute 57038 numeric
@attribute 4677 numeric
@attribute 23395 numeric
@attribute 9521 numeric
@attribute 10056 numeric
@attribute 57505 numeric
@attribute 8565 numeric
@attribute 79731 numeric
@attribute 2617 numeric
@attribute 3735 numeric
@attribute 55699 numeric
@attribute 10352 numeric
@attribute 51520 numeric
@attribute 7407 numeric
@attribute 9255 numeric
@attribute 25973 numeric
@attribute 3376 numeric
@attribute 833 numeric
@attribute 92935 numeric
@attribute 80222 numeric
@attribute 6897 numeric
@attribute 1615 numeric
@attribute 23438 numeric
@attribute 5859 numeric
@attribute 124454 numeric
@attribute 4141 numeric
@attribute 10667 numeric
@attribute 2058 numeric
@attribute Class {Control,BRCACancer}

@data
A11,0.5002,0.5025,1.1916,1.4599,0.0643,0.8031,1.0083,1.4871,0.8929,1.2845,0.8783,0.1935,0.7646,0.5657,0.4104,0.2061,0.6064,0.1311,0.78,0.2606,1.1935,0.4091,1.0861,0.0846,1.396,0.2519,0.7582,0.4728,1.4498,0.5299,0.749,0.4494,1.0165,0.9461,0.7178,1.3499,0.2361,1.3402,0.1279,1.2658,Control
A12,0.4466,0.2941,1.1125,1.5126,0.2334,0.3513,0.5731,1.1496,1.1758,1.0148,0.7415,0.0445,0.6907,0.4524,0.3073,0.0995,0.7045,0.1403,0.8197,0.0816,1.1202,0.2946,1.1358,0.0744,1.2679,0.2655,0.8417,0.4957,0.9852,0.335,0.6318,0.4503,0.9922,0.8901,0.611,1.4516,-0.0745,0.8248,0.1203,1.1689,Control
B01,0.5383,0.6525,1.3224,1.6849,0.2068,0.6938,0.863,1.8142,0.9735,0.9568,1.0093,0.0409,1.0345,0.9152,0.5157,0.3602,1.0047,0.2293,1.0263,0.3416,1.4383,0.6719,1.2534,0.2145,1.7802,0.1952,1.3134,0.3029,1.4671,0.5306,0.8923,0.6422,1.0999,1.1331,0.9921,1.4524,0.0762,1.2935,0.2006,1.3823,Control
B02,0.7498,0.7599,1.4607,2.0531,0.3073,0.789,1.1772,1.9728,1.1121,1.3065,1.2579,0.3254,1.0267,0.9651,0.5432,0.3696,0.9661,0.4636,1.239,0.3108,1.5835,0.6824,1.4964,0.2127,1.9601,0.5505,1.2154,0.4505,1.5182,0.6433,1.12,0.7837,1.3364,1.2067,1.1962,1.9215,0.2491,1.5707,0.1517,1.5614,Control
B03,0.6732,0.5929,1.4002,1.8371,0.199,0.6882,0.994,1.8116,1.0013,1.1898,1.1031,0.2225,1.0288,0.9385,0.5032,0.3401,0.928,0.3088,1.1244,0.2662,1.5019,0.5862,1.4594,0.1632,1.8899,0.3397,1.2169,0.3218,1.4395,0.6274,1.0625,0.6799,1.3102,1.1539,1.0571,1.6948,0.1783,1.4579,0.1805,1.5392,BRCACancer
B04,0.677,0.6479,1.1438,1.5192,0.2748,0.557,0.8109,1.4296,0.8881,1.1037,0.9145,0.2463,1.1194,0.6228,0.5791,0.3071,0.9099,0.2951,1.1266,0.3206,1.236,0.5026,1.1596,0.2278,1.6705,0.3469,0.8928,0.4068,1.1932,0.6169,0.8502,0.5502,1.0935,1.1629,0.8842,1.3079,0.1844,1.3293,0.4189,1.2637,BRCACancer
B05,0.6089,0.4935,1.1947,1.5237,0.2424,0.5315,0.8326,2.148,1.2491,1.2225,0.8351,0.2495,0.8078,0.63,0.3665,0.2069,0.7116,0.2126,0.9728,0.1311,1.1618,0.4562,1.1288,0.1549,1.3388,0.3861,1.0022,0.4221,1.2355,0.4804,0.755,0.5422,0.9836,1.0899,0.752,1.6335,0.1313,1.257,0.1366,1.2115,BRCACancer
B06,0.3461,0.4112,1.2986,1.3996,0.1791,0.3188,0.5843,1.3934,0.725,0.7619,0.7903,-0.0194,0.8414,0.7602,0.3354,0.1466,0.6883,0.0906,0.8324,0.0692,1.1177,0.384,0.912,0.0759,1.5445,0.0777,1.0003,0.1673,1.1519,0.33,0.4638,0.3943,0.9209,0.893,0.7603,1.2998,-0.0136,1.2088,0.1474,1.1553,BRCACancer
B07,0.726,0.7167,1.5864,2.016,0.3077,0.7983,1.1732,1.7958,1.1782,1.2838,1.278,0.3488,1.1243,0.891,0.585,0.399,0.9919,0.5152,1.2792,0.3793,1.6045,0.5711,1.4447,0.1939,2.1365,0.573,1.2612,0.5128,1.5663,0.7073,1.01,0.7408,1.4148,1.3172,1.1589,1.7276,0.1798,1.624,0.1613,1.581,BRCACancer
B08,0.6001,0.6354,1.3787,1.7265,0.0775,0.8807,1.0781,1.7531,1.0157,1.4173,0.8565,0.2862,0.7965,0.7684,0.4113,0.3093,0.6997,0.2902,0.8765,0.2998,1.364,0.5065,1.3201,0.0844,1.5995,0.3905,0.9583,0.4763,1.3281,0.5674,0.9585,0.5968,1.1652,1.0467,0.905,1.5825,0.1707,1.4753,0.0539,1.3886,Control
B09,0.3987,0.5809,1.0707,1.3372,0.2764,0.3581,0.5873,1.6971,0.7308,1.0055,0.7088,0.0899,0.9193,0.5917,0.3937,0.145,0.8323,0.1403,0.9349,0.3463,1.1159,0.5238,0.8717,0.1059,1.4734,0.2428,0.7189,0.3154,1.1326,0.5737,0.4068,0.4997,0.7168,0.8859,0.7158,1.1056,0.1037,1.1636,0.2679,0.9903,Control
B10,0.4806,0.3579,1.1701,1.5641,0.2089,0.376,0.6872,1.3809,0.7473,1.1015,0.788,0.2014,0.8724,0.5329,0.3502,0.2593,0.8059,0.1459,0.8639,0.2875,1.2559,0.3568,1.1538,0.1452,1.7041,0.2444,0.7118,0.429,1.1186,0.4094,0.6563,0.4716,0.996,1.0036,0.7917,1.2861,0.0549,1.1432,0.1799,1.3126,Control
B11,0.6569,0.5396,1.3819,1.6426,0.1925,0.7746,0.9512,1.9044,1.4791,1.3631,0.9325,0.2807,0.7826,0.6803,0.3561,0.3281,0.8567,0.1387,0.8517,0.2701,1.3184,0.4413,1.2843,0.2295,1.5039,0.486,0.9279,0.5603,1.1919,0.4802,0.7083,0.4979,1.1078,0.9256,0.7845,1.5326,0.1075,1.1841,0.1733,1.3326,Control
B12,0.2442,0.4509,0.6686,1.0558,0.1539,0.1736,0.3608,0.9859,0.472,0.8282,0.5371,0.0943,0.708,0.4146,0.2674,0.119,0.5522,0.1423,0.6309,0.1663,0.6467,0.3226,0.5728,0.0793,1.1128,0.1408,0.6054,0.2059,0.7388,0.3566,0.4973,0.1895,0.4927,0.7563,0.5218,0.9931,0.1038,1.0452,0.2419,0.6797,Control
C01,0.6653,0.8433,1.2299,1.6075,0.2338,0.7678,1.1196,2.2154,1.0601,1.2932,1.04,0.3696,0.943,0.8262,0.4793,0.2667,0.7974,0.4878,1.0391,0.2642,1.3569,0.4752,1.1605,0.2018,1.701,0.5991,0.8707,0.4789,1.3151,0.6471,0.9951,0.6902,1.1991,1.0387,0.8923,1.726,0.2914,1.5649,0.1874,1.3321,BRCACancer
C02,0.6744,0.6025,1.2758,1.7543,0.2684,0.9289,1.0803,1.5475,0.905,1.3432,1.1485,0.3896,0.8687,0.7416,0.432,0.2905,0.7777,0.5717,1.0527,0.1874,1.4299,0.4715,1.3656,0.1896,1.8254,0.6157,0.9076,0.6476,1.3383,0.5311,0.9459,0.6889,1.2455,1.1505,0.9818,1.802,0.218,1.4692,0.1628,1.4956,BRCACancer
C03,0.7473,0.7938,1.2962,1.8812,0.3599,0.8449,1.288,2.041,0.9835,1.3296,1.197,0.4075,0.9716,0.7935,0.5333,0.263,0.7463,0.7496,1.1668,0.2128,1.4928,0.5632,1.3449,0.1874,1.6283,0.6923,0.9995,0.6826,1.3957,0.751,1.2031,0.7602,1.2412,1.1633,1.2079,1.7969,0.3251,1.6132,0.1683,1.4997,BRCACancer
C04,0.3403,0.3978,0.6148,1.0633,0.0899,0.3449,0.6493,1.2667,0.5497,1.218,0.4866,0.2102,0.4278,0.4463,0.1147,-0.0138,0.3329,0.2666,0.6159,0.2074,0.6633,0.3335,0.7914,-0.0068,0.8136,0.2837,0.5921,0.3833,0.9049,0.3292,0.5553,0.2315,0.7302,0.7355,0.4147,1.3248,0.135,1.0316,0.021,0.9017,Control
C05,0.4575,0.3476,0.8461,1.2597,0.097,0.3701,0.7168,1.4306,0.7068,1.1818,0.5647,0.2216,0.4868,0.5488,0.2206,0.0294,0.3331,0.2444,0.5944,0.0538,0.8815,0.3274,0.9934,0.0345,1.0443,0.362,0.6611,0.4807,0.8519,0.2771,0.5799,0.3577,0.8595,0.7899,0.6248,1.5676,0.1876,1.0996,-0.0048,1.1231,BRCACancer
C06,-0.093,0.0934,0.1406,0.5764,0.0996,-0.0081,0.1359,0.4084,0.1746,0.7769,0.1054,-0.0012,0.2453,0.1253,0.0999,-0.1018,-0.0102,-0.0857,0.3435,-0.1768,0.2457,0.113,0.1008,-0.0718,0.1187,0.0475,0.1613,0.2419,0.3111,0.2588,0.1352,0.1978,0.1703,0.2777,0.0737,0.5487,-0.0556,0.463,-0.0365,0.3027,Control
C07,0.4428,0.3569,0.994,1.4222,0.1664,0.5285,0.8343,1.2019,0.8322,1.2119,0.7549,0.227,0.6724,0.5536,0.3215,0.1002,0.567,0.3027,0.7277,0.1713,1.1547,0.3583,1.1838,0.0894,1.3666,0.3759,0.6746,0.4428,1.0641,0.3774,0.8852,0.4681,0.9549,0.8717,0.648,1.6465,0.1557,1.1403,0.0788,1.3939,Control
C08,0.5972,0.5114,1.1145,1.6295,0.2295,0.7452,1.1488,1.986,0.9002,1.2633,0.9206,0.2295,0.6958,0.6923,0.4591,0.1588,0.7351,0.4019,0.9169,0.2236,1.3463,0.441,1.2802,0.1463,1.662,0.4973,0.8201,0.6371,1.277,0.4841,0.9395,0.6866,1.0876,0.9845,0.8146,1.679,0.2022,1.3689,0.1098,1.4402,Control
C09,0.5621,0.3808,0.9938,1.5889,0.176,0.4899,0.8784,1.4821,0.8875,1.2029,0.8357,0.2654,0.6456,0.5279,0.3613,0.1937,0.547,0.265,0.8368,0.1097,1.222,0.3841,1.2566,0.0012,1.5775,0.4694,0.7106,0.5212,0.9805,0.3787,0.8671,0.5274,1.0977,0.9003,0.7143,1.7185,0.2208,1.1921,0.0227,1.2741,Control
C10,0.5833,0.3723,1.154,1.7292,0.1303,0.5449,0.8528,1.6631,0.9356,1.3041,0.8267,0.1995,0.6665,0.5525,0.3472,0.1716,0.6437,0.3489,0.8503,0.1112,1.2418,0.3707,1.2931,0.1555,1.5375,0.4908,0.8223,0.7138,0.9695,0.3228,0.9242,0.587,1.1811,0.9963,0.8905,1.8066,0.1055,1.1618,0.0738,1.451,BRCACancer
C11,0.4891,0.693,1.0761,1.6502,0.2675,0.6739,1.0699,1.6717,0.8532,1.3043,0.9203,0.2963,0.7149,0.7113,0.3867,0.2351,0.6839,0.4445,0.9871,0.2668,1.2965,0.4945,1.1804,0.1089,1.6077,0.5808,0.7908,0.5697,1.3073,0.5356,0.9525,0.639,1.047,0.9256,0.8934,1.6332,0.2041,1.4856,0.0439,1.3685,Control
C12,0.2172,0.3495,0.7106,1.1215,0.0624,0.309,0.5961,0.9329,0.4931,1.0812,0.4403,0.1829,0.4122,0.4075,0.1617,0.0732,0.3818,0.1266,0.5468,0.1615,0.7389,0.2703,0.7559,0.048,0.9073,0.3258,0.4624,0.5075,0.7788,0.2958,0.4085,0.3775,0.6095,0.6792,0.4474,1.2798,0.1048,0.9964,0.064,0.9566,BRCACancer
D01,0.3192,0.8597,1.1213,1.3954,0.3033,0.4834,0.6953,1.5574,0.5501,0.956,0.8222,0.1798,0.9609,0.5863,0.4213,0.2107,0.7137,0.3576,0.7958,0.2604,1.0849,0.3957,0.7622,0.0832,1.6326,0.3078,0.7914,0.2943,1.1335,0.6861,0.5248,0.4539,0.6519,0.9085,0.7793,1.263,0.1292,1.4254,0.3823,0.9674,BRCACancer
