@relation data

@attribute id string
@attribute 113612 numeric
@attribute 123745 numeric
@attribute 124975 numeric
@attribute 151056 numeric
@attribute 1555 numeric
@attribute 1557 numeric
@attribute 1558 numeric
@attribute 1559 numeric
@attribute 1562 numeric
@attribute 1571 numeric
@attribute 1573 numeric
@attribute 1579 numeric
@attribute 2053 numeric
@attribute 239 numeric
@attribute 240 numeric
@attribute 242 numeric
@attribute 246 numeric
@attribute 247 numeric
@attribute 257202 numeric
@attribute 26279 numeric
@attribute 2678 numeric
@attribute 2686 numeric
@attribute 2687 numeric
@attribute 27306 numeric
@attribute 284541 numeric
@attribute 2876 numeric
@attribute 2877 numeric
@attribute 2878 numeric
@attribute 2880 numeric
@attribute 2882 numeric
@attribute 30814 numeric
@attribute 391013 numeric
@attribute 4048 numeric
@attribute 4051 numeric
@attribute 4056 numeric
@attribute 50487 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5730 numeric
@attribute 5740 numeric
@attribute 5742 numeric
@attribute 5743 numeric
@attribute 57834 numeric
@attribute 64600 numeric
@attribute 6916 numeric
@attribute 80142 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 84647 numeric
@attribute 8529 numeric
@attribute 8681 numeric
@attribute 873 numeric
@attribute 874 numeric
@attribute 9536 numeric
@attribute Class {Control,BRCACancer}

@data
A11,0.2971,0.0628,0.1652,0.1156,-0.242,0.035,-0.0708,-0.111,-0.0131,-0.0342,-0.1527,-0.19,0.2637,0.7693,1.2222,-0.0077,-0.0205,0.0437,-0.0595,0.0677,-0.1163,0.1403,0.0926,-0.0384,-0.3065,0.6696,-0.0432,0.032,-0.0787,0.5315,-8e-04,-0.0321,1.9813,0.1764,-0.2307,-0.0141,0.0848,-0.0128,0.2168,-0.2318,0.2907,-0.1309,1.0888,0.6399,-0.1408,-0.0593,0.5329,0.3734,0.0773,0.2705,0.137,0.0466,-0.179,0.3248,0.3403,0.0221,0.1423,Control
A12,0.2709,0.0564,0.1085,0.2509,-0.3924,-0.1061,-0.0164,-0.1075,-0.0974,-0.0171,-0.0482,0.0797,0.4802,0.8949,0.8654,0.0126,0.2029,-0.0476,0.0792,0.3118,-0.1539,-0.0051,-0.1122,0.1489,-0.0929,0.8985,-0.0711,-0.0116,0.0603,0.6827,0.1288,0.2378,1.9632,0.2007,-0.2379,0.0554,-0.08,0.2002,0.226,0.0609,-0.0402,-0.11,1.2823,0.1681,-0.0884,0.2264,0.4152,0.1296,0.2558,0.1435,0.147,-0.0087,-0.0023,0.1131,0.199,-0.1128,0.3642,Control
B01,0.3763,0.0595,0.0083,0.2352,-0.3773,-0.1119,-0.0171,-0.0879,-0.0344,-0.047,0.0617,-0.2448,0.9102,0.7422,1.2957,-0.1539,0.0886,-0.1111,0.0273,0.0634,-0.134,0.2698,-0.2202,-0.0071,-0.1383,1.3035,0.1669,-0.0493,-0.1032,0.9328,0.0071,0.1816,1.9013,0.0572,-0.5521,0.0275,0.0663,0.0585,0.2717,0.045,-0.2419,-0.0242,0.9198,0.4178,-0.0994,0.078,0.5833,0.2943,0.3692,0.2395,0.2066,-0.0081,-0.1399,0.5154,0.3486,-0.1537,0.1151,Control
B02,0.447,-0.0025,0.0796,0.2481,-0.209,-0.011,-0.1325,-0.1089,-0.0963,-0.0128,-0.0084,-0.1784,0.7479,0.795,1.5213,-0.0494,0.0451,0.0512,-0.1175,0.0228,0.0379,0.3931,0.0516,0.0157,-0.1611,1.7546,0.0875,0.018,-0.1028,1.121,0.0459,0.082,2.253,0.218,-0.0485,0.0433,0.0105,-0.0602,0.3776,-0.0791,0.2536,-0.0055,1.0431,0.976,-0.1068,0.0623,0.5232,0.5915,0.3636,0.3484,0.079,-0.0538,-0.1128,0.7367,0.5884,0.1052,0.3599,Control
B03,0.354,0.0018,0.0538,0.2467,-0.2106,-0.0403,-0.0582,-0.0894,-0.0479,-0.0523,-0.097,-0.0487,0.6873,0.1009,1.4095,0.0139,0.0906,0.0313,-0.0668,0.1643,-0.0196,0.2561,0.0145,-0.0519,-0.0771,1.5445,0.0858,-0.0993,-0.1017,1.0084,-0.0178,0.1238,2.2012,0.1708,-0.2555,0.0866,-0.008,0.0282,0.3694,-0.0745,0.0383,-0.0632,0.4803,0.9254,-0.0383,-0.0606,0.5861,0.4439,0.2725,0.3121,0.0654,-0.0491,-0.1339,0.5568,0.579,0.0373,0.1489,BRCACancer
B04,0.3917,-0.0207,0.0692,0.2029,-0.3824,-0.0832,-0.1166,-0.0623,-0.1243,-0.0568,-0.1013,-0.1375,0.4753,0.7718,1.3409,-0.0713,-0.1402,-0.0681,-0.0755,-0.0371,0.0122,0.1562,0.0091,-0.0457,-0.28,1.289,-0.0206,-0.0637,-0.1009,0.6309,-0.0825,-0.0231,1.6842,0.0806,-0.1698,0.0552,-0.0716,0.0429,0.4318,-0.142,-0.0276,-0.0423,1.0203,0.4896,-0.1712,0.0195,1.0949,0.4309,0.543,0.3132,-0.06,-0.1579,-0.1646,0.4234,0.2645,-0.0556,-0.0928,BRCACancer
B05,0.4167,0.0217,0.0598,0.1633,-0.3552,-0.1042,-0.1082,-0.116,-0.1201,-0.0978,-0.0821,-0.1675,0.3445,0.378,1.2499,-0.1015,0.127,-0.0395,-0.1362,0.0998,-0.1037,0.1077,0.0157,-0.0017,-0.2012,0.9039,-0.0783,0.0588,-0.1005,0.6161,0.0684,0.0053,1.9525,0.0341,-0.0575,-0.0173,-0.0829,0.0645,0.2146,-0.0915,0.4411,-0.1595,0.9368,0.4876,-0.1849,0.043,0.6287,0.3626,0.2195,0.3196,-0.2379,-0.0595,-0.1639,0.3824,0.2255,0.0691,0.392,BRCACancer
B06,0.1976,-0.0683,0.0256,0.2872,-0.1631,-0.1557,-0.0577,-0.0498,-0.0227,-0.0183,0.0565,0.0853,0.4113,0.3225,1.0613,-0.247,0.0162,-0.2155,0.027,0.2251,-0.1716,-0.0049,-0.2832,0.0564,-0.133,0.7818,0.0621,-0.0584,0.0779,0.3769,-0.2514,0.1026,1.9346,0.2387,-0.4824,-0.1043,-0.0115,0.1325,0.2832,0.1619,-0.3417,-0.0335,0.5803,0.1494,-0.1124,-0.1526,0.5456,0.1084,0.239,0.1537,0.1536,0.0059,-0.1083,0.2021,0.111,-0.2794,-0.2475,BRCACancer
B07,0.5404,-0.0713,0.0199,0.2091,-0.2014,-0.051,-0.1238,-0.0958,-0.0951,-0.042,0.0047,-0.1584,0.5701,0.9258,1.5366,-0.0144,0.0187,-0.0436,-0.0511,0.0691,-0.0341,0.4213,0.0327,0.0126,-0.2332,1.3325,0.0045,0.0273,-0.1053,0.8141,0.0629,-0.0169,2.1141,0.18,0.0136,0.1405,-0.0949,-0.0013,0.432,-0.1791,0.0277,-0.105,0.9854,0.4469,-0.1171,-0.0371,0.6173,0.5093,0.514,0.4622,0.088,-0.0431,-0.1109,0.6768,0.3645,0.0331,0.0586,BRCACancer
B08,0.3428,-0.0089,0.0891,0.1563,-0.2501,-0.1177,-0.0475,-0.0074,-0.0376,0.0257,-0.0341,-0.2184,0.433,1.7204,1.4682,0.0099,0.0896,0.1091,-0.1406,0.0716,-0.0106,0.201,0.1351,-0.0694,-0.3038,0.8291,0.0548,-0.0789,-0.1784,0.6757,-0.1207,-0.0382,2.1557,0.2669,-0.0316,0.1242,-0.0053,-0.0065,0.4514,-0.1291,0.1385,0.0148,1.8609,0.687,-0.0643,-0.0042,0.4632,0.4646,0.3608,0.306,-0.0394,-0.0504,-0.1302,0.415,0.5396,0.1067,0.194,Control
