@relation data

@attribute id string
@attribute 10682 numeric
@attribute 1717 numeric
@attribute 1718 numeric
@attribute 3930 numeric
@attribute 50814 numeric
@attribute 6307 numeric
@attribute 6309 numeric
@attribute 7108 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,1.7102813706,1.0872531312,2.7672290653,1.6625673585,0.9488670863,1.8935745629,0.5734496641,0.0714373262,BRCA
GSM481003,1.9545436680,1.2092288473,3.9852187633,1.4128098002,0.9733677119,1.1530765075,0.4018722449,0.3680185939,BRCA
GSM481004,1.5265807410,1.3454526174,3.1568045619,1.2536366145,1.0791540552,1.7071219718,0.5178212522,0.0928770814,BRCA
GSM481005,1.7232549003,0.8981731987,2.7686902881,1.3158960084,0.9154257624,1.4348959629,0.6460257634,0.0947690334,BRCA
GSM481006,1.8852385303,0.9702975872,3.0783290266,1.8234768139,0.7372830500,1.7186748920,0.4833974505,0.2354301851,BRCA
GSM481007,1.7620930941,1.2628291639,3.9641607703,1.0356114487,0.9231153154,1.4739971836,0.6148885294,0.6770689323,BRCA
GSM481008,2.2853318447,1.1624184491,2.9870448411,2.4594339579,0.8846102488,1.4106102043,0.3245397204,0.1065035336,Control
GSM481009,1.4353638974,0.2705127398,2.5858395399,1.6207829118,0.4198439350,1.7073657897,0.4867388016,-0.1853938184,Control
GSM481010,1.6005264460,0.9595468267,3.2688643934,1.7125995196,0.9854935171,1.7095687892,0.7802865366,0.1356011130,Control
GSM481011,1.5029968166,1.3188910042,3.0896351635,1.0880164922,0.7299160281,1.3926254926,0.5676735845,0.2229276278,Control
GSM481012,1.5780741831,1.1478783220,2.9583534898,1.8764365000,0.9492833418,1.9953973118,0.6250736474,0.0713327112,Control
GSM481013,2.7658969320,1.2748727146,3.3323433994,2.5307104735,1.1153482870,1.0942695671,0.2607547576,0.3701573741,Control
GSM481014,1.6929349510,0.9300002073,2.5388643591,2.2795885801,0.6866467305,1.3456302614,0.5565692184,0.3308984915,BRCA
GSM481015,2.2022328129,1.2702915719,3.1603813470,1.9579858853,0.7071450544,0.6322462124,0.2323884564,0.3627048741,BRCA
GSM481016,1.7117325814,0.9574709563,2.3508188129,2.0965260341,1.0433274079,1.7484648648,0.5849374241,0.0529780671,BRCA
GSM481017,1.3454012604,0.4314940674,2.1474527419,2.2395074964,0.7473521169,1.9009478794,0.9821863288,0.0638877489,BRCA
GSM481018,1.8394186087,0.3879983846,3.5105453433,1.3606625700,0.9758401043,1.1299316248,0.4390170332,0.1130621888,BRCA
GSM481019,2.0688586676,1.1482957341,3.0086938740,1.7964509764,1.0971423390,1.7594684222,0.7075418294,0.1048112789,BRCA
