@relation data

@attribute id string
@attribute 842 numeric
@attribute 841 numeric
@attribute 840 numeric
@attribute 596 numeric
@attribute 637 numeric
@attribute 638 numeric
@attribute 598 numeric
@attribute 329 numeric
@attribute 317 numeric
@attribute 581 numeric
@attribute 330 numeric
@attribute 331 numeric
@attribute 839 numeric
@attribute 836 numeric
@attribute 54205 numeric
@attribute 56616 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 2021 numeric
@attribute 578 numeric
@attribute 9131 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.8967,1.4595,0.5519,1.5972,0.8571,0.1019,0.5469,2.2157,1.7652,0.9097,2.5052,1.0636,0.6944,1.208,0.7303,1.0338,0.9683,0.4112,0.3546,0.8071,0.824,Control
A02,0.6211,1.188,0.4575,0.7857,0.8402,0.0932,0.4995,2.0071,1.6967,0.8576,2.0414,0.7713,0.4058,1.1875,0.7572,0.7686,0.8495,0.2916,0.2419,0.9738,0.6665,Control
A03,0.9002,1.4115,0.6306,0.7002,0.9951,0.0698,0.6583,2.1775,1.842,1.0921,1.9664,0.9508,0.4833,1.3243,0.9524,1.0629,0.9197,0.4401,0.2253,1.0501,0.8087,Control
A04,0.7648,1.3025,0.469,0.8705,0.9376,0.0366,0.4147,1.8568,1.5185,0.896,2.3285,0.8565,0.5443,1.1111,0.7746,0.8835,0.8958,0.3836,0.203,0.9745,0.6585,Control
A05,0.998,1.3533,0.6246,0.8938,0.9553,0.103,0.5794,2.0805,1.9657,1.0811,2.0297,0.8317,0.5205,1.4127,0.8167,0.9967,1.0382,0.4936,0.2803,1.2351,0.8425,Control
A06,0.9565,1.2424,0.4706,0.813,0.8535,0.1067,0.4694,2.0344,1.8074,0.8694,1.6049,0.7266,0.3461,1.1328,0.8005,0.8762,0.9035,0.424,0.2253,0.9465,0.7423,Control
A07,0.8172,1.4468,0.5531,1.3348,0.9925,0.0675,0.6185,2.2666,1.9975,0.8894,2.0424,1.0245,0.5674,1.3997,0.7829,0.8745,0.9215,0.4549,0.1753,0.9882,0.7378,Control
A08,0.7257,1.5231,0.4826,1.9587,0.8703,0.0231,0.6098,2.1819,1.7332,0.7309,1.9632,0.8906,0.5121,1.0162,0.5755,0.7829,0.6569,0.3883,0.2097,0.7329,0.6853,Control
A09,0.7466,1.2405,0.5294,1.6272,0.891,0.1063,0.5295,2.1975,1.7471,0.8938,2.2797,0.9508,0.5905,1.0099,0.6793,0.9183,0.8576,0.38,0.2225,0.8097,0.5765,Control
A10,0.9483,1.377,0.553,1.211,0.8758,0.1167,0.6749,2.1232,1.9048,0.904,1.7725,0.9558,0.5425,1.2126,0.6095,0.8733,0.9305,0.3818,0.2198,1.007,0.7152,Control
