@relation data

@attribute id string
@attribute 6093 numeric
@attribute 6722 numeric
@attribute 3265 numeric
@attribute 5871 numeric
@attribute 5599 numeric
@attribute 58 numeric
@attribute 5605 numeric
@attribute 5894 numeric
@attribute 4214 numeric
@attribute 5604 numeric
@attribute 4118 numeric
@attribute 6927 numeric
@attribute 3984 numeric
@attribute 1729 numeric
@attribute 387 numeric
@attribute 5595 numeric
@attribute 5879 numeric
@attribute 998 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.5435,0.7962,0.4236,0.917,1.4087,0.5845,0.4307,1.7841,2.265,0.7341,1.0081,-0.0533,0.4778,1.692,0.765,1.0952,0.6575,1.3548,1.76,Control
A02,1.2563,0.7836,0.3716,0.618,0.986,0.6411,0.3006,1.5394,1.9132,0.48,0.5763,-0.0445,0.5419,1.5934,0.54,1.0379,0.5148,1.0825,1.6579,Control
A03,1.5334,0.8148,0.3757,0.7656,1.223,0.6903,0.4986,1.7337,2.1264,0.7059,0.4204,-0.0764,0.6022,1.8183,0.8594,1.0752,0.7441,1.3582,1.9065,Control
A04,1.1857,0.7938,0.3609,0.8149,0.9854,0.7928,0.4277,1.6705,2.2551,0.5113,0.8038,-0.0141,0.5622,1.8154,0.5096,1.0602,0.4666,1.2386,1.7434,Control
A05,1.4238,0.9131,0.4772,0.9475,1.1338,0.8992,0.5021,1.8077,2.4117,0.726,0.7598,-0.0231,0.8112,1.9691,0.6538,1.2157,0.6929,1.2977,1.9721,Control
A06,1.3049,0.7337,0.2467,0.7365,1.1657,0.6775,0.3564,1.7479,2.0422,0.6824,0.6457,-0.0388,0.5633,1.708,0.5802,1.0037,0.5468,1.1472,1.8749,Control
A07,1.5625,0.7957,0.364,0.7439,1.3766,0.6352,0.4096,1.7697,2.3762,0.8669,0.7208,-0.0637,0.5803,1.9112,0.7994,0.9863,0.7206,1.571,1.9127,Control
A08,1.5997,0.7172,0.2967,0.7079,1.5009,0.5459,0.3414,1.7375,2.6059,0.8829,0.8305,-0.0832,0.421,2.0342,0.8642,1.0102,0.8123,1.6801,1.9432,Control
A09,1.5151,0.7288,0.349,0.809,1.3752,0.623,0.356,1.637,2.4502,0.7767,0.8455,-0.0696,0.4957,1.7934,0.5863,1.0062,0.5927,1.4154,1.8616,Control
A10,1.483,0.8269,0.398,0.7605,1.2385,0.6509,0.4749,1.7832,2.3575,0.8171,0.5089,-0.0623,0.5862,2.0862,0.7708,0.9394,0.7228,1.5851,1.9537,Control
A11,1.2476,0.5483,0.2904,0.6321,1.1692,0.5776,0.4262,1.2804,1.776,0.6056,0.444,0.0461,0.382,1.5236,0.5541,0.9926,0.4368,0.9881,1.8347,Control
A12,0.8386,0.6808,0.2032,0.4855,0.7211,0.4218,0.1908,1.1644,1.3066,0.3165,0.5857,-0.0939,0.3495,1.289,0.3136,0.6672,0.3242,0.7081,1.3126,Control
B01,1.4478,0.5736,0.1584,0.6932,1.4726,0.1763,0.1449,1.6434,2.2101,0.6567,0.8954,-0.1863,0.2383,1.5155,0.7514,0.7793,0.7893,1.4565,1.5662,Control
B02,1.3656,0.843,0.3404,0.8715,1.2781,0.6967,0.4126,1.8632,2.0489,0.6188,0.8545,-0.048,0.6129,1.6692,0.6791,1.0963,0.7121,1.4297,1.7427,Control
B03,1.4288,0.6948,0.2646,0.7091,1.2859,0.5544,0.3093,1.7244,2.2094,0.6536,0.7972,-0.0948,0.3956,1.65,0.6843,0.9479,0.7853,1.3839,1.7521,BRCACancer
B04,1.4607,0.6602,0.1782,0.6709,1.159,0.4491,0.3653,1.7237,2.5339,0.8115,0.6221,0.0675,0.4876,2.0964,0.9809,0.7243,0.863,1.7384,1.9229,BRCACancer
B05,1.1766,0.769,0.2381,0.6748,1.0395,0.5156,0.3668,1.4156,1.8667,0.4972,0.5515,-0.0542,0.4536,1.5492,0.6826,0.8239,0.5003,1.2603,1.8007,BRCACancer
B06,1.2276,0.4243,-0.0061,0.3398,0.9915,0.0329,-0.0057,1.4461,1.7181,0.5394,0.4174,-0.225,0.1169,1.3724,0.5849,0.5177,0.5144,1.0772,1.3023,BRCACancer
B07,1.5876,0.7893,0.38,0.8025,1.4248,0.6772,0.4908,1.9525,2.0706,0.6951,0.6835,-0.0233,0.5413,1.8466,0.9059,1.0487,0.7406,1.5062,1.8217,BRCACancer
B08,1.3563,0.7268,0.3687,0.9148,1.0959,0.7361,0.4491,1.5696,1.8635,0.682,0.5989,-0.0261,0.4605,1.581,0.5718,1.0739,0.5019,1.0655,1.7268,Control
B09,1.4409,0.5793,0.2599,0.7629,1.1094,0.3659,0.3222,1.5166,2.5792,0.7372,0.6575,-0.048,0.3294,1.9835,0.9711,0.6235,0.6642,1.5814,1.8556,Control
B10,1.2925,0.6337,0.2443,0.5026,0.9404,0.5345,0.1829,1.4615,2.4684,0.624,0.6565,-0.0227,0.4027,1.9712,0.6125,0.645,0.8311,1.5141,1.7685,Control
B11,1.2964,0.8486,0.4126,0.7259,0.96,0.664,0.4011,1.3717,2.0871,0.5479,0.6085,-0.0361,0.4989,1.683,0.5495,0.929,0.5887,1.1301,1.6655,Control
B12,1.0477,0.407,0.223,0.5101,0.7719,0.4142,0.3052,1.2848,2.5139,0.6269,0.6234,-0.0348,0.1574,1.6657,0.7263,0.5105,0.6848,1.488,1.4468,Control
C01,1.4223,0.9255,0.4383,0.9326,1.1802,0.5974,0.5572,1.7078,2.1947,0.8022,0.6108,-0.045,0.6682,1.8948,0.8875,1.0546,0.757,1.3248,1.9339,BRCACancer
C02,1.3154,0.9215,0.5255,0.9785,1.0125,0.7518,0.5124,1.7071,1.9275,0.5312,0.7956,0.0025,0.6723,1.8067,0.513,1.0889,0.5463,1.0933,1.6487,BRCACancer
C03,1.377,1.0605,0.5881,1.1231,1.2277,0.7529,0.6953,1.8793,2.0283,0.6598,0.7803,-0.0982,0.7461,1.9691,0.7352,1.1527,0.7605,1.3439,1.846,BRCACancer
C04,0.8563,0.5563,0.4087,0.8511,0.7169,0.6955,0.3635,1.0478,1.2702,0.4523,0.5737,0.0506,0.3627,1.4569,0.3298,0.979,0.409,0.7196,1.4608,Control
C05,0.9371,0.6721,0.2967,0.5673,0.6878,0.604,0.2836,1.2673,1.597,0.3624,0.5355,0.0404,0.5374,1.5308,0.3798,0.8706,0.4719,0.7005,1.5008,BRCACancer
