@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10603 numeric
@attribute 10782 numeric
@attribute 10818 numeric
@attribute 10971 numeric
@attribute 11108 numeric
@attribute 11213 numeric
@attribute 1398 numeric
@attribute 1399 numeric
@attribute 1432 numeric
@attribute 1445 numeric
@attribute 163688 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2309 numeric
@attribute 23533 numeric
@attribute 25 numeric
@attribute 2549 numeric
@attribute 25759 numeric
@attribute 25970 numeric
@attribute 27018 numeric
@attribute 27330 numeric
@attribute 2885 numeric
@attribute 2889 numeric
@attribute 2932 numeric
@attribute 3265 numeric
@attribute 3551 numeric
@attribute 356 numeric
@attribute 3654 numeric
@attribute 3656 numeric
@attribute 3667 numeric
@attribute 3725 numeric
@attribute 3845 numeric
@attribute 387 numeric
@attribute 396 numeric
@attribute 397 numeric
@attribute 399694 numeric
@attribute 4214 numeric
@attribute 4215 numeric
@attribute 4217 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4794 numeric
@attribute 4803 numeric
@attribute 4804 numeric
@attribute 4893 numeric
@attribute 4908 numeric
@attribute 4909 numeric
@attribute 4914 numeric
@attribute 4915 numeric
@attribute 4916 numeric
@attribute 51135 numeric
@attribute 5163 numeric
@attribute 51806 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 53358 numeric
@attribute 5336 numeric
@attribute 5580 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5598 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5605 numeric
@attribute 5607 numeric
@attribute 5609 numeric
@attribute 5663 numeric
@attribute 5664 numeric
@attribute 572 numeric
@attribute 57498 numeric
@attribute 5781 numeric
@attribute 581 numeric
@attribute 5879 numeric
@attribute 5894 numeric
@attribute 5906 numeric
@attribute 596 numeric
@attribute 5970 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 627 numeric
@attribute 6272 numeric
@attribute 6300 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 7157 numeric
@attribute 7161 numeric
@attribute 7529 numeric
@attribute 7531 numeric
@attribute 7532 numeric
@attribute 7533 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 814 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 8471 numeric
@attribute 8503 numeric
@attribute 8660 numeric
@attribute 8767 numeric
@attribute 8986 numeric
@attribute 9252 numeric
@attribute 9261 numeric
@attribute 9500 numeric
@attribute 998 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,0.3397790969,-0.0641422086,0.5702796454,0.2266074040,0.8977078460,0.7102885528,-0.0670797496,1.7323923409,1.2744317606,0.6466643338,2.3609020933,-0.1416283464,1.9397812022,0.1866127024,1.1574716995,-0.0448427393,0.9042891934,0.1568159528,-0.1267139237,0.0241522779,1.5392003135,0.4624164514,1.3452941188,0.3178953150,1.2060972602,1.0380567778,0.5241222142,-0.0677221629,1.1724569916,0.1995121556,1.7296059516,0.7463167697,0.4153290968,1.9894220193,0.9291107720,1.7438162040,0.9685201588,0.8951084466,0.3787751014,0.5599281276,0.4754300158,0.8049394469,0.6222571999,0.3252477609,-0.1472829417,0.1028337865,1.3243965731,-0.0183933696,-0.0574849367,-0.2048701937,0.0323653198,-0.0652207631,0.3233914226,0.9942950769,-0.0195479401,0.6502234032,0.0817053106,0.1255568270,-0.1624264398,0.7694715564,0.5895123826,0.5204422609,-0.0920968584,0.5526649599,0.0410287807,0.5276523813,0.4586358647,0.3851125020,0.7139937217,-0.0717742680,0.6164951165,-0.1298536299,1.5197282433,0.0778244350,0.2663556504,0.2957080686,0.4306773639,0.2940756359,0.2177100353,0.1402729881,0.6681025633,0.9030967818,2.7923812542,0.6409841057,0.5759782564,0.0813294935,0.8525465690,0.8590166551,0.4753331980,0.3490809082,-0.1224743183,0.5360182768,-0.0068966250,1.9096234484,0.1797246685,0.5492388602,0.3043230119,0.8841919228,-0.1360732363,2.8649117788,2.1320210693,3.3017348942,0.2840659279,1.5891594400,0.9537983259,2.1997757852,0.2531493374,-0.1062511549,-0.0635502934,-0.0643923931,0.6420336235,0.1409569047,-0.0516592746,0.8580704628,1.7108986220,1.5521365895,0.9725753498,0.0787741060,0.5260521080,0.6874661981,0.2693405723,BRCA
GSM480985,0.6712534413,-0.0823329338,0.7845875464,0.1961294970,0.7658785862,0.6328548986,-0.0608324426,1.8688574894,1.0173018566,0.5214375071,2.1606899301,-0.0916407251,1.4054429928,0.2867683454,1.1360831860,-0.0263181581,0.9337296339,0.2529188136,0.3819071553,0.0521481023,2.0139523595,0.2194411271,1.1583383579,0.4014708128,0.8787267861,0.5481084954,0.8006201253,-0.0922413117,0.9020442569,0.6068051958,1.1172559793,0.9612028782,0.4587173745,1.8852531751,0.5272688764,2.0093426846,1.4703030177,1.0636305118,0.4294276544,0.7985456627,0.4509238059,0.9412159958,0.5609422953,0.5135553388,-0.1080499572,0.1248554666,0.8611773475,0.0533873263,0.2360795139,-0.1765105570,0.5805542882,-0.0993025277,0.5854109176,0.8471601896,-0.1604685536,0.8534231111,0.1992576002,0.3438852307,-0.1454714285,1.5476133191,0.4284647065,0.6196571301,0.0089354969,1.2582838460,0.0470336382,0.4521202200,0.5649788797,0.3733170288,0.7487222366,-0.0165247075,0.6136501327,-0.1761504112,0.8917866104,0.0538346215,0.4751552710,0.2382422053,0.4775120358,0.2073089417,0.2315313540,0.2833399980,0.5670814931,0.8407814422,2.9129755730,0.6127393824,0.6223576221,0.1096045168,0.8536376064,0.5620005916,0.4960677786,0.3743994703,-0.0711989268,1.1041426435,-0.0052304801,1.9413004944,0.2011654340,0.6409502427,0.3713752488,0.5955694337,-0.1123524452,2.6496851841,2.1926461853,3.3812768759,0.2868869492,1.2845784730,0.9828057632,1.9199515841,0.0051101413,-0.1264687864,-0.0360112713,-0.0954384340,0.7133841506,0.1554803168,-0.1592092707,1.1287610356,1.6925420276,1.5592530335,0.2458626052,0.1481528811,0.5768208967,1.0070271178,0.2437138550,BRCA
GSM480986,0.3637514705,-0.0086403668,0.5885264044,0.2346157938,0.8961630866,0.7652506617,-0.0370735928,1.9836026755,1.3584635346,0.5058162958,2.4777050218,-0.1414109196,1.7577156492,0.2145363198,0.8864078883,-0.0236322101,1.1216843350,0.1934399384,-0.0935982563,0.0751926907,1.6435006856,0.4537448762,1.5127595663,0.4010225801,1.3099040800,0.9493732134,0.5310721682,-0.0697262036,1.2574874233,0.3151985997,1.5409271829,0.9059672051,0.4106089262,2.0062507787,0.8898346081,1.7773910656,1.0006550774,0.7935199528,0.5148679294,0.5228419722,0.3572855135,0.9283377825,0.7128700620,0.3070080325,-0.1034840642,-0.0515953347,1.3830056341,-0.0258739270,0.1181886611,-0.1504109834,0.2371666928,-0.1084273357,0.2910466744,1.0312913730,-0.0450191986,0.3758222094,0.0859145318,0.3109857890,-0.1337267348,0.9370587028,0.9117966590,0.5424212613,-0.0258225916,0.5517398660,0.1376239613,0.5276161861,0.5706250406,0.5725946952,0.7966307569,0.0824834229,0.5081571897,-0.1388460667,1.3150411108,0.0844743560,0.3229785034,0.2837639618,0.4260402334,0.4096347002,0.3771760837,0.1504685499,0.6322140187,0.9887473217,3.0052631994,0.4839221177,0.3411915212,-0.0262396362,0.9353946786,0.7839062919,0.4085617637,0.3229744066,-0.0554472145,0.7396011026,0.0253748071,2.0243224118,0.0952468054,0.4793911673,0.3954231461,0.8508987498,-0.0763476108,3.0484460116,2.5239436627,3.5162105559,0.2451798338,1.6418533209,0.7694473286,2.1900971755,0.3643759714,-0.1107559652,-0.1068710505,-0.0770829322,0.6441054073,0.1217694167,-0.0665175091,0.9668687962,1.7672813784,1.6858405541,0.9375890531,0.0273207385,0.5440503550,0.8662189639,0.2337614380,BRCA
GSM480987,0.4741756265,-0.0462575110,0.3814305585,0.1427862405,0.9140171910,0.7721315146,0.1982265699,2.0277992866,1.4724773936,0.6135009341,2.5194125474,-0.1414936161,1.6769249506,0.2593453904,0.6600868327,-0.0190172376,1.5226221382,0.0150168047,0.0235757916,0.0103753770,2.2340774089,0.5711384810,1.4599798470,0.3367471980,1.1273281686,0.6616964770,0.3550794774,-0.0680922132,1.1661598228,0.6032622396,1.0927224898,1.2356612913,0.2296363310,1.8972162525,0.7011845975,0.1825958533,0.1082936110,0.5396577952,0.4137938658,0.3928613255,0.2389650019,1.1037804131,0.7524098709,0.1756962026,0.0772469334,-0.1142703091,1.3380605279,-0.0891202746,-0.1612692874,-0.2177714218,-0.0733110747,-0.0840770654,0.1764641986,0.5568740662,-0.0718489090,0.4246866423,-0.0142156617,0.3279566426,-0.1022734639,0.9460729968,0.7047411791,0.7127369387,0.2858547368,-0.0047308279,-0.0638800151,0.4570317386,0.5260457562,0.7588645808,0.7170214796,0.1031593607,0.3891538004,-0.0662291722,0.5668156716,0.0511663564,0.3089098648,0.2364959457,0.3273552372,0.3864956428,0.1247138026,0.0594144983,0.4882750814,0.7455377609,3.1002503070,0.3882937707,0.3683751977,0.1066961603,0.8780260834,0.1390306237,0.8660132522,0.2145047075,0.1877498299,-0.0382217098,0.1567118048,1.9975022057,0.0700896732,0.1445394283,0.2871097813,0.8372933389,-0.1383569299,2.8611823956,2.3751924037,3.7342699767,0.1725909245,1.3375803794,0.6854064385,1.7749855086,-0.0393749357,-0.0822204906,-0.0885894268,-0.0640990646,0.8422779248,0.0131572660,-0.0731863224,0.1919102957,2.1135375007,1.2659771626,0.5296609689,-0.0024105624,0.6721313768,0.9242855299,0.2226472523,BRCA
GSM480988,0.3666419161,-0.0154922902,0.5523315911,0.1677499489,0.7300454369,0.6825785298,0.0119793867,1.5429041887,1.2323150354,0.4483090917,2.2995154489,-0.1606387714,1.1675294143,0.1712146028,0.8252818583,-0.0933597851,0.6879575644,0.0162218561,-0.0450046172,0.0580123287,1.8971973323,0.3494939344,1.6300611323,0.1791264165,1.5309302174,0.4589619954,0.6144637026,-0.0621939344,1.1451398267,0.1473579292,1.0320390261,0.5378554523,0.2562269165,1.6231118301,0.2936686126,1.5149353971,1.2316838800,0.7586201133,0.3390561431,0.5021468532,0.2502003758,0.7093335530,0.5546799707,0.3219356285,-0.0620756386,0.2525387860,1.0662603861,0.0307650657,0.1135337113,-0.1793920208,0.1147747128,-0.0428073085,0.0364090984,0.9700278779,-0.1077501489,0.5025178531,0.1213094126,0.3674768847,-0.0889533257,0.6583551200,0.6638981731,0.5192004788,-0.0533301838,0.5682803235,0.1020999426,0.4923907940,0.4829891018,0.6892718586,0.6912962379,-0.0181701116,0.5512484685,-0.0789457363,1.2879227399,-0.0383270433,0.2162846135,0.0441387518,0.2225401956,0.1904675350,0.0354253387,0.0215226590,0.3691913686,0.6583364474,3.0203843170,0.4704262694,0.1660498078,-0.0332379836,0.6707278885,0.6210581084,0.2209763757,0.3158808795,-0.0483696540,0.8737116543,-0.0337513612,1.9610705971,0.0896705153,0.3725107078,0.2504118828,0.6972457048,-0.1327985111,2.7963664452,1.9517735643,3.2479327320,0.1968091326,1.4518957679,0.8568994044,2.2009519134,0.1184602400,-0.1005794919,-0.0432362018,-0.1012624690,0.6047102776,0.1260813951,-0.1382719812,1.0844853694,1.7855566228,1.5642477538,0.1695532437,0.1202236573,0.3245102197,0.9505123751,0.1930281139,BRCA
GSM480989,0.2517094096,-0.0284265559,0.3084149225,0.0739666941,0.9536321424,0.4385916661,-0.0393252251,1.7117121220,1.5450224582,0.4561344552,2.5530525644,-0.1988541156,2.3074461223,0.2270790681,0.5693502668,-0.0318046184,1.0702178031,0.0295218532,0.0840967809,0.0196898680,1.6489086524,0.0917087290,1.6843677122,0.4287965108,1.3318944331,1.1103506463,0.4192595793,-0.0434693121,1.4132617302,0.3957101606,1.2921628499,0.5993327181,0.2400973081,2.4842128198,1.1628082786,2.2144975032,0.8857075591,0.6540494401,0.5309217395,0.2859210503,0.1723780840,1.0994870811,0.6648718736,0.5292995301,-0.0762286128,0.0640462163,1.2916537300,-0.0706535469,0.0390830453,-0.2747799248,0.4474038398,-0.0720681783,0.2640720831,0.8723785451,-0.0660787014,0.3040667095,-0.0454611126,0.2117079990,-0.1893403782,0.5104212239,0.8988893313,0.5099837124,-0.0157028841,0.7895882334,-0.0322800519,0.4168803811,0.8519349658,0.5325530826,0.5911021925,0.0375987290,0.2192373374,-0.0408563306,2.1237873399,0.0375365682,0.2186570357,0.3176934777,0.4050124762,0.3592420754,0.5766588003,0.0036793335,0.3199180766,1.2923590124,3.3091132243,0.4437155496,0.2493194217,0.0373846114,1.1224099571,1.0677040443,0.3754435785,0.1254392710,-0.0807526320,0.7747299092,0.0401129422,1.9755967301,-0.0037837656,0.2630944657,0.2245239546,1.2405139033,-0.1284807322,2.9099976381,2.5266134737,3.6160825491,0.3122929088,1.5590544180,0.7983118814,2.9188919440,0.4245331458,-0.1560957574,-0.0476141433,-0.1131204681,0.5547810792,0.1083134365,-0.1089138100,1.0210926999,1.8098528195,1.0432216749,1.1934628984,0.0127705318,0.7406888563,0.7754416374,0.2852107126,BRCA
GSM480990,0.3166647480,-0.1028679578,0.2541618726,0.0910253619,0.8753826609,0.4424414754,0.0949212949,1.7694421830,1.5518309150,0.3805084057,2.9678596127,-0.1820909605,2.3939645291,0.2749733657,0.6452506264,-0.0240894286,1.5833527296,0.0224591854,-0.0595817923,0.0018861550,1.8946280852,0.2400898547,1.6475978081,0.5643529125,1.3889006043,1.1067612915,0.4130142646,-0.0242624128,1.4319557610,0.6472554018,1.1927469964,0.9502829010,0.3191353141,2.3151370526,1.2969043776,1.7403273654,0.5482411422,0.6895217888,0.5942403616,0.2198563085,0.3219937040,1.2569765001,0.7222510494,0.3757311289,-0.0433772932,0.0951365499,0.9421872181,0.0723607112,0.2584930339,-0.1807882367,-0.0512926789,-0.0861692432,-0.0541695836,0.3677679448,0.0198499129,0.4307222246,0.1950829520,0.8327552467,-0.1406402458,0.5701667320,1.2032701898,0.7009938896,-0.0456517972,0.2493265960,0.0342884361,0.4040678319,0.5468216389,0.5505317761,0.5124700949,0.1545863018,0.1815268757,-0.1292774052,1.1991209335,0.1245269666,0.3530097061,0.3639611033,0.2569054178,0.2532056378,0.4847173588,0.1086784582,0.5040703920,1.0487284085,3.4219261243,0.3387474729,0.3149603538,-0.0140931005,1.1399565821,1.0079710025,0.7074387894,0.2346333858,-0.0544863516,0.2185356793,0.1445519146,2.5765053460,0.0120991491,0.3107558547,0.2258322309,1.1059742302,-0.0759365780,3.0515313069,2.2605771227,3.8424132466,0.2054380223,1.4453520321,0.6829452796,2.5856389926,0.4549186632,-0.0154691427,-0.0387971694,-0.0783020266,0.5480292028,0.0558532586,-0.0848510136,0.6030732589,1.6690170063,0.9586043766,1.5654674841,0.0599880825,0.7886103518,0.8014150266,0.1617002876,Control
GSM480991,0.2500861962,-0.0693732631,0.4566934642,0.1959513792,0.8124476158,0.5973619178,-0.0219454672,1.7440137619,1.3442317928,0.4695376563,2.6857965554,-0.1618150806,1.8290236989,0.2449685031,0.6417928310,0.0096481766,1.0545568875,0.1424582922,0.0277510266,0.0416286920,1.7449348047,0.3509049253,1.5652074934,0.5228143445,1.2929992116,0.9763167946,0.4572952855,-0.0387195160,1.3351861720,0.3926698512,1.3663153568,0.9142568514,0.3643042232,2.0687043151,1.0530577270,2.0877452246,1.4444417358,0.8135851005,0.4128448678,0.4909439993,0.3367405246,1.2472408378,0.8390529259,0.5165406483,-0.1841129842,0.0719107018,1.1985398679,0.0701332124,0.1000112431,-0.2045579894,0.0394690264,-0.0500255524,0.1957089166,0.6418447939,-0.0048325991,0.3718392522,0.0580118667,0.4582523614,-0.1590461786,0.6246844594,0.9586069049,0.5280418684,-0.0301297272,1.0544374994,0.0229694380,0.5071865046,0.6482640730,0.4671709960,0.7236467786,0.1750445278,0.3723191662,-0.1158871563,1.5476096728,0.0588836264,0.3133865415,0.2691069538,0.3933905798,0.4332083487,0.4295866277,0.0627521987,0.4281628126,1.0059922760,3.2534763878,0.3654298311,0.3179211385,-0.0490740068,1.0769064036,0.7941210804,0.5811723371,0.2548893520,-0.0771654816,0.8800035584,0.1220167010,2.1101571236,0.0441448208,0.3851343730,0.2893171571,0.9629745603,-0.1371682588,2.9438177745,2.2935149670,3.5766208769,0.2894791155,1.5451146222,0.7246558555,2.3986895680,0.5203580332,-0.1178059007,-0.0434597657,-0.0664389667,0.5891530063,0.1548473247,-0.1155622800,1.0204976901,1.6580591199,1.4371226762,0.9948054254,-0.0162790011,0.7169337272,0.9210425101,0.2150321878,Control
GSM480992,0.2476967987,-0.0734514516,0.4233843555,0.1511686269,0.9112154756,0.6451847219,-0.0210971069,1.4854351587,1.3367420178,0.3800862124,3.0799378289,-0.1319793334,2.3328941266,0.3295684198,0.6069080535,0.0098416810,1.5234704019,0.1112684448,-0.0284348700,0.0509908644,1.6307175216,0.2719361378,1.5792976092,0.6530415769,1.5241501815,1.1827308424,0.3674736292,-0.0268258417,1.6510699948,0.1861071183,1.4904017857,0.5848525959,0.2580534183,2.4234709023,1.3773560506,1.9305089571,0.7623492782,0.6908869928,0.5196288524,0.3903702807,0.1333302662,0.8925691490,0.7926203149,0.3600742080,-0.1251400337,0.0331385645,0.6252961718,0.0208465660,0.1520236241,-0.1586291030,-0.0586426770,-0.0542258773,0.0556201556,0.5632396906,0.0357248699,0.3555988693,-0.0417928508,0.7112178834,-0.1480111448,0.5310987036,1.3458300016,0.6497552522,0.0204711225,0.9864738678,0.1067663197,0.4130200728,0.9082788116,0.6848330431,0.4097217267,0.1619838233,0.3079451628,-0.0921796232,1.8157576812,0.1346057261,0.3583373172,0.3634628315,0.3361732716,0.2220148885,0.4719536303,0.0577230528,0.3612510420,1.2841898705,3.4460021522,0.3105769333,0.2146456959,-0.0325755605,1.2896809784,1.0579590626,0.5338543657,0.2154794810,-0.0462665748,0.6332261280,0.0927470139,2.4270785623,0.0183351703,0.4019502806,0.4011166239,1.0991194739,-0.0822199088,3.0823179564,2.0128209990,3.8861452936,0.2041087145,1.4246134289,0.7415068230,2.6897532866,0.7067827030,-0.1482992642,-0.0718402782,-0.0227440883,0.5535295457,0.0925191902,-0.0831399270,0.7441449755,1.8067525298,0.9022674223,1.4210322015,-0.0542850346,0.8554057643,1.0848224799,0.2135051408,Control
GSM480993,0.3786722400,-0.1035946467,0.4958239895,0.2096646776,1.0168038179,0.5898714664,-0.0629249953,1.8096325479,1.3998474208,0.5930127984,2.7421589758,-0.1592113870,1.9907199673,0.3003267815,0.7283609089,0.0090587195,1.2434106319,0.1246793050,-0.0165303701,0.0590383064,1.8803600370,0.1394531711,1.5582134934,0.4334439807,1.3381779529,0.9945207685,0.5721119152,-0.0520990045,1.3811694917,0.4858470122,1.3915128690,1.0657076714,0.2800151646,2.1975401044,1.0427533333,1.8903626624,1.0968471876,0.8665301368,0.5198314885,0.3858281619,0.2735164897,0.9085881339,0.8274797584,0.3331510317,-0.0431781644,0.0994669689,1.2895348594,-0.0097372710,0.2249132684,-0.1555380717,0.2039950099,-0.0665710965,0.2499947586,1.0416793153,-0.0363483728,0.3556248992,-0.0141177758,0.3843497409,-0.1081225405,0.7338769277,0.9450695349,0.5661468516,-0.0404094230,1.1561504492,0.0480869768,0.4741801064,0.7940912880,0.6592196021,0.7140314231,0.0750380798,0.5537918077,-0.0937452182,1.6241304980,0.0415849929,0.3932155144,0.2558302714,0.4258051752,0.3069662438,0.4597184245,0.0448470556,0.5473878640,1.1132435460,3.0886874926,0.3602931440,0.3858551905,0.0269303651,0.9961075650,0.8928548188,0.5429977189,0.2677287386,-0.0447853970,0.8611144647,0.0791702164,2.0765592329,0.0562111053,0.4506590302,0.4162600737,1.0900611624,-0.0950498543,2.9598939657,2.5240129627,3.6253513395,0.2556822760,1.5856227239,0.8005855027,2.4490207491,0.3821579109,-0.0999037584,-0.0968572793,-0.0807639728,0.6798162911,0.1127858115,-0.1127374287,1.0595477061,1.9773138965,1.4509991654,0.8534949785,0.1655339871,0.6450165635,0.9550524486,0.2080415856,Control
