@relation data

@attribute id string
@attribute 1351 numeric
@attribute 29796 numeric
@attribute 1350 numeric
@attribute 4698 numeric
@attribute 2110 numeric
@attribute 4697 numeric
@attribute 374291 numeric
@attribute 2109 numeric
@attribute 6392 numeric
@attribute 6390 numeric
@attribute 6391 numeric
@attribute 1349 numeric
@attribute 2108 numeric
@attribute 1345 numeric
@attribute 1340 numeric
@attribute 1329 numeric
@attribute 1327 numeric
@attribute 7381 numeric
@attribute 4695 numeric
@attribute 4696 numeric
@attribute 1337 numeric
@attribute 7388 numeric
@attribute 4694 numeric
@attribute 7386 numeric
@attribute 7385 numeric
@attribute 7384 numeric
@attribute 54539 numeric
@attribute 4709 numeric
@attribute 4707 numeric
@attribute 4708 numeric
@attribute 4705 numeric
@attribute 4706 numeric
@attribute 4704 numeric
@attribute 4701 numeric
@attribute 4702 numeric
@attribute 10975 numeric
@attribute 4700 numeric
@attribute 4731 numeric
@attribute 27089 numeric
@attribute 9167 numeric
@attribute 126328 numeric
@attribute 9377 numeric
@attribute 4716 numeric
@attribute 4728 numeric
@attribute 4717 numeric
@attribute 4718 numeric
@attribute 4719 numeric
@attribute 4729 numeric
@attribute 4712 numeric
@attribute 4724 numeric
@attribute 4713 numeric
@attribute 4723 numeric
@attribute 4714 numeric
@attribute 4726 numeric
@attribute 4715 numeric
@attribute 4725 numeric
@attribute 51079 numeric
@attribute 4720 numeric
@attribute 4710 numeric
@attribute 4722 numeric
@attribute 4711 numeric
@attribute 1537 numeric
@attribute 54205 numeric
@attribute 55967 numeric
@attribute 6389 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.0026,0.9668,1.2941,0.9079,0.8334,1.3197,0.2804,0.2671,1.0576,0.7126,1.2753,1.2222,0.809,0.9513,1.2044,0.7655,0.9533,0.6792,0.7032,0.4401,0.0949,0.6872,1.6148,1.017,1.8854,0.9102,0.5951,0.1728,1.1086,0.6096,0.8134,0.6585,1.0144,0.7265,0.5288,1.0592,1.829,0.9024,1.3703,1.047,0.6242,0.742,0.8593,0.2442,1.3365,1.2368,1.706,1.2202,0.2073,0.4092,0.8282,1.4299,1.9731,1.0368,0.7788,0.7624,0.4879,1.3674,1.2528,1.3705,1.686,1.1388,0.7303,1.2633,1.3367,Control
A02,1.0247,0.8404,0.9616,0.7758,0.5857,1.0657,0.2198,0.1388,0.6868,0.6492,1.0174,1.0691,0.6139,0.7395,1.1873,0.6453,0.9284,0.423,0.6549,0.2239,-0.0593,0.5979,1.3704,0.8953,1.803,0.8942,0.447,0.0942,0.9662,0.5828,0.7187,0.4247,0.8075,0.5114,0.3537,0.8612,1.4612,0.6943,1.2688,0.9441,0.5072,0.7468,0.8589,0.1106,1.2648,1.1915,1.4866,0.6996,0.052,0.1791,0.7799,1.1893,1.6563,0.8734,0.5199,0.7081,0.4487,1.1857,1.0798,1.2836,1.5277,1.093,0.7572,1.1069,1.3509,Control
A03,1.2764,1.0729,0.9242,0.7614,0.7838,1.3618,0.3794,0.4138,0.9099,0.7696,1.0632,1.1436,0.7761,0.7271,1.3017,0.8003,1.0551,0.9092,0.7979,0.3166,0.1042,0.6334,1.7762,1.4251,1.8633,1.095,0.6219,0.285,1.0413,0.6075,0.8303,0.5828,1.0899,0.6106,0.5012,0.9791,1.9124,0.817,1.2985,0.9235,0.6802,0.8943,1.0449,0.1653,1.2705,1.1694,1.6185,0.9676,0.1779,0.2618,1.0707,1.3484,1.7042,1.134,0.6583,0.7956,0.5247,1.2822,1.23,1.4058,1.6175,1.3214,0.9524,1.2091,1.4679,Control
A04,1.0302,0.9881,1.242,0.8244,0.7026,1.3163,0.3728,0.2269,0.4214,0.6034,0.9133,0.9725,0.6088,0.6574,1.1932,0.9351,1.0452,0.6023,0.8934,0.3243,0.1524,0.4438,1.4885,1.2531,1.7701,1.0098,0.7102,0.1787,0.9359,0.5542,0.8256,0.4771,0.7776,0.7684,0.402,0.846,1.5475,0.6047,1.3807,0.9587,0.6033,0.7293,0.8315,0.2029,1.3264,1.166,1.5931,0.7898,0.1332,0.2511,1.0132,1.3886,1.7388,0.9351,0.7967,0.8404,0.4772,1.2087,1.267,1.3876,1.6983,1.3379,0.7746,1.0643,1.4865,Control
A05,1.2642,1.0275,0.8794,0.921,0.8394,1.2741,0.4296,0.2258,0.6426,0.7275,0.8489,1.1211,0.7941,0.7555,1.3286,0.9231,1.0449,0.5825,0.9332,0.3138,0.1261,0.621,1.7415,1.268,1.8273,1.1833,0.8888,0.2913,1.0752,0.6734,0.8235,0.5105,0.8922,0.6936,0.6029,1.1265,1.8006,0.8771,1.4784,1.0425,0.6754,0.8512,1.0658,0.2458,1.2714,1.2498,1.7904,0.8136,0.1851,0.2491,1.1409,1.3435,1.8532,1.1007,0.7047,0.8702,0.6015,1.3905,1.1101,1.4133,1.8714,1.5079,0.8167,1.1442,1.5151,Control
A06,1.1243,1.0062,0.9579,0.6983,0.6834,1.0214,0.2747,0.2416,0.7718,0.7182,1.0467,1.0032,0.6053,0.6807,1.2938,0.7822,1.064,0.6714,0.8006,0.3373,0.1873,0.5314,1.6098,1.0906,1.8527,1.0753,0.5615,0.0992,1.0116,0.5277,0.8322,0.4441,0.8888,0.5176,0.4736,0.8971,1.5293,0.8214,1.2843,1.0807,0.5481,0.7356,0.8595,0.1772,1.1426,1.1285,1.6321,0.7145,0.2445,0.2816,0.9107,1.3531,1.7088,1.1031,0.7407,0.7824,0.4074,1.2706,1.177,1.3414,1.6361,1.2644,0.8005,1.1612,1.4678,Control
A07,1.0529,0.9969,0.9527,0.9091,0.8483,1.0102,0.3534,0.2664,0.7307,0.7478,1.151,1.1437,0.8695,0.8378,1.2232,0.7865,0.9172,0.7809,0.7075,0.2882,0.1476,0.5756,1.6077,1.0327,1.9614,1.0458,0.6514,0.2176,1.1109,0.5907,0.9404,0.6001,0.981,0.6631,0.5474,0.955,1.616,1.0264,1.4095,1.2329,0.5092,0.8919,0.8634,0.166,1.2714,1.3447,1.6458,0.9857,0.19,0.5032,1.0152,1.2682,1.8343,1.0363,0.555,0.7108,0.4567,1.3259,1.0652,1.3698,1.7545,1.1718,0.7829,1.1217,1.5225,Control
A08,0.8382,0.7309,0.9951,0.6518,0.8271,0.9947,0.2164,0.2972,0.8609,0.6369,0.9953,1.0303,0.9013,0.8595,1.0424,0.6674,0.9535,0.5005,0.6019,0.3615,0.0449,0.6999,1.6433,0.8487,1.7471,0.8131,0.4767,0.0566,0.9312,0.6137,0.9837,0.4571,0.9139,0.3919,0.4577,0.8499,1.405,0.7642,1.0651,1.0701,0.5045,0.8524,0.6802,0.1443,1.2113,0.9618,1.5472,1.1993,0.1264,0.6676,0.6787,1.1898,1.5927,1.0811,0.5702,0.7622,0.4395,1.047,0.9885,1.1708,1.594,0.9995,0.5755,1.103,1.3972,Control
A09,1.0449,0.9285,0.8024,0.7591,0.6224,0.9939,0.2683,0.2266,0.7284,0.5652,0.8555,0.9942,0.8062,0.7054,1.1917,0.6418,0.9592,0.508,0.6499,0.3349,-0.0077,0.4574,1.7351,0.8644,1.8889,0.9345,0.5704,0.0734,0.965,0.5419,0.8633,0.4729,0.8743,0.5633,0.5357,1.1302,1.605,0.77,1.1795,0.9473,0.5491,0.828,0.7427,0.1488,1.2108,1.2567,1.4301,0.9314,0.1242,0.3473,0.7174,1.2377,1.6255,0.9175,0.4728,0.7886,0.4331,1.2048,0.961,1.2251,1.5157,1.0494,0.6793,1.1069,1.4185,Control
A10,0.9777,0.7926,0.9099,0.8757,0.7521,1.0459,0.3006,0.3199,0.7832,0.6779,1.114,1.0229,0.8663,0.7571,1.2501,0.7966,0.9939,0.5232,0.7967,0.3707,-0.0492,0.663,1.6737,0.7592,1.8404,1.0433,0.6711,0.2003,0.9923,0.5533,0.9291,0.5025,0.9813,0.6367,0.4921,1.0037,1.6703,0.971,1.2528,1.0832,0.6039,0.8826,0.9142,0.1999,1.1655,1.1463,1.7405,0.869,0.1352,0.5037,0.963,1.2064,1.7405,1.0711,0.7778,0.6998,0.5874,1.2178,1.0029,1.2372,1.6771,1.3092,0.6095,1.0778,1.4434,Control
