@relation data

@attribute id string
@attribute 10161 numeric
@attribute 10681 numeric
@attribute 10800 numeric
@attribute 1081 numeric
@attribute 10886 numeric
@attribute 10887 numeric
@attribute 10911 numeric
@attribute 1128 numeric
@attribute 1131 numeric
@attribute 1133 numeric
@attribute 11343 numeric
@attribute 114814 numeric
@attribute 115557 numeric
@attribute 1241 numeric
@attribute 128674 numeric
@attribute 139189 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 156 numeric
@attribute 1606 numeric
@attribute 1607 numeric
@attribute 1608 numeric
@attribute 160851 numeric
@attribute 1609 numeric
@attribute 183 numeric
@attribute 185 numeric
@attribute 1902 numeric
@attribute 1906 numeric
@attribute 1907 numeric
@attribute 1908 numeric
@attribute 1909 numeric
@attribute 1910 numeric
@attribute 2147 numeric
@attribute 2149 numeric
@attribute 2150 numeric
@attribute 2151 numeric
@attribute 221955 numeric
@attribute 222545 numeric
@attribute 23236 numeric
@attribute 23566 numeric
@attribute 2358 numeric
@attribute 23620 numeric
@attribute 257313 numeric
@attribute 2641 numeric
@attribute 27334 numeric
@attribute 2767 numeric
@attribute 2769 numeric
@attribute 2776 numeric
@attribute 2782 numeric
@attribute 2783 numeric
@attribute 2784 numeric
@attribute 2785 numeric
@attribute 2786 numeric
@attribute 2787 numeric
@attribute 2791 numeric
@attribute 2792 numeric
@attribute 2793 numeric
@attribute 2798 numeric
@attribute 2828 numeric
@attribute 2829 numeric
@attribute 2837 numeric
@attribute 2840 numeric
@attribute 2846 numeric
@attribute 2862 numeric
@attribute 2864 numeric
@attribute 2867 numeric
@attribute 2869 numeric
@attribute 2922 numeric
@attribute 2925 numeric
@attribute 29933 numeric
@attribute 301 numeric
@attribute 3060 numeric
@attribute 3061 numeric
@attribute 3062 numeric
@attribute 3269 numeric
@attribute 3356 numeric
@attribute 3357 numeric
@attribute 3358 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3814 numeric
@attribute 3827 numeric
@attribute 387129 numeric
@attribute 4295 numeric
@attribute 4828 numeric
@attribute 4829 numeric
@attribute 4922 numeric
@attribute 5020 numeric
@attribute 5021 numeric
@attribute 5028 numeric
@attribute 5029 numeric
@attribute 5031 numeric
@attribute 51764 numeric
@attribute 5290 numeric
@attribute 5295 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 54331 numeric
@attribute 551 numeric
@attribute 552 numeric
@attribute 553 numeric
@attribute 55970 numeric
@attribute 56413 numeric
@attribute 57105 numeric
@attribute 5731 numeric
@attribute 5737 numeric
@attribute 59345 numeric
@attribute 594857 numeric
@attribute 60675 numeric
@attribute 623 numeric
@attribute 624 numeric
@attribute 6368 numeric
@attribute 6375 numeric
@attribute 64106 numeric
@attribute 6863 numeric
@attribute 6865 numeric
@attribute 6866 numeric
@attribute 6869 numeric
@attribute 6870 numeric
@attribute 7200 numeric
@attribute 7201 numeric
@attribute 7204 numeric
@attribute 747 numeric
@attribute 8111 numeric
@attribute 84109 numeric
@attribute 84432 numeric
@attribute 846 numeric
@attribute 84634 numeric
@attribute 8477 numeric
@attribute 8525 numeric
@attribute 8526 numeric
@attribute 8527 numeric
@attribute 8620 numeric
@attribute 885 numeric
@attribute 886 numeric
@attribute 887 numeric
@attribute 8997 numeric
@attribute 9002 numeric
@attribute 9162 numeric
@attribute 9170 numeric
@attribute 94233 numeric
@attribute 94235 numeric
@attribute 9630 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,2.7109,0.5839,1.7586,-0.0122,-0.1052,-0.0086,1.4684,-0.1018,-0.1009,-0.0956,0.1638,0.2411,-0.0593,1.2948,0.0062,-0.0998,-0.1469,-0.0666,-0.1682,1.1867,2.1526,-0.0884,0.15,0.5438,0.3458,0.0617,-0.0517,0.2117,-0.0542,-0.2953,0.0261,-0.0998,-0.0097,-0.087,1.1346,0.4821,-0.017,0.8279,-0.1677,0.4579,0.1774,1.7455,-0.1073,-0.0243,-0.0295,2.1661,0.0521,1.2797,0.6485,1.4299,0.5434,-0.0233,0.1401,-0.0578,1.0574,1.5828,-0.119,0.3293,-0.2478,-0.1367,0.1687,-0.066,-0.1011,0.6434,-0.1303,-0.0498,0.8517,0.406,-0.1847,-0.1028,1.3218,2.2845,0.0725,-0.0206,-0.0923,0.0159,-0.055,-0.0349,-0.1984,0.7579,0.8352,0.8558,-0.0665,-0.1418,-0.1111,-0.0838,-0.1902,-0.1604,-0.1969,-0.1224,0.0676,0.582,0.3272,0.0253,0.0313,1.5746,1.4982,1.7231,0.5973,-0.0566,1.1149,-0.2589,0.6901,0.1666,-0.0728,0.2396,1.5807,0.1486,-0.0175,0.917,-0.1281,1.0012,-0.3143,-0.0233,-0.121,0.1778,-0.133,-0.1817,0.0368,0.0766,-0.0517,-0.1743,0.0027,-0.0947,0.3698,0.2015,0.0692,-0.0464,0.0665,-0.0883,0.1073,2.4345,0.4414,1.5789,1.0565,0.9524,-0.0318,-0.0566,-0.1542,-0.0046,0.1982,-0.0825,1.0274,0.0114,0.5015,-0.0927,Control
Utah__A02,2.5764,0.2715,1.712,-0.0018,-0.0225,0.0753,-0.1065,-0.0829,-0.071,0.0133,0.2399,0.2879,-0.0805,1.2757,-0.0757,-0.0824,-0.1152,0.0026,-0.1784,1.05,1.5655,-0.0255,0.1181,0.2369,0.3395,0.1781,0.0456,0.15,0.0746,-0.2024,0.0917,-0.0321,-0.08,-0.0712,1.3118,0.4696,-0.0113,0.6879,-0.0932,0.2609,0.0175,1.8469,-0.0172,-0.0075,0.0131,1.7595,-0.0126,1.2616,0.2358,1.392,0.5823,-0.0075,0.1733,0.0681,0.7396,1.3293,-0.0204,0.2552,-0.2058,-0.009,0.3124,-0.0465,0.0069,-0.1238,-0.1238,0.0966,0.4933,0.2531,-0.1864,-0.1752,1.1573,2.1159,0.1426,0.1337,0.0299,0.0159,-0.0963,-0.0909,-0.1492,0.5221,0.6307,0.6946,6e-04,-0.1328,-0.0785,-0.0445,-0.1593,-0.0925,-0.1117,-0.0387,0.0441,0.4365,0.2917,-0.0148,0.1333,1.3014,1.1993,1.687,0.5059,-0.0793,1.0578,-0.3343,0.7426,0.2663,-0.0023,0.1801,1.1832,0.0124,-0.0134,1.0017,-0.1015,0.2791,-0.1643,-0.0502,-0.1043,-0.0266,-0.1966,-0.1378,-0.0231,-0.0248,-0.046,-0.1364,0.1661,0.0531,0.3411,0.126,-0.0283,-0.0402,0.1295,-0.0582,0.2197,2.6388,0.3068,1.1896,0.8505,0.6221,0.0181,0.0972,-0.1265,-0.0132,0.2018,-0.0355,0.874,0.0929,0.2071,-0.0986,Control
Utah__A03,2.2948,0.3099,1.784,-7e-04,-0.0269,-0.0648,1.7903,0.0131,-0.0806,-0.1701,0.2264,0.1664,-0.0524,1.3,-0.0412,-0.0582,-0.2411,-0.0138,-0.1657,1.2579,1.4326,-0.0636,0.1995,0.3202,0.4484,0.1968,-0.0195,0.1782,0.0603,-0.0746,0.1344,-0.0509,-0.0419,-0.102,1.328,0.4977,-0.1052,0.8358,-0.1089,0.3328,-0.0046,1.8551,0.0126,0.0627,0.1045,1.8435,0.1317,1.5122,0.4627,1.4897,0.7367,0.0291,0.281,0.0188,1.1743,1.4961,-0.1335,0.7692,-0.1462,-0.0616,0.1802,-0.0203,0.1021,0.1225,-0.1159,0.1606,1.2097,0.3545,-0.1463,-0.1366,1.2129,2.5599,0.0952,0.0649,-0.0437,0.0048,-0.0539,0.0073,-0.1541,0.5995,0.8656,0.7329,-0.0919,-0.1479,-0.0367,0.0453,-0.1317,-0.0579,-0.0965,-0.1525,0.1062,0.4324,0.4103,0.0093,0.1014,1.3967,1.3339,2.0214,0.7325,-0.1062,1.2897,-0.4186,0.3702,0.2246,-0.0344,0.2699,1.9008,0.0744,-0.0339,1.1338,-0.0926,0.1306,-0.1484,-0.0727,-0.097,0.0337,-0.1453,-0.1204,-0.0283,-0.0322,-0.0584,-0.1947,0.0907,-0.0659,0.4223,0.2892,0.1211,-0.0884,0.0767,-0.0053,0.1972,2.4592,0.3735,1.2744,0.8824,0.8795,0.0193,0.0551,-0.0699,-0.0359,0.2599,-0.0514,1.0927,0.0811,0.2784,-0.1027,Control
Utah__A04,2.2733,0.4148,1.5456,0.0241,-0.076,-0.0058,-0.0462,-0.0527,-0.0601,-0.0347,0.2524,0.1682,-0.0607,1.1047,-0.1421,0.0284,-0.1063,-0.0379,-0.1139,1.1386,1.6452,-0.0305,0.1117,0.2129,0.4944,0.1228,0.0082,0.1098,0.0132,-0.1849,0.0975,-0.0379,0.0094,-0.0358,1.2907,0.4514,-0.0072,0.729,-0.1071,0.219,0.1141,1.4567,0.054,0.0237,0.0417,2.0466,0.1109,1.2302,0.3177,1.4717,0.6755,-0.0317,0.1461,0.0093,0.8395,1.4725,-0.0544,0.2128,-0.1445,0.0458,0.2068,0.069,-0.0047,0.2055,-0.0327,0.078,0.1103,0.2952,-0.0806,-0.0933,1.0077,2.2612,0.1747,0.0267,-0.0179,-0.0261,-0.0588,-0.1059,-0.1184,0.6647,0.6114,0.7843,0.0877,-0.1399,-0.0914,-0.1222,-0.0616,-0.0629,-0.0833,0.1074,0.0424,0.5075,0.2342,-0.0593,0.1214,1.353,1.4882,1.6421,0.5226,-0.07,1.0142,-0.1665,0.5988,0.236,-0.0544,0.1926,0.9796,0.1466,-0.006,0.9425,-0.169,0.4767,-0.1009,-0.0798,-0.1658,-0.1061,-0.2103,-0.0767,-0.0208,0.0308,-0.0614,-0.0977,0.2268,-0.0189,0.3611,0.1659,0.1014,-0.0334,0.141,0.0021,0.3424,2.2449,0.3155,1.0677,1.0374,0.5906,0.0915,0.0058,-0.1086,-8e-04,0.4405,-0.0455,0.8598,0.0465,0.353,-0.0731,Control
Utah__A05,2.5515,0.4684,1.9177,-0.0431,-0.1002,0.0367,0.2307,-0.0842,-0.0692,-0.0659,0.2959,0.1518,-0.002,1.5193,-0.1377,0.0325,-0.0372,0.0021,-0.1295,1.3225,1.485,-0.0645,0.2944,0.2478,0.4827,0.0653,-0.027,0.221,-0.0549,-0.1187,0.0758,-0.0495,-0.0702,-0.0619,1.5416,0.7601,-0.0745,0.9261,-0.0894,0.4891,0.034,2.0763,-0.0055,-0.0612,0.0042,1.7668,0.1874,1.8127,0.4844,1.5737,0.7617,-0.0315,0.1174,0.0142,1.1311,2.2365,-0.0887,0.5169,-0.1706,0.0424,0.2406,0.0921,-0.0183,0.3488,-0.0044,0.0525,0.5365,0.3924,-0.0363,-0.0333,1.1309,2.583,0.1262,0.1235,-0.0727,-0.0367,-0.0342,-0.0194,-0.1382,0.6917,0.8284,0.7231,0.0843,-0.1464,-0.1299,-0.0178,-0.1141,-0.0978,-0.1225,0.0674,0.0793,0.8062,0.4731,-0.0161,0.1381,1.4836,1.3381,1.8765,0.8434,-0.0587,1.1054,-0.2615,0.8972,0.2252,-0.0464,0.3235,1.6124,0.1603,-0.0216,1.2816,-0.1295,0.6186,-0.1309,-0.0954,-0.132,0.169,-0.162,-0.1047,0.0735,-0.0292,-0.0822,-0.0964,0.156,0.1213,0.458,0.2504,0.0662,-0.0625,0.1394,-0.062,0.3165,2.5747,0.4011,1.1108,1.0973,0.713,0.0342,-0.041,0.0019,-0.0264,0.3814,-0.0565,0.9184,0.0427,0.502,-0.0925,Control
Utah__A06,2.2954,0.3232,1.6922,0.0115,0.0042,-0.0102,0.1804,-0.0243,-0.112,-0.1325,0.2222,0.1632,-0.0295,1.5639,0.0333,-0.0501,-0.1075,-0.0038,-0.1776,1.1441,1.5613,-0.0212,0.1894,0.2371,0.3024,0.124,-0.0261,0.3042,-0.014,-0.1595,0.0474,-0.0215,-0.0759,-0.0855,1.365,0.3624,-0.0407,0.7978,-0.1069,0.3865,-0.1513,2.0708,-0.038,-0.015,0.0011,1.4358,0.0136,1.4718,0.3651,1.4137,0.561,-0.0333,0.1159,-0.0135,0.961,1.2565,-0.116,0.4062,-0.231,-0.0383,0.3622,-0.1082,-0.0675,0.101,-0.1586,-0.03,0.2731,0.3092,-0.112,-0.01,1.1662,2.4961,-0.1102,0.0542,0.0341,0.0105,-0.0752,-0.0267,-0.1826,0.6267,0.7511,0.679,-0.0777,-0.1354,-0.0707,-0.0784,-0.1324,-0.1438,-0.1401,-0.1499,-0.0114,0.2801,0.3931,-0.0404,0.0547,1.3845,1.3761,1.7549,0.6445,-0.0795,1.3159,-0.3619,0.4164,0.1961,0.0072,0.2861,1.6428,0.0447,-8e-04,1.033,-0.0177,0.6331,-0.0801,-0.0474,-0.1795,0.0623,-0.2016,-0.1279,-0.0219,-0.0948,-0.0512,-0.1258,0.0781,-0.0438,0.3673,0.195,0.0593,-0.0263,0.1751,-0.0504,0.201,2.6408,0.2927,1.1045,0.9931,0.7979,-0.0709,0.0542,-0.132,-0.0218,0.0346,-0.0489,0.9446,0.0114,0.2656,-0.1224,Control
Utah__A07,2.4872,0.3603,1.7769,0.0367,-0.0344,0.0769,0.1844,-0.1122,-0.0728,-0.135,0.3215,0.279,-0.0658,1.4439,-0.1292,0.0335,-0.1463,-0.0529,-0.1695,1.1623,1.7777,-0.037,0.3217,0.2753,0.4229,0.1567,4e-04,0.5296,0.0784,-0.1748,0.011,-0.0379,-0.0957,-0.1015,1.3536,0.5331,0.0239,0.8982,-0.0491,0.8525,-0.0803,1.888,0.0222,-0.0431,0.02,1.7166,0.0426,1.4516,0.8957,1.5236,0.6322,-0.021,0.0828,0.0051,0.9683,1.5907,-0.1604,0.5092,-0.122,0.0801,0.2463,-0.102,0.0355,0.0356,-0.121,-0.1754,0.229,0.4401,-0.194,-0.0814,1.3016,2.8921,0.0324,0.1053,-0.0156,-0.0354,-0.1098,-0.011,-0.1609,0.8084,1.009,0.6968,0.0145,-0.1374,-0.0594,0.0052,-0.2057,-0.0669,-0.1246,-0.0389,0.0411,0.413,0.4417,0.0736,0.0316,1.5934,1.6231,1.796,0.6633,-0.0871,1.4391,-0.2552,0.4231,0.2535,0.0032,0.2234,1.66,0.0953,0.0192,1.1256,-0.0342,0.3263,-0.2047,-0.0926,-0.1322,-0.0775,-0.2021,-0.1564,0.0368,-0.0115,-0.0741,-0.1448,0.1764,-0.0946,0.5693,0.1828,0.1151,0.0033,0.1189,-0.0405,0.2132,2.7247,0.3869,1.3784,1.0722,0.7649,0.0402,0.0625,-0.1796,2e-04,0.1884,-0.0378,0.8886,0.0272,0.2371,-0.1308,Control
Utah__A08,1.9303,0.4944,1.5539,0.0086,-0.0515,0.0067,-0.0236,0.0251,-0.0608,-0.1098,0.0683,0.1119,-0.062,1.2012,-0.0713,0.1195,-0.2046,-0.0516,-0.1475,1.0552,2.0743,-0.081,0.2376,0.517,0.2338,0.0857,-0.0272,0.449,-0.0117,-0.2163,0.0742,-0.102,-0.0726,-0.0829,0.9492,0.3351,-0.0308,0.6881,-0.1719,0.6443,0.0011,0.9146,-0.0535,-0.0699,-0.0159,1.5708,0.0033,1.0412,1.0393,1.4965,0.4954,-0.0323,0.1265,-0.0479,0.9523,1.3649,-0.0941,0.443,-0.241,0.032,0.1917,-0.1644,-0.0668,0.032,-0.0576,-0.0023,0.2451,0.4988,-0.167,-0.1109,1.0538,2.2831,-0.1036,-0.0454,-0.0278,-0.0077,-0.0793,0.0254,-0.2066,0.9922,1.0928,0.7065,-0.0788,-0.1683,-0.0646,0.0138,-0.1379,-0.1239,-0.1009,-0.0467,0.0048,0.2614,0.2876,0.053,0.1547,1.7501,1.714,1.7709,0.4362,-0.0906,1.57,-0.5568,0.3899,0.2036,-0.0697,0.184,1.4192,0.0136,-0.0842,0.8725,0.0063,0.1741,-0.1336,0.0116,-0.1518,-0.2246,-0.2496,-0.1325,0.0034,0.0803,-0.0726,-0.1689,0.0576,-0.0779,0.5881,0.1922,-0.0167,-0.108,0.1157,-0.0045,0.2385,2.2736,0.3853,1.595,1.1123,0.7987,-0.0255,-0.0903,-0.1622,-0.0375,0.0328,-0.0799,0.8586,0.0529,0.5308,-0.0956,Control
Utah__A09,2.4146,0.5019,1.949,-0.0354,-0.0715,0.0036,0.0783,-0.0283,-0.0407,-0.0981,0.2687,0.2509,-0.0862,1.1535,0.0314,0.0122,-0.0568,-0.0496,-0.1136,1.0908,1.8904,-0.0558,0.2319,0.3796,0.4194,0.1352,-0.011,0.4742,0.0231,-0.1307,0.0541,-0.0604,-0.0205,-0.1057,1.2462,0.3239,-0.0844,0.6743,-0.1001,0.7299,0.0116,1.178,-0.0024,0.0794,-0.0101,1.7893,-0.009,1.2293,0.8753,1.4111,0.5287,-0.0661,0.2054,0.0307,0.7273,1.8345,-0.1405,0.4885,-0.2038,-0.0367,0.2046,0.0129,0.0175,0.2381,-0.1498,-0.0718,0.2624,0.4272,-0.083,-0.0872,1.181,2.5361,0.1027,0.0482,-0.0125,0.0366,-0.0366,-0.0695,-0.1763,0.7685,0.9804,0.6507,-0.0253,-0.1411,-0.0623,0.0204,-0.1876,-0.0892,-0.1237,-0.0656,0.021,0.3855,0.3498,-0.0437,-0.0234,1.4582,1.5464,1.6671,0.6203,-0.0575,1.436,-0.2358,0.6903,0.2468,-0.0302,0.2252,1.4902,-0.0263,-0.0197,0.9532,-0.2124,0.3376,-0.1958,-0.0411,-0.1048,-0.1949,-0.1897,-0.0963,0.0297,0.0301,-0.0655,-0.1067,0.0912,0.0153,0.4487,0.1446,-0.0033,-0.0504,0.0562,0,0.1915,2.4403,0.3309,1.4017,0.9827,0.7294,-0.0025,-0.0435,-0.0701,0.0084,0.2677,-0.0319,1.0046,0.042,0.1876,-0.0912,Control
Utah__A10,2.0783,0.4699,1.6292,-0.064,-0.0665,0.0173,0.1189,-0.0215,-0.0694,-0.1246,0.2669,0.2476,-0.1286,1.3503,-0.0996,-0.0398,-0.045,-0.0675,-0.0955,1.1341,1.5236,-0.0532,0.3298,0.4531,0.4338,0.1044,-0.0277,0.6328,-0.1494,-0.2178,0.1028,-0.0748,-0.0379,-0.082,1.5482,0.408,-0.0885,0.795,-0.1026,0.9457,-0.0136,1.8055,-0.0484,0.0022,-0.022,1.6715,0.1062,1.2476,0.8224,1.5165,0.5533,-0.0687,0.1336,0.0022,1.0513,2.065,-0.1499,0.5021,-0.2015,0.0482,0.1992,0.0132,-0.0078,0.2198,-0.0663,-0.092,0.4622,0.408,-0.0573,-0.0779,1.2417,3.1295,0.1065,-0.0066,-0.0388,0.0218,-0.0109,-0.0209,-0.1619,0.8089,1.0339,0.6346,0.0095,-0.1281,-0.1065,-0.0731,-0.1012,-0.1111,-0.1295,0.07,0.042,0.5527,0.4078,-0.0017,0.0774,1.6941,1.6535,1.7443,0.5606,-0.0546,1.5133,-0.3083,0.6848,0.208,-0.0338,0.3033,1.5009,0.1294,0.0417,1.0893,-0.1128,0.8224,-0.2752,-0.0441,-0.1101,-0.091,-0.1604,-0.1006,0.0526,-0.0198,-0.0844,-0.1375,0.1675,-0.015,0.4758,0.1008,0.211,-0.0846,0.0447,-0.0911,0.1931,2.7144,0.4264,1.4025,1.0385,0.6697,0.0093,-0.017,-0.1472,-0.0442,0.1952,-0.0658,0.9463,0.0307,0.1512,-0.0728,Control
