@relation data

@attribute id string
@attribute 1056 numeric
@attribute 107 numeric
@attribute 108 numeric
@attribute 1080 numeric
@attribute 109 numeric
@attribute 111 numeric
@attribute 112 numeric
@attribute 113 numeric
@attribute 1131 numeric
@attribute 114 numeric
@attribute 115 numeric
@attribute 1179 numeric
@attribute 123745 numeric
@attribute 1357 numeric
@attribute 1358 numeric
@attribute 1359 numeric
@attribute 1360 numeric
@attribute 1361 numeric
@attribute 1504 numeric
@attribute 1506 numeric
@attribute 1811 numeric
@attribute 196883 numeric
@attribute 219931 numeric
@attribute 22802 numeric
@attribute 23236 numeric
@attribute 23436 numeric
@attribute 23439 numeric
@attribute 26279 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 280 numeric
@attribute 30814 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3778 numeric
@attribute 3784 numeric
@attribute 387 numeric
@attribute 391013 numeric
@attribute 4218 numeric
@attribute 476 numeric
@attribute 477 numeric
@attribute 478 numeric
@attribute 480 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 486 numeric
@attribute 487 numeric
@attribute 488 numeric
@attribute 489 numeric
@attribute 490 numeric
@attribute 491 numeric
@attribute 492 numeric
@attribute 493 numeric
@attribute 50487 numeric
@attribute 51032 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5406 numeric
@attribute 5407 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5646 numeric
@attribute 5874 numeric
@attribute 5879 numeric
@attribute 5906 numeric
@attribute 5908 numeric
@attribute 6262 numeric
@attribute 63036 numeric
@attribute 6344 numeric
@attribute 64600 numeric
@attribute 6522 numeric
@attribute 6548 numeric
@attribute 6558 numeric
@attribute 683 numeric
@attribute 7220 numeric
@attribute 760 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 84647 numeric
@attribute 8671 numeric
@attribute 8681 numeric
@attribute 8766 numeric
@attribute 886 numeric
@attribute 952 numeric
@attribute 9635 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.1508,-0.0295,-0.0756,-0.127,0.3687,-0.0442,0.0494,1.7333,-0.1009,-0.1515,0.2911,-0.1142,0.0015,-0.0356,-0.0728,0.5824,-0.1169,-0.1211,0.0632,0.56,-0.0786,0.1272,0.6982,-0.0756,0.4579,-0.097,-0.1192,0.0968,0.6485,0.7306,0.5483,-0.1522,0.7579,0.8352,0.8558,-0.0457,0.1086,0.765,-0.132,1.6134,1.9205,-0.0116,0.1534,-0.0591,0.2629,0.0986,0.597,0.155,0.0182,1.6717,1.0669,2.2613,-0.0185,0.0114,1.1968,-0.1039,-0.0867,-0.0466,-0.0914,0.523,-0.2078,1.7231,0.5973,-0.0566,-0.0518,-0.0185,0.5534,1.0586,-0.0574,-0.0365,1.6067,0.6575,1.3016,1.7119,-0.1107,-0.0817,-0.0443,-0.0036,0.3564,0.4598,0.7273,1.1515,0.2822,0.616,0.4136,0.4736,0.2286,-0.0756,-0.0193,0.7093,2.423,-0.0566,0.7033,-0.0758,Control
A02,-0.1544,0.0718,-0.0214,-0.0581,0.2795,0.0331,-0.0038,1.5533,-0.071,-0.1772,0.2222,-0.0582,0.0295,0.0629,-0.0043,0.6628,-0.1264,-0.1487,0.0773,0.5033,-0.0222,0.0269,0.6181,-0.0207,0.2609,-0.0824,-0.0901,0.1203,0.2358,0.5967,0.3365,0.0099,0.5221,0.6307,0.6946,-0.0307,0.0325,0.54,0.0261,1.5634,1.7199,0.0139,0.1559,-0.0327,0.1925,0.0632,0.4026,0.0919,-0.048,1.5415,0.8519,1.8705,0.0714,0.0115,1.162,-0.0095,0.0696,-0.0652,0.0508,0.4043,-0.1956,1.687,0.5059,-0.0793,-0.0057,-0.1365,0.2001,0.7032,-0.1301,-0.0875,1.6241,0.5148,1.0126,1.2372,-0.0456,0.0824,0.0538,0.0424,0.4293,0.4227,0.6218,1.2602,0.0761,0.8422,0.3688,0.2575,-0.0179,-0.0602,0.0743,0.3165,2.6697,0.0972,0.6319,0.003,Control
A03,-0.1812,0.0628,-0.0304,-0.0445,0.3236,0.0413,0.0352,1.9885,-0.0806,-0.1901,0.4127,-0.1281,-0.0168,0.0012,-0.0282,0.4826,-0.101,-0.1173,0.2328,0.6148,-0.0287,0.1701,0.7473,-0.0594,0.3328,-0.1338,-0.1908,0.2122,0.4627,0.6975,0.4363,-0.0818,0.5995,0.8656,0.7329,0.0556,0.1282,0.8594,0.0464,1.7967,1.7266,0.0187,0.2921,-0.1619,0.4242,0.1425,0.6436,0.2697,0.026,1.8007,1.0419,2.2847,0.1091,0.035,1.5057,-0.0294,-0.0341,-0.0441,0.0131,0.4922,-0.1102,2.0214,0.7325,-0.1062,-0.0393,-0.0453,0.1966,0.9762,-0.1328,-0.0666,1.5012,0.7441,1.1563,1.7552,-0.0422,-0.098,0.0399,-0.07,0.4661,0.5502,0.7053,1.3706,0.0033,0.6399,0.2676,0.4119,-0.0181,-0.1226,0.0829,0.532,2.3727,0.0551,1.0281,0.0134,Control
A04,-0.0646,0.0443,-0.0503,-0.0652,0.3505,-0.0013,0.0731,1.5892,-0.0601,-0.1469,0.2531,-0.1069,0.0164,0.0608,-0.0151,0.3528,-0.0895,-0.118,0.2063,0.4342,-0.0236,0.0576,0.6516,-0.0052,0.219,-0.1119,-0.0747,0.1521,0.3177,0.6569,0.3632,-0.1012,0.6647,0.6114,0.7843,-0.0842,0.1226,0.5096,-0.1153,1.644,1.8895,3e-04,0.1544,-0.1366,0.1735,0.088,0.4198,0.1591,-0.0461,1.4025,1.0551,2.1022,-0.0467,0.0255,1.3892,0.0022,-0.0274,0.0471,0.0173,0.3103,-0.1551,1.6421,0.5226,-0.07,-0.031,-0.0828,0.3061,0.82,0.0051,-0.1464,1.6798,0.4666,1.0515,1.2952,-0.0549,-0.099,0.0645,-0.0519,0.4401,0.52,0.6737,1.08,0.1717,0.8396,0.2813,0.3379,-0.2072,-0.1678,0.0822,0.4096,2.6997,0.0058,0.5875,-0.0065,Control
A05,-0.039,0.0207,-0.0387,-0.0816,0.3581,-0.0265,0.1343,1.91,-0.0692,-0.1504,0.3876,-0.1161,-0.0337,-0.0043,-0.0719,0.5217,-0.1274,-0.1023,4e-04,0.5791,-0.0662,0.15,0.8359,-0.0396,0.4891,-0.1029,-0.0958,0.1864,0.4844,0.6767,0.3719,-0.1298,0.6917,0.8284,0.7231,-0.0949,0.1811,0.6538,-0.0703,1.852,1.7567,0.021,0.1267,-0.1154,0.3592,0.0317,0.4479,0.1088,0.0486,1.7639,1.1297,2.2919,0.0059,-0.0063,1.2856,0.0331,-0.0265,0.0312,-0.0761,0.632,-0.1311,1.8765,0.8434,-0.0587,-0.0412,-0.0678,0.3059,0.9512,-0.0102,-0.0336,1.8801,0.6929,1.0668,1.5482,-0.0608,-0.024,0.0421,0.0101,0.5534,0.6507,0.6842,1.4731,0.1308,1.043,0.3628,0.3634,0.0768,-0.0557,0.0849,0.516,2.95,-0.041,0.7726,-0.0172,Control
A06,-0.204,0.0266,-0.0293,-0.0452,0.241,-0.0294,0.0107,1.7796,-0.112,-0.2147,0.2854,-0.1002,-0.0198,-0.0391,-0.0136,0.4049,-0.1257,-0.0954,0.0734,0.4875,-0.0672,0.0781,0.7636,-0.0362,0.3865,0.0435,-0.1137,0.0274,0.3651,0.5918,0.3889,-0.0286,0.6267,0.7511,0.679,-0.0607,0.0752,0.5802,0.0544,1.65,1.7363,-0.0166,0.0378,-0.1235,0.2216,-0.0092,0.5724,0.0847,-0.0516,1.6505,0.9996,2.2189,0.028,-0.0385,1.2327,-0.0167,-0.019,0.0563,-5e-04,0.3969,-0.1697,1.7549,0.6445,-0.0795,-0.0571,-0.0414,0.296,0.9045,-0.1858,-0.1346,1.3302,0.5468,0.8997,1.3449,-0.0691,0.044,-0.0235,-0.0373,0.3548,0.5326,0.6566,1.2984,0.0384,0.646,0.3894,0.3762,-0.0622,-0.0665,0.0854,0.4933,2.3149,0.0542,0.6635,-0.0172,Control
A07,-0.2449,0.0569,-0.0242,-0.0607,0.3313,0.0295,0.0219,1.8816,-0.0728,-0.1782,0.3257,-0.091,-0.0656,-0.0108,-0.046,0.2715,-0.1088,-0.1559,0.093,0.4402,-0.0274,0.0587,0.7837,-0.0438,0.8525,0.0045,-0.1465,0.1859,0.8957,0.6707,0.5525,-0.0357,0.8084,1.009,0.6968,-0.0978,0.2237,0.7994,-0.0287,1.6126,1.8629,0.0114,0.0533,-0.0133,0.2765,-0.0429,0.6683,0.1108,-0.0535,1.6555,0.9724,2.3984,0.055,0.0058,1.3156,-0.0193,-0.0821,-0.0982,-0.0333,0.5996,-0.1399,1.796,0.6633,-0.0871,-0.0684,-0.115,0.5102,1.3099,-0.1581,-0.154,1.5206,0.7206,1.4728,2.0368,-0.0626,0.0476,0.0525,0.0285,0.4347,0.5259,0.7105,1.3869,0.2201,0.8536,0.7245,0.2901,-0.0644,-0.1175,0.0865,0.4322,2.5597,0.0625,0.7953,-0.0104,Control
A08,-0.1416,-0.0018,-0.0634,-0.1025,0.2182,-0.0316,0.0594,1.7361,-0.0608,-0.1807,0.3097,-0.1412,0.0351,-0.0394,-0.0534,0.2931,-0.1153,-0.1385,0.0831,0.4606,-0.0558,0.1812,0.6912,-0.1468,0.6443,-0.0124,-0.1142,-0.0231,1.0393,0.6901,0.5876,-0.0628,0.9922,1.0928,0.7065,-0.0324,0.1956,0.8642,-0.081,1.3617,1.9917,0.0111,0.0971,-0.1926,0.2474,0.1049,0.6405,0.193,0.0066,1.6318,0.8638,2.4013,0.0417,-0.0101,1.4278,-0.0293,0.0385,0.007,-0.0129,0.4074,-0.1271,1.7709,0.4362,-0.0906,-0.0674,-0.0258,0.8364,1.4137,-0.1612,-0.0657,1.3252,0.8123,1.7029,2.4745,-0.1012,0.1165,-0.0532,0.0035,0.252,0.4653,0.8092,0.9594,0.3556,0.6795,0.5435,0.3643,0.043,-0.0778,0.098,0.5499,2.0777,-0.0903,1.0363,-0.0534,Control
A09,-0.1538,0.0294,-0.0134,-0.0501,0.3049,0.0355,0.0714,1.7364,-0.0407,-0.1889,0.2174,-0.0617,-0.0207,0.0724,-0.0243,0.0966,-0.1362,-0.0958,0.2523,0.5409,-0.0944,0.1188,0.6779,-0.0157,0.7299,-0.0798,-0.1264,0.1106,0.8753,0.6175,0.4429,-0.0624,0.7685,0.9804,0.6507,-0.0133,0.1866,0.5863,-0.0432,1.7713,1.8483,0.0178,0.0442,-0.0708,0.1608,-0.06,0.5272,0.2189,-0.0413,1.6269,0.9451,2.4454,0.0758,0.0136,1.1791,0.0331,-0.016,-0.0254,0.0282,0.3952,-0.1278,1.6671,0.6203,-0.0575,-0.032,-0.1075,0.5718,1.2508,-0.1546,0.0555,1.6747,0.5927,1.2388,1.9939,-0.0605,-0.0468,0.0567,-0.001,0.3428,0.4645,0.6578,1.0295,0.1251,0.9083,0.4695,0.2801,0.1236,-0.1208,0.0365,0.5486,2.6146,-0.0435,0.6326,-0.0309,Control
A10,-0.0881,-0.0156,-0.0575,-0.0771,0.272,-0.062,0.1067,1.7079,-0.0694,-0.1492,0.3596,-0.1249,-0.0016,-0.0182,-0.0699,0.1416,-0.107,-0.1379,0.1041,0.4859,-0.0676,0.1176,0.7214,-0.0457,0.9457,-0.0569,-0.1005,0.0874,0.8224,0.6986,0.5498,-0.0339,0.8089,1.0339,0.6346,-0.0405,0.1962,0.7708,-0.0726,1.6598,1.808,-0.0321,0.1625,-0.1426,0.2457,0.0287,0.8139,0.1483,0.0039,1.6482,1.0891,2.1782,-0.0233,0.0199,1.6207,0.0631,-0.0629,-0.0399,-0.0251,0.6761,-0.1106,1.7443,0.5606,-0.0546,-0.0453,-0.0579,0.3781,1.3167,-0.0174,-0.1013,1.9621,0.7228,1.509,2.0248,-0.0679,-0.1538,0.0222,-0.0291,0.4498,0.5731,0.7714,1.4251,0.2189,0.9531,0.4728,0.355,-0.0692,-0.0989,0.1923,0.4395,2.6093,-0.017,0.6504,-0.0319,Control
