@relation data

@attribute 10858 numeric
@attribute 9420 numeric
@attribute 1595 numeric
@attribute 1589 numeric
@attribute 1588 numeric
@attribute 1586 numeric
@attribute 1585 numeric
@attribute 1584 numeric
@attribute 1593 numeric
@attribute 1581 numeric
@attribute 1582 numeric
@attribute 51302 numeric
@attribute 1583 numeric
@attribute 1545 numeric
@attribute Class {Control,BRCA}

@data
7.069103653,5.927073476,6.879341631,6.572931815,5.15709054133,5.499695432,5.626155278,4.7654509215,10.7221503,5.019047182,5.178526673,6.456568394,7.930502474,9.562295439,Control
7.099981891,5.394043544,6.631326684,6.379383241,5.43543742333,5.214524337,5.59724157,4.8854495585,11.02832761,5.862210374,5.201056716,6.445892764,7.070285,9.503697124,BRCA
6.774659006,5.383800396,6.316874894,6.362211787,5.38759982333,5.442952823,5.90202005,4.922826352,11.28307404,5.995434345,5.182504847,7.029139294,7.580562199,9.321038041,BRCA
7.252526182,5.233822166,6.261818145,7.080127653,5.510095752,5.574564199,6.381331506,4.3905643155,11.11355354,6.340211188,5.000914074,6.9302706035,8.063854951,10.09354338,Control
6.062214149,5.744774144,6.777719287,6.603630517,5.59586093667,5.810386064,5.687908393,5.3791610015,10.93731517,5.415666779,5.326799101,6.7706665135,7.910194676,8.8794769,BRCA
6.590366699,5.413806667,7.098824623,5.770572224,5.10312416833,5.577437325,5.823119603,5.0492724515,11.89018267,5.743764871,5.222467693,6.982590593,7.22451093,9.242996091,BRCA
8.050339969,5.544509535,6.816347305,6.742953157,5.64127889433,5.614644516,5.564234295,5.1441596575,10.84461576,5.836246857,5.630093262,6.01779139,8.641348343,10.55561035,BRCA
6.47143593,5.439466268,6.353195907,6.240415109,5.60759746067,5.865554662,5.859479655,4.882252345,10.92031584,5.808263565,5.528970731,7.0861768335,7.359993557,10.31838495,Control
6.424171013,5.886008211,6.83687446,6.271841744,5.40751594967,5.39361462,6.089376987,5.0970489625,11.30129057,5.430796457,5.425183376,7.471796476,7.985615876,11.19831015,BRCA
7.861042112,5.438884356,7.252526182,6.627610941,5.48548137333,5.495064524,6.472573571,5.4576375785,10.6623838,5.303973626,5.622938584,7.009118688,7.921991334,8.197955209,BRCA
7.842619252,5.944279407,7.013967798,6.520348088,5.56133875533,5.263890047,6.264916969,4.9864844825,11.55806922,6.086619917,5.732683853,6.307228857,9.177744123,10.39480059,BRCA
7.121484628,5.406852318,6.898090799,6.475656937,5.494171808,5.664419727,5.981059894,5.3912241155,11.13168997,5.451879748,5.291135005,6.537252681,7.408841599,10.23019795,Control
7.506131263,5.788040457,6.502239591,6.140477679,5.51675636433,5.485435883,6.289378595,5.477321663,10.5503671,5.457225929,5.593287468,6.300763877,8.031385719,9.374290255,Control
7.780213504,5.317422789,5.718369332,7.349106756,5.425696196,5.545359333,5.619861398,4.674861496,11.03869289,5.507962085,5.463533568,6.541109169,7.804520085,8.657212253,BRCA
7.871937763,5.203016352,5.149758548,7.162394161,5.48049904433,5.179522246,5.666480557,4.800635275,10.47812272,5.461570507,4.966374225,7.137136477,8.260238737,10.02857645,BRCA
7.70535786,5.398154738,5.859106883,6.805457319,5.57420269633,5.352627229,5.738235001,5.3730539435,11.34599024,5.579701547,5.332538997,6.722669948,8.323506447,8.874183054,BRCA
7.730336178,5.559423936,6.019596982,7.054091788,5.16198559333,5.122477305,5.785165535,4.817268527,11.0826449,5.744774144,5.37304892,6.1684757915,7.756141175,7.670764447,BRCA
7.6746533,5.651777341,6.298388541,6.076287179,5.743690292,5.123512303,5.810900139,5.1865139995,10.85568242,5.334685584,5.136490053,6.739456546,8.568812243,9.933580429,BRCA
7.809512721,5.406001929,6.037608037,6.225020007,5.583055926,5.335221732,6.116193835,5.133775527,10.94183646,5.888750097,5.657505139,6.8994632645,7.962261434,8.976679481,BRCA
7.43588092,5.052688948,6.51033347,7.100665295,5.49712143033,5.113545539,5.666764579,5.234068039,11.24345683,4.941119518,4.842490216,6.6454742555,8.920026109,7.19165425,BRCA
