@relation data

@attribute id string
@attribute 11255 numeric
@attribute 1128 numeric
@attribute 1129 numeric
@attribute 1131 numeric
@attribute 1132 numeric
@attribute 1133 numeric
@attribute 134860 numeric
@attribute 134864 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 150 numeric
@attribute 151 numeric
@attribute 152 numeric
@attribute 153 numeric
@attribute 154 numeric
@attribute 155 numeric
@attribute 1812 numeric
@attribute 1813 numeric
@attribute 1814 numeric
@attribute 1815 numeric
@attribute 3269 numeric
@attribute 3274 numeric
@attribute 3350 numeric
@attribute 3351 numeric
@attribute 3352 numeric
@attribute 3354 numeric
@attribute 3355 numeric
@attribute 3356 numeric
@attribute 3357 numeric
@attribute 3358 numeric
@attribute 3360 numeric
@attribute 3361 numeric
@attribute 3362 numeric
@attribute 3363 numeric
@attribute 59340 numeric
@attribute 83551 numeric
@attribute 9038 numeric
@attribute 9287 numeric
@attribute 9288 numeric
@attribute Class {BRCA,Control}

@data
GSM481002,-0.0900766912,-0.1613207489,-0.1624797086,-0.0921196936,-0.1150935011,-0.0374228553,0.0465326607,-0.1695139980,-0.1814910658,-0.4054743098,-0.0833662782,0.0862544141,-0.2063938136,0.1762317824,-0.1852568386,-0.0278997617,-0.0253693302,-0.0855297659,-0.0970506789,-0.2333143419,-0.3412820116,0.2293711041,-0.1973717923,-0.3664536720,-0.1909238175,-0.2017380082,-0.1652953746,-0.0051341177,-0.0131832840,0.2716515240,-0.0987536469,-0.1377408597,-0.1881591184,-0.0522069524,-0.0044740553,-0.0560381038,0.0318202436,0.1333361729,0.0249824366,-0.1443678191,BRCA
GSM481003,-0.0496085472,-0.0974529824,-0.0839174626,-0.0861088868,-0.0702538822,-0.0588795547,-0.0965925860,-0.1373204327,-0.1572913317,-0.3344708749,-0.0629528630,0.4920516645,-0.2058726342,0.2654921324,-0.1088825874,1.1287925293,0.0015535448,-0.1844054892,-0.0622962653,-0.1352528575,-0.2877928813,0.1211246888,-0.1707429240,-0.2729628029,-0.1776962385,-0.1993323839,-0.1300466956,0.0556168771,-0.0737881022,0.0490279904,-0.1350032525,-0.1054319017,-0.2353220340,-0.0401344110,-0.0556597927,-0.0662356308,0.0146057352,0.0939650183,-0.0311746537,-0.1236304079,BRCA
GSM481004,-0.1086120176,-0.1484792840,0.0059704190,-0.0867666750,-0.1088760598,-0.0834744840,-0.0782853377,-0.1951273183,-0.1155463264,-0.3589334174,-0.0551818682,0.3346372220,-0.0888445506,0.2097910132,-0.1616633741,0.0311052766,-0.0877445831,-0.0998078941,-0.0277599231,-0.1461461626,-0.3319227436,0.2706065923,-0.0593407787,-0.2421967009,-0.1858253975,-0.2073141889,-0.1207253930,0.0517831551,-0.0158366032,0.1103651110,-0.2055039401,-0.0776414691,-0.1886394455,-0.0910288569,-0.0288568286,-0.1148053131,-0.0858470607,0.1099107330,-0.0700695542,-0.1289147593,BRCA
GSM481005,-0.1098350650,-0.1728358746,-0.1334830193,-0.0942889848,-0.0710469615,-0.0662024622,-0.0635727091,-0.1992131770,-0.1574726164,-0.4142291802,-0.0677255189,0.6375766043,-0.1475158560,0.2219137251,-0.1103263266,0.1308089926,-0.0301811357,-0.1603359817,-0.0672767882,-0.1232103623,-0.3063156621,0.2078079613,-0.0828116332,-0.2744436543,-0.1866254290,-0.1708991081,-0.1168373533,0.1712533436,0.0783425454,0.4773457700,-0.1516403362,-0.1009926089,-0.1367354907,-0.0878614268,-0.0143916413,-0.1265796526,-0.0920128334,0.0770228625,-0.0604625932,-0.0698879172,BRCA
GSM481006,-0.0908881681,-0.1250821797,-0.1039089642,-0.0944013842,-0.0627491908,-0.0608680601,-0.0569236800,-0.0823779937,-0.1355855394,-0.3112465452,-0.0884416852,1.0224505441,-0.1709867585,0.5437011933,-0.1555375771,0.1793826078,-0.0461164894,-0.1238256764,-0.0071387359,-0.1321409356,-0.2555094776,0.1704185120,-0.1222120944,-0.2653085327,-0.1285226843,-0.0706453792,-0.1140578137,0.0093686183,-0.0489522501,0.9693866836,-0.0925904140,-0.0727810277,-0.1081975614,-0.0848884207,-0.0942758759,-0.0701663330,-0.0941211407,0.1133855094,-0.0484874642,-0.1195697631,BRCA
GSM481007,-0.0592528870,-0.1505782839,-0.0713494149,-0.0595955011,-0.0405662624,-0.0971057890,-0.0765809994,-0.2554892647,-0.1172727399,-0.1480808929,-0.0264750079,0.8158318775,-0.0874989063,0.2264553587,-0.1981923498,0.6428499379,-0.0149880733,-0.0803992601,-0.0457104305,-0.1002646763,-0.1708026992,0.4077382043,-0.1354945797,-0.1611592978,-0.0707969885,-0.1006585224,-0.1366268841,0.1627892687,-0.0462336894,1.0096163022,-0.1119722774,-0.0577950116,-0.1549219555,0.0051266687,-0.0284154721,-0.0517277109,0.0286930343,0.0080773405,-0.0457358263,-0.1124605590,BRCA
GSM481008,-0.0882862746,-0.1808517431,-0.1435907379,-0.0874917199,-0.0663356786,-0.0422356293,-0.0829683879,-0.1443456040,-0.1484615617,-0.4126586880,-0.1053885067,0.0785071364,-0.0972632731,0.0775003894,-0.1388508428,0.2761347018,-0.0344895026,-0.1292546770,0.2038557784,-0.2083741029,-0.3309533167,0.3651230520,-0.1842957326,-0.2727369870,-0.1682196191,-0.0515570643,-0.1281668861,-0.0355386414,0.0052922189,0.3040213317,-0.0833534853,-0.1111712029,-0.1655317899,-0.0288863058,-0.0175118721,-0.0966924789,-0.0370797509,0.1339522964,-0.1057008549,-0.0990584687,Control
GSM481009,-0.1693078715,-0.3189999972,-0.1498119084,-0.1382546349,-0.0382532051,0.0224808928,-0.1245249584,-0.1224714660,-0.1953116347,-0.8346468173,-0.0490737721,0.7439915090,-0.3432931097,-0.0236726039,-0.1371940618,-0.0574291990,-0.0873287519,-0.1642348692,-0.0944936969,-0.2344059848,-0.4949488871,0.1229112668,-0.2241305337,-0.4610818194,-0.2613691819,-0.2725579284,-0.0146904161,0.0578783851,-0.1012478303,0.4164737729,-0.0849178748,-0.1266508058,-0.1647722154,-0.0448230291,-0.1257044207,-0.1804440883,-0.0805191001,0.0782528524,-0.0291157266,-0.0678564999,Control
GSM481010,-0.0902463830,-0.1155087241,-0.1043352961,-0.0822335011,-0.0864674098,-0.0984047699,-0.0603516883,-0.1353371370,-0.1431957232,-0.2153985392,-0.0937339075,1.0537675544,-0.0733483644,0.3544684211,-0.1239892322,0.2254023489,0.0880652697,-0.0871530191,0.0555626118,-0.0802006928,-0.0748624188,0.3413899361,-0.1034805278,-0.1693555832,-0.1323431260,-0.1665938580,-0.1225895260,-0.0014666041,0.2865075687,0.7835172811,-0.0567488577,-0.1106200511,-0.0965424209,-0.0828988710,-0.0913970356,-0.0815330262,-0.0911029409,0.0385075422,-0.0991162313,-0.0833632672,Control
GSM481011,-0.0877519067,-0.2099401156,-0.0174020684,-0.0953929259,-0.0511139632,-0.0742707906,-0.0589388081,-0.0696294447,-0.1017086262,-0.4703186149,-0.0104506690,0.7289724201,-0.0702512561,0.3874376754,-0.1907021195,-0.0158900453,-0.0292418936,-0.0565614229,-0.0548521813,-0.2024552387,-0.3634148290,0.0747396735,-0.0662351617,-0.3214157966,-0.1301511507,-0.2964739176,-0.0694089839,0.0091379702,-0.1231719317,0.0142827170,-0.0905279202,-0.0690436622,-0.1646154340,-0.1099006999,-0.0050172583,-0.1043621354,0.0410618412,0.0123249111,-0.0015826964,-0.0844911782,Control
