@relation data

@attribute 6204 numeric
@attribute 6205 numeric
@attribute 6206 numeric
@attribute 6207 numeric
@attribute 6208 numeric
@attribute 6209 numeric
@attribute 6210 numeric
@attribute 8668 numeric
@attribute 1973 numeric
@attribute 2197 numeric
@attribute 8669 numeric
@attribute 1974 numeric
@attribute 27335 numeric
@attribute 1975 numeric
@attribute 1977 numeric
@attribute 3921 numeric
@attribute 6217 numeric
@attribute 6218 numeric
@attribute 1981 numeric
@attribute 6224 numeric
@attribute 6223 numeric
@attribute 6222 numeric
@attribute 6191 numeric
@attribute 6192 numeric
@attribute 6193 numeric
@attribute 3646 numeric
@attribute 6194 numeric
@attribute 26986 numeric
@attribute 6189 numeric
@attribute 6188 numeric
@attribute 6187 numeric
@attribute 8894 numeric
@attribute 1968 numeric
@attribute 6231 numeric
@attribute 8663 numeric
@attribute 6232 numeric
@attribute 8662 numeric
@attribute 1965 numeric
@attribute 8661 numeric
@attribute 1964 numeric
@attribute 6230 numeric
@attribute 8667 numeric
@attribute 6235 numeric
@attribute 8666 numeric
@attribute 8665 numeric
@attribute 6233 numeric
@attribute 8664 numeric
@attribute 6234 numeric
@attribute 6229 numeric
@attribute 6203 numeric
@attribute 6228 numeric
@attribute 6227 numeric
@attribute 6201 numeric
@attribute 7458 numeric
@attribute Class {Control,BRCA}

@data
14.68689306,14.83944618,15.09455403,13.97885659,14.38798195,10.802858728,13.37174968,12.33286882,14.29545473,14.39776555,8.84018084,13.91614961,12.42907592,13.591191,5.3832028615,10.2504743335,14.76041434,13.789307945,8.34459771725,13.7976418,14.07822256,13.69550076,14.333989405,5.817758343,14.33556484,14.31196895,14.28777857,10.9912300055,13.296521865,14.73750669,14.53140294,8.011871746,12.54698855,8.839242791,6.537496642,14.79865761,11.6039443047,9.04464761,10.15199993,7.491517143,14.92253006,12.71275703,13.6339928875,12.79847895,12.96993872,13.680641355,13.0474759,11.83377967,10.894268005,14.46406102,12.50103733,10.81670392,8.3671903135,10.8183627143,Control
14.75233937,14.75649535,15.01930687,14.02134875,14.59035656,10.4791884545,13.3027079533,11.92850738,14.23655206,14.49088818,8.44588509,13.78053775,12.12152875,13.51771248,5.478418359,10.146329171,14.81988894,13.4605581,8.3610623935,14.11030021,14.3830917,14.24390588,14.292347115,5.166927545,14.5376428,14.40827668,14.277329135,11.6021332365,13.723634955,14.89141327,14.59584327,8.206820391,12.41355925,9.431396543,6.529625831,14.91163964,11.8650927,9.062600116,10.55192478,7.52201113033,14.5197155,12.63872105,13.60243687,13.14121392,12.90873886,13.697108495,13.53466038,12.90048482,10.766447547,14.68689306,12.0234322,11.03579075,7.082032104,10.5934979117,BRCA
14.95604237,14.76041434,14.95162692,14.12251745,14.751665665,11.245975866,13.7136097233,12.42339047,14.42653276,14.68689306,9.000521984,13.86848405,12.45678569,13.78998546,5.231526198,10.4684346385,14.77756767,13.861277655,8.390530265,14.19099059,14.36402692,14.14988842,14.688771895,5.93905684,14.7141304,14.41536846,14.525874365,12.0063066285,13.674886375,15.15765011,14.680525785,8.451284404,12.58650212,9.419149102,6.8058617365,14.48484431,12.26400334,8.757715954,10.43144566,7.46186956433,15.13382676,13.11936595,13.719770805,13.24869779,13.41290062,13.765286815,13.93643461,12.88068749,11.240544044,14.93557532,12.5850741,11.29220962,8.072835856,10.746955612,BRCA
15.06752912,14.72963536,15.09455403,13.96600025,14.7142796,10.833132375,13.53029059,11.52315285,14.24390588,14.43231028,7.56044963,14.02134875,12.22228482,12.77497238,5.0419966805,9.882382732,14.79865761,13.83205083,8.382971217,13.95070399,14.64660991,14.43740197,14.066865485,5.833276737,14.61638775,14.62098412,14.01633132,12.00629626,14.09924312,14.81650173,14.65953424,8.088365735,12.32689017,8.914451988,7.3949852685,14.89547873,12.24473759,9.881236778,10.82735881,7.40046677867,11.73219511,12.93836212,13.9782802975,13.53768073,12.58650212,13.64515005,13.85125179,13.56248158,10.4620465075,14.69079602,13.146867,10.82495499,6.828156093,10.058004375,Control
14.81650173,14.79427981,14.20597115,14.36402692,14.899729645,10.983560639,13.60197935,12.22131078,14.56668795,14.85146139,9.098072313,13.82037647,12.69358176,13.67421216,5.609549966,10.4448508545,14.12961268,13.894844035,8.19236132175,14.48484431,14.6085367,14.2201119,14.8781703,5.989826604,14.91163964,14.42029878,14.629290115,12.39124224,13.99790725,15.06752912,14.50556589,8.132963791,12.61750082,9.8051737385,6.4189299225,14.14988842,12.0634002333,9.021133451,10.64364002,7.92156834767,15.11026186,13.13613647,13.502602855,13.41082367,13.47298527,13.74617703,13.43573605,13.06629278,10.784970193,15.09455403,12.78312415,11.29402062,7.501273195,10.7624211103,BRCA
14.76343364,14.53323483,15.00532806,13.52808598,14.22847167,10.0771614655,12.3484049467,12.12322914,14.91431039,13.70458133,9.768664506,14.14434519,11.82768023,13.99263349,5.428588795,10.0969501995,14.74286599,13.05018086,8.41952105375,13.64744159,14.04737959,13.35514394,14.52995559,5.797863326,14.43231028,14.39263877,14.408070605,12.125769055,13.677992005,14.5376428,14.63618546,8.582933341,12.56435203,8.706601069,6.5841513705,14.8574397,12.5611553533,9.234303192,10.49374317,7.66904226933,14.80269307,12.6048903,12.7402358212,12.69961914,13.0689563,13.206743185,13.53466038,11.51840741,10.250568292,14.29545473,12.62461163,8.99655902,6.667889515,11.922295839,BRCA
14.97508152,13.78304532,14.91431039,13.58717103,14.833283845,10.2873022255,13.23063829,11.11355354,14.04737959,14.2201119,7.170228349,14.06996075,11.24502395,12.001308,5.593019755,10.1364097915,14.79865761,13.475049795,8.41313930575,12.06588572,14.50260592,14.63577141,13.354369595,5.682019293,14.29545473,14.81202536,13.397046395,12.074281625,14.099065465,14.81988894,14.167034365,7.481256805,11.89363345,9.286039329,8.469538924,14.76041434,11.7620672513,10.27966894,11.32464765,7.812048658,7.870921229,11.729846,14.0088453075,13.08056861,11.81348272,13.023498525,13.46667112,13.80946823,9.8334458855,14.23655206,12.17272761,10.92148787,5.8780288995,9.43685456867,BRCA
14.89141327,14.78933242,14.65913186,14.11502538,14.78945957,10.7429406095,13.8266030633,12.08048622,14.1393823,14.77272825,8.833563055,14.02580012,12.3398473,13.63630348,5.2934412195,10.4522655585,14.3830917,13.868128,8.26782455825,13.90556143,14.46865842,14.19099059,14.92983043,5.115211455,14.70692253,14.29890208,14.48710829,11.5678588975,13.84660278,15.20465253,14.79429825,7.476667486,12.82346582,8.8958862165,6.5946992415,14.600699,11.4081303207,8.729128822,10.02146624,7.684917063,15.01930687,12.89557628,13.74948887,13.0381217,13.35753005,13.69375863,13.42972648,12.34365079,11.4905999285,15.15765011,12.72627038,11.41782366,8.299274479,10.5092855047,Control
14.7141304,14.89141327,14.70323068,14.57543497,14.92190928,11.4341691735,13.6665179633,12.5506675,14.99189227,14.64352734,9.282324614,13.85986526,12.92639149,13.77286407,5.6159439165,10.212736975,14.33042537,13.693872405,8.44736918625,14.18524172,14.64104867,14.09890062,14.98307943,5.59156816,14.72963536,14.72492149,14.506684105,12.282941865,13.868957515,14.87065828,14.551965195,8.36573313,12.62461163,9.9101121475,6.9115197875,14.29890208,12.4028457067,8.943233566,10.68061031,7.66442430367,14.85146139,13.15952927,13.5659501975,13.50983997,13.57316849,13.85771228,13.68255687,12.86518429,11.470756209,15.11026186,13.03029388,11.06412655,8.322835621,10.927534654,BRCA
14.8317704,14.73750669,15.00968454,14.11030021,14.53815348,11.0375990315,13.3633085433,12.15346979,14.08054111,14.39776555,8.279449386,13.85125179,12.47906411,13.33778081,5.59106726,10.294883467,14.70026172,13.83685094,8.355856072,14.12961268,14.35837925,14.1393823,14.414777965,5.388199225,14.53323483,14.36769016,14.439438795,11.7534184995,13.940091655,14.95604237,14.654804885,7.620111894,12.52393564,9.645905693,6.7969048565,14.73243538,11.9663518167,9.041249229,10.13612637,7.911450455,14.99189227,12.66642048,13.7775477425,13.23871974,12.7295762,13.80406666,13.34981755,13.19114487,10.968513153,14.57543497,12.76703924,10.95619846,7.7921308595,9.98710882467,BRCA
