@relation data

@attribute id string
@attribute 10309 numeric
@attribute 8930 numeric
@attribute 4350 numeric
@attribute 23583 numeric
@attribute 4913 numeric
@attribute 5423 numeric
@attribute 328 numeric
@attribute 4968 numeric
@attribute 7515 numeric
@attribute 4595 numeric
@attribute 6996 numeric
@attribute 3980 numeric
@attribute Class {Control,BRCACancer}

@data
C02,0.0713,1.6295,0.4225,0.4129,0.1102,0.6592,1.4237,0.4635,0.9258,0.3306,0.4774,0.9213,BRCACancer
C03,0.1659,1.5416,0.3877,0.5243,0.2069,0.8095,1.4707,0.6877,0.9106,0.4603,0.7803,1.046,BRCACancer
C04,0.1286,0.9393,0.5022,0.3459,-0.0837,0.2509,1.0414,0.2477,0.683,0.1825,0.26,0.6709,Control
C05,0.0717,0.9439,0.3932,0.2694,0.0037,0.3964,0.828,0.3113,0.5802,0.2262,0.4297,0.6829,BRCACancer
C06,-0.06,0.1859,0.3535,0.3342,-0.1135,0.1269,0.3987,-0.0014,0.1915,0.1447,0.2274,0.3112,Control
C07,0.0797,1.1435,0.4086,0.3088,-0.0242,0.4105,1.0612,0.3037,0.7135,0.2309,0.3427,0.6972,Control
C08,0.0018,1.3265,0.3815,0.3611,0.0444,0.5702,1.3198,0.3376,0.9389,0.2707,0.5406,0.9107,Control
C09,0.0144,1.2125,0.3933,0.3176,0.0499,0.436,0.9168,0.2855,0.7893,0.1873,0.4361,0.6986,Control
C10,0.0562,1.2761,0.3353,0.2849,0.0375,0.4996,1.0209,0.4074,0.7801,0.2152,0.3949,0.6636,BRCACancer
C11,-0.0834,1.2922,0.5023,0.5198,0.0332,0.5981,1.2878,0.3705,0.9886,0.245,0.483,1.0096,Control
C12,0.0916,0.8364,0.44,0.3146,-0.056,0.2598,0.8974,0.1372,0.688,0.2038,0.3048,0.5069,BRCACancer
D01,-0.0415,1.1122,0.3781,0.3529,-0.0135,0.5805,0.9803,0.3867,0.7051,0.2845,0.5338,0.7963,BRCACancer
D02,0.1047,1.3398,0.437,0.3015,0.0957,0.4526,1.1857,0.3715,0.8297,0.2301,0.4634,0.7954,BRCACancer
D03,0.0276,1.2121,0.3855,0.2635,0.0335,0.4547,0.9764,0.2843,0.6451,0.2226,0.3961,0.6519,BRCACancer
D04,0.0422,1.1456,0.3876,0.4505,-0.0237,0.4032,1.1488,0.3867,0.8278,0.1722,0.4831,0.8208,BRCACancer
D05,0.0389,1.2587,0.3071,0.3112,-0.0097,0.5238,1.0385,0.4582,0.7792,0.3018,0.3832,0.7135,BRCACancer
D06,-0.046,1.5388,0.4098,0.4139,0.0651,0.564,1.5019,0.5319,0.9066,0.2582,0.6434,0.9488,BRCACancer
D07,0.0456,1.4526,0.3354,0.3904,0.0705,0.4345,1.2677,0.4001,0.8353,0.3087,0.4526,0.8435,Control
D08,0.0733,1.0402,0.2927,0.3305,-0.04,0.3856,0.9739,0.2579,0.5894,0.1844,0.3448,0.5587,Control
D09,0.0133,1.3115,0.3971,0.3685,0.0527,0.5505,1.1825,0.3953,0.8301,0.2235,0.4932,0.8075,Control
D10,-0.031,1.2404,0.4584,0.3896,0.0943,0.5133,1.3229,0.23,0.7588,0.183,0.497,0.7311,Control
D11,-0.0668,0.4617,0.2403,0.3747,-0.1374,0.1094,0.6997,0.0941,0.4686,0.123,0.3771,0.4288,Control
