@relation data

@attribute id string
@attribute 5437 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 7702 numeric
@attribute 6621 numeric
@attribute 661 numeric
@attribute 2975 numeric
@attribute 6619 numeric
@attribute 2976 numeric
@attribute 2971 numeric
@attribute 6908 numeric
@attribute 11178 numeric
@attribute 2972 numeric
@attribute 55814 numeric
@attribute 5440 numeric
@attribute 10302 numeric
@attribute 55718 numeric
@attribute 6618 numeric
@attribute 5441 numeric
@attribute 6617 numeric
@attribute 9329 numeric
@attribute 9328 numeric
@attribute 171568 numeric
@attribute 55290 numeric
@attribute 9330 numeric
@attribute 55703 numeric
@attribute 11128 numeric
@attribute 10621 numeric
@attribute 5451 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.1046,0.9985,0.7216,1.0034,0.2211,0.6942,1.0374,1.502,1.0858,1.5834,1.2445,-0.0888,0.497,1.2891,1.1193,1.0848,1.244,0.507,0.8237,0.6347,1.0559,0.5829,0.5943,0.7255,1.3759,0.5558,0.8227,0.7686,0.5898,Control
A02,0.9106,0.873,0.4074,0.7449,0.1338,0.5829,0.8308,1.4247,0.9109,1.2815,1.0213,-0.0681,0.4176,0.9602,0.925,0.6755,0.8748,0.5088,0.6974,0.3815,0.7871,0.4413,0.3696,0.5571,1.0474,0.3259,0.5604,0.5533,0.3467,Control
A03,0.9876,1.0436,0.7004,0.8001,0.1868,0.6475,1.0702,1.6024,0.9601,1.4114,1.1671,-0.123,0.4881,1.1472,1.1115,0.9572,1.029,0.6411,0.691,0.5608,0.9816,0.6136,0.5245,0.7151,1.2881,0.4586,0.7586,0.7461,0.5241,Control
A04,1.0146,0.9307,0.5789,0.64,0.1771,0.6441,0.8839,1.3098,0.9172,1.3527,1.1535,-0.0247,0.4446,1.0666,1.1223,0.7997,0.9249,0.5861,0.7874,0.3953,0.8021,0.5201,0.4573,0.5811,1.0811,0.3434,0.6061,0.5477,0.4883,Control
A05,1.0117,1.1613,0.7281,0.9548,0.201,0.6815,1.0617,1.5651,1.0678,1.4307,1.2012,-0.0273,0.5129,1.1514,1.0206,0.7442,0.971,0.7353,0.9355,0.6126,0.9684,0.5941,0.5821,0.7669,1.0972,0.4734,0.8122,0.6436,0.5546,Control
A06,0.9888,1.0126,0.634,0.7916,0.1228,0.5789,0.9678,1.416,0.9371,1.3821,1.1019,-0.0916,0.4573,1.147,0.9865,0.9428,0.9722,0.4358,0.8716,0.6185,0.9823,0.5008,0.5664,0.618,1.1939,0.5401,0.7042,0.7047,0.423,Control
A07,1.0136,0.9793,0.7275,0.7693,0.1432,0.6401,0.9731,1.8001,1.0181,1.3586,1.1302,-0.1088,0.4942,1.1618,0.932,0.8612,0.9838,0.5655,0.6767,0.6978,0.9186,0.5582,0.4404,0.7218,1.336,0.5164,0.7325,0.6721,0.6078,Control
A08,0.8421,0.6605,0.5969,0.7181,0.162,0.6311,0.9666,1.673,0.9622,1.3899,1.1619,-0.1373,0.528,1.3175,0.9012,0.7923,1.0464,0.356,0.6333,0.589,0.8549,0.5029,0.412,0.6109,1.294,0.5946,0.8512,0.7269,0.7573,Control
A09,0.9198,0.9128,0.5718,0.6907,0.1386,0.5672,0.9526,1.6862,0.8934,1.4759,1.0669,-0.1143,0.456,1.0613,0.8544,0.7817,1.061,0.572,0.5969,0.6575,0.8716,0.5216,0.4983,0.6379,1.1779,0.499,0.7237,0.6731,0.5536,Control
A10,0.9751,0.9619,0.6541,0.7415,0.1772,0.607,0.9993,1.3679,1.0035,1.2662,1.1655,-0.0426,0.479,1.2321,1.0208,0.7422,0.8831,0.5013,0.7347,0.6867,0.8917,0.5541,0.3693,0.6924,1.326,0.5495,0.7856,0.7271,0.6075,Control
A11,0.711,0.8973,0.6742,0.6508,0.1505,0.3683,0.8959,1.326,0.7202,1.3166,0.8241,-0.0435,0.4736,0.815,0.846,0.7401,0.8524,0.4145,0.7589,0.5641,0.9744,0.4982,0.4028,0.75,0.9409,0.4166,0.6219,0.6437,0.3751,Control
A12,0.7826,0.6337,0.5294,0.254,-0.0225,0.4035,0.474,0.7714,0.6447,1.1625,0.75,-0.1755,0.2346,0.6438,0.9515,0.4794,0.6196,0.1905,0.497,0.3224,0.6095,0.2013,0.1792,0.3882,0.8274,0.1153,0.2271,0.3356,0.3287,Control
B01,0.8662,0.5247,0.5571,0.5272,-1e-04,0.5441,0.7478,1.4237,0.936,1.3842,1.161,-0.3276,0.3051,1.0806,1.0235,0.8619,1.104,0.0228,0.3209,0.6944,0.7812,0.3614,0.4282,0.5071,1.2688,0.5031,0.5155,0.8166,0.6005,Control
B02,1.0667,1.0367,0.7054,0.7114,0.178,0.641,1.0289,1.4575,1.1277,1.4859,1.2269,-0.1221,0.51,1.0839,1.2088,1.0415,1.2397,0.5456,0.7714,0.544,0.9299,0.6045,0.5233,0.6653,1.4351,0.4512,0.6657,0.7405,0.4691,Control
B03,0.9483,0.8148,0.595,0.642,0.0605,0.5871,0.8944,1.3587,1.0383,1.4794,1.1622,-0.1085,0.3873,1.1238,1.1992,0.9068,1.0419,0.3186,0.6098,0.58,0.7857,0.456,0.4482,0.6188,1.2588,0.4274,0.579,0.7246,0.5037,BRCACancer
B04,0.8338,0.6093,0.4756,0.5473,0.1851,0.5553,0.8647,1.5453,0.9799,1.1417,1.0437,-0.1338,0.5318,1.2832,0.6159,0.6372,0.8941,0.217,0.3947,0.5476,0.6786,0.3548,0.3529,0.4435,1.1123,0.3618,0.6536,0.4443,0.7768,BRCACancer
B05,0.8989,0.7161,0.6659,0.3575,0.1066,0.4048,0.7909,1.389,0.8179,1.3692,0.9768,-0.1868,0.4106,0.8279,0.6801,0.6639,0.9565,0.426,0.6307,0.4124,0.7993,0.3226,0.3036,0.3824,1.0549,0.2473,0.4579,0.5314,0.4778,BRCACancer
