@relation data

@attribute id string
@attribute 3661 numeric
@attribute 7100 numeric
@attribute 114609 numeric
@attribute 148022 numeric
@attribute 59307 numeric
@attribute 54106 numeric
@attribute 9450 numeric
@attribute 7189 numeric
@attribute 4615 numeric
@attribute 3929 numeric
@attribute 8737 numeric
@attribute 353376 numeric
@attribute 51295 numeric
@attribute 3654 numeric
@attribute 51135 numeric
@attribute 10333 numeric
@attribute 4214 numeric
@attribute 11213 numeric
@attribute 23643 numeric
@attribute 29110 numeric
@attribute 929 numeric
@attribute 7099 numeric
@attribute 7096 numeric
@attribute 4064 numeric
@attribute 51284 numeric
@attribute 7097 numeric
@attribute 51311 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.8043,0.5015,0.4317,0.4491,0.9402,0.2772,0.534,0.8372,1.4816,-0.0673,1.4118,0.482,0.3015,0.6564,2.0311,1.6721,2.265,1.5761,0.8978,1.5365,2.3651,2.4861,2.2262,1.7431,0.7452,1.955,1.9269,Control
A02,0.638,0.4503,0.2505,0.4437,0.7895,0.2553,0.4655,0.7679,1.7445,-0.1491,1.2609,0.4492,0.1652,0.5823,1.6611,1.5787,1.9132,1.4814,0.7226,1.5012,2.2392,2.5076,2.0955,1.9342,0.5732,1.5869,1.9884,Control
A03,0.7043,0.575,0.3397,0.4999,0.8972,0.3281,0.6331,0.9336,1.9618,-0.1414,1.4831,0.5359,0.2621,0.7212,1.9239,1.5762,2.1264,1.8756,0.8278,1.6917,2.3692,2.8343,2.2039,1.7352,0.994,1.9871,2.349,Control
A04,0.6502,0.3682,0.2796,0.4268,0.9435,0.2202,0.5668,0.7944,1.824,-0.1221,1.3343,0.3402,0.2571,0.649,1.4877,1.417,2.2551,1.3848,0.6468,1.2065,2.432,2.3176,1.9935,1.6451,0.2436,1.4777,1.7725,Control
A05,0.7286,0.6884,0.4324,0.6004,0.948,0.2503,0.6578,0.8518,2.0894,-0.0959,1.487,0.5664,0.3463,0.8578,1.7524,1.9353,2.4117,1.9241,0.9404,1.4954,2.856,2.9955,2.4178,1.9296,0.7153,2.1026,2.4348,Control
A06,0.5944,0.6002,0.3777,0.4481,0.8229,0.3273,0.6121,0.7749,1.7816,-0.1563,1.4109,0.4968,0.1624,0.6583,1.6599,1.745,2.0422,1.8778,0.9399,1.4325,2.716,3.0912,2.119,1.2245,0.5329,1.8873,2.2529,Control
A07,0.708,0.5273,0.3962,0.513,0.8239,0.3887,0.7613,0.9329,1.7303,-0.0677,1.4606,0.6495,0.2321,0.6423,1.956,1.8009,2.3762,2.2162,0.7269,1.5213,2.4557,2.7151,2.1369,1.5417,0.7045,2.2473,2.0083,Control
A08,0.5588,0.4092,0.3815,0.4629,0.7227,0.391,0.4854,0.8298,1.5849,-0.0584,1.4451,0.5418,0.2298,0.5498,1.8558,1.6321,2.6059,2.0095,0.7837,1.3857,1.6926,2.1575,1.778,1.3329,0.4773,1.7824,1.9018,Control
A09,0.679,0.3918,0.3894,0.5017,0.7594,0.2857,0.5732,0.7673,1.5729,-0.0935,1.3453,0.4146,0.2517,0.5933,1.8214,1.6259,2.4502,2.0794,0.5263,1.4562,1.9845,2.5755,1.7719,1.4006,0.7329,1.9054,2.0112,Control
A10,0.6628,0.6186,0.4399,0.4559,0.8486,0.2612,0.6689,0.9506,1.742,-0.1665,1.4193,0.5887,0.2874,0.6598,1.7843,1.9961,2.3575,2.1661,0.7273,1.5475,2.5408,2.8245,2.3403,1.6909,0.662,2.523,2.1756,Control
