@relation data

@attribute id string
@attribute ST_INTEGRIN_SIGNALING_PATHWAY numeric
@attribute BIOCARTA_G2_PATHWAY numeric
@attribute BIOCARTA_BCR_PATHWAY numeric
@attribute KEGG_SMALL_CELL_LUNG_CANCER numeric
@attribute KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM numeric
@attribute KEGG_TGF_BETA_SIGNALING_PATHWAY numeric
@attribute BIOCARTA_IGF1R_PATHWAY numeric
@attribute BIOCARTA_EDG1_PATHWAY numeric
@attribute REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS numeric
@attribute KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY numeric
@attribute KEGG_PATHWAYS_IN_CANCER numeric
@attribute BIOCARTA_ECM_PATHWAY numeric
@attribute BIOCARTA_RACCYCD_PATHWAY numeric
@attribute REACTOME_SIGNALING_IN_IMMUNE_SYSTEM numeric
@attribute REACTOME_G2_M_TRANSITION numeric
@attribute KEGG_ERBB_SIGNALING_PATHWAY numeric
@attribute SA_G1_AND_S_PHASES numeric
@attribute REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL numeric
@attribute BIOCARTA_PTEN_PATHWAY numeric
@attribute REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,2.10851659125215e-05,0,0.693691233314101,0.978813546530452,5.61335588631257e-05,0,3.6571248641537e-05,0.0542538233632765,2.53081780398235e-05,2.10569123167842e-06,0.0915351599454184,0.425684306980724,0.00163950285226726,5.40471751577753e-06,0,0.037716067985574,0.960158160536046,0.959012430276745,0.816167569549567,1.72374226386787e-05,Control
Utah__A02,6.69974373246451e-05,1.32332347044145e-06,0.0118260778771836,0.0483335524370027,0.309300515163973,0.000130548921250701,0.0499603914482022,0.880951802393026,0.00272434314841919,0.0107997582452511,0.0439316065573895,0.00166076881014153,0.0583931112202692,0.177173948769535,0.291849231298406,1.68028292477343e-05,0.00280521434956016,0.396952846756407,0.709093137462291,0.26456277589154,Control
Utah__A03,0,0,0.721348543366962,0.000505708860583668,3.3845173964939e-05,0,0.0135939283678525,0.541998838588051,0.00110273180767818,0,0.0992114696702069,0.000334633436618436,0.366920244436978,4.27210778221862e-05,0.000225595625925369,0.000213453712935934,0.845226774008335,0.785471704640582,0.874747281423719,0.0806083098204937,Control
Utah__A04,2.14038681229181e-05,0,0.306333060466653,0.0117933865010993,0.132231597414461,1.0150598657284e-05,0.788861177082461,0.5445889248632,0.000225996185958776,0.00151285017527474,0.0671701266411071,0.275342432661197,0.0225239704993221,0.121036027190537,0.227365152186494,0.000422619238967108,0.00070830325090389,0.35282926348111,0.000316310038770067,0.204451937382756,Control
Utah__A05,0,0,0.648890345385218,0.000593792056744241,2.0523155236169e-05,0,0.814288258266533,0.165880945947421,1.13544506380572e-05,0,0.110715801730471,0.000145640558701053,0.158961223479578,0,0.0251683493198514,0.000779975881741686,0.859868318041797,0.245759091909778,0.00726020253947566,0.087891211338589,Control
Utah__A06,0,3.54400976309197e-06,0.318767069904401,0.30463553807303,0.00946988287975221,0,0.000946772627949073,0.661408753631996,0,0.000130085049213192,0.057416918414456,0.00209213393062228,0.380148091816401,0.117820468557495,0.16469178106054,0.000125456588398478,0.856750997079348,0.629272397290013,0.951010940757665,0.173573479651338,Control
Utah__A07,0,0,0.963095624662856,0.677057033529865,0.000310497594997617,0,0.000606235046131561,0.956872580949991,1.91840090144541e-05,0,0.093795041024226,0.000399660373223246,0.933478082840898,0.000323545143341243,0.000275299864257239,0.0642081994500339,0.871513916994486,0.945400925942245,0.509793013986079,0.0811742758829799,Control
Utah__A08,0.000679332161662,0,0.985150296029441,0.992507896047804,0.385386537911291,0,0,0.82776411121265,0.000260060975699984,0,0.0717444394023441,0.781720033201262,0.972166568259084,0.09472198007096,3.85752012513045e-06,0.126775676716448,0.987872280599188,0.991036171912225,0.060115949157129,0.128178992417995,Control
Utah__A09,3.45278938507124e-06,0,0.818805766286228,0.859925981271057,0.0474994655842548,0,0.00383013533601559,0.795185099232179,0.000370608751352412,1.00852851626836e-05,0.0668089758618471,0.0020166159310438,0.650171286425581,0.0989824285810557,0.0720061510611004,0.0547175310997221,0.873133571383587,0.761953198908559,0.00404702124664479,0.161996024492223,Control
Utah__A10,0,1.68366744734687e-06,0.962199515019204,0.738536790518287,0.0147857272010879,0,0.0646581983417633,0.607005040367982,0.000138910543023772,1.70550940212094e-05,0.0887898445321685,0.396894965316149,0.613935084159298,8.85013878989313e-05,7.53646292774919e-05,0.0773527808046404,0.979230301158024,0.84555296255918,0.000889719677390786,0.114857863579782,Control
Utah__A11,0.000531721958423392,7.18808931710355e-06,0.350329851602871,0.773194367523135,0.342926610167334,0.000174218494450199,0.000584180123832519,0.0294094612492881,0.000177779789283695,0.00969667370658017,0.000926261652331979,0.923234822283277,4.21440943206894e-05,0.250129086011133,0.266977897682088,0.000682056145498343,0.765809485311432,0.61918017815356,0.910455310764013,0.308757022736772,Control
Utah__A12,0.095996062462194,4.61307559046031e-05,0.00026477782163139,0.000786133349554901,0.901536586225962,0.11018482151235,0.000156057891330941,0.98547996825717,0.647684362237898,0.270355778520909,0,5.2115198507966e-05,0.980519729453113,0.510366161293866,0.691244136873522,0,0.00377638762188968,0.00922112669064933,0.956573372003858,0.540070685785718,Control
Utah__B01,0.0781653300148198,3.46878143587551e-06,0.000309200547992145,0.994947994091804,0.879957467684458,4.78371597403181e-06,0,0.979932673812474,0.0749716534114553,1.70015498810959e-05,0,0.000821691666429144,0.989676566664525,0.27996743216309,0.132922491508765,0.0537252300159612,0.993555516990195,0.990966411634651,0.992791059334173,0.199178231266561,Control
Utah__B02,7.19224139806306e-06,0,0,0.291695057807525,0.000188504380099133,0,0.000237270336635912,0.00055017301517392,0.000195668513734652,0,0.0872681313215361,0.000466285765724128,0.0282539130197616,9.62986350895288e-05,0.00607837029449282,3.58228817162762e-05,0.814759281700897,0.872136800858823,0.674399882511249,0.00236250130216141,Control
Utah__B03,0.00448819803618454,0,0.0099219396797683,0.954753661115441,0.33288102939175,2.6724360405837e-08,9.03434408543034e-05,0.257496177071058,0.0822702424389062,0,0.0400913983790714,0.678119527331258,0.677390393374276,0.128806712932545,0.132293271489545,0.0231927550817667,0.985695367023987,0.981501828908534,0.923770481043819,0.129926744077032,BRCACancer
Utah__B04,0.00149962680121789,1.43359108569829e-05,0.990478283768262,0.985641217851903,0.691541464080693,0,0,0.954818850933512,3.67312321640579e-05,0,0.050552410072874,0.00108224062202035,0.987462204047827,0.186519339905759,0.118308573065536,0.120946650119477,0.970766209749789,0.989943356903077,0.0712112004005344,0.315750483955015,BRCACancer
Utah__B05,0.00589144355455242,7.09533167948355e-06,0.0550020738007533,0.283092452813225,0.495585560534118,0.000446337605786352,0.0013910934422122,0.962327157387691,0.0172877936974568,0.00367836471973899,0.00109332820509039,0,0.894167178003845,0.25702696240401,0.350164709420426,0.000278727870132458,0.00302670490393121,0.95681988525304,0.880413970812839,0.329669869347621,BRCACancer
Utah__B06,0.131966359350111,9.04806428962686e-05,0.000322759863447646,0.994153799713266,0.991400930645078,0.0687646833237134,0,0.99359832896426,0.0131369761627609,0.167540399543987,0,0,0.993333975031762,0.52258535506689,0.510876688468918,0.000561083724557896,0.991840836269376,0.990359929546613,0.995447798416414,0.492687342586516,BRCACancer
Utah__B07,1.18413206847514e-05,0,0.537630758261975,0.678406934014311,0.000104457446548194,0,0.000608231203046227,0.793970123758477,0.00124448789658347,3.66957258718235e-05,0.0955862898417688,0.00670231685945088,0.685122869871972,8.59913227734625e-06,0,0.0233292367329515,0.719246117134398,0.971251861379051,0.517582610332954,0.000944496169212089,BRCACancer
Utah__B08,0,0,0.000977186659392636,0.16539788459534,0.000414735886218241,2.76146754802145e-05,0.337963632259228,0.000788912693141357,0.000313252887152548,0.00034893954560213,0.059594959858838,0.603230905778952,3.72808112497752e-05,0.135947578005112,0.206379219509165,4.6459067910453e-06,0.891194069593629,0.0578668284848693,0.413213017329014,0.190445003637368,Control
Utah__B09,0.0163375040058244,1.34694139609009e-05,0.980697786658576,0.987477135646472,0.894837142929338,0,2.28257236677499e-05,0.306543109194356,1.56117268505764e-05,0.000685225434036421,0.000182145383925176,0.426906301660676,0.952382129769242,0.336627559344812,0.213408133383143,0.102101117647985,0.977891003196879,0.986622861995782,0.000273704826719181,0.424434918640167,Control
Utah__B10,0.0486105226558164,1.49104315945831e-05,0.735217098262729,0.888087337949189,0.888505584316446,0.000167761401490798,0.00567608938338745,0.971303936874947,0.0172021686349705,0.0690182257312693,3.50894207756174e-05,0.262032040844959,0.960863183111286,0.335703353988688,0.413463967585402,0.0629426457999386,0.883704601518248,0.88721073191191,0.00548592061607522,0.424774456176858,Control
Utah__B11,4.43708657727332e-05,0,0.421954006458067,0.458946630611571,0.302043877101713,3.05690843571315e-05,0.208129602830687,0.86423333183735,0.0257198114625552,0.00972472021158273,0.0418157372969253,0.0703097253839541,0.13003250247046,0.213737926457407,0.307131597108713,0.000531552287833167,0.939561411232587,0.0364729723828525,0.181004739372816,0.282522858766406,Control
Utah__B12,0.0884540789559986,0.000804661946648942,0.970188954143438,0.97973723913132,0.98669520656754,0.0551251331915525,0.000551631661282484,0.736115677300459,0.00107078143651146,0.199831263177691,0,0.863818619085492,0.969370875086059,0.554349915238648,0.564511420922138,0.0748482270549458,0.00770281166413526,0.98318123853213,0.000127608692545977,0.674920256591836,Control
Utah__C01,0,0,0.90008268785351,0.0607015265101159,0.000108296895632352,0,0.000123674326156329,0.0456981241927451,0.000126156519361864,4.38676106111689e-06,0.0895983431253192,3.79239882162876e-06,0.887347112942082,0.00978012570935662,0.0818913601085502,0.00336374271482734,0.224085377141686,0.907246562440191,0.922284376195344,0.165468462818826,BRCACancer
Utah__C02,0,0,0.00159831770018737,0.000372231006176341,9.82786089649822e-05,6.57685454110661e-06,0.60697516752272,0.737983140852655,0.000118632247690333,1.96766836230751e-05,0.0835607557962162,9.91691414364551e-05,0.463612016444457,0.0753672811612871,0.183719589808482,8.17803074396901e-05,0.000121072215031335,0.0528125308714248,0.00163563115473739,0.159065504951839,BRCACancer
Utah__C03,0,0,0.466181379211785,9.85597622271728e-05,2.22226428143208e-05,0,0.77957820417338,0.00631638733234904,0.000100842857287524,0,0.130292417597421,5.39372369745771e-05,0.736203860874514,0,9.03441598030278e-07,0.000290619161702003,0,0.823805439885588,0.726907867840051,0.0605951325574495,BRCACancer
Utah__C04,0.000241090771875373,0.00023836587704545,0.00153974407364805,8.10292382512857e-07,0.533659439080752,0.0982382317199429,0.979282230280316,0.0004154326429299,3.43422249164273e-05,0.201137013972849,0,0.76906536398302,0.000120212857290455,0.457467878324805,0.598167027696715,0,4.69037850260755e-06,0,6.21117572573131e-05,0.591077605738227,Control
Utah__C05,0.00178540808892681,0.00016206817436055,0.000121730970683655,0.000114414068987462,0.600680574943602,0.0904965133558494,0.955263837465665,0.420921416405383,0.00328632152483129,0.20885011087436,7.78897565286749e-07,0.708098672593543,0.00111186339429561,0.411726820984884,0.619573009429822,0,8.5122138808102e-05,8.81432455920668e-05,0.000877802913389388,0.548853782560626,BRCACancer
Utah__C06,0.142938573374848,0.00873197056358711,0.000224542937155199,0.000262667719722163,0.993052449460154,0.234789009888495,0.0819063394672035,0.000881629638277504,0.924666517427607,0.52430691467529,0,0.979537533998862,0.00511927787661301,0.995673324235188,0.997066430851365,0,1.73082550038171e-05,3.23978872518923e-05,4.97944399637892e-05,0.996178901409732,Control
Utah__C07,0.00286096563705371,8.02107364079863e-05,0.000750873160383683,0.000148203568004519,0.55630154208954,0.0563521265542651,0.845910267227746,0.660416519438368,0.00283828311025832,0.147925143688779,7.02216524654154e-05,0.256892949288935,0.00371283613198447,0.329931714457387,0.475781071910719,2.97383118971546e-07,8.11592290627945e-05,0.000463602565635608,0.000308709309261859,0.429615832867983,Control
Utah__C08,4.24173483351565e-05,0,0.00117484216550361,0.079200698592526,0.0181576728525929,7.43129039833894e-05,0.00559234550752926,0.00416359637969389,0.128118477974521,0.0107191440321042,0.0488341611570488,0.0779683856627609,2.79262045150221e-06,0.174085599240937,0.225515078543696,1.48120089743276e-06,0.00436020007468306,0.00160846949082625,0.593961384423215,0.225902187916225,Control
