@relation data

@attribute id string
@attribute 153 numeric
@attribute 1605 numeric
@attribute 1742 numeric
@attribute 2048 numeric
@attribute 207 numeric
@attribute 2770 numeric
@attribute 2776 numeric
@attribute 324 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 3760 numeric
@attribute 3762 numeric
@attribute 3765 numeric
@attribute 427 numeric
@attribute 5308 numeric
@attribute 5594 numeric
@attribute 5806 numeric
@attribute 5879 numeric
@attribute 6010 numeric
@attribute 6261 numeric
@attribute 820 numeric
@attribute 859 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,-0.1540361319,2.1143498631,0.1665452991,0.1082484082,1.9397812022,0.9581370279,0.5726595125,0.3981079434,0.1313168648,0.1067213277,0.5609436097,-0.1084673629,0.0164293767,-0.0493467165,1.4941328913,-0.1466830224,0.5276523813,-0.0944306788,2.7923812542,-0.0660083079,-0.0812612996,-0.0910400845,-0.1126525656,BRCA
GSM480985,-0.1954244811,1.7600219601,0.1851502992,0.0415078793,1.4054429928,0.9909502640,0.6760796893,0.2601429904,0.4415400387,0.5849629343,0.3553600297,-0.1539389659,0.0719508490,0.0056100041,2.2418435123,-0.1785420816,0.4521202200,0.1217099954,2.9129755730,-0.0757256946,-0.2114627855,-0.0228043250,-0.1956047171,BRCA
GSM480986,-0.1762460582,2.1784036439,0.0373472180,0.1342974153,1.7577156492,1.1200479176,0.5903858004,0.2144276956,0.2835222208,0.1536485495,0.6212419597,-0.0967050023,0.0347479474,-0.0857200938,1.6952060321,-0.0558428063,0.5276161861,-0.1137533546,3.0052631994,-0.0734469545,-0.1303257487,0.0147778929,-0.1691494406,BRCA
GSM480987,-0.1139230275,1.3052779489,0.1237357168,0.2082131890,1.6769249506,1.4479325302,0.6081153182,0.0411869942,0.3327935711,-0.0104492808,0.3998152808,-0.0881615850,-0.0040259689,-0.0402834076,1.3319369191,0.1621742338,0.4570317386,3.7729029654,3.1002503070,-0.0468280758,-0.0857402046,-0.1030090239,-0.1649246686,BRCA
GSM480988,-0.1390531168,1.9334251161,0.0792691462,0.0355859437,1.1675294143,0.7840176249,0.4102926908,0.1999644395,0.1991312819,0.2297151421,0.5623337450,-0.0938029768,0.0799026620,0.0704042679,1.6632971279,-0.1499734049,0.4923907940,0.0082870920,3.0203843170,-0.0137847263,0.0362809600,-0.0674661944,-0.0396181529,BRCA
GSM480989,-0.1974490479,2.9312561751,0.2458340079,0.1427290906,2.3074461223,0.4984121071,0.5169472916,0.1645981787,0.2200210720,0.0458035868,0.4976210030,-0.1029213505,0.0214595071,0.0310359076,1.3767889477,-0.1210485597,0.4168803811,-0.1398392244,3.3091132243,-0.0791709235,-0.0145195751,-0.0813194266,-0.1173327582,BRCA
GSM480990,-0.1564650708,2.5415902278,0.2119237644,0.5721666229,2.3939645291,1.2059587278,0.5721652171,0.1217091008,0.1628782986,0.0021861719,0.5061100200,-0.0994331319,0.1219694058,-0.0278241351,1.0959475488,-0.1091623201,0.4040678319,0.1869498418,3.4219261243,-0.0900589282,0.0902236941,0.0191974478,-0.0696738769,Control
GSM480991,-0.1315447598,2.5050056121,0.1213872813,0.2523064120,1.8290236989,0.8869519606,0.6132513040,0.1253455669,0.2311761151,0.1075655196,0.7279821927,-0.0974673196,0.0678404276,0.0438045131,1.7887687180,-0.0140054368,0.5071865046,-0.0337689616,3.2534763878,-0.0315061201,-0.0642265131,-0.0238906682,-0.0821105779,Control
GSM480992,-0.1672715678,2.7262230341,0.2280438674,0.3309170226,2.3328941266,0.8968451944,0.4795048717,0.1554057272,0.0994592431,0.0161160152,0.7308892569,-0.0840096098,0.1294560126,-0.0037208009,1.3274090029,-0.1302371952,0.4130200728,-0.0673002777,3.4460021522,-0.0032957685,-0.0687784306,-0.0014812882,-0.1060935149,Control
GSM480993,-0.1295311931,2.3176537262,0.1730288758,0.1172152260,1.9907199673,0.9020118648,0.5834782023,0.0713412618,0.1916949626,0.1179360291,0.7271375300,-0.1466446378,0.0819317186,0.0192156266,1.5633234018,-0.1409539937,0.4741801064,-0.1067806114,3.0886874926,-0.0950392094,-0.1264937988,0.0083633621,-0.1828201948,Control
GSM480994,-0.1337367164,2.8173393362,0.1449259340,0.0958843308,2.2647942436,0.5319497713,0.4947699059,0.0992663981,0.0836080160,0.0931392134,0.5786979019,-0.0793735443,0.0564068181,-0.0482815619,1.3961486848,-0.1138473533,0.4017414163,-0.0667972762,3.4762011070,-0.0828086268,-0.1340081589,-0.0651014981,-0.1212376927,Control
GSM480995,-0.1366343940,2.3782729402,0.2024889490,0.7049103001,2.2447793616,1.2081114893,0.6575045561,0.1420797964,0.1162032706,0.0617155503,0.6228140006,-0.1357032227,0.1923399673,-0.0404479078,1.7394011933,0.0051091114,0.5249027839,0.4976031201,3.1679063242,-0.0450952249,-0.0166478321,-0.1106746280,-0.1221994553,Control
GSM480996,-0.1776213565,2.1475778748,0.0867406594,0.0485569174,2.1184759934,1.4230873362,0.5177001104,0.1239875690,0.1143821788,-0.0252005977,0.8378358737,-0.1048642604,0.1015069898,-0.0488765612,1.2604175116,-0.1251919060,0.5563891964,-0.0750602478,3.0532128612,-0.0413031156,0.0548107364,0.0156014024,-0.0983470744,BRCA
GSM480997,-0.2242610993,2.0196074212,0.3939571524,0.5617946898,2.3593104947,1.1283741817,0.5036468079,0.0284929814,0.1048110230,-0.0292295449,0.2063167622,-0.1616722682,0.0078300070,-0.0407976951,1.2956830636,-0.1810195579,0.4731658620,3.8174383111,3.0110673772,-0.0563513756,-0.0804029183,-0.0761960184,-0.1472589581,BRCA
GSM480998,-0.1411836093,1.8670196113,0.1547025965,0.0784176241,2.0572760636,0.9261753662,0.4583889345,0.1748987471,0.2709641779,0.0579098022,0.7145210018,-0.0998819451,0.0292221945,-0.0089026818,1.3475050372,-0.1200490261,0.5020119320,-0.0374089676,3.1387746831,-0.0640274473,-0.0182139805,0.1644774591,-0.0769528259,BRCA
GSM480999,-0.1525415131,2.1675638311,0.0916521696,-0.0078626573,1.6031868988,1.0076496498,0.6660052047,0.3477916259,0.3341230962,0.4612309368,0.3254211666,-0.1345182669,0.0499614422,-0.0710336345,1.8052986338,-0.1694711132,0.5291442982,-0.1120911292,2.9392873114,-0.0416956836,-0.0473697242,-0.0841598879,-0.1718277388,BRCA
GSM481000,-0.1048912452,1.8031246626,0.1301261216,0.0371393825,1.3439433907,0.7501378936,0.5036987881,0.3459488407,0.2988149075,0.2354263280,0.5403008523,-0.1455682509,0.0801033106,-0.0052548180,1.8960752040,-0.1669132319,0.5257301268,-0.0739962416,2.9357543340,-0.0657430219,-0.0822137858,-0.1168095236,-0.1286527501,BRCA
GSM481001,-0.1676903804,2.4000820624,-0.0159743170,0.4524790196,1.9257329968,1.1868999637,0.7671558328,0.2334663984,0.3170443835,0.1294097459,0.6949007770,-0.1548044879,0.0676442875,-0.0463714387,1.8926327973,-0.1670714247,0.5172970049,0.0314521913,3.4267272817,-0.0572086628,-0.0682546310,-0.0632486726,-0.1171082311,BRCA
