@relation data

@attribute id string
@attribute 10121 numeric
@attribute 10142 numeric
@attribute 10382 numeric
@attribute 10426 numeric
@attribute 10540 numeric
@attribute 1069 numeric
@attribute 10733 numeric
@attribute 10806 numeric
@attribute 10844 numeric
@attribute 11064 numeric
@attribute 11116 numeric
@attribute 11190 numeric
@attribute 11258 numeric
@attribute 114791 numeric
@attribute 121441 numeric
@attribute 1453 numeric
@attribute 1454 numeric
@attribute 1639 numeric
@attribute 1778 numeric
@attribute 1781 numeric
@attribute 22897 numeric
@attribute 22919 numeric
@attribute 22981 numeric
@attribute 22994 numeric
@attribute 22995 numeric
@attribute 23332 numeric
@attribute 27175 numeric
@attribute 27229 numeric
@attribute 3320 numeric
@attribute 4331 numeric
@attribute 4751 numeric
@attribute 4926 numeric
@attribute 4957 numeric
@attribute 5048 numeric
@attribute 5108 numeric
@attribute 5116 numeric
@attribute 5347 numeric
@attribute 54820 numeric
@attribute 55125 numeric
@attribute 55142 numeric
@attribute 5518 numeric
@attribute 5566 numeric
@attribute 55722 numeric
@attribute 55755 numeric
@attribute 55835 numeric
@attribute 7277 numeric
@attribute 7283 numeric
@attribute 7465 numeric
@attribute 7514 numeric
@attribute 7531 numeric
@attribute 7532 numeric
@attribute 7840 numeric
@attribute 7846 numeric
@attribute 79959 numeric
@attribute 80184 numeric
@attribute 80254 numeric
@attribute 80321 numeric
@attribute 84131 numeric
@attribute 8481 numeric
@attribute 85378 numeric
@attribute 8636 numeric
@attribute 890 numeric
@attribute 8900 numeric
@attribute 891 numeric
@attribute 902 numeric
@attribute 9088 numeric
@attribute 9133 numeric
@attribute 95681 numeric
@attribute 9662 numeric
@attribute 9702 numeric
@attribute 9738 numeric
@attribute 9793 numeric
@attribute 9814 numeric
@attribute 983 numeric
@attribute 993 numeric
@attribute 994 numeric
@attribute 995 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,1.8071243545,0.5196416633,-0.0288186261,0.7280252102,1.6551436992,1.3212881154,0.7424142115,0.2265434975,0.4351903366,0.2338978830,1.0273968469,0.1132335005,1.8210467233,1.0113567690,0.9207168952,0.7757304648,0.8428512351,0.6141309441,0.4649081777,0.7458755770,0.6005490910,2.3439876237,0.3299776022,0.1316937189,0.1961319710,0.7984212241,0.2623826314,0.9844009381,3.7246808213,0.1694913510,0.1510357482,0.2469235983,0.3357181091,1.4900028579,0.9545066287,1.2518086872,0.3271421172,0.0914750322,0.2608151874,0.4723229070,0.7647704655,0.5931362181,0.4018058768,0.4002881479,0.7211086142,3.1889888843,0.9888276490,1.2637668444,1.0363398434,2.1320210693,3.3017348942,0.1590775312,1.0409866323,0.2747319535,0.4913245225,0.3056454344,0.2117581199,0.8115801728,0.9271846607,-0.0823141826,0.7512868718,1.6817836165,2.6403919459,1.6099218839,1.6350200091,1.2342656804,0.4087540737,0.2272363049,0.2883199442,1.0906269617,0.6466882659,0.9726134594,0.2480036096,1.5315232102,0.6374414872,1.7060722708,0.0840558490,BRCA
GSM480985,1.5988527605,0.6415338753,-0.0281715110,0.3783575326,1.6748339324,1.2990417878,0.1566571389,0.2748428219,0.3345467685,0.1642548206,0.6084004095,0.1536377351,1.8239264091,0.6211739481,0.7212491775,0.7636967339,0.7775626032,0.6725253059,0.3873582805,0.6248434173,0.4232845182,2.0791377178,1.0933148397,0.1299369901,0.1649489455,0.9692526473,0.7202808576,0.7158095902,3.8482525347,0.1616124383,-0.0956351267,0.3514763170,0.2137135441,1.5233886555,0.9136292381,1.1256025969,0.0282611265,0.0214200071,0.3147889736,0.1758685450,0.5275128255,0.7376574537,0.1618982728,0.5644239320,0.2341284431,2.0826565823,0.5143181229,1.4701663553,0.8877975998,2.1926461853,3.3812768759,0.1619782911,1.6489416735,0.1441574304,0.5575372773,0.4207542867,0.5459388388,0.3946019561,1.2179617424,-0.0190918389,0.5167313004,0.7499990808,0.8917953896,0.5083322379,1.2766061766,0.3690489507,0.1234224694,0.1552849179,0.0868596058,1.3230206527,0.5574196701,0.7449279856,0.2945597255,0.5325953874,0.0492526630,1.7094334298,-0.0960567832,BRCA
GSM480986,1.9209310909,0.4241017914,-0.1273410109,0.4629790552,1.7319517696,1.3341863222,0.3284405147,0.1149481702,0.3282862755,0.1994138698,0.7118593914,0.1625655946,2.0304337739,0.6896159500,0.7378940939,0.9877382814,0.9485087364,0.7560914932,0.5150030641,0.5423151253,0.5731773965,2.3981811305,0.4512407101,0.0190323860,0.0346170574,0.9771603383,0.3058091923,0.9734384119,3.6994577250,0.1028344686,0.0137157018,0.2916952178,0.3168494293,1.5129063631,0.6584618984,1.1638372925,0.2725377393,0.1430628822,0.1123116252,0.3284640283,0.7615997205,0.6712817949,0.3271221060,0.3696404573,0.3476354587,3.3673881293,0.9955238998,1.1940670724,0.8561127080,2.5239436627,3.5162105559,0.0932360087,2.1572514423,0.2461822997,0.3944391643,0.2256278844,0.2181345034,0.5299461619,0.8096027439,-0.0469667151,0.6749794654,1.5696210822,2.1455776392,1.5251714177,1.0528557854,0.9635322857,0.3442725355,0.2330737447,0.2217369065,0.8062830008,0.3310341770,0.6675269837,0.1406157329,1.0733144594,0.4390877198,1.6944179667,0.1225732032,BRCA
GSM480987,1.7282923869,0.2236692017,-0.0967372320,0.4295347464,1.7404912465,1.0169367094,0.2048587070,0.0812533774,0.2691820772,0.1480092769,0.5641294204,0.1311227769,1.5703941848,0.5286223815,0.5497412964,0.7732189820,0.6558095939,0.8101824470,0.4802005321,0.5073835093,0.6219946073,2.3174668078,0.4900489863,0.0498807766,-0.0254192035,0.7164751977,0.2720450199,0.8141189333,3.8704057537,0.0561209006,0.0074383530,0.2119094323,0.2399318669,1.2761581561,0.4419789651,0.8460662474,0.0617001100,0.0423505407,-0.0179128364,0.2456098776,0.6131601911,0.4481176670,0.2681104736,0.5968385321,0.2420193235,2.0744834742,0.9591406683,0.9564621970,0.8304926461,2.3751924037,3.7342699767,-0.0200357753,1.7745512115,0.2521647156,0.0970247991,0.1447509298,0.0245656915,0.3402656159,0.1940952594,-0.1164681714,0.5597707369,1.2385944406,0.0406964951,0.9127785694,1.3326103814,0.7444165131,0.1234770612,0.1188453052,0.2013140881,0.8099821611,0.3323763598,0.6157670762,0.0593655833,0.5592251090,0.3928541201,2.2871479459,-0.0151769519,BRCA
GSM480988,1.5526422083,0.3731554168,-0.0555671919,0.4507327306,1.5440768224,1.2840436200,0.3809518897,0.1477282503,0.2229981550,0.2672548382,0.7580077902,0.1497916337,1.8024683861,0.6491367494,0.5870704196,0.6518305094,0.6215174921,0.7460294472,0.2362936193,0.7218236230,0.2526439940,1.9396668647,0.6078551197,0.1683100444,0.1564525329,0.8613873056,0.5686399781,0.8499424276,3.7638259730,0.1152204733,0.0862388160,0.2475287636,0.2695808316,1.3927599869,0.8096267131,1.2552492949,0.4299748017,0.0724067140,0.3340499518,0.3718278444,0.4110367248,0.3137383716,0.5042272511,0.4752074292,0.2607978867,2.3828095992,1.2084410571,1.1079193819,0.8680884670,1.9517735643,3.2479327320,0.1468504475,1.3547277352,0.3674333884,0.4319170042,0.2128683057,0.4069001331,0.8806855194,1.0106502661,-0.0987110879,0.3595272733,1.2608292976,2.0835959615,1.3155103103,0.8448971166,1.1078227310,0.3815990660,0.1769004428,0.1940733913,0.9888974882,0.2997203486,0.8101703139,0.0990016006,1.2855403286,0.3899331939,1.8666757610,0.2038557315,BRCA
GSM480989,2.1919744930,0.1040425348,-0.0745764695,0.4167315379,1.9144665739,1.1576692064,0.3031785274,0.0526283531,0.3408166018,0.0237316598,0.3928532287,0.0153820112,2.6042243376,0.3419447947,0.3882005385,0.6693502553,0.8516659186,0.8214460839,0.3414745039,0.4356158302,0.2947174894,2.4236620563,0.0886386691,0.0649145358,-0.0686827349,0.6323061411,0.2855133050,0.7819879667,3.6763444743,-0.0329211112,-0.0131336143,0.2991239973,0.2727891524,1.3266936995,0.3930326846,0.9947999154,0.4868759042,0.0928779550,-0.0323312996,0.3422661445,1.0587791578,0.9056678476,0.3411107165,0.2116717566,0.1211333879,3.2218457460,1.1028466173,1.3198841063,0.6783111019,2.5266134737,3.6160825491,-0.0562044412,1.8233566558,0.0686497280,-0.0256950896,0.1284235428,0.1324883047,0.3153398162,0.4968326626,-0.1513726078,0.8847884221,1.1814149326,1.6657413244,1.5206583849,0.5867294799,1.3226608802,0.2909707397,0.0585691336,0.1519360489,0.5709473556,0.1777677848,0.3390172055,-0.0180413449,0.8374702217,0.3898263973,1.9043345452,0.1241921768,BRCA
GSM480990,2.2343387583,0.1599279486,-0.1039107214,0.5499256957,1.7949899865,0.9684094290,0.2946031525,0.0604339685,0.2899352908,0.0345458854,0.3724252954,0.0415182321,2.1295230918,0.2828013069,0.5516010574,0.8615262061,1.2050066511,0.7919079556,0.3467443985,0.4017979578,0.5690583345,2.3948143870,0.2238157449,0.0858154761,-0.0800192493,0.8962898777,0.1380824012,0.5860878236,4.0356965860,0.0403791171,-0.0830376165,0.2585018284,0.3592129646,1.4580178035,0.4679854701,0.9378810868,0.3875403267,0.2588940845,0.0706247639,0.2480988171,0.9752111733,0.8428640298,0.3208103479,0.2682089085,0.1405981397,3.3529577652,1.0504257150,1.1087027771,0.9151575211,2.2605771227,3.8424132466,-0.0493366431,2.1147120445,0.0273568345,0.0279680075,0.0377596516,0.1034248246,0.3187456438,0.2259842404,-0.1210589614,0.6470751762,1.1697059685,0.7692230827,0.9279535208,0.6179169566,1.1998328257,0.1946728425,0.0953580568,0.0441231619,0.4917255403,0.1878433741,0.3729563195,-0.0597871422,0.8005220020,0.4009001907,2.6813939280,0.0490310384,Control
GSM480991,1.9794408379,0.4134361460,-0.0661357046,0.3964309366,1.7983003819,1.1575162974,0.1768052719,0.1355530405,0.3399638576,0.0427778671,0.6031143866,0.0661300208,2.2176575924,0.4842418043,0.4261124963,0.8657999114,1.0997231288,1.0528161596,0.3902867216,0.5857728795,0.5011130637,2.2789729138,0.2464247670,0.1189495002,-0.0712129809,0.8269916619,0.4037685540,0.7561668919,3.8149829707,0.0149837607,-0.1286709990,0.3081528060,0.2295333806,1.4325132461,0.5581184552,0.9012789411,-0.0314091450,-0.0041508828,0.0678996894,0.2654660633,0.9436757888,0.7147501284,0.2455884340,0.2639889646,-0.0092980188,3.3572398025,1.1064305836,1.0479595629,0.7293166828,2.2935149670,3.5766208769,0.0086262595,2.0409953010,-0.0071332930,0.0749083729,0.1484283720,0.1134058270,0.2012190340,0.8024646072,-0.0992694980,0.7452163715,0.7371242370,2.1327344180,0.5849728780,0.8301298161,0.5882473241,0.0515380543,0.1784349985,0.1216735551,0.5895755429,0.1283160795,0.4025974693,0.0461597060,0.3363024906,0.1965093458,1.8788974551,-0.0679689009,Control
GSM480992,2.2102683187,0.1694783762,-0.0343264374,0.6358243877,2.2438123751,0.8723889359,0.2535535311,0.0613397006,0.4013159894,0.1006425733,0.6562532043,0.1606050673,2.3018097479,0.3376804314,0.5368797053,0.9769073650,1.3279844803,0.9327535874,0.4413584043,0.2657823163,0.6267714496,2.0466487408,0.3747774033,0.1647187155,-0.0451683867,0.9067465225,0.4470032173,0.7766086940,3.8272416590,-0.0278273442,-0.1069793480,0.3710603786,0.2854980946,1.1406627023,0.5012995407,1.0976863008,0.5542901803,0.2239823945,-0.0568523103,0.0879187457,1.1712464989,1.1381731691,0.3148493862,0.2463846537,0.0191575875,3.2449410757,1.2273845442,1.4193997886,0.7818326849,2.0128209990,3.8861452936,-0.0087653016,1.7412350228,-0.0444217720,0.0626774156,0.0766959124,0.0517419838,0.1968331093,0.4832259149,-0.1044347871,0.6579164770,1.0840547086,1.4710577726,0.9908523523,0.6617135230,1.5028773955,0.2822151612,0.1088566082,0.0672594634,0.4272183448,0.0969661209,0.4192755620,0.1480078059,0.5412993354,0.3960243086,2.6905449628,-0.0625000057,Control
GSM480993,2.0476592343,0.3194690605,-0.0837569483,0.7047280907,1.9645072571,0.9421584076,0.3351526358,0.1443340982,0.3357649641,0.1420613448,0.6290005728,0.0901141014,2.2321599987,0.4777362589,0.6286016534,0.9614707976,1.0574329584,0.9134941435,0.3662855091,0.2328714168,0.5090251731,2.3665488265,0.4341279301,0.1390635708,0.0262260025,0.8864198100,0.4831403371,1.1063207321,3.7825589180,0.0798602138,-0.0538116575,0.2813471717,0.4320272276,1.3243302871,0.4686286754,0.9380035532,0.6193341165,0.2152422622,0.0158442566,0.2995159112,0.7930191697,0.8387103804,0.3992393876,0.3625017217,0.0618072398,3.1192307073,1.2200471460,1.5918771643,0.7789128744,2.5240129627,3.6253513395,0.0594851503,1.8450391043,0.2603500019,0.0084224562,0.1389425357,0.1449174452,0.4315083318,0.6318680357,-0.1070799285,0.6853924879,1.5817800603,1.8889057636,1.7259579934,0.9745229781,1.4383683690,0.4679560592,0.2269635059,0.1060496448,0.7501108761,0.1900686335,0.6175937727,0.2090437288,0.8794380091,0.6375025820,2.2501229578,0.2543221465,Control
