@relation data

@attribute id string
@attribute 10682 numeric
@attribute 1717 numeric
@attribute 1718 numeric
@attribute 3930 numeric
@attribute 50814 numeric
@attribute 6307 numeric
@attribute 6309 numeric
@attribute 7108 numeric
@attribute Class {BRCA,Control}

@data
GSM480984,2.0747911589,0.7043834494,3.3108758926,2.9076402188,1.1876202822,2.3247531584,0.9186821908,0.1495070845,BRCA
GSM480985,1.7793970997,0.7681519964,3.4070268571,2.2545513511,0.8585749496,1.8602760241,0.7072604196,0.0944707751,BRCA
GSM480986,2.3227953976,1.1658073346,3.4539431631,2.6187869608,1.5313324855,2.3805405568,0.8654634724,0.0830776344,BRCA
GSM480987,1.6530135622,0.6633391980,2.6516232340,2.6732498856,1.3711604141,1.8705610384,0.8205128399,0.0171873223,BRCA
GSM480988,2.0936684743,1.0684210249,3.6851260065,2.5119986386,1.2751250274,2.1681118047,0.8197789948,0.0928988873,BRCA
GSM480989,2.8313986889,1.2713550221,4.0434167384,2.4508919569,1.4973754604,2.1642434422,0.6548078281,0.3646193627,BRCA
GSM480990,2.6008662855,1.1134370352,3.7594586314,2.5060391425,1.2827029558,2.2386984177,0.7440013145,0.1498271361,Control
GSM480991,2.2760811509,1.0509243269,3.7354140581,2.0891484842,1.4991590696,1.8797004818,0.8596860130,0.3105958622,Control
GSM480992,2.5494931134,1.3783938189,3.9181248246,2.4327930286,1.1609332558,1.9561430671,0.5789854892,0.4589260880,Control
GSM480993,2.5192131624,1.4640619415,3.6883386374,2.7241775541,1.3830293474,2.2327049464,0.6135171034,0.2773194371,Control
GSM480994,2.8368744650,1.3288855521,4.3046153485,2.5002228320,1.3992743912,1.8139289009,0.6920883063,0.3840717431,Control
GSM480995,2.0396515687,0.6788129836,3.3372707963,2.2339158654,1.1751185302,1.9732154468,0.8890512852,0.1022251386,Control
GSM480996,2.2376572507,1.0800527782,3.6445304156,2.4602495284,1.5071124192,1.9322864098,0.8905170687,0.0727627034,BRCA
GSM480997,1.9094590687,1.2626179876,3.1977084576,1.6447561196,1.0713926479,1.8083742353,0.5291824688,0.2273438572,BRCA
GSM480998,2.1471013341,1.1317894381,3.8853470386,2.9636797010,1.1982130651,1.8529811870,0.7766996781,0.0972038487,BRCA
GSM480999,2.2245396324,1.0880860927,3.7363414466,2.0662657542,1.2840817776,2.3769715289,1.0549140198,0.1738873263,BRCA
GSM481000,1.8589636310,0.8355049009,3.7601382733,2.4134775475,1.3122566746,2.2587386579,1.0778355758,0.1445422116,BRCA
GSM481001,1.8010233030,0.6049218293,3.6612434983,2.2548762785,0.9448450329,2.2965521234,1.0669868794,0.0717741425,BRCA
